Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.392346,53.634640,On or near Birches Road,E01032485,Blackburn with Darwen 018E,Anti-social behaviour,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.444807,53.611509,On or near Belmont Road,E01004768,Bolton 001A,Anti-social behaviour,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.444807,53.611509,On or near Belmont Road,E01004768,Bolton 001A,Burglary,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.440493,53.612388,On or near Threlkeld Road,E01004768,Bolton 001A,Vehicle crime,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.444807,53.611509,On or near Belmont Road,E01004768,Bolton 001A,Vehicle crime,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.440584,53.613781,On or near Wincanton Drive,E01004768,Bolton 001A,Vehicle crime,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.444807,53.611509,On or near Belmont Road,E01004768,Bolton 001A,Violent crime,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.444807,53.611509,On or near Belmont Road,E01004768,Bolton 001A,Other crime,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.442957,53.632548,On or near Albert Street,E01004803,Bolton 001B,Anti-social behaviour,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.440607,53.630526,On or near Bedford Street,E01004803,Bolton 001B,Anti-social behaviour,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.440607,53.630526,On or near Bedford Street,E01004803,Bolton 001B,Anti-social behaviour,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.440891,53.628745,On or near Egerton Vale,E01004803,Bolton 001B,Burglary,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.445917,53.630740,On or near Delph Avenue,E01004803,Bolton 001B,Burglary,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.442588,53.626240,On or near Deakins Mill Way,E01004803,Bolton 001B,Other crime,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.442588,53.626240,On or near Deakins Mill Way,E01004803,Bolton 001B,Other crime,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.435481,53.624711,On or near Oak Gates,E01004804,Bolton 001C,Anti-social behaviour,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.436744,53.628446,On or near Briggs Fold Road,E01004804,Bolton 001C,Anti-social behaviour,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.435481,53.624711,On or near Oak Gates,E01004804,Bolton 001C,Anti-social behaviour,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.437524,53.627796,On or near Hazel Mount,E01004804,Bolton 001C,Anti-social behaviour,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.440059,53.625854,On or near The Hall Coppice,E01004804,Bolton 001C,Anti-social behaviour,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.434973,53.625306,On or near Higher Dunscar,E01004804,Bolton 001C,Anti-social behaviour,,
,2010-12,Greater Manchester Police,Greater Manchester Police,-2.432463,53.626798,On or near Great Stones Close,E01004804,Bolton 001C,Vehicle crime,,
