Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2011-01,Wiltshire Police,Wiltshire Police,-2.292918,51.397069,On or near Prospect Place,E01014376,Bath and North East Somerset 010D,Violent crime,,
,2011-01,Wiltshire Police,Wiltshire Police,-0.679730,51.450140,On or near Crouch Lane,E01016252,Bracknell Forest 001C,Anti-social behaviour,,
,2011-01,Wiltshire Police,Wiltshire Police,-0.679730,51.450140,On or near Crouch Lane,E01016252,Bracknell Forest 001C,Anti-social behaviour,,
,2011-01,Wiltshire Police,Wiltshire Police,-1.692389,51.693228,On or near Thames Street,E01022210,Cotswold 009F,Anti-social behaviour,,
,2011-01,Wiltshire Police,Wiltshire Police,-2.261018,51.585291,On or near The Street,E01022206,Cotswold 011B,Burglary,,
,2011-01,Wiltshire Police,Wiltshire Police,-2.038603,50.955474,On or near Chase Crescent,E01020397,East Dorset 001D,Vehicle crime,,
,2011-01,Wiltshire Police,Wiltshire Police,-0.840106,51.330201,On or near Little Vigo,E01022898,Hart 002E,Other crime,,
,2011-01,Wiltshire Police,Wiltshire Police,-2.276685,51.279469,On or near Frome Road,E01029022,Mendip 001A,Anti-social behaviour,,
,2011-01,Wiltshire Police,Wiltshire Police,-2.271297,51.289688,On or near Bradford Road,E01029022,Mendip 001A,Anti-social behaviour,,
,2011-01,Wiltshire Police,Wiltshire Police,-2.271297,51.289688,On or near Bradford Road,E01029022,Mendip 001A,Vehicle crime,,
,2011-01,Wiltshire Police,Wiltshire Police,-2.179344,51.001652,On or near Salisbury Road,E01020455,North Dorset 003B,Other crime,,
,2011-01,Wiltshire Police,Wiltshire Police,-2.179344,51.001652,On or near Salisbury Road,E01020455,North Dorset 003B,Other crime,,
,2011-01,Wiltshire Police,Wiltshire Police,-2.122523,50.957799,On or near Green Lane,E01020442,North Dorset 006A,Burglary,,
,2011-01,Wiltshire Police,Wiltshire Police,-2.122523,50.957799,On or near Green Lane,E01020442,North Dorset 006A,Burglary,,
