Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2011-02,Northamptonshire Police,Northamptonshire Police,-0.559201,52.247697,On or near Chapel Lane,E01017545,Bedford 001D,Other crime,,
,2011-02,Northamptonshire Police,Northamptonshire Police,-0.559201,52.247697,On or near Chapel Lane,E01017545,Bedford 001D,Other crime,,
,2011-02,Northamptonshire Police,Northamptonshire Police,-1.328880,52.155432,On or near Boddington Road,E01028479,Cherwell 001A,Violent crime,,
,2011-02,Northamptonshire Police,Northamptonshire Police,-1.331775,52.145640,On or near Bignolds Close,E01028479,Cherwell 001A,Other crime,,
,2011-02,Northamptonshire Police,Northamptonshire Police,-1.325154,52.067275,On or near North Street,E01028440,Cherwell 004F,Anti-social behaviour,,
,2011-02,Northamptonshire Police,Northamptonshire Police,-0.697907,52.498872,On or near Sarrington Road,E01026971,Corby 001A,Anti-social behaviour,,
,2011-02,Northamptonshire Police,Northamptonshire Police,-0.697907,52.498872,On or near Sarrington Road,E01026971,Corby 001A,Anti-social behaviour,,
,2011-02,Northamptonshire Police,Northamptonshire Police,-0.697907,52.498872,On or near Sarrington Road,E01026971,Corby 001A,Anti-social behaviour,,
,2011-02,Northamptonshire Police,Northamptonshire Police,-0.697907,52.498872,On or near Sarrington Road,E01026971,Corby 001A,Anti-social behaviour,,
,2011-02,Northamptonshire Police,Northamptonshire Police,-0.691160,52.500353,On or near Ravenscourt,E01026971,Corby 001A,Anti-social behaviour,,
,2011-02,Northamptonshire Police,Northamptonshire Police,-0.699725,52.498164,On or near Chapman Grove,E01026971,Corby 001A,Anti-social behaviour,,
,2011-02,Northamptonshire Police,Northamptonshire Police,-0.697907,52.498872,On or near Sarrington Road,E01026971,Corby 001A,Anti-social behaviour,,
,2011-02,Northamptonshire Police,Northamptonshire Police,-0.697907,52.498872,On or near Sarrington Road,E01026971,Corby 001A,Anti-social behaviour,,
,2011-02,Northamptonshire Police,Northamptonshire Police,-0.694058,52.501005,On or near Woodlands Avenue,E01026971,Corby 001A,Anti-social behaviour,,
,2011-02,Northamptonshire Police,Northamptonshire Police,-0.691160,52.500353,On or near Ravenscourt,E01026971,Corby 001A,Anti-social behaviour,,
,2011-02,Northamptonshire Police,Northamptonshire Police,-0.691493,52.502056,On or near Royce Close,E01026971,Corby 001A,Anti-social behaviour,,
,2011-02,Northamptonshire Police,Northamptonshire Police,-0.690547,52.502162,On or near Stanier Road,E01026971,Corby 001A,Burglary,,
,2011-02,Northamptonshire Police,Northamptonshire Police,-0.690547,52.502162,On or near Stanier Road,E01026971,Corby 001A,Vehicle crime,,
,2011-02,Northamptonshire Police,Northamptonshire Police,-0.691160,52.500353,On or near Ravenscourt,E01026971,Corby 001A,Violent crime,,
,2011-02,Northamptonshire Police,Northamptonshire Police,-0.691910,52.500919,On or near Stockwood Drive,E01026971,Corby 001A,Other crime,,
,2011-02,Northamptonshire Police,Northamptonshire Police,-0.673710,52.539285,On or near Caistor Road,E01026979,Corby 001B,Anti-social behaviour,,
,2011-02,Northamptonshire Police,Northamptonshire Police,-0.677345,52.537051,On or near Maltings Road,E01026979,Corby 001B,Other crime,,
,2011-02,Northamptonshire Police,Northamptonshire Police,-0.750848,52.501591,On or near Millfield Avenue,E01026980,Corby 001C,Anti-social behaviour,,
,2011-02,Northamptonshire Police,Northamptonshire Police,-0.778454,52.495820,On or near Church Lane,E01026980,Corby 001C,Anti-social behaviour,,
,2011-02,Northamptonshire Police,Northamptonshire Police,-0.755705,52.501777,On or near Church Street,E01026980,Corby 001C,Burglary,,
,2011-02,Northamptonshire Police,Northamptonshire Police,-0.764851,52.502404,On or near Lightfoot Lane,E01026980,Corby 001C,Other crime,,
,2011-02,Northamptonshire Police,Northamptonshire Police,-0.755705,52.501777,On or near Church Street,E01026980,Corby 001C,Other crime,,
,2011-02,Northamptonshire Police,Northamptonshire Police,-0.764851,52.502404,On or near Lightfoot Lane,E01026980,Corby 001C,Other crime,,
,2011-02,Northamptonshire Police,Northamptonshire Police,-0.702316,52.506724,On or near Watson Close,E01026982,Corby 001D,Anti-social behaviour,,
,2011-02,Northamptonshire Police,Northamptonshire Police,-0.692811,52.508265,On or near Earlstrees Road,E01026982,Corby 001D,Anti-social behaviour,,
,2011-02,Northamptonshire Police,Northamptonshire Police,-0.702316,52.506724,On or near Watson Close,E01026982,Corby 001D,Anti-social behaviour,,
,2011-02,Northamptonshire Police,Northamptonshire Police,-0.702767,52.503430,On or near Ennerdale Road,E01026982,Corby 001D,Anti-social behaviour,,
,2011-02,Northamptonshire Police,Northamptonshire Police,-0.702767,52.503430,On or near Ennerdale Road,E01026982,Corby 001D,Anti-social behaviour,,
,2011-02,Northamptonshire Police,Northamptonshire Police,-0.702767,52.503430,On or near Ennerdale Road,E01026982,Corby 001D,Anti-social behaviour,,
,2011-02,Northamptonshire Police,Northamptonshire Police,-0.702316,52.506724,On or near Watson Close,E01026982,Corby 001D,Anti-social behaviour,,
,2011-02,Northamptonshire Police,Northamptonshire Police,-0.702316,52.506724,On or near Watson Close,E01026982,Corby 001D,Anti-social behaviour,,
,2011-02,Northamptonshire Police,Northamptonshire Police,-0.705270,52.502981,On or near Larch Road,E01026982,Corby 001D,Anti-social behaviour,,
,2011-02,Northamptonshire Police,Northamptonshire Police,-0.697713,52.502943,On or near Dewar Close,E01026982,Corby 001D,Anti-social behaviour,,
,2011-02,Northamptonshire Police,Northamptonshire Police,-0.702316,52.506724,On or near Watson Close,E01026982,Corby 001D,Anti-social behaviour,,
,2011-02,Northamptonshire Police,Northamptonshire Police,-0.702316,52.506724,On or near Watson Close,E01026982,Corby 001D,Anti-social behaviour,,
,2011-02,Northamptonshire Police,Northamptonshire Police,-0.701059,52.505883,On or near White Post Court,E01026982,Corby 001D,Anti-social behaviour,,
