Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2011-03,Merseyside Police,Merseyside Police,-2.960194,53.300759,On or near Vernon Avenue,E01018570,Cheshire West and Chester 004C,Other crime,,
,2011-03,Merseyside Police,Merseyside Police,-2.744100,53.388578,On or near Stratton Park,E01012393,Halton 001B,Anti-social behaviour,,
,2011-03,Merseyside Police,Merseyside Police,-2.744100,53.388578,On or near Stratton Park,E01012393,Halton 001B,Anti-social behaviour,,
,2011-03,Merseyside Police,Merseyside Police,-2.748158,53.386755,On or near Linacre Lane,E01012374,Halton 002A,Other crime,,
,2011-03,Merseyside Police,Merseyside Police,-2.799099,53.354676,On or near Old Higher Road,E01012391,Halton 008B,Burglary,,
,2011-03,Merseyside Police,Merseyside Police,-2.799099,53.354676,On or near Old Higher Road,E01012391,Halton 008B,Burglary,,
,2011-03,Merseyside Police,Merseyside Police,-2.799099,53.354676,On or near Old Higher Road,E01012391,Halton 008B,Other crime,,
,2011-03,Merseyside Police,Merseyside Police,-2.799099,53.354676,On or near Old Higher Road,E01012391,Halton 008B,Other crime,,
,2011-03,Merseyside Police,Merseyside Police,-2.870599,53.485736,On or near Darmond Road,E01006448,Knowsley 001A,Anti-social behaviour,,
,2011-03,Merseyside Police,Merseyside Police,-2.869560,53.488719,On or near Changford Road,E01006448,Knowsley 001A,Anti-social behaviour,,
,2011-03,Merseyside Police,Merseyside Police,-2.872082,53.487541,On or near Quernmore Road,E01006448,Knowsley 001A,Anti-social behaviour,,
,2011-03,Merseyside Police,Merseyside Police,-2.872082,53.487541,On or near Quernmore Road,E01006448,Knowsley 001A,Anti-social behaviour,,
,2011-03,Merseyside Police,Merseyside Police,-2.870599,53.485736,On or near Darmond Road,E01006448,Knowsley 001A,Anti-social behaviour,,
,2011-03,Merseyside Police,Merseyside Police,-2.870583,53.486464,On or near Clorain Close,E01006448,Knowsley 001A,Anti-social behaviour,,
,2011-03,Merseyside Police,Merseyside Police,-2.873875,53.485290,On or near Harleston Road,E01006448,Knowsley 001A,Anti-social behaviour,,
,2011-03,Merseyside Police,Merseyside Police,-2.872082,53.487541,On or near Quernmore Road,E01006448,Knowsley 001A,Anti-social behaviour,,
,2011-03,Merseyside Police,Merseyside Police,-2.871661,53.486097,On or near Clorain Road,E01006448,Knowsley 001A,Anti-social behaviour,,
,2011-03,Merseyside Police,Merseyside Police,-2.872082,53.487541,On or near Quernmore Road,E01006448,Knowsley 001A,Anti-social behaviour,,
,2011-03,Merseyside Police,Merseyside Police,-2.873875,53.485290,On or near Harleston Road,E01006448,Knowsley 001A,Anti-social behaviour,,
,2011-03,Merseyside Police,Merseyside Police,-2.872082,53.487541,On or near Quernmore Road,E01006448,Knowsley 001A,Anti-social behaviour,,
,2011-03,Merseyside Police,Merseyside Police,-2.872082,53.487541,On or near Quernmore Road,E01006448,Knowsley 001A,Anti-social behaviour,,
,2011-03,Merseyside Police,Merseyside Police,-2.872082,53.487541,On or near Quernmore Road,E01006448,Knowsley 001A,Anti-social behaviour,,
,2011-03,Merseyside Police,Merseyside Police,-2.869654,53.486687,On or near Birbeck Road,E01006448,Knowsley 001A,Burglary,,
,2011-03,Merseyside Police,Merseyside Police,-2.870599,53.485736,On or near Darmond Road,E01006448,Knowsley 001A,Vehicle crime,,
,2011-03,Merseyside Police,Merseyside Police,-2.871665,53.488488,On or near Brook Hey Drive,E01006448,Knowsley 001A,Violent crime,,
,2011-03,Merseyside Police,Merseyside Police,-2.872082,53.487541,On or near Quernmore Road,E01006448,Knowsley 001A,Violent crime,,
,2011-03,Merseyside Police,Merseyside Police,-2.871609,53.489432,On or near Watts Close,E01006448,Knowsley 001A,Other crime,,
,2011-03,Merseyside Police,Merseyside Police,-2.871665,53.488488,On or near Brook Hey Drive,E01006448,Knowsley 001A,Other crime,,
,2011-03,Merseyside Police,Merseyside Police,-2.873875,53.485290,On or near Harleston Road,E01006448,Knowsley 001A,Other crime,,
,2011-03,Merseyside Police,Merseyside Police,-2.871609,53.489432,On or near Watts Close,E01006448,Knowsley 001A,Other crime,,
,2011-03,Merseyside Police,Merseyside Police,-2.875002,53.486621,On or near Bigdale Drive,E01006448,Knowsley 001A,Other crime,,
,2011-03,Merseyside Police,Merseyside Police,-2.869560,53.488719,On or near Changford Road,E01006448,Knowsley 001A,Other crime,,
,2011-03,Merseyside Police,Merseyside Police,-2.872556,53.490045,On or near Whitburn Road,E01006448,Knowsley 001A,Other crime,,
,2011-03,Merseyside Police,Merseyside Police,-2.872082,53.487541,On or near Quernmore Road,E01006448,Knowsley 001A,Other crime,,
,2011-03,Merseyside Police,Merseyside Police,-2.871665,53.488488,On or near Brook Hey Drive,E01006448,Knowsley 001A,Other crime,,
,2011-03,Merseyside Police,Merseyside Police,-2.871661,53.486097,On or near Clorain Road,E01006448,Knowsley 001A,Other crime,,
,2011-03,Merseyside Police,Merseyside Police,-2.879293,53.500944,On or near Douglas Way,E01006492,Knowsley 001B,Anti-social behaviour,,
,2011-03,Merseyside Police,Merseyside Police,-2.875687,53.497160,On or near Winmoss Drive,E01006492,Knowsley 001B,Anti-social behaviour,,
,2011-03,Merseyside Police,Merseyside Police,-2.873238,53.495389,On or near Dorchester Drive,E01006492,Knowsley 001B,Anti-social behaviour,,
,2011-03,Merseyside Police,Merseyside Police,-2.873856,53.498279,On or near Epsom Grove,E01006492,Knowsley 001B,Anti-social behaviour,,
,2011-03,Merseyside Police,Merseyside Police,-2.873856,53.498279,On or near Epsom Grove,E01006492,Knowsley 001B,Anti-social behaviour,,
,2011-03,Merseyside Police,Merseyside Police,-2.876336,53.498683,On or near Greenham Avenue,E01006492,Knowsley 001B,Anti-social behaviour,,
,2011-03,Merseyside Police,Merseyside Police,-2.873856,53.498279,On or near Epsom Grove,E01006492,Knowsley 001B,Anti-social behaviour,,
