Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2011-04,Surrey Police,Surrey Police,0.017902,51.302185,On or near Bridlington Close,E01000655,Bromley 039B,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.514281,51.089811,On or near Pigbush Lane,E01031517,Chichester 002A,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.102412,51.517297,On or near Cock Lane,E01032740,City of London 001G,Other crime,,
,2011-04,Surrey Police,Surrey Police,-0.051661,51.332006,On or near Beech Way,E01001121,Croydon 039D,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.136051,51.321500,On or near Station Approach Road,E01001023,Croydon 041C,Violent crime,,
,2011-04,Surrey Police,Surrey Police,-0.143331,51.303621,On or near Woodplace Lane,E01001017,Croydon 043A,Other crime,,
,2011-04,Surrey Police,Surrey Police,-0.143331,51.303621,On or near Woodplace Lane,E01001017,Croydon 043A,Other crime,,
,2011-04,Surrey Police,Surrey Police,-0.160988,51.317703,On or near Sandown Road,E01001026,Croydon 043D,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.151460,51.307320,On or near Hollymeoak Road,E01001027,Croydon 043E,Violent crime,,
,2011-04,Surrey Police,Surrey Police,-0.111647,51.306262,On or near Haycroft Close,E01001018,Croydon 044A,Other crime,,
,2011-04,Surrey Police,Surrey Police,-0.110941,51.292356,On or near The Grove,E01001021,Croydon 044D,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.110941,51.292356,On or near The Grove,E01001021,Croydon 044D,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.110941,51.292356,On or near The Grove,E01001021,Croydon 044D,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.826548,51.183025,On or near School Road,E01022582,East Hampshire 001B,Other crime,,
,2011-04,Surrey Police,Surrey Police,-0.759420,51.086284,On or near Hammer Vale,E01022585,East Hampshire 009C,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.773840,51.121408,On or near Whitmore Vale,E01032625,East Hampshire 017E,Burglary,,
,2011-04,Surrey Police,Surrey Police,-0.371498,51.406293,On or near Windsor Avenue,E01030330,Elmbridge 001A,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.370082,51.408522,On or near Thames Meadow,E01030330,Elmbridge 001A,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.369236,51.408456,On or near Victoria Avenue,E01030330,Elmbridge 001A,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.369494,51.407650,On or near Hurst Road,E01030330,Elmbridge 001A,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.368235,51.406661,On or near Kelvinbrook,E01030330,Elmbridge 001A,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.371653,51.407995,On or near Hotham Close,E01030330,Elmbridge 001A,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.369236,51.408456,On or near Victoria Avenue,E01030330,Elmbridge 001A,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.369920,51.405381,On or near New Road,E01030330,Elmbridge 001A,Burglary,,
,2011-04,Surrey Police,Surrey Police,-0.371498,51.406293,On or near Windsor Avenue,E01030330,Elmbridge 001A,Burglary,,
,2011-04,Surrey Police,Surrey Police,-0.369494,51.407650,On or near Hurst Road,E01030330,Elmbridge 001A,Burglary,,
,2011-04,Surrey Police,Surrey Police,-0.371498,51.406293,On or near Windsor Avenue,E01030330,Elmbridge 001A,Burglary,,
,2011-04,Surrey Police,Surrey Police,-0.371896,51.405220,On or near Balmoral Crescent,E01030330,Elmbridge 001A,Burglary,,
,2011-04,Surrey Police,Surrey Police,-0.369025,51.407095,On or near Linkfield,E01030330,Elmbridge 001A,Vehicle crime,,
,2011-04,Surrey Police,Surrey Police,-0.369494,51.407650,On or near Hurst Road,E01030330,Elmbridge 001A,Violent crime,,
,2011-04,Surrey Police,Surrey Police,-0.365617,51.408720,On or near Tufton Gardens,E01030330,Elmbridge 001A,Other crime,,
,2011-04,Surrey Police,Surrey Police,-0.377878,51.406813,On or near Cherry Orchard Gardens,E01030331,Elmbridge 001B,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.374863,51.407077,On or near Hurstfield Road,E01030331,Elmbridge 001B,Vehicle crime,,
,2011-04,Surrey Police,Surrey Police,-0.374863,51.407077,On or near Hurstfield Road,E01030331,Elmbridge 001B,Violent crime,,
,2011-04,Surrey Police,Surrey Police,-0.376530,51.403449,On or near The Crescent,E01030331,Elmbridge 001B,Violent crime,,
,2011-04,Surrey Police,Surrey Police,-0.382144,51.404076,On or near Hollingworth Close,E01030331,Elmbridge 001B,Violent crime,,
,2011-04,Surrey Police,Surrey Police,-0.376313,51.406756,On or near Cherry Orchard Road,E01030331,Elmbridge 001B,Other crime,,
,2011-04,Surrey Police,Surrey Police,-0.374863,51.407077,On or near Hurstfield Road,E01030331,Elmbridge 001B,Other crime,,
,2011-04,Surrey Police,Surrey Police,-0.374863,51.407077,On or near Hurstfield Road,E01030331,Elmbridge 001B,Other crime,,
,2011-04,Surrey Police,Surrey Police,-0.366287,51.402840,On or near Abbey Walk,E01030332,Elmbridge 001C,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.368388,51.405602,On or near Dundas Gardens,E01030332,Elmbridge 001C,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.368388,51.405602,On or near Dundas Gardens,E01030332,Elmbridge 001C,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.361722,51.405069,On or near Merton Way,E01030332,Elmbridge 001C,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.361722,51.405069,On or near Merton Way,E01030332,Elmbridge 001C,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.361722,51.405069,On or near Merton Way,E01030332,Elmbridge 001C,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.361722,51.405069,On or near Merton Way,E01030332,Elmbridge 001C,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.366320,51.405547,On or near Molesham Way,E01030332,Elmbridge 001C,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.371652,51.403571,On or near St. Peters Road,E01030332,Elmbridge 001C,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.368388,51.405602,On or near Dundas Gardens,E01030332,Elmbridge 001C,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.371652,51.403571,On or near St. Peters Road,E01030332,Elmbridge 001C,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.366287,51.402840,On or near Abbey Walk,E01030332,Elmbridge 001C,Burglary,,
,2011-04,Surrey Police,Surrey Police,-0.361036,51.403737,On or near First Close,E01030332,Elmbridge 001C,Vehicle crime,,
,2011-04,Surrey Police,Surrey Police,-0.371652,51.403571,On or near St. Peters Road,E01030332,Elmbridge 001C,Violent crime,,
,2011-04,Surrey Police,Surrey Police,-0.371652,51.403571,On or near St. Peters Road,E01030332,Elmbridge 001C,Violent crime,,
,2011-04,Surrey Police,Surrey Police,-0.366287,51.402840,On or near Abbey Walk,E01030332,Elmbridge 001C,Other crime,,
,2011-04,Surrey Police,Surrey Police,-0.371652,51.403571,On or near St. Peters Road,E01030332,Elmbridge 001C,Other crime,,
,2011-04,Surrey Police,Surrey Police,-0.367272,51.407080,On or near Spurfield,E01030333,Elmbridge 001D,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.365083,51.409999,On or near Buckingham Gardens,E01030333,Elmbridge 001D,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.367272,51.407080,On or near Spurfield,E01030333,Elmbridge 001D,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.361410,51.409759,On or near Sadlers Ride,E01030333,Elmbridge 001D,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.361410,51.409759,On or near Sadlers Ride,E01030333,Elmbridge 001D,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.367272,51.407080,On or near Spurfield,E01030333,Elmbridge 001D,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.362607,51.408858,On or near Carlyle Close,E01030333,Elmbridge 001D,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.365083,51.409999,On or near Buckingham Gardens,E01030333,Elmbridge 001D,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.362467,51.406734,On or near Dunstall Way,E01030333,Elmbridge 001D,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.364640,51.406683,On or near The Fairway,E01030333,Elmbridge 001D,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.367272,51.407080,On or near Spurfield,E01030333,Elmbridge 001D,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.362467,51.406734,On or near Dunstall Way,E01030333,Elmbridge 001D,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.367272,51.407080,On or near Spurfield,E01030333,Elmbridge 001D,Burglary,,
,2011-04,Surrey Police,Surrey Police,-0.364640,51.406683,On or near The Fairway,E01030333,Elmbridge 001D,Vehicle crime,,
,2011-04,Surrey Police,Surrey Police,-0.365083,51.409999,On or near Buckingham Gardens,E01030333,Elmbridge 001D,Violent crime,,
,2011-04,Surrey Police,Surrey Police,-0.361137,51.409368,On or near Winchilsea Crescent,E01030333,Elmbridge 001D,Other crime,,
,2011-04,Surrey Police,Surrey Police,-0.360762,51.408571,On or near Rivermead,E01030333,Elmbridge 001D,Other crime,,
,2011-04,Surrey Police,Surrey Police,-0.367272,51.407080,On or near Spurfield,E01030333,Elmbridge 001D,Other crime,,
,2011-04,Surrey Police,Surrey Police,-0.360762,51.408571,On or near Rivermead,E01030333,Elmbridge 001D,Other crime,,
,2011-04,Surrey Police,Surrey Police,-0.349907,51.399777,On or near Bridge Gardens,E01030326,Elmbridge 002A,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.345450,51.403374,On or near Feltham Avenue,E01030326,Elmbridge 002A,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.344320,51.402019,On or near Creek Road,E01030326,Elmbridge 002A,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.345422,51.401764,On or near Bridge Road,E01030326,Elmbridge 002A,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.351969,51.398008,On or near Matham Road,E01030326,Elmbridge 002A,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.344320,51.402019,On or near Creek Road,E01030326,Elmbridge 002A,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.345450,51.403374,On or near Feltham Avenue,E01030326,Elmbridge 002A,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.344444,51.403747,On or near River Bank,E01030326,Elmbridge 002A,Burglary,,
,2011-04,Surrey Police,Surrey Police,-0.344320,51.402019,On or near Creek Road,E01030326,Elmbridge 002A,Vehicle crime,,
,2011-04,Surrey Police,Surrey Police,-0.345422,51.401764,On or near Bridge Road,E01030326,Elmbridge 002A,Violent crime,,
,2011-04,Surrey Police,Surrey Police,-0.351969,51.398008,On or near Matham Road,E01030326,Elmbridge 002A,Other crime,,
,2011-04,Surrey Police,Surrey Police,-0.344320,51.402019,On or near Creek Road,E01030326,Elmbridge 002A,Other crime,,
,2011-04,Surrey Police,Surrey Police,-0.344320,51.402019,On or near Creek Road,E01030326,Elmbridge 002A,Other crime,,
,2011-04,Surrey Police,Surrey Police,-0.344320,51.402019,On or near Creek Road,E01030326,Elmbridge 002A,Other crime,,
,2011-04,Surrey Police,Surrey Police,-0.344320,51.402019,On or near Creek Road,E01030326,Elmbridge 002A,Other crime,,
,2011-04,Surrey Police,Surrey Police,-0.344320,51.402019,On or near Creek Road,E01030326,Elmbridge 002A,Other crime,,
,2011-04,Surrey Police,Surrey Police,-0.344320,51.402019,On or near Creek Road,E01030326,Elmbridge 002A,Other crime,,
,2011-04,Surrey Police,Surrey Police,-0.344320,51.402019,On or near Creek Road,E01030326,Elmbridge 002A,Other crime,,
,2011-04,Surrey Police,Surrey Police,-0.344320,51.402019,On or near Creek Road,E01030326,Elmbridge 002A,Other crime,,
,2011-04,Surrey Police,Surrey Police,-0.344320,51.402019,On or near Creek Road,E01030326,Elmbridge 002A,Other crime,,
,2011-04,Surrey Police,Surrey Police,-0.344320,51.402019,On or near Creek Road,E01030326,Elmbridge 002A,Other crime,,
,2011-04,Surrey Police,Surrey Police,-0.344320,51.402019,On or near Creek Road,E01030326,Elmbridge 002A,Other crime,,
,2011-04,Surrey Police,Surrey Police,-0.344320,51.402019,On or near Creek Road,E01030326,Elmbridge 002A,Other crime,,
,2011-04,Surrey Police,Surrey Police,-0.360823,51.396828,On or near The Wilderness,E01030327,Elmbridge 002B,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.360458,51.398999,On or near Seymour Road,E01030327,Elmbridge 002B,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.360823,51.396828,On or near The Wilderness,E01030327,Elmbridge 002B,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.358239,51.397134,On or near Molesey Park Road,E01030327,Elmbridge 002B,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.351547,51.393326,On or near Orchard Lane,E01030327,Elmbridge 002B,Anti-social behaviour,,
,2011-04,Surrey Police,Surrey Police,-0.354380,51.397313,On or near Bell Road,E01030327,Elmbridge 002B,Other crime,,
,2011-04,Surrey Police,Surrey Police,-0.358127,51.399848,On or near Clinton Avenue,E01030327,Elmbridge 002B,Other crime,,
,2011-04,Surrey Police,Surrey Police,-0.351547,51.393326,On or near Orchard Lane,E01030327,Elmbridge 002B,Other crime,,
,2011-04,Surrey Police,Surrey Police,-0.360823,51.396828,On or near The Wilderness,E01030327,Elmbridge 002B,Other crime,,
