Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2011-05,Staffordshire Police,Staffordshire Police,-1.962626,52.765129,On or near Mount Road,E01029368,Cannock Chase 001A,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.956091,52.763949,On or near Church Lane,E01029368,Cannock Chase 001A,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.961294,52.762629,On or near West Butts Road,E01029368,Cannock Chase 001A,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.961294,52.762629,On or near West Butts Road,E01029368,Cannock Chase 001A,Other crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.950842,52.766482,On or near Moss Green,E01029369,Cannock Chase 001B,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.951865,52.766887,On or near Crabtree Way,E01029369,Cannock Chase 001B,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.950842,52.766482,On or near Moss Green,E01029369,Cannock Chase 001B,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.951865,52.766887,On or near Crabtree Way,E01029369,Cannock Chase 001B,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.950842,52.766482,On or near Moss Green,E01029369,Cannock Chase 001B,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.953353,52.760937,On or near Briar Close,E01029369,Cannock Chase 001B,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.952269,52.763148,On or near Fairmount Way,E01029369,Cannock Chase 001B,Violent crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.990816,52.754653,On or near Kingsley Wood Road,E01029370,Cannock Chase 001C,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.964672,52.763772,On or near Henley Grange,E01029370,Cannock Chase 001C,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.964672,52.763772,On or near Henley Grange,E01029370,Cannock Chase 001C,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.988121,52.746391,On or near Birches Valley,E01029370,Cannock Chase 001C,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.964779,52.760006,On or near Stonehouse Road,E01029370,Cannock Chase 001C,Burglary,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.960442,52.754017,On or near Post Office Lane,E01029370,Cannock Chase 001C,Violent crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.990816,52.754653,On or near Kingsley Wood Road,E01029370,Cannock Chase 001C,Other crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.964672,52.763772,On or near Henley Grange,E01029370,Cannock Chase 001C,Other crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.964672,52.763772,On or near Henley Grange,E01029370,Cannock Chase 001C,Other crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.960442,52.754017,On or near Post Office Lane,E01029370,Cannock Chase 001C,Other crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.964672,52.763772,On or near Henley Grange,E01029370,Cannock Chase 001C,Other crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.964672,52.763772,On or near Henley Grange,E01029370,Cannock Chase 001C,Other crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.988121,52.746391,On or near Birches Valley,E01029370,Cannock Chase 001C,Other crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.960442,52.754017,On or near Post Office Lane,E01029370,Cannock Chase 001C,Other crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.960442,52.754017,On or near Post Office Lane,E01029370,Cannock Chase 001C,Other crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.943961,52.769868,On or near Watson Close,E01029371,Cannock Chase 001D,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.951624,52.770069,On or near Cambrian Lane,E01029371,Cannock Chase 001D,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.951624,52.770069,On or near Cambrian Lane,E01029371,Cannock Chase 001D,Other crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.933517,52.766339,On or near Vicars Croft,E01029402,Cannock Chase 001E,Burglary,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.937295,52.767689,On or near Rishworth Avenue,E01029402,Cannock Chase 001E,Other crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.937295,52.767689,On or near Rishworth Avenue,E01029402,Cannock Chase 001E,Other crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.938595,52.770135,On or near Old Eaton Road,E01029402,Cannock Chase 001E,Other crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.933517,52.766339,On or near Vicars Croft,E01029402,Cannock Chase 001E,Other crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.944777,52.769185,On or near Wat Tyler Close,E01029372,Cannock Chase 002A,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.948543,52.768306,On or near Aneurin Bevan Place,E01029372,Cannock Chase 002A,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.950130,52.767606,On or near Catkin Walk,E01029372,Cannock Chase 002A,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.944823,52.768116,On or near Winstanley Place,E01029372,Cannock Chase 002A,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.946052,52.769554,On or near John Ball Close,E01029372,Cannock Chase 002A,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.946052,52.769554,On or near John Ball Close,E01029372,Cannock Chase 002A,Violent crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.944680,52.752636,On or near Windsor Close,E01029373,Cannock Chase 002B,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.934909,52.757197,On or near Horse Fair,E01029373,Cannock Chase 002B,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.934909,52.757197,On or near Horse Fair,E01029373,Cannock Chase 002B,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.934909,52.757197,On or near Horse Fair,E01029373,Cannock Chase 002B,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.940899,52.754441,On or near Upper Cross Road,E01029373,Cannock Chase 002B,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.937835,52.752138,On or near Ashleigh Road,E01029373,Cannock Chase 002B,Burglary,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.938497,52.755851,On or near Sandy Lane,E01029373,Cannock Chase 002B,Vehicle crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.934909,52.757197,On or near Horse Fair,E01029373,Cannock Chase 002B,Violent crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.942084,52.754648,On or near Burnthill Lane,E01029373,Cannock Chase 002B,Violent crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.936589,52.753162,On or near Curzon Place,E01029373,Cannock Chase 002B,Violent crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.934909,52.757197,On or near Horse Fair,E01029373,Cannock Chase 002B,Other crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.934909,52.757197,On or near Horse Fair,E01029373,Cannock Chase 002B,Other crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.936265,52.751984,On or near Hardie Avenue,E01029373,Cannock Chase 002B,Other crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.942084,52.754648,On or near Burnthill Lane,E01029373,Cannock Chase 002B,Other crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.947658,52.764845,On or near Wetherall Close,E01029401,Cannock Chase 002C,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.946026,52.766228,On or near Fernwood Drive,E01029401,Cannock Chase 002C,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.943802,52.767135,On or near Swallow Close,E01029401,Cannock Chase 002C,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.944589,52.765850,On or near Joseph Dix Drive,E01029401,Cannock Chase 002C,Burglary,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.946026,52.766228,On or near Fernwood Drive,E01029401,Cannock Chase 002C,Violent crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.945406,52.764268,On or near Campbell Close,E01029401,Cannock Chase 002C,Violent crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.942506,52.760348,On or near Bank Top,E01029403,Cannock Chase 002D,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.943762,52.763369,On or near Tunnicliffe Drive,E01029403,Cannock Chase 002D,Burglary,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.945202,52.761455,On or near Frank Gee Close,E01029403,Cannock Chase 002D,Violent crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.937217,52.760003,On or near Elmore Lane,E01029404,Cannock Chase 002E,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.937616,52.760462,On or near Bow Street,E01029404,Cannock Chase 002E,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.937217,52.760003,On or near Elmore Lane,E01029404,Cannock Chase 002E,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.934075,52.759984,On or near Albion Street,E01029404,Cannock Chase 002E,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.931319,52.760135,On or near Mill Lane,E01029404,Cannock Chase 002E,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.935702,52.762403,On or near Anson Street,E01029404,Cannock Chase 002E,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.937217,52.760003,On or near Elmore Lane,E01029404,Cannock Chase 002E,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.937217,52.760003,On or near Elmore Lane,E01029404,Cannock Chase 002E,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.937217,52.760003,On or near Elmore Lane,E01029404,Cannock Chase 002E,Burglary,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.932709,52.761601,On or near Bryans Lane,E01029404,Cannock Chase 002E,Burglary,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.937616,52.760462,On or near Bow Street,E01029404,Cannock Chase 002E,Burglary,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.932709,52.761601,On or near Bryans Lane,E01029404,Cannock Chase 002E,Burglary,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.937616,52.760462,On or near Bow Street,E01029404,Cannock Chase 002E,Robbery,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.931233,52.757977,On or near Keystone Road,E01029404,Cannock Chase 002E,Vehicle crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.939022,52.761505,On or near Lion Street,E01029404,Cannock Chase 002E,Vehicle crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.932546,52.762077,On or near Phoenix Close,E01029404,Cannock Chase 002E,Violent crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.934075,52.759984,On or near Albion Street,E01029404,Cannock Chase 002E,Violent crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.937616,52.760462,On or near Bow Street,E01029404,Cannock Chase 002E,Violent crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.931319,52.760135,On or near Mill Lane,E01029404,Cannock Chase 002E,Violent crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.935702,52.762403,On or near Anson Street,E01029404,Cannock Chase 002E,Violent crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.939022,52.761505,On or near Lion Street,E01029404,Cannock Chase 002E,Other crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.933790,52.762402,On or near Market Street,E01029404,Cannock Chase 002E,Other crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.937616,52.760462,On or near Bow Street,E01029404,Cannock Chase 002E,Other crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.931662,52.758697,On or near Heron Street,E01029404,Cannock Chase 002E,Other crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.937217,52.760003,On or near Elmore Lane,E01029404,Cannock Chase 002E,Other crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.930106,52.758885,On or near Queen Street,E01029404,Cannock Chase 002E,Other crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.937217,52.760003,On or near Elmore Lane,E01029404,Cannock Chase 002E,Other crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.934075,52.759984,On or near Albion Street,E01029404,Cannock Chase 002E,Other crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.937217,52.760003,On or near Elmore Lane,E01029404,Cannock Chase 002E,Other crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.933839,52.759237,On or near Brewery Street,E01029404,Cannock Chase 002E,Other crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.934075,52.759984,On or near Albion Street,E01029404,Cannock Chase 002E,Other crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.934075,52.759984,On or near Albion Street,E01029404,Cannock Chase 002E,Other crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.929998,52.761411,On or near Leathermill Lane,E01029404,Cannock Chase 002E,Other crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.934075,52.759984,On or near Albion Street,E01029404,Cannock Chase 002E,Other crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.933839,52.759237,On or near Brewery Street,E01029404,Cannock Chase 002E,Other crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.929477,52.762912,On or near Power Station Road,E01029404,Cannock Chase 002E,Other crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.937217,52.760003,On or near Elmore Lane,E01029404,Cannock Chase 002E,Other crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.934823,52.755076,On or near Wharf Road,E01029345,Cannock Chase 003A,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.928171,52.754982,On or near Bridgewater Road,E01029345,Cannock Chase 003A,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.928171,52.754982,On or near Bridgewater Road,E01029345,Cannock Chase 003A,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.934823,52.755076,On or near Wharf Road,E01029345,Cannock Chase 003A,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.934823,52.755076,On or near Wharf Road,E01029345,Cannock Chase 003A,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.917186,52.750121,On or near Wheelhouse Road,E01029345,Cannock Chase 003A,Anti-social behaviour,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.917186,52.750121,On or near Wheelhouse Road,E01029345,Cannock Chase 003A,Burglary,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.917186,52.750121,On or near Wheelhouse Road,E01029345,Cannock Chase 003A,Vehicle crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.934823,52.755076,On or near Wharf Road,E01029345,Cannock Chase 003A,Violent crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.917186,52.750121,On or near Wheelhouse Road,E01029345,Cannock Chase 003A,Other crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.934823,52.755076,On or near Wharf Road,E01029345,Cannock Chase 003A,Other crime,,
,2011-05,Staffordshire Police,Staffordshire Police,-1.933033,52.753241,On or near Newman Grove,E01029345,Cannock Chase 003A,Other crime,,
