Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2011-05,West Midlands Police,West Midlands Police,-1.845290,52.590509,On or near Heathfield Road,E01009417,Birmingham 001A,Anti-social behaviour,,
,2011-05,West Midlands Police,West Midlands Police,-1.845290,52.590509,On or near Heathfield Road,E01009417,Birmingham 001A,Anti-social behaviour,,
,2011-05,West Midlands Police,West Midlands Police,-1.850519,52.589275,On or near Crown Lane,E01009417,Birmingham 001A,Anti-social behaviour,,
,2011-05,West Midlands Police,West Midlands Police,-1.841944,52.597265,On or near Chelsea Drive,E01009418,Birmingham 001B,Anti-social behaviour,,
,2011-05,West Midlands Police,West Midlands Police,-1.843740,52.594588,On or near Clarence Road,E01009418,Birmingham 001B,Burglary,,
,2011-05,West Midlands Police,West Midlands Police,-1.841944,52.597265,On or near Chelsea Drive,E01009418,Birmingham 001B,Burglary,,
,2011-05,West Midlands Police,West Midlands Police,-1.845780,52.593827,On or near Hook Drive,E01009418,Birmingham 001B,Vehicle crime,,
,2011-05,West Midlands Police,West Midlands Police,-1.842882,52.599289,On or near Balmoral Road,E01009418,Birmingham 001B,Other crime,,
,2011-05,West Midlands Police,West Midlands Police,-1.848131,52.596904,On or near White Farm Road,E01009419,Birmingham 001C,Anti-social behaviour,,
,2011-05,West Midlands Police,West Midlands Police,-1.849079,52.595980,On or near Blackberry Lane,E01009419,Birmingham 001C,Anti-social behaviour,,
,2011-05,West Midlands Police,West Midlands Police,-1.849895,52.599172,On or near Kesterton Road,E01009419,Birmingham 001C,Robbery,,
,2011-05,West Midlands Police,West Midlands Police,-1.849469,52.598668,On or near Harrison Road,E01009419,Birmingham 001C,Other crime,,
,2011-05,West Midlands Police,West Midlands Police,-1.852752,52.601288,On or near Vernon Close,E01009419,Birmingham 001C,Other crime,,
,2011-05,West Midlands Police,West Midlands Police,-1.844644,52.597916,On or near Kensington Drive,E01009433,Birmingham 001D,Anti-social behaviour,,
,2011-05,West Midlands Police,West Midlands Police,-1.849779,52.602840,On or near Lowercroft Way,E01009433,Birmingham 001D,Anti-social behaviour,,
,2011-05,West Midlands Police,West Midlands Police,-1.843535,52.598247,On or near Sandhurst Road,E01009433,Birmingham 001D,Burglary,,
,2011-05,West Midlands Police,West Midlands Police,-1.841171,52.602837,On or near Bishops Way,E01009433,Birmingham 001D,Burglary,,
,2011-05,West Midlands Police,West Midlands Police,-1.843350,52.604701,On or near Shelley Drive,E01009433,Birmingham 001D,Robbery,,
,2011-05,West Midlands Police,West Midlands Police,-1.843092,52.602471,On or near Moore Close,E01009433,Birmingham 001D,Violent crime,,
,2011-05,West Midlands Police,West Midlands Police,-1.838694,52.606043,On or near Wyndley Close,E01009433,Birmingham 001D,Other crime,,
,2011-05,West Midlands Police,West Midlands Police,-1.848943,52.601247,On or near Bradgate Drive,E01009433,Birmingham 001D,Other crime,,
,2011-05,West Midlands Police,West Midlands Police,-1.843350,52.604701,On or near Shelley Drive,E01009433,Birmingham 001D,Other crime,,
,2011-05,West Midlands Police,West Midlands Police,-1.841996,52.603396,On or near Yates Croft,E01009433,Birmingham 001D,Other crime,,
,2011-05,West Midlands Police,West Midlands Police,-1.838265,52.594185,On or near Hillside Road,E01009415,Birmingham 002A,Burglary,,
,2011-05,West Midlands Police,West Midlands Police,-1.831391,52.596684,On or near Dunton Close,E01009415,Birmingham 002A,Burglary,,
,2011-05,West Midlands Police,West Midlands Police,-1.832637,52.594951,On or near Dawney Drive,E01009415,Birmingham 002A,Violent crime,,
,2011-05,West Midlands Police,West Midlands Police,-1.835430,52.586486,On or near Belwell Lane,E01009422,Birmingham 002B,Anti-social behaviour,,
,2011-05,West Midlands Police,West Midlands Police,-1.838282,52.585564,On or near Nursery Lane,E01009422,Birmingham 002B,Anti-social behaviour,,
,2011-05,West Midlands Police,West Midlands Police,-1.835430,52.586486,On or near Belwell Lane,E01009422,Birmingham 002B,Anti-social behaviour,,
,2011-05,West Midlands Police,West Midlands Police,-1.845264,52.589493,On or near Farncote Drive,E01009422,Birmingham 002B,Other crime,,
,2011-05,West Midlands Police,West Midlands Police,-1.824320,52.588996,On or near Wilmcote Drive,E01009423,Birmingham 002C,Anti-social behaviour,,
,2011-05,West Midlands Police,West Midlands Police,-1.821694,52.592436,On or near Pudsey Drive,E01009423,Birmingham 002C,Anti-social behaviour,,
,2011-05,West Midlands Police,West Midlands Police,-1.824859,52.590876,On or near Gibbons Road,E01009423,Birmingham 002C,Anti-social behaviour,,
