Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2011-06,North Yorkshire Police,North Yorkshire Police,-1.881121,53.953471,On or near Bolton Road,E01010646,Bradford 001A,Anti-social behaviour,,
,2011-06,North Yorkshire Police,North Yorkshire Police,-1.881121,53.953471,On or near Bolton Road,E01010646,Bradford 001A,Anti-social behaviour,,
,2011-06,North Yorkshire Police,North Yorkshire Police,-1.841902,53.936367,On or near Owler Park Road,E01010694,Bradford 002C,Anti-social behaviour,,
,2011-06,North Yorkshire Police,North Yorkshire Police,-2.534948,54.143586,On or near Leeming Lane,E01027558,Craven 001A,Anti-social behaviour,,
,2011-06,North Yorkshire Police,North Yorkshire Police,-2.536806,54.121523,On or near Hillside Road,E01027558,Craven 001A,Anti-social behaviour,,
,2011-06,North Yorkshire Police,North Yorkshire Police,-2.534881,54.119356,On or near Harley Close,E01027558,Craven 001A,Anti-social behaviour,,
,2011-06,North Yorkshire Police,North Yorkshire Police,-2.538089,54.117832,On or near Millers Ford,E01027558,Craven 001A,Anti-social behaviour,,
,2011-06,North Yorkshire Police,North Yorkshire Police,-2.538089,54.117832,On or near Millers Ford,E01027558,Craven 001A,Anti-social behaviour,,
b98d7c759d0ad29b9b4f1a27607a5d1c59e79214d38cc4e2747e1da965ef2511,2011-06,North Yorkshire Police,North Yorkshire Police,-2.533976,54.142952,On or near Greta Heath,E01027558,Craven 001A,Burglary,,
b2b8dd7b3291270582bfe61864fbe373136b86ade41df9752b92a3818440405d,2011-06,North Yorkshire Police,North Yorkshire Police,-2.534881,54.119356,On or near Harley Close,E01027558,Craven 001A,Other crime,,
3120faee93b1fd29d57aa5e6b8eb5e75be7d035bff16fe1b91ae9074bf62f011,2011-06,North Yorkshire Police,North Yorkshire Police,-2.534881,54.119356,On or near Harley Close,E01027558,Craven 001A,Other crime,,
b2954f1584dd1d1e2b63884f686ab8637473056b6fc13fbc6fce14c12f0cc4ae,2011-06,North Yorkshire Police,North Yorkshire Police,-2.501496,54.117900,On or near Pye Busk Close,E01027558,Craven 001A,Other crime,,
a83d9fc93131946dc4c42d64eba67459359ffe9dc6fd8e7db2af549cebfde686,2011-06,North Yorkshire Police,North Yorkshire Police,-2.534881,54.119356,On or near Harley Close,E01027558,Craven 001A,Other crime,,
,2011-06,North Yorkshire Police,North Yorkshire Police,-2.519592,54.120160,On or near Moons Acre,E01027559,Craven 001B,Anti-social behaviour,,
,2011-06,North Yorkshire Police,North Yorkshire Police,-2.511486,54.119206,On or near Grasmere Drive,E01027559,Craven 001B,Anti-social behaviour,,
,2011-06,North Yorkshire Police,North Yorkshire Police,-2.509585,54.121380,On or near Lakeber Drive,E01027559,Craven 001B,Anti-social behaviour,,
,2011-06,North Yorkshire Police,North Yorkshire Police,-2.515074,54.118580,On or near Main Street,E01027559,Craven 001B,Anti-social behaviour,,
933e5fc9958825c2d9dabd3b206175373905d9923bb419f7e6e4b79bcec1a8d6,2011-06,North Yorkshire Police,North Yorkshire Police,-2.511486,54.119206,On or near Grasmere Drive,E01027559,Craven 001B,Violent crime,,
ee5a76afe869cff3eec561fd8a9fa1ea7582e343089c776deba35f258a02d764,2011-06,North Yorkshire Police,North Yorkshire Police,-2.511486,54.119206,On or near Grasmere Drive,E01027559,Craven 001B,Other crime,,
78342b7205e7aa1fdc3b1a2db4eaeaa575d85aeff853ad6e6c98f38026c0bd30,2011-06,North Yorkshire Police,North Yorkshire Police,-2.510156,54.115536,On or near Station Road,E01027559,Craven 001B,Other crime,,
9f25123465e8408af51221b13272abafaeee22451ecd827ef7111eb95170be03,2011-06,North Yorkshire Police,North Yorkshire Police,-2.393684,54.116000,On or near Station Road,E01027569,Craven 001C,Burglary,,
898fe7f93af533e3d5f62f19b7f2b272f21570d8025527f9135a507f9befd228,2011-06,North Yorkshire Police,North Yorkshire Police,-2.357697,54.109911,On or near Pant Lane,E01027569,Craven 001C,Burglary,,
f7092a1d7d66181400b13c7b8a19305d6fa57135f5ad43469ff14535ca7b2259,2011-06,North Yorkshire Police,North Yorkshire Police,-2.393315,54.115858,On or near The Green,E01027569,Craven 001C,Other crime,,
9693c66309876e2a9f50c09ff45284f7559cabc325c416c949063af5f14b40c0,2011-06,North Yorkshire Police,North Yorkshire Police,-2.393315,54.115858,On or near The Green,E01027569,Craven 001C,Other crime,,
da57674938b9ba54f80820a66b775620f64f0a0fe53e245ff3bb714a3ae2b94d,2011-06,North Yorkshire Police,North Yorkshire Police,-2.357697,54.109911,On or near Pant Lane,E01027569,Craven 001C,Other crime,,
,2011-06,North Yorkshire Police,North Yorkshire Police,-2.470729,54.152851,On or near Bank Bottom,E01027570,Craven 001D,Anti-social behaviour,,
,2011-06,North Yorkshire Police,North Yorkshire Police,-2.470158,54.148396,On or near Croft Close,E01027570,Craven 001D,Anti-social behaviour,,
,2011-06,North Yorkshire Police,North Yorkshire Police,-2.466935,54.154547,On or near The Square,E01027570,Craven 001D,Anti-social behaviour,,
