Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
1c44f3ad85471785cc67b3aca81b5718316670c9d27433e020e362b7f7fb2635,2012-02,Dyfed-Powys Police,Dyfed-Powys Police,-4.163588,51.682051,On or near CHURCH STREET,W01000654,Carmarthenshire 023B,Offender fined
de624dd85265817912ba8956e872b3cb5a69da91da01a4d65fbd549f0c064ced,2012-02,Dyfed-Powys Police,Dyfed-Powys Police,-4.165632,51.784502,On or near GRUGOS AVENUE,W01000716,Carmarthenshire 016D,Offender given community sentence
f9795fdc9c1de002003d71c9e55a68f835a0e15ff21ea44cde20beaf355fbe2c,2012-02,Dyfed-Powys Police,Dyfed-Powys Police,-4.299133,51.860409,On or near PRIORY STREET,W01000641,Carmarthenshire 008A,Offender given community sentence
fd603de781bc35d88f3972c25c1354f6449bb9ec2ac01c4dac66323e82d0718f,2012-02,Dyfed-Powys Police,Dyfed-Powys Police,-3.321828,52.509472,On or near PINE CLOSE,W01000479,Powys 009B,Offender given community sentence
323624cf574ff90bc2072f088cef8e1ba038e902d4c1c864200cefb54a0ffab1,2012-02,Dyfed-Powys Police,Dyfed-Powys Police,-4.467875,52.039029,On or near CHURCH LANE,W01000646,Carmarthenshire 003A,Offender fined
60ae60853ca2be9bdfbd91d43ee7b5d6648d3c9b3b3e9618672f576d263ad533,2012-02,Dyfed-Powys Police,Dyfed-Powys Police,-4.077959,51.793989,On or near HEOL STANLLYD,W01000697,Carmarthenshire 015A,Offender fined
f9795fdc9c1de002003d71c9e55a68f835a0e15ff21ea44cde20beaf355fbe2c,2012-02,Dyfed-Powys Police,Dyfed-Powys Police,-4.299133,51.860409,On or near PRIORY STREET,W01000641,Carmarthenshire 008A,Offender given community sentence
08d608186311c9dc8efa2f01cd73b2b608388273bf935a4447af72008415f522,2012-02,Dyfed-Powys Police,Dyfed-Powys Police,-4.364705,52.212478,On or near PENWIG FIELDS,W01000544,Ceredigion 007C,Offender fined
0c3558861721e97d95b13b79b32fae908befed3a0827f3fdb290e12ab629fc2d,2012-02,Dyfed-Powys Police,Dyfed-Powys Police,-4.659193,52.083434,On or near PRIORY STREET,W01000510,Ceredigion 009D,Offender fined
b29a2afd1af76d8cca928b00eb8f037864a1556fc7e62ca0d7e2901bef2ec787,2012-02,Dyfed-Powys Police,Dyfed-Powys Police,-4.970195,51.801470,On or near HIGH STREET,W01000568,Pembrokeshire 005A,Offender otherwise dealt with
b2393b85d9d86db2a2ce17f81d4f41f31fd66ea5ba116c9b30564683fd8437f1,2012-02,Dyfed-Powys Police,Dyfed-Powys Police,-3.379596,52.241534,On or near Supermarket,W01000454,Powys 013A,Offender fined
1c73b04c12504390e0dc5531e08be8e86a65311c54269ab47018fb0e71d1286a,2012-02,Dyfed-Powys Police,Dyfed-Powys Police,-4.298429,51.864847,On or near MAES-LLEWELYN,W01000638,Carmarthenshire 007B,Offender given conditional discharge
ccf8a5c3e1b9b24138093c8a0526c18820429f2c355abc14134757f2da6b26df,2012-02,Dyfed-Powys Police,Dyfed-Powys Police,-4.299062,51.863018,On or near BELVEDERE AVENUE,W01000638,Carmarthenshire 007B,Offender sent to prison
687705e1c9ea8ebf15c16a9eea9e1f80709cfb5ff96c16cce61d9e359f67a148,2012-02,Dyfed-Powys Police,Dyfed-Powys Police,-4.308212,51.855618,On or near BLUE STREET,W01000641,Carmarthenshire 008A,Offender fined
13bc2af9373d3dba6329f9ed23889f2ca27da4838cec8db974cb405026239c10,2012-02,Dyfed-Powys Police,Dyfed-Powys Police,-4.124442,51.681102,On or near MOR-AWEL,W01000708,Carmarthenshire 025E,Offender fined
9be0f8793ac0ab5533cce641a9b31c952a758039ee7e0233dd2102a63b50d77e,2012-02,Dyfed-Powys Police,Dyfed-Powys Police,-3.150070,52.661341,On or near Supermarket,W01000501,Powys 003D,Offender given community sentence
