Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a23410ba9b2d75683345b771a3c347e5a520377ea5f81995e5b9f9c1dc14eae3,2012-03,Bedfordshire Police,Bedfordshire Police,-0.423014,51.879133,On or near CARDIFF ROAD,E01015794,Luton 018F,Offender given conditional discharge
3b86a569a9eb1e2c42508c690fe224e818b9c68dc26aade297bbfa1f215e7420,2012-03,Bedfordshire Police,Bedfordshire Police,-0.444845,51.921378,On or near KERSHAW CLOSE,E01015709,Luton 001D,Offender given community sentence
47d910933596446e2f34ff8ae89badac250436537ccd9c931ae31360272d36aa,2012-03,Bedfordshire Police,Bedfordshire Police,-0.454289,51.904266,On or near MOSTYN ROAD,E01015765,Luton 006B,Offender sent to prison
4cbce910fd7b8d94a51ac1416a2fd6835d8216dc19949795cb6a332c4066f073,2012-03,Bedfordshire Police,Bedfordshire Police,-0.414641,51.877204,On or near FLOWERS WAY,E01015791,Luton 021C,Offender fined
b1b3decebff1196b234daf38e838cb2cd210980db9d08e924421e6a013f30493,2012-03,Bedfordshire Police,Bedfordshire Police,-0.468277,52.136671,On or near Shopping Area,E01017469,Bedford 012D,Offender fined
8078928940a9edc1551830fa098cef03fa3038a0030f15e95516c5c4b073ebae,2012-03,Bedfordshire Police,Bedfordshire Police,-0.473275,52.136637,On or near PRIORY STREET,E01017466,Bedford 012A,Offender fined
29c7f6c01e4b68815ab8845e47d63323197d6d57905327fc4d36001a8002d630,2012-03,Bedfordshire Police,Bedfordshire Police,-0.410801,51.877341,On or near Supermarket,E01015789,Luton 018E,Offender given conditional discharge
9b954baa8e5e9b7d0e2df6f8f9c33505b9d931e2f73b20d23e504385fb3ed599,2012-03,Bedfordshire Police,Bedfordshire Police,-0.413942,51.878903,On or near Shopping Area,E01015794,Luton 018F,Offender sent to prison
3fdbf0a19d520cb16988f2e1a5569509fe59235ed1602f85418a6377cb5910fc,2012-03,Bedfordshire Police,Bedfordshire Police,-0.522952,51.886274,On or near Parking Area,E01017568,Central Bedfordshire 029C,Offender otherwise dealt with
fef84a6b7a8e741f5f6e4a5502fe6499ba788138f76d379f43e5c2f0e0df0533,2012-03,Bedfordshire Police,Bedfordshire Police,-0.469508,52.135707,On or near Parking Area,E01017466,Bedford 012A,Offender given conditional discharge
8ef1caadf968c944cc97ac51d1b548bea5702fe42cb1744323cbc3adf22a5585,2012-03,Bedfordshire Police,Bedfordshire Police,-0.507716,51.887404,On or near LUTON ROAD,E01017584,Central Bedfordshire 027C,Offender fined
