Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f6fd7697ce4e29793653e2710a7acc6e2da77de3d7bad63a8be32066803a0f7b,2012-03,Lincolnshire Police,Lincolnshire Police,-0.746891,53.390401,On or near Petrol Station,E01026375,West Lindsey 006B,Offender sent to prison
31b3c688cec8fddfe800f5d26e68cd96762f5b9b6b68c855f80ed4427b1b43c0,2012-03,Lincolnshire Police,Lincolnshire Police,-0.152966,52.787135,On or near GORE LANE,E01026266,South Holland 006B,Offender given community sentence
3a246b33f492f2916584a21c4b77923726eb13a2a9d5f0029b516592753e9a6c,2012-03,Lincolnshire Police,Lincolnshire Police,-0.776030,53.400511,On or near Nightclub,E01026384,West Lindsey 004F,Offender fined
3aa29371cf6f69923de7c2b6d9a0c5aaf273f7f950080b1bfeb4b1595d8f32ba,2012-03,Lincolnshire Police,Lincolnshire Police,0.345759,53.149526,On or near Parking Area,E01026114,East Lindsey 014D,Offender sent to prison
ea3a5ea3236f953bf7cddf2ad8cf441b86af580e9ecb75498a6f4b058894b3b9,2012-03,Lincolnshire Police,Lincolnshire Police,0.170917,52.840632,On or near PIT LANE,E01026246,South Holland 002A,Offender given community sentence
7bd376f930415be611e8e452322024958e70dfc431e92b34cf67ab7aa69f6223,2012-03,Lincolnshire Police,Lincolnshire Police,-0.554432,53.220923,On or near ST MATHEWS CLOSE,E01026133,Lincoln 008A,Offender fined
d5518084f142ec255a61817a7a2661ba271f00717eb346f4137357a498167a50,2012-03,Lincolnshire Police,Lincolnshire Police,-0.007956,52.981732,On or near MARGARET DRIVE,E01026022,Boston 008C,Court case unable to proceed
799b4bbf34985278498efe66351f9d0f8cd4adf26d736c6af48c780cb1ef54af,2012-03,Lincolnshire Police,Lincolnshire Police,-0.551909,53.250414,On or near BUCHANAN STREET,E01026149,Lincoln 001A,Offender sent to prison
a3cc05b4835912387ea18f99523163fadab7e007467ba709234bae681ec9ddae,2012-03,Lincolnshire Police,Lincolnshire Police,0.252575,53.337632,On or near PARKLANDS,E01026072,East Lindsey 005A,Offender given community sentence
1889aeb33784915f1df6f866185bb1fd3246e5e78761994ed32cb80124d7b11e,2012-03,Lincolnshire Police,Lincolnshire Police,-0.150063,52.788429,On or near Further/Higher Educational Building,E01032995,South Holland 006F,Offender given community sentence
