Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
23b0680c4575b23238ec8162123b105517000d71330fdb4c06c697198aeb5874,2012-03,Sussex Police,Sussex Police,0.016883,50.877756,On or near BROOKS ROAD,E01021034,Lewes 003B,Offender given community sentence
8fa6069c5df0da142da06a177066e2e50234cc25d11615a105b94d12c5e7cd43,2012-03,Sussex Police,Sussex Police,-0.213879,50.834004,On or near VALE GARDENS,E01016975,Brighton and Hove 021B,Offender given conditional discharge
f636a769d5db7132410c4e89692e6c44104c8156265abc723a8c8af69d6db0e1,2012-03,Sussex Police,Sussex Police,-0.250240,50.841093,On or near Supermarket,E01031370,Adur 001E,Offender given community sentence
359151096740352a12413c55a146e14ee92e191c83e9ddcf2bb3dbd90085e78f,2012-03,Sussex Police,Sussex Police,-0.194229,50.845285,On or near Supermarket,E01016886,Brighton and Hove 006E,Offender given community sentence
b2353458fc59b326dff2363aaa9a1e6ff562ed13bffc13845fa6bbc11262f170,2012-03,Sussex Police,Sussex Police,-0.002259,50.881890,On or near HORSFIELD ROAD,E01021037,Lewes 003E,Offender given community sentence
35aaca9c66dca510bab7292beee285fb64d361ebf2bc2aaca122623cad2e33f2,2012-03,Sussex Police,Sussex Police,-0.319639,51.065709,On or near Parking Area,E01031656,Horsham 006D,Offender fined
044c8c645273d295816927aa0c2484a3846d4313b5fdf81dab789c168d676600,2012-03,Sussex Police,Sussex Police,-0.136716,50.832734,On or near Theatre/Concert Hall,E01016964,Brighton and Hove 027C,Offender given community sentence
9290211424971a4e53c6342b513d398abdc5f7ebc25f31474674083f98b237b2,2012-03,Sussex Police,Sussex Police,-0.368584,50.812150,On or near ANN STREET,E01031789,Worthing 011C,Offender given suspended prison sentence
d846ba5d7553765feca1cf81fcdbd98c8f2323644542f8c655b32deae5ffcf1a,2012-03,Sussex Police,Sussex Police,-0.127523,50.819007,On or near MARINE GARDENS,E01016944,Brighton and Hove 031E,Offender fined
7f463840543d7cc6631d8b2ea8aa6cf221ddfbb2b7872254b5eab602083d5a41,2012-03,Sussex Police,Sussex Police,0.552981,50.851113,On or near UNDERCLIFF,E01020998,Hastings 010B,Offender sent to prison
5f21f88e49874066fe58976cb9d18c6e3cc71d6c9be4e7e08aa0e10f55aa3159,2012-03,Sussex Police,Sussex Police,-0.418270,50.819579,On or near GRENVILLE CLOSE,E01031783,Worthing 006A,Offender sent to prison
54ac4d7e7d96c6489e632be6bb5a70e7bb3d0e23493a9e19ca7bc9631e4979a5,2012-03,Sussex Police,Sussex Police,-0.276192,50.895754,On or near HILLSIDE LANE,E01031617,Horsham 016B,Defendant found not guilty
03f749e326a9991e40b58d209307805c21a473d320dde87e6a792240ef335038,2012-03,Sussex Police,Sussex Police,-0.183467,50.833085,On or near PORTLAND ROAD,E01016991,Brighton and Hove 016C,Offender sent to prison
221fc6c22fa9512d1c189bfa6428fe0ee392e8f8aa773797d8b9b9316111c18d,2012-03,Sussex Police,Sussex Police,0.553719,50.867224,On or near PONSWOOD ROAD,E01021021,Hastings 006E,Offender sent to prison
bcb911072207a4ed6c861c8e920e54ff7df8066645cd0e592782455ce67607bb,2012-03,Sussex Police,Sussex Police,-0.170792,51.113152,On or near BEVERLEY MEWS,E01032836,Crawley 004G,Offender fined
f109cbee8037cf2f070d723b6121143821519941cad0a1aa90143fb5472ef7e8,2012-03,Sussex Police,Sussex Police,-0.153193,51.107353,On or near Supermarket,E01031580,Crawley 008B,Offender fined
1072f9a10303238a0b3b5b14859e35d17f2f89ef947519843c08e945d8b12cc0,2012-03,Sussex Police,Sussex Police,0.552981,50.851113,On or near UNDERCLIFF,E01020998,Hastings 010B,Offender sent to prison
3020bba32ab08947e9c55c48f416d8a3b46abc836fbc24180377fed1a691e233,2012-03,Sussex Police,Sussex Police,-0.181502,51.102006,On or near Supermarket,E01031604,Crawley 011B,Offender fined
53ebebf3677c5585f615a4b1230b4e07422e26a8a48d8707524eba4d068ea9be,2012-03,Sussex Police,Sussex Police,-0.770657,50.736907,On or near NEWFIELD ROAD,E01031524,Chichester 014C,Offender given community sentence
5e305a1676e8d999a73a1897b4587e20e3af0c41d71bb7933da8da6c3732d312,2012-03,Sussex Police,Sussex Police,0.016883,50.877756,On or near BROOKS ROAD,E01021034,Lewes 003B,Offender sent to prison
e09d23fc8ded2a6dfcc9558776d353464e10aaf8fba5e4f8b60624cef1128ee0,2012-03,Sussex Police,Sussex Police,0.161960,51.059842,On or near HIGH STREET,E01021160,Wealden 004B,Defendant found not guilty
c3f1059551615d11d493fac17680e925f17390e75e724abbc065b40df44eedeb,2012-03,Sussex Police,Sussex Police,0.351832,50.812836,On or near SEA ROAD,E01021211,Wealden 020F,Offender fined
2a557038c1c1d91a02e2317e6fa3d68fe5c92b28d64110df64c1b8a8c95f761b,2012-03,Sussex Police,Sussex Police,-0.105361,50.813757,On or near Parking Area,E01016957,Brighton and Hove 032C,Offender given conditional discharge
