Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c81f8571b19db46fba9e115e0257f42f1628cf187ffd7b040be9a3128d63f05c,2012-04,Dorset Police,Dorset Police,-1.856432,50.730391,On or near LOWTHER GARDENS,E01015288,Bournemouth 021B,Investigation complete; no suspect identified
c05aa656eb523ce7e779935d3a7e6b7ac6e2525e3584355239e30587299299d8,2012-04,Dorset Police,Dorset Police,-2.482720,50.612842,On or near STAINFORTH CLOSE,E01020516,West Dorset 012E,Investigation complete; no suspect identified
e331d3c30b8436087f4137e7fc8286b7dce3238b2905a3138d4652556960a285,2012-04,Dorset Police,Dorset Police,-2.468730,50.638646,On or near BLENHEIM ROAD,E01020579,Weymouth and Portland 003D,Offender given a caution
7a9b55a546f4ea3a153c0a2f0288d12e1931e735fb0894678b30044bf7a27bd6,2012-04,Dorset Police,Dorset Police,-2.763424,50.737313,On or near FULBROOKS LANE,E01020500,West Dorset 006C,Investigation complete; no suspect identified
52ca2fb1f6b8cdcb5b991eb63c30ae3d248ba1a6ca1e94bfe6a5aabd578918b2,2012-04,Dorset Police,Dorset Police,-2.754173,50.726033,On or near MAPLE GARDENS,E01020504,West Dorset 008C,Offender given a caution
7b54711b8f7465ed4174c93306f7859a07bab47edaa4a577f4098136d9cf9b85,2012-04,Dorset Police,Dorset Police,-2.452456,50.625707,On or near COOMBE AVENUE,E01020560,Weymouth and Portland 002D,Suspect charged
e1d04b6cb2027892ed6fba9f69a0300c1cc2422d2d7db806d268d7f7c9960298,2012-04,Dorset Police,Dorset Police,-1.879752,50.719977,On or near GERVIS PLACE,E01015283,Bournemouth 017A,Investigation complete; no suspect identified
17f43702f6bd655b19d2af42aa493e40858a172de7353ede83c51b65dd531147,2012-04,Dorset Police,Dorset Police,-1.856491,50.734186,On or near CAPSTONE ROAD,E01015327,Bournemouth 015D,Investigation complete; no suspect identified
127f1e8845bce4684c520475a5d587a40b7c437560ef6d20d49726355ac761d5,2012-04,Dorset Police,Dorset Police,-1.900712,50.755905,On or near Hospital,E01015336,Bournemouth 007B,Offender given a drugs possession warning
fecdc0f7a74e151c6fc6f3c39177a0d574b6c27c40849365241f483f4269f283,2012-04,Dorset Police,Dorset Police,-1.934747,50.737584,On or near CHURCHILL ROAD,E01015444,Poole 008F,Investigation complete; no suspect identified
7aee080c3ef227a769564c70b42aca321bfebdc23fb9e0ab113452d2b9ce74af,2012-04,Dorset Police,Dorset Police,-1.841158,50.726154,On or near CHRISTCHURCH ROAD,E01015282,Bournemouth 019E,Suspect charged
e3503a45d7e65862e61468fa8e162b57216c78d1e0d9efa9f115ba7569a04740,2012-04,Dorset Police,Dorset Police,-1.862325,50.721190,On or near WESTON DRIVE,E01015285,Bournemouth 021A,Suspect charged
2b5341db1b65024ac10a0efe48f1a49ffd344708c8a6bc12f21590881dc4ba1a,2012-04,Dorset Police,Dorset Police,-1.861518,50.725919,On or near Nightclub,E01015290,Bournemouth 021D,Investigation complete; no suspect identified
a743ce7d45e10fbc52a97aabc8b5e4268ad8348637d100a69f9d4340ed418b8f,2012-04,Dorset Police,Dorset Police,-2.766350,50.729929,On or near JOURNEYS END,E01020502,West Dorset 008A,Investigation complete; no suspect identified
fc14382712907aba7e2a5a8707565df45a053d07c3ab9d744a9a510a6f6d1546,2012-04,Dorset Police,Dorset Police,-1.861791,50.719688,On or near GROVE ROAD,E01015291,Bournemouth 021E,Investigation complete; no suspect identified
8d02514f474274ec13ab73aee1a3cfe460d9f09efbec29dbf34a2f17a3cea194,2012-04,Dorset Police,Dorset Police,-1.851430,50.730565,On or near CLEVELAND ROAD,E01015294,Bournemouth 015C,Investigation complete; no suspect identified
