Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b009416335fa04e0e6d91dfd345e3c303e92da48b94218c7fe170807586e810e,2012-04,Northamptonshire Police,Northamptonshire Police,-0.711287,52.401938,On or near LILFORD PLACE,E01027127,Kettering 005D,Offender given a caution
a3eaf6630c59f6bade0629f7370842613600ee1a8d55ef63122c97a3ff7ce6f7,2012-04,Northamptonshire Police,Northamptonshire Police,-0.710217,52.503583,On or near TYNE ROAD,E01026983,Corby 002F,Investigation complete; no suspect identified
c8ae23308c9d27515a93e68e9af01f1c349824ba7d5b1bf91432c9aded41ed30,2012-04,Northamptonshire Police,Northamptonshire Police,-0.607801,52.289422,On or near LYDIA COURT,E01027073,East Northamptonshire 008F,Investigation complete; no suspect identified
1a8a43fc571168f2022842dfe0e2385fc52b2aa90ccc1f5ee4703333ab9387c2,2012-04,Northamptonshire Police,Northamptonshire Police,-0.913369,52.215560,On or near Petrol Station,E01027162,Northampton 030A,Investigation complete; no suspect identified
2d6e5de45742e17a6b3a2d5324053ff74ebc6ea06c431639538c2aa15c30f545,2012-04,Northamptonshire Police,Northamptonshire Police,-0.857527,52.253235,On or near THE MEADOW,E01027180,Northampton 010B,Investigation complete; no suspect identified
f389f5336a596acddabdd4d21364b9629d143de5e54874e23f8335e86dfc1619,2012-04,Northamptonshire Police,Northamptonshire Police,-0.896417,52.236882,On or near GEORGE ROW,E01027223,Northampton 025A,Investigation complete; no suspect identified
5248b7d69c49d50408eb5eec327e447f63a9a93960d8b3a28838f3d1a51a730a,2012-04,Northamptonshire Police,Northamptonshire Police,-0.887550,52.240701,On or near KETTERING GARDENS,E01027228,Northampton 023D,Investigation complete; no suspect identified
c5d35ab17aeefb73be0a4cfc04f6cc858ad6f9ebb13cddadc08843687122aa53,2012-04,Northamptonshire Police,Northamptonshire Police,-1.273393,52.073738,On or near HIGH STREET,E01027291,South Northamptonshire 006A,Investigation complete; no suspect identified
5c817df9062d3f1988ae8133a36d54c98f69eb31ce132fbc678a75f3e293538e,2012-04,Northamptonshire Police,Northamptonshire Police,-0.684981,52.490206,On or near HIGH STREET,E01026957,Corby 003A,Investigation complete; no suspect identified
1547dfd8539f3c1a354a4f97f5f5f90c322c1401c0fdb60ee5c97eb90457fa65,2012-04,Northamptonshire Police,Northamptonshire Police,-0.900180,52.386674,On or near DRAUGHTON ROAD,E01027002,Daventry 002C,Investigation complete; no suspect identified
0b9516650a55815b4f8362039df6f10c3dda2e459a8207da3f026387cbcc0a8c,2012-04,Northamptonshire Police,Northamptonshire Police,-0.716751,52.407662,On or near LAUREL ROAD,E01027082,Kettering 005B,Investigation complete; no suspect identified
592e80808cf4449bab9b085a19ee26980d932ef9ae9c1f41da0435a5ba3b89e6,2012-04,Northamptonshire Police,Northamptonshire Police,-0.733543,52.396757,On or near Petrol Station,E01027110,Kettering 007B,Investigation complete; no suspect identified
