Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
fa162393cccc2a5c7c5f448614857e331bf965de01348d44eb1e7c9b25179d67,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-3.569372,50.452725,On or near MERRYLAND CLOSE,E01015230,Torbay 011F,Investigation complete; no suspect identified
cfe56daa661586f998e615a20bd9b0b986e33db0eb89dbd5156905fb62c2c05f,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-5.067832,50.146148,On or near GYLLYNGVASE HILL,E01018805,Cornwall 063C,Investigation complete; no suspect identified
6288005983163b9e2715cd51718e9aa21ccc69dbf525c996a32ec84ef854ec57,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-4.168628,50.391172,On or near BRIARDALE ROAD,E01015080,Plymouth 013D,Investigation complete; no suspect identified
bc40085473b899c5286ea88db717e2604e112fe54829a914752a264a40360067,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-3.483433,50.728773,On or near HILL BARTON LANE,E01020039,Exeter 007D,Investigation complete; no suspect identified
935ae572b50f013edb23fbaa82162be95f7e77df19a9fbe6b7da9672c743f4a2,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-3.565143,50.435145,On or near VICTORIA STREET,E01015232,Torbay 014C,Suspect charged
c27e184f313bc0c4e77cd9bef74fae9f1441be3b2c119d1ea64c331b77f56fdc,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-4.830790,50.409117,On or near OLD LANE,E01019053,Cornwall 024B,Investigation complete; no suspect identified
3c4c6774529c08e687bd8892919ff37fcf957ad948292d30ea73d0fae50e2887,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-4.120426,50.389272,On or near BYLAND ROAD,E01015038,Plymouth 016D,Local resolution
b5ec4f5b70d84ba90d4c84dc7a9c2a4f410494c7d4abd912873a9264982d30a8,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-3.474005,50.579037,On or near WEST CLIFF ROAD,E01020234,Teignbridge 006C,Investigation complete; no suspect identified
62807d4188e3cf440db9cbf5e89d3a9faf268e239656d2b4d0d33cbb2ce9f037,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
29d9d23ed95fbf72f494c2432cb9e53ea2ae8cb3e78d78f6056410428cdb8dd6,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Local resolution
f5b14c82db5a751949bd47dd942f4f41f3d7a3ee17cc0ed7c2cff21830d61683,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-4.129513,50.376667,On or near WOODLAND TERRACE LANE,E01015052,Plymouth 028A,Investigation complete; no suspect identified
c48cca3b92a9589ec061d50067293957c682dd68b28e49457147def661e95c48,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
aa53a8e612505f0bf0f502f5659d73a9a9f4f00bf7e428bd6aba75d6257555dc,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
4f7ba892026aa385ff624037291ab626ecb5886ccc934cc3956dd75243ea86e4,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
87ea83ae74119f2361f856cc14d3309e6a724043ab86d2172c28b6a813f9df28,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
0b6a249ebcbe1a6c982ca88f92fba0c6b65c65e22bee7a54243dc6524b4ecd5e,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Local resolution
55aa09d0ca5cd5b973d04c97a75fb481346cba480e681702f2265c057f1e062c,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Suspect charged
f2250257b1fa89afafadfc66fc1202ec66e3b575a386c93733b418b9912fa3f7,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
242ac129e40e1e2211362636f55832f05f4acaa4570ef8af22fd2a79f339d635,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-5.201974,50.215464,On or near LANNER SQUARE,E01018917,Cornwall 050B,Investigation complete; no suspect identified
9fbf9ae8d7314c7e516cd44fc6b5b38698e8b0f4f426081ecbeb373494932fc3,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Local resolution
044dc7bd0e4b79b664bbd2a7e39f67dded2193cbe0632ca34b78b115aa64e6ed,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender given a drugs possession warning
1b8d4a61c6e48ad2d3073d968c060b5a68d481dc812538f71a419edcecd950c9,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
78d7a7939a62f4b484249d29ce81d6dc5489486b366fcb16bc2f4a0c4453788c,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-3.525789,50.726293,On or near Supermarket,E01020022,Exeter 004E,Local resolution
4e61783e39d3424398d274658288b525373696e83eed4f5aa268b3e1da6e7fff,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
f72c2de2b12ce157947290b170f19c6df78193aba6fd86b4070d91ed2ea38c98,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-4.147043,50.371812,On or near MARKET AVENUE,E01015152,Plymouth 027C,Investigation complete; no suspect identified
f43f8ca48e9dc84ae2710e7131c2ff69d0b5baa0e2885315c823cd87adf29710,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-4.165751,50.381134,On or near Supermarket,E01015170,Plymouth 024B,Investigation complete; no suspect identified
77e7246cc5c5b70fde3aa8325e4d9735b72bfb4241aa2096dcded780bc719eb1,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
2589d0d6475ad53fd114268df9c401d8697d1170b5ea642cb92857dfbb117b49,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
72a7e0eac875a26b0c39102557f02a20e3535d567e6a8b7061d84c7a48225911,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-3.524976,50.462102,On or near Shopping Area,E01015256,Torbay 008C,Suspect charged
ecbe7747798f24ef583e4805f3fd88000298d81cd2f485853e690f387e46466f,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-5.081652,50.412929,On or near MARCUS HILL,E01019029,Cornwall 020B,Suspect charged
0cca5bf059b66013d358ad6b587b988a887fe195bb080ab6b80b8580ee64a346,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-3.497064,50.738572,On or near NORTHBROOK CLOSE,E01019991,Exeter 002B,Investigation complete; no suspect identified
deb8632efca1093deebe9feda7f1bb6de240822559671fa87d8b92637f451cde,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
e2c9583ff9d71a34c88d9c06c0c1ba0e249ebf47cc9965991893a5a4cf1211a0,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Suspect charged
480009db7786d1bff55e891a7c12d02fd35d50167547a3dc8d81c54b345795f4,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-4.158425,50.398845,On or near HAM LANE,E01015074,Plymouth 011A,Suspect charged
a5cd5d6712efd1a67c13d76ff11b285d14927413af8d779ce44ee04c4fc0b76d,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-4.114342,50.370468,On or near CAVENDISH ROAD,E01015180,Plymouth 028C,Investigation complete; no suspect identified
e920589541d2fb0aec1fa0c039175d6c5fb3913aee5575d9a941a4b65d1b104c,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-4.358771,50.634043,On or near PENWORTH CLOSE,E01018950,Cornwall 005E,Offender given penalty notice
476d93f61f105455b0c18e3c9564f14e8170fc82521a79bc3c74b13666075277,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-3.513689,50.730246,On or near BLACKBOY ROAD,E01020008,Exeter 006D,Investigation complete; no suspect identified
6be1811ff9a9ffa038920a6250c13f677e6b4276cfaa88f3450efd95fccccf42,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-3.526447,50.726032,On or near Supermarket,E01020022,Exeter 004E,Investigation complete; no suspect identified
5ce9822418a186366a1a275158fa71089ad3392847a5c5d7a9b4e14db4d03c0b,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Local resolution
a8260e307bd4500c08244d8ffbc5eeb0f7d2b24700e86544107f798331a434a0,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-3.547203,50.462762,On or near Supermarket,E01015209,Torbay 019A,Investigation complete; no suspect identified
2a8d7a3e85c2fe0cc2e89cdaeb8139e04d356739d708195cb75195d4426b220c,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
bc8f446cdd735c4ebf50b2fc3e6e1be758e00a37c84eac3ba1dd34890662dc4e,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
d2a18404a7e8e5a69687cdf9a5177f66ed41173a4f2ff0529557ca5b8c0efd64,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
e6a04704a31c6144685be693b70b23c13ed227e68696114747f1b0e43d4c6888,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
31717761350a25e33000667ecc116239620e34342604813f978d23b561fe9cd0,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
3f2ba117b0368390937813faee37197e4b1f25d589dd5e7206317763ca9de5ef,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
0a2a65eded5ebd9516e18b6cfbf841e77cd7b85849533bd5e536dd761d0e977f,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender given a drugs possession warning
08d7057b220bb015ee1403fd30367a49e8b83245c54b223f489ec9a7b855d30a,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
4978fd34a0dd7d965fc07aeef6b4fc684f64c46c3d4c0dd8b7f22329c235396c,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-5.249100,50.023093,On or near CLIFDEN CLOSE,E01018904,Cornwall 073D,Investigation complete; no suspect identified
04dd35619083f12d2e9a4e3863e1537f039450b9bc79758fb00e0b8f31e28ea6,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-3.530744,50.723557,On or near Shopping Area,E01020016,Exeter 008C,Offender given a caution
03f3b5a095bdb009edff7a534c5c1ae964f08a4bd9e6c226b6ee7d0dec15c3d0,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-3.495010,50.903479,On or near WELLBROOK STREET,E01020078,Mid Devon 005B,Investigation complete; no suspect identified
704e883e7a6ccb74f4b83ca2e66a6be4363dbcc080e827042b55a20d14fe63fd,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-3.942106,50.861317,On or near Sports/Recreation Area,E01020311,Torridge 007D,Suspect charged
83ee9e3e74b36012ce0b46c93d19fc803a78837d8ecaf481278728f516960ffc,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
05a8db95c147d471de6ab494e62d815aa78262814bd474e4313e1dd532143efc,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
ceba77b8594df6e30fa4087f1f85c339aeaf03573259a934682f2324f54b4ccc,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-4.147209,50.404125,On or near CONRAD ROAD,E01015070,Plymouth 007B,Investigation complete; no suspect identified
73b7933a582a3ca353ca6a600fc61ad51c9bb846b81713f71671d2edccd54554,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-4.150334,50.369637,On or near Nightclub,E01015155,Plymouth 029C,Local resolution
ead172fc94edc4824f089cde0b2cc6062c96e33632f0f9752d5fd3caec69275a,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Local resolution
e43107167c19cea95f2418143811c40bfa60612b47385794ca43b4dc0c833519,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-5.264845,50.124587,On or near Parking Area,E01018905,Cornwall 072C,Investigation complete; no suspect identified
3bff18aff149481a1e2ba252861124d2eaaddb526acedea3839f3772180daab0,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender given penalty notice
b8a06cbe169199d7509d371d01921b2808f636fb1e67987b71b4bccf0c68b933,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Suspect charged
18b1512e4c821e8b8b66914d873ec80775e8a340223a883bfce883842efa187a,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-4.043807,51.085729,On or near SILVERWOOD HEIGHTS,E01020141,North Devon 008D,Investigation complete; no suspect identified
d548f83594b83c48e6bd4312378b6e5183fd102740baee5d32f1e023c61fa183,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-3.495403,50.558951,On or near HIGHER WOODWAY CLOSE,E01020268,Teignbridge 008D,Investigation complete; no suspect identified
565f08e5b01f7c704d7a2c694fee3ae630584a16f735ca6b66f3efe951b881ad,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-4.151094,50.398549,On or near HOLMAN COURT,E01015077,Plymouth 011B,Investigation complete; no suspect identified
476ab251d8c8fd7fb7c788cd3d5bbd0fdd528bb03a23dba9d22ee86224813ee6,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-3.529167,50.390187,On or near RYDONS,E01015184,Torbay 017B,Investigation complete; no suspect identified
d65eac10151b3812dcfa7c00a3dadbd176fcaf12839db9e3ef51611a34d31756,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-3.505832,50.466641,On or near KENTS LANE,E01015269,Torbay 010C,Investigation complete; no suspect identified
578d7ae07289fe99042d8982896cc23e2342a0855521f7bb0051fa5069f95d96,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-4.234512,50.421315,On or near EDGCUMBE ROAD,E01018787,Cornwall 022B,Investigation complete; no suspect identified
0731990942d05fa0cc0dc296dff77845c4a4a9ab6c6ff8ea7a5d6948f5e5a4b8,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-5.086121,50.413898,On or near Nightclub,E01019029,Cornwall 020B,Offender given a caution
611a17bd88c1570b5cbee4ce8178a1adb413abd6bb5d22ab668a466a3e5f2a47,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-3.531518,50.699058,On or near CHESTNUT COURT,E01019968,Exeter 014A,Investigation complete; no suspect identified
557da06fab3478bff407b70fade5a8550900f1dac9bbaf5798461b06abdf1144,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-3.524439,50.726598,On or near Supermarket,E01019995,Exeter 008B,Local resolution
4795d07d77f590672fc958a759e449778203f864a621ee9d65ed90b488164cba,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-3.541155,50.717439,On or near Supermarket,E01020030,Exeter 010C,Investigation complete; no suspect identified
c35827064e7918143fc442a6c9de96f3fe1b9014b04807281b242f6bd487c7c2,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-4.122913,50.415652,On or near DERRIFORD PARK,E01015092,Plymouth 005C,Investigation complete; no suspect identified
844f0ae0201cb61ce3f8214ac757517896524bc8fc13bf78c8bcf8e34856691c,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-4.125997,50.378575,On or near QUEEN'S GATE,E01015178,Plymouth 025E,Offender given a drugs possession warning
3261709f38bdc8f7c935320347f884f97c1e0cb067884060dea14c1c4b5b4565,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-3.522661,50.461089,On or near Nightclub,E01015267,Torbay 010A,Investigation complete; no suspect identified
ead76c3520afb3ba9833c7f95d5326cdf7597dd260e305f9a74df579b3c174cf,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
e4af2a330be76802ce7cb54749ea9ef62f51b5a00aded6b1f359f2d7ca6d89e2,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
1f257d17bceeb55dfdb2e969d7841ed3f40a3fae5452e7ec5f33c0f98850ed54,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender given a caution
1f15cd59e29255ff5f7b3851f5a4f619014316198df673f69e265287c096e7e6,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Investigation complete; no suspect identified
bbabb39425bc1e83e5b443cf9023e958556117a64bdb9ef30f5a41434212f73d,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Suspect charged
247042874c414239eaecc4a900899095e6c59c66fc1b6567e5dcfc2f998c2adb,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,,,No location,,,Offender given penalty notice
df75e7fa308d5e39665e497921c952f5a6d059970cf78fe4e96115dd9b7c3dd3,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-5.556013,50.129529,On or near B3312,E01018976,Cornwall 067A,Suspect charged
b64c3bc779a0055d2fa7cbd2a75a2be80b095d86d996ba9bbf2cdfbf8816699f,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-5.042568,50.419230,On or near ALLDRITT CLOSE,E01019051,Cornwall 018D,Suspect charged
f86175df55e0000126c8f5d04a62943b80d679d5636d1bc82cb0c0b6bd3534e5,2012-05,Devon & Cornwall Police,Devon & Cornwall Police,-3.531215,50.718892,On or near Nightclub,E01020016,Exeter 008C,Investigation complete; no suspect identified
