Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f703e8b601d38285db6da25fcbdc62faa4abce01a4a681313e90cfa1c3a7108e,2012-05,Northamptonshire Police,Northamptonshire Police,-0.674271,52.260185,On or near PRIORY ROAD,E01027355,Wellingborough 010F,Investigation complete; no suspect identified
5c692a33e45f8556d6abb42e1c53fbd0ce20a3a165ec8a9596bc03d6c2ebc079,2012-05,Northamptonshire Police,Northamptonshire Police,-0.892767,52.056131,On or near HIGH VIEW,E01027281,South Northamptonshire 008C,Investigation complete; no suspect identified
5740ceb3e4f98042256d4d8de6d7ee5c9a49beb823bf01861add3aa7bb703ea9,2012-05,Northamptonshire Police,Northamptonshire Police,-0.713033,52.479816,On or near SOWER LEYS ROAD,E01026968,Corby 006G,Investigation complete; no suspect identified
57db91793e7173fce741cdbe73ae205c5353b76710d3fde4d1fb2c38a10437e4,2012-05,Northamptonshire Police,Northamptonshire Police,-0.616259,52.289962,On or near THE CRESCENT,E01027072,East Northamptonshire 008E,Investigation complete; no suspect identified
6c8d291e44a9e04598f3036446cf4e16f65c154c1bb375122a3959e3cf80535b,2012-05,Northamptonshire Police,Northamptonshire Police,-0.808272,52.418275,On or near EDINBURGH CLOSE,E01027124,Kettering 003B,Investigation complete; no suspect identified
fda06ed5996f07bdc4bbbf2a80218c00160e3f6978d3ff4616d75d71b720d8e2,2012-05,Northamptonshire Police,Northamptonshire Police,-0.723341,52.378468,On or near ORION WAY,E01027131,Kettering 009D,Investigation complete; no suspect identified
77f451c7695e3aaef008be374f29b04fc67419404426f759c4c435845723bbb4,2012-05,Northamptonshire Police,Northamptonshire Police,-0.894282,52.079252,On or near WATLING STREET,E01027307,South Northamptonshire 008D,Investigation complete; no suspect identified
58cc4f44d05acd65813a410c3bd374616206c1441d7e934b1053d8cc45009077,2012-05,Northamptonshire Police,Northamptonshire Police,-0.699146,52.305883,On or near BROAD GREEN,E01027332,Wellingborough 002C,Investigation complete; no suspect identified
49a81bda095bbeaca11676c40331ea8b1eb9faa496dfe774f016d02750828806,2012-05,Northamptonshire Police,Northamptonshire Police,-0.635641,52.279030,On or near EVELYN WAY,E01027337,Wellingborough 010C,Investigation complete; no suspect identified
626a5a20c609d2b50a49f86f232ac0c52b526c98537dc6f571a7da13f1d4ab82,2012-05,Northamptonshire Police,Northamptonshire Police,-0.585355,52.292159,On or near SLATERS CLOSE,E01027058,East Northamptonshire 009A,Investigation complete; no suspect identified
fb7805194fc720518e9f6b9d1380460d82b791df634fa97137a73b04d66b1181,2012-05,Northamptonshire Police,Northamptonshire Police,-0.606732,52.295470,On or near WOODLAND ROAD,E01027063,East Northamptonshire 008C,Investigation complete; no suspect identified
