Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f43aed7ceec00cbc48e24c16558f8adec73186e6e0ef9f132ba0ef27c6af4afa,2012-05,South Yorkshire Police,South Yorkshire Police,-1.151702,53.531176,On or near Petrol Station,E01007584,Doncaster 021A,Investigation complete; no suspect identified
7abbb334dc535bae89b9ff3220b5201c09c6856aeb5e3bc5773c4ad203062796,2012-05,South Yorkshire Police,South Yorkshire Police,-1.194557,53.475788,On or near MALLIN DRIVE,E01007549,Doncaster 034D,Investigation complete; no suspect identified
50dee121f05f0ff90595646f2dc010bc8c6d6fb32282411b9220f823f55236a2,2012-05,South Yorkshire Police,South Yorkshire Police,-1.449515,53.427068,On or near HOMESTEAD CLOSE,E01008060,Sheffield 010D,Investigation complete; no suspect identified
65cb1c9d8dd4d73d05ceb7107590c29983cb3db28584f87a2c91bd90a41a34d7,2012-05,South Yorkshire Police,South Yorkshire Police,-1.170678,53.438546,On or near HOLME HALL LANE,E01007613,Doncaster 033D,Investigation complete; no suspect identified
f03168c671b7fadfab501136a30414ff98f6a30c160d4ce9b504fc942fe3bfc3,2012-05,South Yorkshire Police,South Yorkshire Police,-1.472933,53.379498,On or near BACKFIELDS,E01033265,Sheffield 074C,Investigation complete; no suspect identified
55851dd607264ae6e48a6c9a2f1833f2aedd655309a926523d3410a333bbb47a,2012-05,South Yorkshire Police,South Yorkshire Police,-1.407510,53.566783,On or near BELMONT,E01007341,Barnsley 008A,Investigation complete; no suspect identified
bfb8079f90ab4d34a5bd218877951dffb3dd6adcf81317c69a37a8386f026e15,2012-05,South Yorkshire Police,South Yorkshire Police,-1.498984,53.580540,On or near TAY CLOSE,E01007362,Barnsley 004D,Investigation complete; no suspect identified
68231f1ed32bd31cb3781eb811a0ea2b474d7397385dd3c52902ced5b3171806,2012-05,South Yorkshire Police,South Yorkshire Police,-1.075323,53.514287,On or near EVERINGHAM ROAD,E01007525,Doncaster 024B,Investigation complete; no suspect identified
3a59caaccae158ade045396fad58d35e0f5ba89358ce52071b4e8faefb4820ff,2012-05,South Yorkshire Police,South Yorkshire Police,-1.181895,53.501922,On or near WARREN CLOSE,E01007552,Doncaster 033C,Investigation complete; no suspect identified
e49fa451b63887d5279fbc658f84cde02dd7b0bf9727b6fda45ab63f00f72134,2012-05,South Yorkshire Police,South Yorkshire Police,-1.082884,53.477698,On or near MCCONNEL CRESCENT,E01007593,Doncaster 037C,Investigation complete; no suspect identified
90d1e576eea743d2cb09360711acec8b0c0ee2a26af8408929f2b004ddfa7cac,2012-05,South Yorkshire Police,South Yorkshire Police,-0.953184,53.605406,On or near FOXHILL ROAD,E01007642,Doncaster 003G,Investigation complete; no suspect identified
dcf91e2aa87ad7fad1dcbdad452c1c3655735b6576283046f099a1a98ed98746,2012-05,South Yorkshire Police,South Yorkshire Police,-1.302951,53.446168,On or near WOOD STREET,E01007721,Rotherham 010C,Investigation complete; no suspect identified
bca7e64690e9e6eb971dd41e2cd82373d57d1aa10141ee865978b2e777866c82,2012-05,South Yorkshire Police,South Yorkshire Police,-1.304768,53.470484,On or near Parking Area,E01007772,Rotherham 006B,Investigation complete; no suspect identified
d5ac34bb7cd322eebbcdba887759cae6da2e8a515c116173dce8813c6b65cb24,2012-05,South Yorkshire Police,South Yorkshire Police,-1.376809,53.344815,On or near FARM VIEW GARDENS,E01008031,Sheffield 061A,Investigation complete; no suspect identified
85a48c20bfb449735d6c4fbc10813a6863fb30de9e451292c53ddce63541b4dc,2012-05,South Yorkshire Police,South Yorkshire Police,-1.503446,53.414684,On or near ESKDALE CLOSE,E01008089,Sheffield 017B,Investigation complete; no suspect identified
bcfb5925ca5fa0ac1291050ae527658b7c93d8d799c9e8e3025057818f8c585a,2012-05,South Yorkshire Police,South Yorkshire Police,-1.496770,53.411798,On or near HERRIES ROAD SOUTH,E01008091,Sheffield 017C,Investigation complete; no suspect identified
c7ca761dd01deeb34476a29b71d65096633b933f2e50edc897bd821fd07dece1,2012-05,South Yorkshire Police,South Yorkshire Police,-1.564775,53.505600,On or near CHURCHWAYS,E01007423,Barnsley 027C,Investigation complete; no suspect identified
