Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
3bbee937a2860c4f521f05c500a0f6a5625cc1edf2e3bbf94291a1ac01deed3d,2012-05,West Yorkshire Police,West Yorkshire Police,-1.818763,53.820337,On or near CROMWELL COURT,E01010587,Bradford 022B,Investigation complete; no suspect identified
3953d2f437976a95468755ec788e12bdc8440ee9fc4f990bb86a169cac615650,2012-05,West Yorkshire Police,West Yorkshire Police,-1.818525,53.801570,On or near LEY TOP LANE,E01010801,Bradford 036E,Investigation complete; no suspect identified
b6ce229a477667a3f4c1bc432c4972fe25de601bfa8f2f96682ea4e67c1dac41,2012-05,West Yorkshire Police,West Yorkshire Police,-1.621184,53.820838,On or near ST BENEDICTS DRIVE,E01011325,Leeds 046B,Investigation complete; no suspect identified
2a4796ad25474046df89aadfd6d80113e0083ef51255f9d81bbdf47826dd8027,2012-05,West Yorkshire Police,West Yorkshire Police,-1.903453,53.824174,On or near TURF COURT,E01010590,Bradford 031A,Investigation complete; no suspect identified
2c4d939557c0b07b4bd6d7529eb02078da094f8223007ce7610252566a976fb2,2012-05,West Yorkshire Police,West Yorkshire Police,-1.791523,53.698604,On or near OAKLANDS,E01010950,Calderdale 023C,Investigation complete; no suspect identified
30430673ce1f3a961d74dacd2b2e9b3847e79bcee636b7ea84a8d8d102ef0e5b,2012-05,West Yorkshire Police,West Yorkshire Police,-1.780692,53.646336,On or near CROSS CHURCH STREET,E01011107,Kirklees 029D,Investigation complete; no suspect identified
d1a135a6868d918814f526b3c8e5c87fecb8cd6f41f6cab052f7d847da18e7a1,2012-05,West Yorkshire Police,West Yorkshire Police,-1.828322,53.636581,On or near Petrol Station,E01011153,Kirklees 045C,Investigation complete; no suspect identified
9918a4f3fe89d0bba818aac24b0f83f8b49757eaac9223ade0ec93d7064e8065,2012-05,West Yorkshire Police,West Yorkshire Police,-1.756962,53.808714,On or near STATION ROAD,E01033693,Bradford 039J,Investigation complete; no suspect identified
113901a77ae0f42b1f1c8f3fadea5df363bf36bac995111ab2cb892978cd1eee,2012-05,West Yorkshire Police,West Yorkshire Police,-1.576032,53.827464,On or near MOOR PARK DRIVE,E01011692,Leeds 109D,Investigation complete; no suspect identified
d81a506b55b33bd9c7638cf5279bdc4e8b383fd5a02e06495667232263fc1c77,2012-05,West Yorkshire Police,West Yorkshire Police,-1.353796,53.715694,On or near QUARRY COURT,E01011749,Wakefield 005B,Investigation complete; no suspect identified
b95611b0172c6d426fdf63a5731b496090ac7f45d411dc556d7b1c6e93f80aa7,2012-05,West Yorkshire Police,West Yorkshire Police,-1.538560,53.797728,On or near GEORGE STREET,E01033010,Leeds 111B,Investigation complete; no suspect identified
a30a6f2bf87d9dac68ef2f433fed9d8d230e132b1f0a442334bcfea6093ee0d8,2012-05,West Yorkshire Police,West Yorkshire Police,-1.542659,53.794922,On or near Nightclub,E01033016,Leeds 111E,Investigation complete; no suspect identified
09864ac1d7fc21ca2a96d4da5482f6a5569785b885d3dae6a588e799eaba216d,2012-05,West Yorkshire Police,West Yorkshire Police,-1.819295,53.852164,On or near WARREN LANE,E01010582,Bradford 015C,Investigation complete; no suspect identified
e7d988c2bb9fc094120be23db24dab1ccd1ddd364a5c21c65d61ab3da7f01a7d,2012-05,West Yorkshire Police,West Yorkshire Police,-1.738604,53.781595,On or near TEVILLE COURT,E01010613,Bradford 045B,Investigation complete; no suspect identified
c794b2c47b9583ee3d38b5d8084d422c24268ce14d76eb8ee670032175ca1a58,2012-05,West Yorkshire Police,West Yorkshire Police,-1.810517,53.772643,On or near COOPER LANE,E01010761,Bradford 049G,Investigation complete; no suspect identified
525761efb257d9ab2747ca1ebe2f7b46fbbef4fcd67e4124024df556b504d2d9,2012-05,West Yorkshire Police,West Yorkshire Police,-1.793800,53.837068,On or near ALBERT ROAD,E01010784,Bradford 018C,Investigation complete; no suspect identified
f892ef38953624fd07f4a7ffd3706f63f0505d92b95168997bcb3af709d26238,2012-05,West Yorkshire Police,West Yorkshire Police,-1.690806,53.727041,On or near SHIRLEY PARADE,E01011242,Kirklees 004B,Investigation complete; no suspect identified
76189c4a361fabef47f2e4872d512e216efb5097d5d5310ece00b7c1152e319c,2012-05,West Yorkshire Police,West Yorkshire Police,-1.533158,53.823422,On or near GRANTON ROAD,E01011356,Leeds 042A,Investigation complete; no suspect identified
16a3fe3693d2587776efa5711fb04f88e11ac6eb764b805c750293e87ec3c381,2012-05,West Yorkshire Police,West Yorkshire Police,-1.532577,53.748603,On or near Supermarket,E01011490,Leeds 099A,Investigation complete; no suspect identified
