Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
4c2d5f759b97110e9e96b748475901a277f43307018859d16fb8bbd319d5ee84,2012-07,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
10efcb701697f896d967dd1b384abb33be3005c6643fa2a526c09effcffea8ec,2012-07,Kent Police,Kent Police,0.544586,51.376668,On or near TENNYSON ROAD,E01016048,Medway 016D,Investigation complete; no suspect identified
ed793b6967785d4a5b37b16f097bacd178924d639587f0cf5c6f4ab87cfb9aa5,2012-07,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
8e07f61607c047daaa7f909c369264f7b9201587d4e0cbae6c1caca36f0c94f1,2012-07,Kent Police,Kent Police,0.388762,51.432273,On or near OLD ROAD EAST,E01024311,Gravesham 007C,Investigation complete; no suspect identified
05a65936a4c927e42cdb7391ab07cf2991b695e6e6d62351a71cf6a6c07d9464,2012-07,Kent Police,Kent Police,0.725644,51.314008,On or near WINCH DRIVE,E01024631,Swale 013E,Investigation complete; no suspect identified
7cd693458bd0bb90d5dcc090dee248cfcb62af351b8465265c3c966daf22f685,2012-07,Kent Police,Kent Police,0.530931,51.379464,On or near Theatre/Concert Hall,E01016111,Medway 015E,Investigation complete; no suspect identified
6ec95a8cbd6a18146e32a51f3b4f76655458b173f7e2eb4b90f6a9051595ce42,2012-07,Kent Police,Kent Police,0.344365,51.435976,On or near PRESTON ROAD,E01024283,Gravesham 004D,Investigation complete; no suspect identified
7797e5e7042dc44f6b479666f722c7f8bdb6c77b47b175350a5f69595c3d29f7,2012-07,Kent Police,Kent Police,0.354936,51.443156,On or near CROSS ROAD,E01032800,Gravesham 002G,Investigation complete; no suspect identified
b2aeff30a084688d905ebbf33f3494e5950982d067e27ca9648eeaa0eb101ff0,2012-07,Kent Police,Kent Police,0.227176,51.456499,On or near Supermarket,E01024149,Dartford 001B,Investigation complete; no suspect identified
4a18b692e45f24a5d276271afa7facbf25d3a97acbcfd38cc4d6feef387ac71f,2012-07,Kent Police,Kent Police,0.544663,51.383745,On or near CANTERBURY STREET,E01016049,Medway 012D,Investigation complete; no suspect identified
4e997ee7799ee9db977201a9a6c47bd77fe0ac0e1d2c508280a474321de4c25e,2012-07,Kent Police,Kent Police,0.361227,51.417255,On or near Petrol Station,E01024316,Gravesham 009C,Investigation complete; no suspect identified
