Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
1beeae39116fd61ae503c96ffb10b13c4f1c632c6583bf6ba0c4aefe67aa44a2,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.200159,53.831748,On or near WENNING STREET,E01025189,Pendle 010B,Investigation complete; no suspect identified
e22e2cd575b47a6320385827b62c2029929801801182edf72f1bb82ef5ab3d9e,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.208645,53.836326,On or near NETHERFIELD ROAD,E01025218,Pendle 010E,Investigation complete; no suspect identified
c5f36586fec05924f7b2a00dd978649bc529ff1f47906dd431aafa0a6c62059b,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.212212,53.832437,On or near HARTLEY STREET,E01025224,Pendle 011A,Investigation complete; no suspect identified
3de6c3339372781689090e44e9a1404fcb32071a73568580675a1722ca62a944,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.220784,53.833051,On or near Petrol Station,E01025229,Pendle 011C,Investigation complete; no suspect identified
f5b0e000ff606cdb54e52e282348a61d5510413080cb16e37273cf01e0f288f4,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.221282,53.838092,On or near GORDON ROAD,E01025229,Pendle 011C,Investigation complete; no suspect identified
5ac6ba9d29b53871e33ec9c5c359b39689d17716a43795b8f49473e544090553,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.187938,53.840692,On or near SHELFIELD ROAD,E01025209,Pendle 012C,Investigation complete; no suspect identified
32e98953face1e5ee424c17797c0e37cd0904d59df4911b0a2e73c8017fc3690,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.192863,53.834420,On or near TRENT ROAD,E01025216,Pendle 012D,Investigation complete; no suspect identified
efe00d3bfbfed85065024af4c46df0e942d803881aef1297bf4b732cad894f9c,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.204326,53.835578,On or near LARCH STREET,E01025217,Pendle 010D,Investigation complete; no suspect identified
1c70870a3746f670b6593dcde5b190195afeed32f860eae5d603d707d2268890,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.208645,53.836326,On or near NETHERFIELD ROAD,E01025218,Pendle 010E,Investigation complete; no suspect identified
0990aa7397068184a80933fb4517a68a8cf4d04a8d7f2df64dc38a11905409b3,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.205208,53.838858,On or near LONSDALE STREET,E01025219,Pendle 010F,Investigation complete; no suspect identified
c7e7fa1aeccc6e844d26069f597c99ac458755c97bd5596efded6797c8fc3724,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.226442,53.831198,On or near KENSINGTON STREET,E01025229,Pendle 011C,Investigation complete; no suspect identified
ff73b9dea9f3e1fcf24eae8f75c892580b4277e1aeb34160fe271a83a465fb4f,2012-07,Lancashire Constabulary,Lancashire Constabulary,-2.218111,53.839032,On or near Supermarket,E01025230,Pendle 011D,Investigation complete; no suspect identified
