Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ac475bb589cacf46b05f2cfef6d3823bb72b2eac35ab0f4b0a27ec59a5875554,2012-07,Warwickshire Police,Warwickshire Police,,,No location,,,Offender given penalty notice
532e5ff4f0e239f573fd005b697ab6280b1f19bd9d95612d57007c00b50dcaa1,2012-07,Warwickshire Police,Warwickshire Police,-1.472374,52.481358,On or near OLD MEETING YARD,E01031064,Nuneaton and Bedworth 013C,Investigation complete; no suspect identified
5872116ce3dd54acd0dcebe3a3a0955a3b466806bb8d9b7e858985d9433ddac0,2012-07,Warwickshire Police,Warwickshire Police,-1.279735,52.361851,On or near BATHURST CLOSE,E01031177,Rugby 011F,Investigation complete; no suspect identified
feb61fcfbe235109dd14dd7f4856c1710d451e5cc1c28ae6b7dfd6b322e6038b,2012-07,Warwickshire Police,Warwickshire Police,-1.538384,52.582708,On or near LEICESTER CRESCENT,E01031012,North Warwickshire 003D,Offender given a caution
4d45014e5ceb60fcb239c47e264acb5c0cbe22d00480725ed1885f96e26ee055,2012-07,Warwickshire Police,Warwickshire Police,-1.616103,52.604597,On or near ROMAN WAY,E01031026,North Warwickshire 002C,Investigation complete; no suspect identified
3cd0446302a757ab71fa913577cf74528d0350c8e812e0a971631fc73286862a,2012-07,Warwickshire Police,Warwickshire Police,-1.744201,52.517588,On or near ORTON CLOSE,E01031041,North Warwickshire 006E,Investigation complete; no suspect identified
28dd1ff3a83882f3d15d7d52c6ad5f64a6f26f735a8973637b063ef92f5e4f5f,2012-07,Warwickshire Police,Warwickshire Police,-1.506368,52.519964,On or near CROSS STREET,E01031092,Nuneaton and Bedworth 007C,Offender given a caution
3a0b2b6c0ea7a40ffc673c0e960d5dc1c47f6a0053484dcec3703dcda6c5c565,2012-07,Warwickshire Police,Warwickshire Police,-1.468986,52.518112,On or near HAROLD STREET,E01031119,Nuneaton and Bedworth 009E,Investigation complete; no suspect identified
0f0e6ec7e6678ef842c98504627427e14fc91e53d04ee2923be46ed395b5543b,2012-07,Warwickshire Police,Warwickshire Police,-1.246771,52.373720,On or near WINDSOR STREET,E01031133,Rugby 005D,Offender given a drugs possession warning
c458cdb067ef27562432b3c61ca53fef739d264ae047c6e594e86c856fe38689,2012-07,Warwickshire Police,Warwickshire Police,-1.847225,52.167841,On or near LONGFORD CLOSE,E01031190,Stratford-on-Avon 012B,Investigation complete; no suspect identified
976a9a516c906c091a25c5c89609f2e4692c059f68274e08d5f2548c659bae9b,2012-07,Warwickshire Police,Warwickshire Police,-1.714449,52.202738,On or near Supermarket,E01031231,Stratford-on-Avon 009D,Investigation complete; no suspect identified
8f3c7557fe728d26725a9eb551e1ac78817e83365b4d7773aef87924e537adfd,2012-07,Warwickshire Police,Warwickshire Police,-1.517418,52.296550,On or near BLACK LANE,E01031271,Warwick 010A,Investigation complete; no suspect identified
ef0c60e7ab1a372639b494a21b74edd56903fda52e9b69f79db71f6848e50757,2012-07,Warwickshire Police,Warwickshire Police,-1.528576,52.298016,On or near WATHEN ROAD,E01031286,Warwick 007D,Suspect charged as part of another case
56238916d64e35ae9d07f2febfe76aa56d84e6db8ab45e40f1c1c18f112fb503,2012-07,Warwickshire Police,Warwickshire Police,-1.466106,52.371318,On or near SISKIN DRIVE,E01031308,Warwick 005G,Investigation complete; no suspect identified
4f8cb2875e429122dedcedffe4717bec484325fd80d206eb6a659a8c982c7e41,2012-07,Warwickshire Police,Warwickshire Police,-1.494950,52.515771,On or near ALBERT STREET,E01031061,Nuneaton and Bedworth 006E,Investigation complete; no suspect identified
8d6b6199f61da71eca26bea02c45985300626687148073d592bcf5c994a3a3df,2012-07,Warwickshire Police,Warwickshire Police,-1.501679,52.470598,On or near ROBINSON ROAD,E01031086,Nuneaton and Bedworth 016A,Investigation complete; no suspect identified
2a02bef30689fdb9be2b53d3d139a5ad8204a25649b68635672edf10c693f791,2012-07,Warwickshire Police,Warwickshire Police,-1.446876,52.511466,On or near AVEBURY CLOSE,E01031120,Nuneaton and Bedworth 011A,Investigation complete; no suspect identified
f0c24635f25047d2468906f82dff75e5fb3a02998b32f28f5e31190abf3aa75c,2012-07,Warwickshire Police,Warwickshire Police,-1.220598,52.382738,On or near Parking Area,E01031129,Rugby 001B,Investigation complete; no suspect identified
c426fe116ea12b3ef903f1312f5238cc343c5871ccec4ab2878ca5eb6ff17ce9,2012-07,Warwickshire Police,Warwickshire Police,-1.422691,52.392537,On or near MONKS ROAD,E01031152,Rugby 004B,Investigation complete; no suspect identified
6dc9189e194ce8bbc3cb5f1bcfe30e37bd2fcb16935b826d1bdfca5c9bf560a5,2012-07,Warwickshire Police,Warwickshire Police,-1.870235,52.214403,On or near HIGH STREET,E01031183,Stratford-on-Avon 006A,Investigation complete; no suspect identified
0e994058cccd4f261dc88514d0ed44e37cb67778ea80ab4865d7d2a441370166,2012-07,Warwickshire Police,Warwickshire Police,-1.309555,52.212222,On or near WELSH ROAD,E01031197,Stratford-on-Avon 005A,Investigation complete; no suspect identified
719e16063d4b2a8b4807018b0db3128953f45e58e6dd2505ab097c2df4f920e1,2012-07,Warwickshire Police,Warwickshire Police,-1.531985,52.288958,On or near Theatre/Concert Hall,E01031271,Warwick 010A,Investigation complete; no suspect identified
0a539bc25cd5ad927a8db403914453b86dbfb58218939c3ce46db213dbb40e94,2012-07,Warwickshire Police,Warwickshire Police,-1.275296,52.373754,On or near SANDY LANE,E01031170,Rugby 006D,Suspect charged
6a2ffd0d1327832d4b95377d29b06a01af07c7674bd6137da7ff7ffd01da6be8,2012-07,Warwickshire Police,Warwickshire Police,-1.470888,52.182191,On or near ST MARK'S CLOSE,E01031205,Stratford-on-Avon 013B,Investigation complete; no suspect identified
33adb08039ce08db23c0c120bd5290f5e22577adbde744a10f5c4340da00d12f,2012-07,Warwickshire Police,Warwickshire Police,-1.532561,52.291370,On or near KENILWORTH STREET,E01033253,Warwick 007H,Investigation complete; no suspect identified
010b14eec7976221a774807e924cd5c87b1f7085e0633dc440ab32be8b3ef9b6,2012-07,Warwickshire Police,Warwickshire Police,-1.739402,52.519304,On or near DIGBY CRESCENT,E01031042,North Warwickshire 006F,Investigation complete; no suspect identified
b4cdd33d02afacbba7c6a4fd6a07387267657b95d338f29d43c03f6f5e40eaf6,2012-07,Warwickshire Police,Warwickshire Police,-1.506330,52.515442,On or near ARBURY ROAD,E01031050,Nuneaton and Bedworth 008C,Investigation complete; no suspect identified
53cd92128ed8bd96e25f70cbb68e1b71a637b7701c415bff5af5dfd4513cee9d,2012-07,Warwickshire Police,Warwickshire Police,-1.419108,52.475094,On or near ELM TREE ROAD,E01031068,Nuneaton and Bedworth 014B,Investigation complete; no suspect identified
6bf0660fafbe0245b7e027c7aa1ac0f350a73fc9d4a195a6c73b79f29f57f294,2012-07,Warwickshire Police,Warwickshire Police,-1.502027,52.515460,On or near ARBURY ROAD,E01031092,Nuneaton and Bedworth 007C,Investigation complete; no suspect identified
3a9f5287fcf247f707d45760cfb71818d4ad9c462edc59f157145bde007e66f9,2012-07,Warwickshire Police,Warwickshire Police,-1.467292,52.504664,On or near DORLECOTE PLACE,E01031118,Nuneaton and Bedworth 009D,Investigation complete; no suspect identified
5c5f91b199422b60c71447c73396bf717ae8ea15994df92b107fed363323ae2a,2012-07,Warwickshire Police,Warwickshire Police,-1.263377,52.374139,On or near Supermarket,E01031173,Rugby 003C,Investigation complete; no suspect identified
fb3b2d693dc8a94cc356d9fff19a6c783e5b06b1d4788e688ef2d1dddd4c6cf8,2012-07,Warwickshire Police,Warwickshire Police,-1.605883,52.137479,On or near CHESTNUT GROVE,E01031196,Stratford-on-Avon 014A,Investigation complete; no suspect identified
81c5d6827e9359505584bf5334f6ef58add34aec6a9c2a14bfa473a1a29234f8,2012-07,Warwickshire Police,Warwickshire Police,-1.321874,52.245163,On or near COX'S LANE,E01031224,Stratford-on-Avon 004F,Investigation complete; no suspect identified
4f7c80ff783faf8aa2729fc6da74d543a145851e76df096892138c9bb32b6531,2012-07,Warwickshire Police,Warwickshire Police,-1.529947,52.290407,On or near WILLIAM STREET,E01031271,Warwick 010A,Investigation complete; no suspect identified
e5d4bfee5b08d5e63a141ddb8281bd6a526ba17ef698151fdc7353cbf05179a6,2012-07,Warwickshire Police,Warwickshire Police,-1.595255,52.279905,On or near BREAD AND MEAT CLOSE,E01031324,Warwick 011D,Investigation complete; no suspect identified
b598213b6b933ddf9cdb200861a3be610a8254b95be6d97bd92a3a99c9f38c92,2012-07,Warwickshire Police,Warwickshire Police,-1.549141,52.577149,On or near STATION STREET,E01031010,North Warwickshire 003B,Investigation complete; no suspect identified
ab7ba7303fdf353cbb6f39c1dcc136b994f4b04037dce80b02a3517fe4e554a1,2012-07,Warwickshire Police,Warwickshire Police,-1.480883,52.527766,On or near JAMES STREET,E01031044,Nuneaton and Bedworth 005B,Investigation complete; no suspect identified
4087a3b1cdf7cfd80ad7cf7f1be65a2488a24a1de73058546cdb0bdf1d027d45,2012-07,Warwickshire Police,Warwickshire Police,-1.483760,52.506203,On or near POPPY CLOSE,E01031050,Nuneaton and Bedworth 008C,Investigation complete; no suspect identified
d170069047298fae8c179efa99e598d51bad5df5e2bff96153b72410501e5c97,2012-07,Warwickshire Police,Warwickshire Police,-1.478116,52.516238,On or near Sports/Recreation Area,E01031059,Nuneaton and Bedworth 006C,Investigation complete; no suspect identified
6769c5ce2c5732eed1df36e037b23ac35895652bd8c65c75959b61df72cf3a6a,2012-07,Warwickshire Police,Warwickshire Police,-1.473609,52.481471,On or near Supermarket,E01031064,Nuneaton and Bedworth 013C,Investigation complete; no suspect identified
e4d420630a765f435f67ffd5eccf622f47939e7347f649ab146c93ee57345ca7,2012-07,Warwickshire Police,Warwickshire Police,-1.481046,52.473854,On or near RECTORY DRIVE,E01031080,Nuneaton and Bedworth 018D,Investigation complete; no suspect identified
1ee9af351942d632b00235651748ebbea1b1e7d0aa1d3dec298d66c642cf7899,2012-07,Warwickshire Police,Warwickshire Police,-1.265970,52.359492,On or near ROSEWOOD AVENUE,E01031146,Rugby 009D,Investigation complete; no suspect identified
28bc2e7523e752853b8dea4aa17c56587c85c1232398f4434864fcbbe0f084bc,2012-07,Warwickshire Police,Warwickshire Police,-1.260346,52.373599,On or near BANK STREET,E01031173,Rugby 003C,Investigation complete; no suspect identified
3ccceff416633753683510a735dfb034f8f96fccba58df0a976e9728a6b02097,2012-07,Warwickshire Police,Warwickshire Police,-1.398834,52.245714,On or near KINETON ROAD,E01031222,Stratford-on-Avon 004D,Investigation complete; no suspect identified
26ba224f6b7bebe697a62849360680d703cf8b77b2667743b9211d1d65bb97f3,2012-07,Warwickshire Police,Warwickshire Police,-1.510941,52.300138,On or near BURBURY CLOSE,E01031273,Warwick 006A,Investigation complete; no suspect identified
c2fba5528f42e2265df9286057349623835c3f0c16aa5c483083f820f89a4ab2,2012-07,Warwickshire Police,Warwickshire Police,-1.583809,52.298601,On or near DRAYTON COURT,E01031313,Warwick 008E,Investigation complete; no suspect identified
2a1875fc3b1209148b985bfd86ce74ac912f5ec920c1977ff3f7b2d4cc7ed151,2012-07,Warwickshire Police,Warwickshire Police,-1.584360,52.283499,On or near PRIORY ROAD,E01031323,Warwick 011C,Investigation complete; no suspect identified
8da1f96b9a3a971a1dc287188f68c328bc6c5f046ea6822a27cc00fd63a84e53,2012-07,Warwickshire Police,Warwickshire Police,-1.724726,52.573129,On or near A4091,E01031024,North Warwickshire 004B,Investigation complete; no suspect identified
89da121e527e5a226dfa62ec3e29392448bf63abaa41b69e83f76985f8368538,2012-07,Warwickshire Police,Warwickshire Police,-1.467744,52.522134,On or near COVENTRY STREET,E01031043,Nuneaton and Bedworth 005A,Investigation complete; no suspect identified
6592b3db0e0d866c6346a319b1cac095e8b580047710ed54834774d8368b93ff,2012-07,Warwickshire Police,Warwickshire Police,-1.477807,52.521154,On or near KINGSWAY,E01031047,Nuneaton and Bedworth 005E,Investigation complete; no suspect identified
9f19d278830db43867b6e9727cbeb6b45714ec79d054bd737044430ea950864c,2012-07,Warwickshire Police,Warwickshire Police,-1.525045,52.460742,On or near COLYERE CLOSE,E01031078,Nuneaton and Bedworth 018B,Investigation complete; no suspect identified
94869897499e45312ca61d433d7f6ed595304df051502195115259c10a16c98d,2012-07,Warwickshire Police,Warwickshire Police,-1.255400,52.389076,On or near LEICESTER ROAD,E01031141,Rugby 002E,Investigation complete; no suspect identified
