Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6697594a5f3679dae71406078bc5ea10269cb97b22123044b3409a3b08634957,2012-08,Leicestershire Police,Leicestershire Police,-1.132222,52.635062,On or near Gallowtree Gate,E01032867,Leicester 041A,Investigation complete; no suspect identified
000f69e8e1939f4dea6ebbc4937ff22fdd8c0b9d70cb83255894bb061a75d5c4,2012-08,Leicestershire Police,Leicestershire Police,-1.215956,52.593950,On or near GRANITE CLOSE,E01025626,Blaby 006B,Investigation complete; no suspect identified
a1e1d3f4a73500de48021ec3d1677920e29cf1b8216dcdaa3aca920f8971639b,2012-08,Leicestershire Police,Leicestershire Police,-1.167403,52.647630,On or near JESSOP CLOSE,E01013721,Leicester 012A,Suspect charged
e4295a8372d9344af160fa23847109e2e7d3b36a32f7918c96a37ca91ac1e24c,2012-08,Leicestershire Police,Leicestershire Police,-1.139026,52.666333,On or near COALBOURN CLOSE,E01013602,Leicester 003C,Investigation complete; no suspect identified
cd5aa5a4fe840b37e26957f3dd0147ad1e7f10f3e34b64b1bdf1cf4810cdffb6,2012-08,Leicestershire Police,Leicestershire Police,-1.140416,52.633161,On or near CASTLE STREET,E01032867,Leicester 041A,Investigation complete; no suspect identified
5c4b38238eddf1b00907477294f0e50837f5800b09d303cf0c2bb14651cefb08,2012-08,Leicestershire Police,Leicestershire Police,-1.130225,52.633680,On or near Supermarket,E01032867,Leicester 041A,Investigation complete; no suspect identified
8233937d84499e611321b150e136e94bd55fc0e362dcd30fc04d94b169569cd6,2012-08,Leicestershire Police,Leicestershire Police,-1.133691,52.636250,On or near Shopping Area,E01032867,Leicester 041A,Investigation complete; no suspect identified
8b77be654554cf39b4266a0f7fc511990697f689d0219ffb830eb4f109352623,2012-08,Leicestershire Police,Leicestershire Police,-1.138383,52.637354,On or near Shopping Area,E01032867,Leicester 041A,Suspect charged
99012a09f8706089a4b70273a3f093791c132c94fd5760c96a964b5c93c6f888,2012-08,Leicestershire Police,Leicestershire Police,-1.131360,52.636790,On or near Haymarket,E01032867,Leicester 041A,Local resolution
8b77be654554cf39b4266a0f7fc511990697f689d0219ffb830eb4f109352623,2012-08,Leicestershire Police,Leicestershire Police,-1.138383,52.637354,On or near Shopping Area,E01032867,Leicester 041A,Suspect charged
0dd5240d5ee5b91fc7cdb0f8a69ad90966dc700762611c980d715833505a71ca,2012-08,Leicestershire Police,Leicestershire Police,-1.135727,52.636400,On or near Parking Area,E01032867,Leicester 041A,Suspect charged
