Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
469f4ca5969180ddbd86dc674869538fa700360dd075755b8a2e0dc097b9a980,2012-09,Sussex Police,Sussex Police,-0.168624,51.128226,On or near BAIRD CLOSE,E01031603,Crawley 005E,Investigation complete; no suspect identified
6643501617b6340cd72a8a841e8c958f662e705db33eed295cff2c164ae4db35,2012-09,Sussex Police,Sussex Police,,,No location,,,Investigation complete; no suspect identified
87a5a107b54a484ecdcfa011694a1a7dc30a9788d5d9edb03738ad4f213f5489,2012-09,Sussex Police,Sussex Police,-0.162498,51.123786,On or near BYCROFT WAY,E01031603,Crawley 005E,Investigation complete; no suspect identified
bd6a0aa7204e27059bd75b47f9bc388138ae416c5e54023877b6b781c6644bf7,2012-09,Sussex Police,Sussex Police,-0.187477,51.117962,On or near NORTHGATE ROAD,E01031585,Crawley 004C,Investigation complete; no suspect identified
78f833412bf347e5138345d2cb7800a06e94b01ed1a7a7c39b77582ae87f6f67,2012-09,Sussex Police,Sussex Police,0.010496,50.875672,On or near LANCASTER STREET,E01021038,Lewes 003F,Investigation complete; no suspect identified
a7c04b7a2735cc1eaacac1c933cb28066c4f78f3b331cce874a1ccde10f54928,2012-09,Sussex Police,Sussex Police,-0.179510,51.120338,On or near MEAD ROAD,E01031585,Crawley 004C,Investigation complete; no suspect identified
58cf6c80736727f820212480e7a403c4fb16983c2a1711e4fa39ac5ea679ee43,2012-09,Sussex Police,Sussex Police,-0.169084,51.120931,On or near NORTH ROAD,E01031600,Crawley 005D,Investigation complete; no suspect identified
1075047d8921fb303bb954b0e2dca415f296b88ddb6f874cde115b99f492b69e,2012-09,Sussex Police,Sussex Police,-0.165090,51.134466,On or near THE DRIVE,E01031603,Crawley 005E,Investigation complete; no suspect identified
328d3ceb0828c7b4a1386bf91b8d1d8857f00a07cfd2e9cd2b823b645a37367c,2012-09,Sussex Police,Sussex Police,-0.672824,50.786276,On or near WILLIAM STREET,E01031432,Arun 017B,Suspect charged
6ad2161e7363db7ff748f7466ec9074a376bc27f7da7abbc484359094aa748ff,2012-09,Sussex Police,Sussex Police,-0.213158,51.103771,On or near PATRINGTON CLOSE,E01031546,Crawley 012A,Investigation complete; no suspect identified
764709145c431e279e1af09ab02eb841c36632ae9ee5fed524dd0fdd0cae0036,2012-09,Sussex Police,Sussex Police,-0.228908,51.106510,On or near ANDROMEDA CLOSE,E01031550,Crawley 010D,Investigation complete; no suspect identified
b6928271adf47d2ca66e2493c0532163d55a1dc2e3002852f8282fc23c3f87f0,2012-09,Sussex Police,Sussex Police,-0.212336,51.099154,On or near SORREL CLOSE,E01031554,Crawley 012D,Investigation complete; no suspect identified
25ee3dac844e5b214b314b611a103e560166aa3605f1986ba225243a7f5da5f6,2012-09,Sussex Police,Sussex Police,-0.195815,51.097569,On or near MARLBOROUGH CLOSE,E01031557,Crawley 013C,Investigation complete; no suspect identified
e93a1ecb0d50eac6f55519e1783c747e66b9a824de2683e0c70ead0601da3b69,2012-09,Sussex Police,Sussex Police,-0.199990,51.098191,On or near REGENTS CLOSE,E01031558,Crawley 013D,Investigation complete; no suspect identified
fc4454d9744950244df0aad0e70db12b34a8dcb1057188920f298eb9e38d8872,2012-09,Sussex Police,Sussex Police,-0.217119,51.112563,On or near AVON WALK,E01031565,Crawley 006B,Investigation complete; no suspect identified
e2c7633d9b15afbd4a0e360a533f94c9b4a335789ebbf30c521265dad7a802cc,2012-09,Sussex Police,Sussex Police,-0.176484,51.098492,On or near SARGENT CLOSE,E01031604,Crawley 011B,Investigation complete; no suspect identified
effe613a68b5c475f7f7ca7253ca0ee76b7ef579e71aff3657947c97dcc0c3d5,2012-09,Sussex Police,Sussex Police,-0.192458,51.100521,On or near Sports/Recreation Area,E01031605,Crawley 011C,Investigation complete; no suspect identified
5a6ac3e32d6286355137a0a29ef3dc3b27639255f7bade553b4d31d67e41d915,2012-09,Sussex Police,Sussex Police,-0.222441,51.103813,On or near Supermarket,E01031548,Crawley 010B,Investigation complete; no suspect identified
7d177b2f78359c57ede1e3d7a75d59c8fd01fbebfdc9e70c402dd4c3fe7ab9bf,2012-09,Sussex Police,Sussex Police,-0.188878,51.112453,On or near Parking Area,E01031585,Crawley 004C,Investigation complete; no suspect identified
4d2b47081df115e0f3156ab1d0ad8339495bc5a1e3f8567753c817eb9af3b886,2012-09,Sussex Police,Sussex Police,-0.183866,51.106188,On or near FORESTER ROAD,E01031595,Crawley 011A,Investigation complete; no suspect identified
418bc6c1c06352bf72db15162257c717de0e1876157295054c86bbe961aeb469,2012-09,Sussex Police,Sussex Police,-0.192164,51.106955,On or near BRIGHTON ROAD,E01031597,Crawley 007B,Investigation complete; no suspect identified
5855c906bf7a9a74c3701c7889684041e1594f5d65e6a60f76a3d407966e08cf,2012-09,Sussex Police,Sussex Police,-0.217435,51.106570,On or near HENSHAW CLOSE,E01031551,Crawley 012B,Investigation complete; no suspect identified
b16b5782d12a690ad90ec5b137e32cd4f1338292a015484318092da0afd5e378,2012-09,Sussex Police,Sussex Police,-0.182263,51.108097,On or near SOUTHGATE DRIVE,E01031563,Crawley 009D,Investigation complete; no suspect identified
771ccf6008693cc6d690deeb37e0a6674848493302fa721f86ec6af1c3fa168f,2012-09,Sussex Police,Sussex Police,-0.220914,51.111218,On or near KENNET CLOSE,E01031565,Crawley 006B,Investigation complete; no suspect identified
b81e27e9fcea28d69123f5966b942f439daf0b8d9c1ab36364e2779d91531b2e,2012-09,Sussex Police,Sussex Police,-0.188463,51.103705,On or near SADDLER ROW,E01031595,Crawley 011A,Investigation complete; no suspect identified
6c02249ff61151d152520f091b1df71d3b8d5e0cd8bede3e259940c34719afcf,2012-09,Sussex Police,Sussex Police,-0.191568,51.105399,On or near CHANDLER CLOSE,E01031596,Crawley 007A,Investigation complete; no suspect identified
166c413085b95c07cfb3f58d04136bd4eb13d41ca386243f71a74fa74e8cb458,2012-09,Sussex Police,Sussex Police,-0.192413,51.107544,On or near SEQUOIA PARK,E01031597,Crawley 007B,Investigation complete; no suspect identified
