Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
dd57b8acb76234a3e72f3631918cf08e047b4734e919bb8856cfbb263544dd76,2012-10,Lincolnshire Police,Lincolnshire Police,-0.583311,53.212262,On or near JARVIS CLOSE,E01026161,Lincoln 010A,Investigation complete; no suspect identified
ad2554140ccdfbada7e6eb42e4c1601c397c777eae7b74bb55bd8bbd6ecfa432,2012-10,Lincolnshire Police,Lincolnshire Police,-0.583311,53.212262,On or near JARVIS CLOSE,E01026161,Lincoln 010A,Investigation complete; no suspect identified
5f4cc82df568ab9d527e6d22fc12324510df5bf5b6c12e7e32ceeb95484e2781,2012-10,Lincolnshire Police,Lincolnshire Police,0.343575,53.141837,On or near B1451,E01026093,East Lindsey 014B,Investigation complete; no suspect identified
545920c86649062e3a9eb2c9c8d32af00187dca93ae26a36592fe1021e8f5e75,2012-10,Lincolnshire Police,Lincolnshire Police,0.280440,53.304421,On or near DE LA BERE AVENUE,E01026104,East Lindsey 006B,Investigation complete; no suspect identified
cae17d1e8c2ab3f07c463e1e4e8f23d5a3c051f2581b17a4f3425ef44330e82e,2012-10,Lincolnshire Police,Lincolnshire Police,-0.470583,53.196952,On or near GIBSON CLOSE,E01026190,North Kesteven 004D,Suspect charged
93a7a632bf9764a3ad166efa7d549e7db78586b29509c55a0642e62260f9c747,2012-10,Lincolnshire Police,Lincolnshire Police,-0.645593,52.914409,On or near UNION STREET,E01026323,South Kesteven 004D,Offender given a caution
e61b095e0be9db7138158c95155ae70f9964548e7a853d22e0e313e710f733a3,2012-10,Lincolnshire Police,Lincolnshire Police,-0.031812,52.979963,On or near Supermarket,E01026032,Boston 002D,Investigation complete; no suspect identified
72596535e79ee73f4e03a1b6fd870f94c3ede8dc9b38f785be0e95d8484ba0ef,2012-10,Lincolnshire Police,Lincolnshire Police,0.137436,53.452508,On or near COMMON LANE,E01026079,East Lindsey 002C,Investigation complete; no suspect identified
7ea46bb796247c09d48d978dde950c6344fb88729d07156824a5a34685e9643e,2012-10,Lincolnshire Police,Lincolnshire Police,0.095770,53.173842,On or near Petrol Station,E01026100,East Lindsey 013E,Investigation complete; no suspect identified
4d0eed50fcf926c1ef0d48a92a91a331218baa4d4674e3bb2914ad882d10b76f,2012-10,Lincolnshire Police,Lincolnshire Police,-0.557084,53.233819,On or near Supermarket,E01026144,Lincoln 003B,Investigation complete; no suspect identified
c18b3fafcc93bd82ca230d844a69f4de867a442cae2ab7be837fc867f409201e,2012-10,Lincolnshire Police,Lincolnshire Police,-0.573760,53.205864,On or near SANSFORD GREEN,E01026173,Lincoln 010D,Investigation complete; no suspect identified
52233a1d389b4e7315e038031f806df76c686efcc1ea7085b635b42b5469a180,2012-10,Lincolnshire Police,Lincolnshire Police,-0.366210,53.008556,On or near EVEDON ROAD,E01026208,North Kesteven 012E,Investigation complete; no suspect identified
b5212131b47210b469d061dc3e4abe2fd1c08878a154e119e943d54950dbfb2e,2012-10,Lincolnshire Police,Lincolnshire Police,0.126480,52.788757,On or near DANIEL'S CRESCENT,E01026256,South Holland 008C,Investigation complete; no suspect identified
7adeaeaa6a3af79d7ef06fdd78212885558a198dd4002ce2400e7efee21f4782,2012-10,Lincolnshire Police,Lincolnshire Police,-0.177517,52.780897,On or near BUTTERCUP CLOSE,E01026262,South Holland 009A,Investigation complete; no suspect identified
983278e7eb64a1d36f32ed857568c6eeed2f7659c25ee2ad862c43a73b8fcc5e,2012-10,Lincolnshire Police,Lincolnshire Police,-0.127409,52.798988,On or near Shopping Area,E01026270,South Holland 007C,Investigation complete; no suspect identified
f72c9d9b8cb95ae67ac993de7ee31a4395ecfd82301b99eb5dc5bf85c9f16b18,2012-10,Lincolnshire Police,Lincolnshire Police,-0.300659,52.676123,On or near ALLEN CLOSE,E01026303,South Kesteven 014A,Investigation complete; no suspect identified
3f16ba46baf55e5d4f504726308d477227ffa6ff1139f4e41854e8da5937f4bf,2012-10,Lincolnshire Police,Lincolnshire Police,-0.619447,52.803494,On or near BELVOIR CLOSE,E01026331,South Kesteven 009B,Investigation complete; no suspect identified
fa0e339f184ce4621474f30d2d3b84fb17fdf29eac83103c5415a26cc131e331,2012-10,Lincolnshire Police,Lincolnshire Police,-0.478333,52.651053,On or near ST MARY'S HILL,E01026351,South Kesteven 016C,Investigation complete; no suspect identified
1677d6652ed8cb7484d4a64ab510be3e8cc3eb67e7b43f7c6e45e0822e02df3e,2012-10,Lincolnshire Police,Lincolnshire Police,-0.774531,53.399794,On or near MARKET STREET,E01026384,West Lindsey 004F,Investigation complete; no suspect identified
2954c6ceb5a8bd1adc2c13363ab8073dcd3e7dcbc4371bd858dc76012a841bf2,2012-10,Lincolnshire Police,Lincolnshire Police,-0.017744,52.982049,On or near WIDE BARGATE,E01026021,Boston 003B,Investigation complete; no suspect identified
7fef3f416ee9f64153071ebe83249d4e1e0e3550c5c690384f9eb01d1ca59740,2012-10,Lincolnshire Police,Lincolnshire Police,0.058026,53.204340,On or near PARTNEY ROAD,E01026068,East Lindsey 009B,Investigation complete; no suspect identified
1e25234e4ab3e08e47ca7d4fe089c2d0603e6aab3981f2ee848c29653eaa8b9c,2012-10,Lincolnshire Police,Lincolnshire Police,0.131405,53.449370,On or near JUBILEE ROAD,E01026079,East Lindsey 002C,Investigation complete; no suspect identified
50efc42bc623bfedba263b697a99367a79747bec17a83e5a24597f5bf4c925c7,2012-10,Lincolnshire Police,Lincolnshire Police,0.326800,53.151283,On or near LINDUM SQUARE,E01026083,East Lindsey 015A,Investigation complete; no suspect identified
c22584dbaad1f359628797548c5bc5a150b2c9feb9be2688d4417377014189ad,2012-10,Lincolnshire Police,Lincolnshire Police,-0.604977,53.217417,On or near CYDONIA APPROACH,E01026127,Lincoln 007A,Investigation complete; no suspect identified
30b20bc0a468006701720368525219c5b412bc2ac6967a4cbd231d0936cf56a8,2012-10,Lincolnshire Police,Lincolnshire Police,-0.543607,53.223865,On or near Further/Higher Educational Building,E01026132,Lincoln 005A,Investigation complete; no suspect identified
0513348cc2907bad26428c31dbb587df9d865faf9216ba8c03c3debc4afbb441,2012-10,Lincolnshire Police,Lincolnshire Police,-0.538337,53.237429,On or near NEWPORT COURT,E01026148,Lincoln 003D,Investigation complete; no suspect identified
c45b5541d89c22168905896ffbac58042923769548775c909ccef48727339e47,2012-10,Lincolnshire Police,Lincolnshire Police,-0.574744,53.207782,On or near COSGROVE CLOSE,E01026173,Lincoln 010D,Investigation complete; no suspect identified
5b4da4b81d57ab0da64509e26c9d2629d7376a40e9d58461cde0038c04b60ee5,2012-10,Lincolnshire Police,Lincolnshire Police,-0.169631,52.669101,On or near BECCELM DRIVE,E01026240,South Holland 011B,Investigation complete; no suspect identified
f992c0981b39dec74c5ffb90729403c841d2e33a3372e2d78e5d8b2f698679c5,2012-10,Lincolnshire Police,Lincolnshire Police,-0.217561,52.804243,On or near BLACKSMITH'S ROW,E01026259,South Holland 005C,Investigation complete; no suspect identified
1c824d129764d3a8daaf8c6a8da8e746986120a7da8c0018098df40c1b67f8c6,2012-10,Lincolnshire Police,Lincolnshire Police,-0.379009,52.777968,On or near BEAUFORT DRIVE,E01026302,South Kesteven 010D,Investigation complete; no suspect identified
47a590d497f918da6b4dd4d6a97714236099ddb989958c0811b205116ef4f114,2012-10,Lincolnshire Police,Lincolnshire Police,-0.339685,53.498486,On or near HADRIAN WAY,E01026368,West Lindsey 001B,Investigation complete; no suspect identified
e3a5c2925b922fcdd9d30e0482cf626ea527e28e338e4df743d4b70e462344cd,2012-10,Lincolnshire Police,Lincolnshire Police,0.348841,53.193099,On or near Parking Area,E01026069,East Lindsey 010D,Investigation complete; no suspect identified
621766512277e07df6313d29287eeecc6544a39c01dc5e71966eb14a7eb87b21,2012-10,Lincolnshire Police,Lincolnshire Police,0.014151,53.103659,On or near MIDVILLE LANE,E01026102,East Lindsey 018D,Investigation complete; no suspect identified
76f35d3a69ffce829a34145c3dd20be97072a2f5535a85debd9769cbe54030ea,2012-10,Lincolnshire Police,Lincolnshire Police,0.011245,53.204608,On or near CHURCH LANE,E01026105,East Lindsey 009D,Investigation complete; no suspect identified
1358ac8d372281e8a08d893ecf6916be4446d300a25927c21fb004928e710fb6,2012-10,Lincolnshire Police,Lincolnshire Police,-0.508475,53.232223,On or near TOWER DRIVE,E01026123,Lincoln 004B,Investigation complete; no suspect identified
f4eb6822c34f9665a6760d3cfee5e50efc4e9af88dd4ada545203ff7e7996bfe,2012-10,Lincolnshire Police,Lincolnshire Police,-0.551406,53.201405,On or near LAUREL CLOSE,E01026175,Lincoln 010E,Investigation complete; no suspect identified
bf0dd2d51a79a8120dc6df8a2a37ed129fab79b7edb170534ae6844b4bc4d6be,2012-10,Lincolnshire Police,Lincolnshire Police,-0.166774,52.676222,On or near EAST STREET,E01026239,South Holland 011A,Investigation complete; no suspect identified
eb908e22f45414dedcf05bda92a57c1452efc42000c716cb15cc89a833ffce02,2012-10,Lincolnshire Police,Lincolnshire Police,-0.174010,52.783558,On or near ABBOT'S WAY,E01026262,South Holland 009A,Investigation complete; no suspect identified
7c179559e22e72728b3f4398da06b4e7d39d18c379c97852d4880a2195ffca07,2012-10,Lincolnshire Police,Lincolnshire Police,0.188605,52.770400,On or near QUEEN STREET,E01026277,South Holland 008D,Investigation complete; no suspect identified
292ee65842e243d1a9177cf980e6dca9c491ed7ba3cc1ed69ef91d770374fddd,2012-10,Lincolnshire Police,Lincolnshire Police,-0.659195,52.909798,On or near Supermarket,E01026309,South Kesteven 005B,Investigation complete; no suspect identified
d880245ef9b1dce08a86eb19a712962991291d6e0f081eb744624d0d1c46425f,2012-10,Lincolnshire Police,Lincolnshire Police,-0.757585,52.898084,On or near WORTHINGTON LANE,E01026315,South Kesteven 009A,Investigation complete; no suspect identified
d4cefb4aa1f4aba23316c579471d303b2fb8d1707f3cb0ff8c6403a1711f9135,2012-10,Lincolnshire Police,Lincolnshire Police,-0.660942,52.937022,On or near EASTHORPE ROAD,E01026340,South Kesteven 002B,Investigation complete; no suspect identified
65293ab2c8b8e055ddb7f8372c10d8c7d640eaa3bf36e99a262fed1d9e1b38a8,2012-10,Lincolnshire Police,Lincolnshire Police,-0.350796,52.710861,On or near DENSHIRE COURT,E01026364,South Kesteven 012E,Investigation complete; no suspect identified
d533eb98e83aff4cf53d6c4665585ae67d088f99f9cec4cf0f606f62205ac192,2012-10,Lincolnshire Police,Lincolnshire Police,-0.496343,53.370114,On or near Sports/Recreation Area,E01026411,West Lindsey 005D,Investigation complete; no suspect identified
4f5af611589eddc52f299c0696626a0a716bcf7126b77da96a4cc5152aade963,2012-10,Lincolnshire Police,Lincolnshire Police,-0.032429,52.986707,On or near SHERWOOD AVENUE,E01026037,Boston 002E,Investigation complete; no suspect identified
1bca2d4c8cb3d4ce0b5a93f33fd4c7b4bd42f5655480503a187d051802e921fb,2012-10,Lincolnshire Police,Lincolnshire Police,-0.022472,53.005728,On or near HORNCASTLE ROAD,E01026057,East Lindsey 018A,Investigation complete; no suspect identified
440d2fdf8465930e51a67927a485a27e5e4231912e2a9efc7ec3aade1e060701,2012-10,Lincolnshire Police,Lincolnshire Police,0.326710,53.198280,On or near CHURCH LANE,E01026069,East Lindsey 010D,Investigation complete; no suspect identified
cde7d8b2e019b0a9f87d3d9c692aff741111f4711e7c401b2884d10802cc4d2c,2012-10,Lincolnshire Police,Lincolnshire Police,0.335620,53.143485,On or near LUMLEY SQUARE,E01026093,East Lindsey 014B,Investigation complete; no suspect identified
4b9ece2e3c23aa1aec0b9360e2cdbfcda690466139365f1cac80d13d26e30a4b,2012-10,Lincolnshire Police,Lincolnshire Police,0.341456,53.145762,On or near SCARBROUGH AVENUE,E01026114,East Lindsey 014D,Investigation complete; no suspect identified
b9a764da384d21d67a7df24b6b3a77c6d80aebee236f6830185e39f92acdbb09,2012-10,Lincolnshire Police,Lincolnshire Police,-0.551283,53.213917,On or near ALTHAM TERRACE,E01026134,Lincoln 006A,Investigation complete; no suspect identified
d2fac1f727872ae8fd55ab284c39f2abb22d95f07e27249de5cadeeacdd8c369,2012-10,Lincolnshire Police,Lincolnshire Police,-0.546216,53.234406,On or near ALEXANDRA TERRACE,E01026143,Lincoln 005B,Investigation complete; no suspect identified
dd2410333282fe165176c5476479e628ed22031728e4551ab860a62efb4e4c6f,2012-10,Lincolnshire Police,Lincolnshire Police,-0.582045,53.214332,On or near PARK AVENUE,E01026161,Lincoln 010A,Investigation complete; no suspect identified
c35950cbd7367244755cc92be9285ecb0de47f2f3ed7df4841f4817400e6ffb9,2012-10,Lincolnshire Police,Lincolnshire Police,-0.536581,53.227411,On or near MELVILLE STREET,E01026176,Lincoln 006B,Investigation complete; no suspect identified
aec045ab0baaaf2ef3e188756b555be3483bc6299f18390dc8490ac0ea72abd3,2012-10,Lincolnshire Police,Lincolnshire Police,-0.279042,53.080525,On or near WEST STREET,E01026183,North Kesteven 007B,Investigation complete; no suspect identified
801440a7727461fc8ad4fc889c0eb5c5fa8315992e1865906f4ae2fe0b45752d,2012-10,Lincolnshire Police,Lincolnshire Police,-0.407644,52.992801,On or near THE INNINGS,E01026231,North Kesteven 010C,Investigation complete; no suspect identified
5b7b0995153df98086ef1ec6fe226dfa9608c5800f4a003c46e5356a363ae43d,2012-10,Lincolnshire Police,Lincolnshire Police,-0.309860,52.674582,On or near DOUGLAS ROAD,E01026335,South Kesteven 013B,Investigation complete; no suspect identified
2c04a1a69ad3d87d5bc5a4738fea6f7f7c00c5d309350795242c084605a96d1f,2012-10,Lincolnshire Police,Lincolnshire Police,-0.549449,53.299206,On or near POLLYPLATT LANE,E01026400,West Lindsey 009D,Investigation complete; no suspect identified
73122f3f03a5502273ace950ebca76b1eb3cd0e1abc9b9ffed3817034bae5187,2012-10,Lincolnshire Police,Lincolnshire Police,-0.026515,52.981790,On or near Parking Area,E01026036,Boston 003D,Investigation complete; no suspect identified
88f3366cf3edc150765d5f90beed2723a65485b296f0d928ffb1ce26203b413d,2012-10,Lincolnshire Police,Lincolnshire Police,0.326438,53.150391,On or near LINCOLN GREEN,E01026083,East Lindsey 015A,Investigation complete; no suspect identified
c8d096cd678f7a2cb8bd84f18aa331c8c05350c598e81ed8e8598c5d7d994536,2012-10,Lincolnshire Police,Lincolnshire Police,0.282635,53.312642,On or near Parking Area,E01026103,East Lindsey 006A,Investigation complete; no suspect identified
