Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
2fd90d30fb280a05caf0fe9bf6795930a4502c8ab733d52771db0cae6bbcab4d,2012-10,West Midlands Police,West Midlands Police,-1.819492,52.470448,On or near WASH LANE,E01008896,Birmingham 066B,Suspect charged
9d0681c4ea995b40e3bcfeef2d332dea364848dcea65fbcba74219542be6c918,2012-10,West Midlands Police,West Midlands Police,-1.816162,52.471369,On or near EASTLEIGH GROVE,E01008896,Birmingham 066B,Investigation complete; no suspect identified
12e41d64867c82e2b0d6c5d249bba3295fd95d11b376f5e06007f6b25f7aee97,2012-10,West Midlands Police,West Midlands Police,-1.819492,52.470448,On or near WASH LANE,E01008896,Birmingham 066B,Suspect charged
e9dd536f923280d6bc0044df744e2d12330d45ad8cbd4a72327a95e20654d5be,2012-10,West Midlands Police,West Midlands Police,-1.817942,52.471534,On or near FIELDHOUSE ROAD,E01008896,Birmingham 066B,Investigation complete; no suspect identified
8232e49161b042a9d775e3d9744e52dc94a3581f828c1b8bc010e166418ab2e2,2012-10,West Midlands Police,West Midlands Police,-1.816162,52.471369,On or near EASTLEIGH GROVE,E01008896,Birmingham 066B,Investigation complete; no suspect identified
c32dad95a1c5f7e3a2f4964983677aa5015cbf8fa740e776749ecc9484e1da35,2012-10,West Midlands Police,West Midlands Police,-1.820209,52.471681,On or near MINTERN ROAD,E01008896,Birmingham 066B,Investigation complete; no suspect identified
14776330af44126577054e92026fa9a29796cec360321ad7b912e426b4e2b5c2,2012-10,West Midlands Police,West Midlands Police,-1.816162,52.471369,On or near EASTLEIGH GROVE,E01008896,Birmingham 066B,Investigation complete; no suspect identified
6f36fe1ca5ff564761a5e6e56dd4ff635726f7d5bbdf3e491f8b87f34b166d06,2012-10,West Midlands Police,West Midlands Police,-1.817942,52.471534,On or near FIELDHOUSE ROAD,E01008896,Birmingham 066B,Investigation complete; no suspect identified
b050d6fa289ae5daf777d145d004f92a2e51c47c4a8cb016aaf6cc96cb299f17,2012-10,West Midlands Police,West Midlands Police,-1.819492,52.470448,On or near WASH LANE,E01008896,Birmingham 066B,Investigation complete; no suspect identified
9ba28a12ba39e97265c90c14d4f3a05ee1b468d52d764d9746000582ab42de11,2012-10,West Midlands Police,West Midlands Police,-1.816961,52.470238,On or near CARCROFT ROAD,E01008897,Birmingham 067B,Investigation complete; no suspect identified
e362b720f73eb4f17144f900b1054b8f96abd7612c6640194aad4dc0d088ee63,2012-10,West Midlands Police,West Midlands Police,-1.816243,52.472979,On or near LAXTON GROVE,E01008897,Birmingham 067B,Local resolution
1ef658134e26344fb83aec01d0fe13ea5ee00bb687b904bdf53537848193de3d,2012-10,West Midlands Police,West Midlands Police,-1.821304,52.470289,On or near BIERTON ROAD,E01008898,Birmingham 066C,Suspect charged
4fab5062a82e2eef78c21abd3891895298b542ecb5084e1dc0d8674a199f0c66,2012-10,West Midlands Police,West Midlands Police,-1.823075,52.469168,On or near THE RING,E01008898,Birmingham 066C,Investigation complete; no suspect identified
1fa9e108260226d4992e4c8eeccbd6ed78a2edb380a03dac64f60d53617558a1,2012-10,West Midlands Police,West Midlands Police,-1.822857,52.468422,On or near ROSEDALE ROAD,E01008898,Birmingham 066C,Investigation complete; no suspect identified
b06808a4f050664d58b08b3fb02d215f2f47c7fe8254fde2866debdfb486efb1,2012-10,West Midlands Police,West Midlands Police,-1.823075,52.469168,On or near THE RING,E01008898,Birmingham 066C,Suspect charged
2e9a3cbc1c5ae656f5a9007978e8543e81a03c96eca343672bddcd3379f9c672,2012-10,West Midlands Police,West Midlands Police,-1.824965,52.467679,On or near WASHFORD GROVE,E01008898,Birmingham 066C,Investigation complete; no suspect identified
3169210f657d866a94d5552b9d9c395bee61aa1a9c1942d065f0d985673c7d09,2012-10,West Midlands Police,West Midlands Police,-1.824965,52.467679,On or near WASHFORD GROVE,E01008898,Birmingham 066C,Investigation complete; no suspect identified
caa3f471a7577ebc7c07616d11bfee8fe3c5f5a3a73de15d32016def165700d8,2012-10,West Midlands Police,West Midlands Police,-1.871183,52.503815,On or near HOLBORN HILL,E01008899,Birmingham 037A,Investigation complete; no suspect identified
6c9a12990402388d64ed5d21e0777fafd454c8c650fa29b337442657def342ea,2012-10,West Midlands Police,West Midlands Police,-1.871183,52.503815,On or near HOLBORN HILL,E01008899,Birmingham 037A,Investigation complete; no suspect identified
00d860b1916389293066238504ef0ce7e5dddf54a8328b04032dbf4c980508e2,2012-10,West Midlands Police,West Midlands Police,-1.871415,52.505163,On or near SUTHERLAND STREET,E01008899,Birmingham 037A,Investigation complete; no suspect identified
48f18157c546ed649c3cf1224009f866512d40596c3aea6333c1cff873366c3d,2012-10,West Midlands Police,West Midlands Police,-1.869866,52.506052,On or near WATERWORKS STREET,E01008899,Birmingham 037A,Investigation complete; no suspect identified
bae319ae52da2b8c43a5681a389ecc61a158d810400a35c6e3ee24c8c1d29814,2012-10,West Midlands Police,West Midlands Police,-1.872870,52.506397,On or near ASTON HALL ROAD,E01008899,Birmingham 037A,Investigation complete; no suspect identified
a9b429106cdfdfaf3de2a75f70d8ed178cab51d8fc524e129f248fff57c26367,2012-10,West Midlands Police,West Midlands Police,-1.876983,52.505628,On or near QUEENS ROAD,E01008899,Birmingham 037A,Suspect charged
4d99a50e18df7b2c5c2f351f0ab62e703c3034f582cf96e25f3b855f2c45abe3,2012-10,West Midlands Police,West Midlands Police,-1.871183,52.503815,On or near HOLBORN HILL,E01008899,Birmingham 037A,Investigation complete; no suspect identified
1e36839f5d38a2016c392bfa111e7bfdbc2be3627ef49b24864e06d885f0debd,2012-10,West Midlands Police,West Midlands Police,-1.871183,52.503815,On or near HOLBORN HILL,E01008899,Birmingham 037A,Investigation complete; no suspect identified
b0e3f821538cb6ca9c5ef25488b6e9ce5d3a491f2cdc14dc984e2f7c1ed0e2b1,2012-10,West Midlands Police,West Midlands Police,-1.866527,52.508889,On or near Park/Open Space,E01008899,Birmingham 037A,Investigation complete; no suspect identified
689ce4a1a81340847fa7000c2f09f4e30e04838a58f5a7be487135e6c87a75b3,2012-10,West Midlands Police,West Midlands Police,-1.866527,52.508889,On or near Park/Open Space,E01008899,Birmingham 037A,Investigation complete; no suspect identified
e7b086a9c3e4a651cdf90605e4b9a1ecc93506b96f0cbe2afe6a270f32896afb,2012-10,West Midlands Police,West Midlands Police,-1.871183,52.503815,On or near HOLBORN HILL,E01008899,Birmingham 037A,Investigation complete; no suspect identified
ead373eeed196db7ff5277a832f9893241f3d6cfe2bf4452c6eae3d7f2fb00dc,2012-10,West Midlands Police,West Midlands Police,-1.871183,52.503815,On or near HOLBORN HILL,E01008899,Birmingham 037A,Investigation complete; no suspect identified
0684714c3ffd9fe62bf4db023d129fa874506c8f8f6001fb25b8f91248fdd330,2012-10,West Midlands Police,West Midlands Police,-1.877288,52.512389,On or near WESTWOOD ROAD,E01008899,Birmingham 037A,Local resolution
086124195d0dc76c30eb7988eed3626b14d2f85d21d42ceb15969d0d15aeb4e4,2012-10,West Midlands Police,West Midlands Police,-1.872870,52.506397,On or near ASTON HALL ROAD,E01008899,Birmingham 037A,Investigation complete; no suspect identified
256caf047781e56c0f6de972a353c634e0f1c760c29f691bdc712bb1e78f5430,2012-10,West Midlands Police,West Midlands Police,-1.883756,52.501616,On or near Pedestrian Subway,E01008901,Birmingham 037C,Investigation complete; no suspect identified
8371797ba147d1d768ecafa8ba219521c9e84f8dc013b9f371f312f66a6d1b5d,2012-10,West Midlands Police,West Midlands Police,-1.874929,52.502641,On or near CHURCH ROAD,E01008901,Birmingham 037C,Investigation complete; no suspect identified
65832b70cead98e1c1f6b42adb1c44ad8a811448ce0de679e9adf928ee15b0d6,2012-10,West Midlands Police,West Midlands Police,-1.876510,52.500988,On or near PARK STREET,E01008901,Birmingham 037C,Local resolution
bc676320f0966b0a74dd7b5235609eb1b511f199fbe053f78d83512f922a7ab7,2012-10,West Midlands Police,West Midlands Police,-1.912849,52.502073,On or near ST SILAS' SQUARE,E01008905,Birmingham 040A,Offender given a drugs possession warning
c965d4207a37b7ee549689aaab5d56c90812d3d360dc5dcda3e6e09026aa02b2,2012-10,West Midlands Police,West Midlands Police,-1.910762,52.499734,On or near GRAHAM STREET,E01008905,Birmingham 040A,Offender given a drugs possession warning
23b20bad8a2e7d5fa283bbe4bb161c73b5737b109d4c09faedaea947c88cbfba,2012-10,West Midlands Police,West Midlands Police,-1.910715,52.500866,On or near ANGLESEY STREET,E01008905,Birmingham 040A,Investigation complete; no suspect identified
a0bdc4568eb19e74e02ab8c1abbd655de90e20e5863964b2a25eb0008284d545,2012-10,West Midlands Police,West Midlands Police,-1.910762,52.499734,On or near GRAHAM STREET,E01008905,Birmingham 040A,Suspect charged
25455a64e61b6aff44a9e20daf71e6c0eb942396c888caca48f92451daf85f90,2012-10,West Midlands Police,West Midlands Police,-1.906283,52.499991,On or near Theatre/Concert Hall,E01008906,Birmingham 049A,Offender given a caution
29666e6c8f1f08a67476f1ee7e7d2f81eb92d1ad3b3ba20dec6f458b8bd0878f,2012-10,West Midlands Police,West Midlands Police,-1.905617,52.501483,On or near BERNERS STREET,E01008906,Birmingham 049A,Investigation complete; no suspect identified
2048821cd85b5750a6c21d86e1e35224929e70c4203b584f9bd3a89c98701603,2012-10,West Midlands Police,West Midlands Police,-1.909113,52.499166,On or near Petrol Station,E01008906,Birmingham 049A,Offender given penalty notice
a1d91e7ea7ba6f8c48dd2da72a53af47151938c0d5a0e1722ae43ddd22d9db7c,2012-10,West Midlands Police,West Midlands Police,-1.907553,52.498652,On or near ROSLIN GROVE,E01008906,Birmingham 049A,Investigation complete; no suspect identified
7004ead0cbd30f85401649622b812230d6eb958403382eb9f3f17a89dfc04a61,2012-10,West Midlands Police,West Midlands Police,-1.907553,52.498652,On or near ROSLIN GROVE,E01008906,Birmingham 049A,Investigation complete; no suspect identified
7ada7a5f34c055bc005cba1244fc9d3628f8b8b6a2c5379f0ae8931e77217406,2012-10,West Midlands Police,West Midlands Police,-1.916525,52.497733,On or near NADEN ROAD,E01008907,Birmingham 040B,Investigation complete; no suspect identified
aad8c2d7057d0c0e2cdbaba7afe8a8509807b4b7218cb748307124b3a155e765,2012-10,West Midlands Police,West Midlands Police,-1.916342,52.501527,On or near BARKER STREET,E01008907,Birmingham 040B,Investigation complete; no suspect identified
f9bf690be4ac033b278e1eda9efcb6ddd0ed295cd15e62857287cbd5a53aaf2d,2012-10,West Midlands Police,West Midlands Police,-1.914338,52.501768,On or near GEORGE STREET,E01008907,Birmingham 040B,Investigation complete; no suspect identified
115193ac6f0c4653ddd79cdc48a52e42580a30a9390bd7a7f2a9a691f2298531,2012-10,West Midlands Police,West Midlands Police,-1.917583,52.499604,On or near CHARLEVILLE ROAD,E01008907,Birmingham 040B,Investigation complete; no suspect identified
1bccebb8927de7efcc8dfbc399d8845f2f4ede70b17551e56379f6bd9a53fd4a,2012-10,West Midlands Police,West Midlands Police,-1.917831,52.500521,On or near WESTON ROAD,E01008907,Birmingham 040B,Investigation complete; no suspect identified
30188e117d2075834c2c0542f15ec31539f6f8550a87dcd2212d437b57715654,2012-10,West Midlands Police,West Midlands Police,-1.917831,52.500521,On or near WESTON ROAD,E01008907,Birmingham 040B,Investigation complete; no suspect identified
490fbf3a54c539b1fdee8857a65c57811b4bfa9bfac70246cbaa68ae4d2840f9,2012-10,West Midlands Police,West Midlands Police,-1.915795,52.502201,On or near MELROSE GROVE,E01008907,Birmingham 040B,Investigation complete; no suspect identified
b7b3908125ab1a80c3e63464f284ce4bc4e4237baf96f009423a33d3332e3f98,2012-10,West Midlands Police,West Midlands Police,-1.917831,52.500521,On or near WESTON ROAD,E01008907,Birmingham 040B,Investigation complete; no suspect identified
5bc9b20cc83e7dd349dfe188bae47b31159eb7732fb67f9a13be3170470954fd,2012-10,West Midlands Police,West Midlands Police,-1.917341,52.502516,On or near VILLA ROAD,E01008907,Birmingham 040B,Investigation complete; no suspect identified
48068adcee68ab3ae48b051e9a193acd0fb2cd087a104e5ba11bd317d3e2d0a5,2012-10,West Midlands Police,West Midlands Police,-1.917583,52.499604,On or near CHARLEVILLE ROAD,E01008907,Birmingham 040B,Investigation complete; no suspect identified
2e376655c78501b5339240aeb1a3893f6c82a2ef9e2fc67724dd7a01b681fbed,2012-10,West Midlands Police,West Midlands Police,-1.916301,52.499693,On or near HUNTERS ROAD,E01008907,Birmingham 040B,Investigation complete; no suspect identified
4d10e50c4c5db6d72c09ab53a53ca34e117d63a702731096363a9467ea3a9139,2012-10,West Midlands Police,West Midlands Police,-1.914338,52.501768,On or near GEORGE STREET,E01008907,Birmingham 040B,Investigation complete; no suspect identified
d4903616ea0ee5ecc3a5085a7c4f4e65604be1a09b26d5cd5287044c91419da9,2012-10,West Midlands Police,West Midlands Police,-1.903092,52.497777,On or near MARKFORD WALK,E01008909,Birmingham 041D,Investigation complete; no suspect identified
3b62aeef551a0c1cf16d306cd0349dfdb2c69e84ad467e1f11f94aff9ccff302,2012-10,West Midlands Police,West Midlands Police,-1.905637,52.498903,On or near VENTNOR AVENUE,E01008909,Birmingham 041D,Offender given a caution
caa1ca15f6ecd5ca58d8887db54299bb9e25454f9b1ed8f9764cfe1eb7226573,2012-10,West Midlands Police,West Midlands Police,-1.907616,52.496558,On or near BROOK VIEW CLOSE,E01008909,Birmingham 041D,Investigation complete; no suspect identified
2a3d5c1c991ed09b26fbb4ae1cb69307b028098f91e1e4336e3e020de2daff99,2012-10,West Midlands Police,West Midlands Police,-1.905637,52.498903,On or near VENTNOR AVENUE,E01008909,Birmingham 041D,Suspect charged
700031728a4524d2c5007cad3fea35e26f2dd3e2db7dec8800993457008102eb,2012-10,West Midlands Police,West Midlands Police,-1.903092,52.497777,On or near MARKFORD WALK,E01008909,Birmingham 041D,Investigation complete; no suspect identified
c105b610d0ce0dd62e9a7258205a4f8f2141eec1efacfdcfd06787c7796dbeac,2012-10,West Midlands Police,West Midlands Police,-1.906390,52.498175,On or near MELBOURNE AVENUE,E01008909,Birmingham 041D,Investigation complete; no suspect identified
d5f1fa82bfa11a7c68814ad5e78fddf85583a3c4a1ff76af95c3da55c8e3245a,2012-10,West Midlands Police,West Midlands Police,-1.901853,52.498495,On or near PORCHESTER DRIVE,E01008909,Birmingham 041D,Investigation complete; no suspect identified
fe904bd6840d8e36de05613aa29ab62c66f53f0e2cbb629c498d8f154e1fc401,2012-10,West Midlands Police,West Midlands Police,-1.890492,52.494044,On or near BRACEBRIDGE STREET,E01008910,Birmingham 050A,Suspect charged
5b13b5cdff0ea0acc83463495a3999df92d0af880263044bff19061d598b2421,2012-10,West Midlands Police,West Midlands Police,-1.888745,52.497629,On or near SUTTON STREET,E01008910,Birmingham 050A,Suspect charged
b950ae87021e7bf333a04d7728e4d31a208b1ebb56b121a2bad1b6d3aefdf593,2012-10,West Midlands Police,West Midlands Police,-1.891575,52.497012,On or near SALSTAR CLOSE,E01008910,Birmingham 050A,Investigation complete; no suspect identified
e63f83e07574c4c87bc236756c39858eb99b8e2a7203bceaa51236c75d8a392e,2012-10,West Midlands Police,West Midlands Police,-1.887779,52.501009,On or near UPPER SUTTON STREET,E01008910,Birmingham 050A,Local resolution
81075bbb78340174a5af9229443fa919eefe228d07a4b26d03d47e0e951723c9,2012-10,West Midlands Police,West Midlands Police,-1.890492,52.494044,On or near BRACEBRIDGE STREET,E01008910,Birmingham 050A,Investigation complete; no suspect identified
2ab0056c87ae4e2f875121553c28a189246f6066312899879e8ca637718b1f14,2012-10,West Midlands Police,West Midlands Police,-1.887889,52.498231,On or near DUNSFOLD CROFT,E01008910,Birmingham 050A,Suspect charged
9d7c5763147816142a116987653d857db30be86030188feb4a52b994c39e86b6,2012-10,West Midlands Police,West Midlands Police,-1.888191,52.501072,On or near ESTONE WALK,E01008910,Birmingham 050A,Investigation complete; no suspect identified
6654195ea5478873b9f8be78cce6933731e7130a72b955f926b0af2b06e06f77,2012-10,West Midlands Police,West Midlands Police,-1.883986,52.498191,On or near A5127,E01008910,Birmingham 050A,Investigation complete; no suspect identified
2dc04a04e049893d10fe914b3cb22d0293f17efad7154a626b928f4d6dee88e7,2012-10,West Midlands Police,West Midlands Police,-1.901846,52.495025,On or near PANNEL CROFT,E01008911,Birmingham 049B,Suspect charged
194acbfae0ebbe7a00ddfbf4b90ef0bc8581a8381592387bcafa9c551a7195c0,2012-10,West Midlands Police,West Midlands Police,-1.901282,52.496984,On or near GUILDFORD DRIVE,E01008911,Birmingham 049B,Suspect charged
0876405ae39164f7d4c78036d3b8bf1bd0d103c33c1a01c892572d915a00ac6f,2012-10,West Midlands Police,West Midlands Police,-1.909679,52.496460,On or near FARM CROFT,E01008911,Birmingham 049B,Investigation complete; no suspect identified
102af04b260a2c34cebd6c2477405514730b035e6e27c6643bdc96395bc0b1e2,2012-10,West Midlands Police,West Midlands Police,-1.899150,52.495247,On or near GEE STREET,E01008913,Birmingham 050B,Investigation complete; no suspect identified
ae0b491846fe4768b5eac8caf0a506e3eafdd491c47999cdf7a9ae896c73e7a3,2012-10,West Midlands Police,West Midlands Police,-1.899150,52.495247,On or near GEE STREET,E01008913,Birmingham 050B,Suspect charged
4cf70f03223d04fd9b39499708eb62fc2cc696f0aa065833044d6b3cc59cd883,2012-10,West Midlands Police,West Midlands Police,-1.897841,52.494491,On or near CHILWELL CROFT,E01008913,Birmingham 050B,Investigation complete; no suspect identified
b912c935c7b97f2d56bd0430494051edd0255c7a7afcecfda6128e9ead1e5adf,2012-10,West Midlands Police,West Midlands Police,-1.894204,52.493769,On or near MOORSOM STREET,E01008913,Birmingham 050B,Investigation complete; no suspect identified
7d868b13b7bfb829d2cc493cb525151d30fb5729342fede307c8e1e8f5e8ab40,2012-10,West Midlands Police,West Midlands Police,-1.897784,52.493367,On or near ATTENBOROUGH CLOSE,E01008913,Birmingham 050B,Investigation complete; no suspect identified
1092ba2390dad2e99fbe7f94fcb631c70779771b655f9aad858f90a05af19dda,2012-10,West Midlands Police,West Midlands Police,-1.896937,52.496747,On or near Supermarket,E01008913,Birmingham 050B,Suspect charged
6ef6e4448195e1c78453fe31db79be7270a307dcf7871290946d7b2721009931,2012-10,West Midlands Police,West Midlands Police,-1.897841,52.494491,On or near CHILWELL CROFT,E01008913,Birmingham 050B,Investigation complete; no suspect identified
47fae7ab3d8f8f7fa0136773d2c566dbff856dbe914d9420c87e540293ba97b5,2012-10,West Midlands Police,West Midlands Police,-1.899128,52.491741,On or near SUMMER LANE,E01008914,Birmingham 050C,Investigation complete; no suspect identified
fba2be31d71bf0b747c6d6aa605cad19bf514d2658688bdc710c35da83d7c54e,2012-10,West Midlands Police,West Midlands Police,-1.898618,52.489493,On or near NEW SUMMER STREET,E01008914,Birmingham 050C,Investigation complete; no suspect identified
d79bd8a751c71de6bc702ed93e1268e4885f9fae5eab119a0ca976b99d35b772,2012-10,West Midlands Police,West Midlands Police,-1.898618,52.489493,On or near NEW SUMMER STREET,E01008914,Birmingham 050C,Investigation complete; no suspect identified
97682cfdc33b29aec718d12ef5116945c91304e504b83fe8b63d0fc9d46d39b1,2012-10,West Midlands Police,West Midlands Police,-1.897900,52.487740,On or near LOWER LOVEDAY STREET,E01008914,Birmingham 050C,Investigation complete; no suspect identified
7035aa7103001398f686a9ab32d3b48b53a7c1a1ef114251ed1ee89efd6fa8bb,2012-10,West Midlands Police,West Midlands Police,-1.889292,52.491004,On or near ASTON ROAD,E01008914,Birmingham 050C,Offender given a caution
5572016bc31e6574099f22503bcca16b69db8d055644cef1bc175bc51f4df5c3,2012-10,West Midlands Police,West Midlands Police,-1.896654,52.491658,On or near SHILLCOCK GROVE,E01008914,Birmingham 050C,Investigation complete; no suspect identified
63bf1dee1375d0f06b5a4a2ddf3eeba964b7bf1427f083f42d469bcd14dbc69a,2012-10,West Midlands Police,West Midlands Police,-1.897900,52.487740,On or near LOWER LOVEDAY STREET,E01008914,Birmingham 050C,Investigation complete; no suspect identified
f562a00fcd8e2e33e4040230b5d347a83eff63cc082abaee8ee906c7be13fd17,2012-10,West Midlands Police,West Midlands Police,-1.901096,52.487724,On or near HENRIETTA STREET,E01008914,Birmingham 050C,Investigation complete; no suspect identified
ca90711c535d9ad7aa9a90d01f11e12255d4779a6cd484d50aeaaa0bdc20cb61,2012-10,West Midlands Police,West Midlands Police,-1.889292,52.491004,On or near ASTON ROAD,E01008914,Birmingham 050C,Investigation complete; no suspect identified
312ae4f59240ebf3fe0f18096171ecfdb56a5cd4d6138e15697ac66ab51d1ea0,2012-10,West Midlands Police,West Midlands Police,-1.896321,52.489231,On or near CECIL STREET,E01008914,Birmingham 050C,Investigation complete; no suspect identified
