Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
8dd3facbbb1bf4bc9dc659aadeaaa218674a523910138dc012a99b1302839420,2012-11,Durham Constabulary,Durham Constabulary,-1.537430,54.547046,On or near KINGSWAY,E01012330,Darlington 003C,Investigation complete; no suspect identified
754f3ef6ad33fef8df175fc8f27c498d007a6580a79f99cbecabad597ccb4c86,2012-11,Durham Constabulary,Durham Constabulary,-1.524452,54.526425,On or near THE BROADWAY,E01012342,Darlington 009C,Investigation complete; no suspect identified
fb9cc7d9d848f68eb4ebb631570e3c3d671c612d6ca89dd3acda92ff02709406,2012-11,Durham Constabulary,Durham Constabulary,-1.558000,54.530353,On or near EASSON ROAD,E01012354,Darlington 008C,Suspect charged
464a5bb0c0f7d2d6a2572fedcfc87e8164703ee6b9ae2440f3afd29dbfd4b333,2012-11,Durham Constabulary,Durham Constabulary,,,No location,,,Local resolution
ae4f3d23c28e56d1358389571fa89dd96fb73621be3cb05aab6b7898a47340df,2012-11,Durham Constabulary,Durham Constabulary,,,No location,,,Local resolution
0597a280a69e39a8a52ea71599dde150fb497a316af88bef1a3e99c329e7b0da,2012-11,Durham Constabulary,Durham Constabulary,,,No location,,,Local resolution
3549694acb229c8dd1cd67fb9900aab1f28cc95b253fbf3e9bf8081267a85507,2012-11,Durham Constabulary,Durham Constabulary,,,No location,,,Investigation complete; no suspect identified
6474bc98c0ebfa83bb4f330e0c721cd3b7abd347bf0e50a1fbfe5f98657e69e6,2012-11,Durham Constabulary,Durham Constabulary,,,No location,,,Suspect charged
82b995a0f69a1ba2388ee7e60a90711162e4dc1d2182b95af67036b35bfdb2c4,2012-11,Durham Constabulary,Durham Constabulary,,,No location,,,Suspect charged
318b27a14da13a661a261371a8f974adf342feba99ef956f27981175f76b02f8,2012-11,Durham Constabulary,Durham Constabulary,,,No location,,,Suspect charged
2a1b60d37cc874889f820a213451dadb58caac7723bbdb8c9d4e3a47188bd652,2012-11,Durham Constabulary,Durham Constabulary,,,No location,,,Investigation complete; no suspect identified
5ed2912b7317b6f705cc820891078466afe8a3f83b16a29dbc042ca56ce476f7,2012-11,Durham Constabulary,Durham Constabulary,,,No location,,,Suspect charged
73d10cd8fc34507bfb8fdb185091512bb3369af7bf24c68e87f26bf2e22c2b49,2012-11,Durham Constabulary,Durham Constabulary,,,No location,,,Suspect charged
e4ec87e0f9773d9aa3ee0f7567b8ca4373f8786b187b077a103ef4b121d2f12d,2012-11,Durham Constabulary,Durham Constabulary,,,No location,,,Suspect charged
aa1ccc0ba45fd61f9ead05870d2e85b50a97961dde01ddadb837b45a541492f7,2012-11,Durham Constabulary,Durham Constabulary,,,No location,,,Suspect charged
266199742eb073b80202b60ad72a13e43ca4ea384caa7e1bbca7e22709b59517,2012-11,Durham Constabulary,Durham Constabulary,,,No location,,,Suspect charged
