Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
323ccd3255c9bb2487072269940bf9a01f6ee838c5142302ee257e84b597c666,2012-11,Lincolnshire Police,Lincolnshire Police,-0.529203,53.247754,On or near LAUGHTON WAY,E01026164,Lincoln 003F,Investigation complete; no suspect identified
6307bd84158d2621f41d7d6fe1cf03d13d07cd195aa20b1ec7ec8c1dee0575a9,2012-11,Lincolnshire Police,Lincolnshire Police,-0.529203,53.247754,On or near LAUGHTON WAY,E01026164,Lincoln 003F,Investigation complete; no suspect identified
857b610b1bd8d3eabd88d675bd67405a0e0b2e513dda02e299f4248ef89596d9,2012-11,Lincolnshire Police,Lincolnshire Police,-0.529203,53.247754,On or near LAUGHTON WAY,E01026164,Lincoln 003F,Investigation complete; no suspect identified
94881844af09704e1e35b71fd9796ef8a182f77ecef187598696db1715e2880c,2012-11,Lincolnshire Police,Lincolnshire Police,-0.222086,52.982215,On or near A17,E01026200,North Kesteven 012A,Investigation complete; no suspect identified
bf31d9d3da8b222751f1876baf6d2bd0f13a0cb54d81b909bbbbea9463b2361d,2012-11,Lincolnshire Police,Lincolnshire Police,0.345759,53.149526,On or near Parking Area,E01026114,East Lindsey 014D,Suspect charged
1b8cc95aead9d9c201d78536453af5a8d602a51d1577e7c31c3a2857419b2bb6,2012-11,Lincolnshire Police,Lincolnshire Police,-0.007688,53.364396,On or near GEORGE STREET,E01026089,East Lindsey 004C,Investigation complete; no suspect identified
d4dee91e2ff14c58c3844a259906d22a9fbfd605dbf70d1a3944ad00d12798b4,2012-11,Lincolnshire Police,Lincolnshire Police,-0.508799,53.232820,On or near TOWER AVENUE,E01026123,Lincoln 004B,Investigation complete; no suspect identified
1f785a555a6c470a9788967d9ae19005ed6a8d41194c8984eb3385e620c3a9fa,2012-11,Lincolnshire Police,Lincolnshire Police,-0.603595,53.221248,On or near WHITETHORN GROVE,E01026127,Lincoln 007A,Investigation complete; no suspect identified
bd4bdc5d5c63da5aa6cf9d4318dc4790e5f56e7bf3884f21673ca8113eb1d309,2012-11,Lincolnshire Police,Lincolnshire Police,-0.541680,53.227689,On or near Shopping Area,E01026132,Lincoln 005A,Investigation complete; no suspect identified
b8e6fe0055f495f13e6a9bbf00145af7b45f0a44fb8cb41283f9828cf84ef8b8,2012-11,Lincolnshire Police,Lincolnshire Police,-0.531410,53.245003,On or near LONGDALES ROAD,E01026164,Lincoln 003F,Investigation complete; no suspect identified
fb2a0b459d24e3dfd323239589ff2363a9ea13f88c6b31de496aa1c1a9e690b5,2012-11,Lincolnshire Police,Lincolnshire Police,-0.531726,53.234471,On or near WINNOWSTY LANE,E01026167,Lincoln 003G,Investigation complete; no suspect identified
