Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
60ca440690e9cd0aed6eeaddec5f726098d8a8f52ee1f9f8beebacbacf531684,2012-11,Suffolk Constabulary,Suffolk Constabulary,0.446229,52.085821,On or near CHELMER ROAD,E01030108,St Edmundsbury 014D,Investigation complete; no suspect identified
89fc2f8a09408de01a46579b6169b22ee5b138382ba7fb609ab73ff0f12ebb17,2012-11,Suffolk Constabulary,Suffolk Constabulary,1.748397,52.482753,On or near ST PETER'S STREET,E01030246,Waveney 004A,Investigation complete; no suspect identified
d6f81413f00f7c77d85a21802ba9e95a60418c2f314f4b23e14d81d50bad20df,2012-11,Suffolk Constabulary,Suffolk Constabulary,1.127847,52.074290,On or near CASTLE ROAD,E01029976,Ipswich 002D,Investigation complete; no suspect identified
4c6490a29dbe058c480e13bf774759f77ea88bc89353920deb18d37bbc3a96eb,2012-11,Suffolk Constabulary,Suffolk Constabulary,1.748397,52.482753,On or near ST PETER'S STREET,E01030246,Waveney 004A,Investigation complete; no suspect identified
732ae0bc8582b4335d1aff951d50b097bd4ff9dd4c237e4eed7da851e6868791,2012-11,Suffolk Constabulary,Suffolk Constabulary,1.748397,52.482753,On or near ST PETER'S STREET,E01030246,Waveney 004A,Investigation complete; no suspect identified
370f6d7e9a164bcb673fc1ad6902e5d7249115130efc428b62b5d8cdfc4db680,2012-11,Suffolk Constabulary,Suffolk Constabulary,0.962666,52.048415,On or near LADY LANE,E01029892,Babergh 004A,Investigation complete; no suspect identified
90227513f59eafda6a25bbdc613fce1a0100d1be70e9faf1fb0401448fa07222,2012-11,Suffolk Constabulary,Suffolk Constabulary,1.753703,52.478276,On or near POLICE STATION ROAD,E01030249,Waveney 004C,Investigation complete; no suspect identified
2ef745df743c98dff54b8b50598035311434a02c9401a74195983f5af00df16d,2012-11,Suffolk Constabulary,Suffolk Constabulary,0.994274,52.190226,On or near TYDEMANS COURT,E01033317,Mid Suffolk 010G,Investigation complete; no suspect identified
9d849f079c799cded5e91de6ff843cd242cbecae6060c1792d51a56c7cde8740,2012-11,Suffolk Constabulary,Suffolk Constabulary,1.052097,52.154442,On or near THE PIGHTLE,E01030061,Mid Suffolk 011C,Investigation complete; no suspect identified
b92b404d341247d03f980f1a4bfcc264f5073bdcee27806acb0f94bbba0c0e32,2012-11,Suffolk Constabulary,Suffolk Constabulary,0.435750,52.086128,On or near BROAD STREET,E01030112,St Edmundsbury 012D,Investigation complete; no suspect identified
57d91650e39746a3fbf43c8eebc54761790f7c6cc7c9c9b20ac90cfbb50b719f,2012-11,Suffolk Constabulary,Suffolk Constabulary,1.583073,52.203579,On or near SOUTH CLOSE,E01030187,Suffolk Coastal 004C,Suspect charged
