Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a5ee3b490969ac768b74094fa0dcd685883e158235f7559b0c3fee682807b503,2012-11,Thames Valley Police,Thames Valley Police,-0.815847,51.815659,On or near RICKFORD'S HILL,E01032955,Aylesbury Vale 015E,Investigation complete; no suspect identified
8ff3e301393d471347a326097c3c1d8e026b2b34c07fc1b501cb042aa174a8f7,2012-11,Thames Valley Police,Thames Valley Police,-0.816776,51.832815,On or near PETRONEL ROAD,E01032959,Aylesbury Vale 008G,Investigation complete; no suspect identified
8ab88be9e4be3da413bb990937bc97853958f4e58b4e6797ee9f4c04c7a3e311,2012-11,Thames Valley Police,Thames Valley Police,-0.813570,51.817290,On or near KINGSBURY,E01032961,Aylesbury Vale 015F,Investigation complete; no suspect identified
b9d534a2517f1fdbc36f2d4d7f3a06af74d491935790e09b05953067bdc5a3b8,2012-11,Thames Valley Police,Thames Valley Police,-1.496693,51.785297,On or near A4095,E01028819,West Oxfordshire 010F,Suspect charged
1c4cecde2dbfcd37c305997b8d38471321dbd313258d720f81674fcd8480a4a7,2012-11,Thames Valley Police,Thames Valley Police,-0.497385,51.578664,On or near Pedestrian Subway,E01017813,South Bucks 003D,Investigation complete; no suspect identified
8574fcc36bd89dd5d3d35f1cc1dcc751e0d6a88aca43d60134f6f051d0eaca17,2012-11,Thames Valley Police,Thames Valley Police,-1.328042,51.586367,On or near Park/Open Space,E01028730,Vale of White Horse 015E,Investigation complete; no suspect identified
c16fd81b15d0dc3b93b1b215c479accd6651b81d61ec98fb2a1807885918d2f4,2012-11,Thames Valley Police,Thames Valley Police,-1.426528,51.589442,On or near KINGS WALK,E01028756,Vale of White Horse 014B,Investigation complete; no suspect identified
7ab61386cad3465612839dfccc08e4b3190b28b562fbc357cb39b6495e2ec458,2012-11,Thames Valley Police,Thames Valley Police,-1.302962,51.616234,On or near MIDWINTER AVENUE,E01028732,Vale of White Horse 010C,Investigation complete; no suspect identified
a6d89fd519d540260654d9b9572f5d053f2f6b05a5b987145b8393756af9ce61,2012-11,Thames Valley Police,Thames Valley Police,-1.097169,51.737997,On or near Motorway Service Area,E01028647,South Oxfordshire 004B,Investigation complete; no suspect identified
5fc9aa982f255147fa1df5aaca4f77fa4646939696738041bcd2c615a64d0228,2012-11,Thames Valley Police,Thames Valley Police,-1.319656,51.623102,On or near TIMSBURY COURT,E01028732,Vale of White Horse 010C,Investigation complete; no suspect identified
8c507a3399d00c6d867525b87b9eaa972fb5dabe9e2ac6ec80a9501943094213,2012-11,Thames Valley Police,Thames Valley Police,-1.436067,51.587295,On or near GREENACRES DRIVE,E01028759,Vale of White Horse 014D,Investigation complete; no suspect identified
e9c281b7ee622ff3822e556f3c079b3bd9b59c3c86349cb71fc2afc92db8f570,2012-11,Thames Valley Police,Thames Valley Police,-1.480964,51.579014,On or near MIDDLEWAY BOTTOM,E01028720,Vale of White Horse 016G,Investigation complete; no suspect identified
7aba29eb826e9e97d90e477c5c29507134538c52cd152881d80eab8c358e8955,2012-11,Thames Valley Police,Thames Valley Police,-0.972780,51.747640,On or near MOAT'S CRESCENT,E01028668,South Oxfordshire 001C,Investigation complete; no suspect identified
4d6d87a42e2344ceafe160d29ce4dd73287776dc99541ee4244bc5527429c2a0,2012-11,Thames Valley Police,Thames Valley Police,-1.303084,51.666721,On or near ORPWOOD WAY,E01028702,Vale of White Horse 008D,Investigation complete; no suspect identified
e4fd968f2aa725e624ced1df09095926f708761a8ce437b1033837b545a6ada1,2012-11,Thames Valley Police,Thames Valley Police,-1.139058,51.745226,On or near KIMBER CLOSE,E01028684,South Oxfordshire 004E,Investigation complete; no suspect identified
