Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
,2013-01,British Transport Police,British Transport Police,-0.271604,50.834400,On or near Shoreham-By-Sea,E01031365,Adur 002D,Other theft,,
,2013-01,British Transport Police,British Transport Police,-0.271604,50.834400,On or near Shoreham-By-Sea,E01031365,Adur 002D,Other theft,,
,2013-01,British Transport Police,British Transport Police,-0.271604,50.834400,On or near Shoreham-By-Sea,E01031365,Adur 002D,Other theft,,
,2013-01,British Transport Police,British Transport Police,-0.271604,50.834400,On or near Shoreham-By-Sea,E01031365,Adur 002D,Other theft,,
,2013-01,British Transport Police,British Transport Police,-0.271604,50.834400,On or near Shoreham-By-Sea,E01031365,Adur 002D,Other theft,,
,2013-01,British Transport Police,British Transport Police,-0.237124,50.832500,On or near Southwick,E01031375,Adur 004G,Other theft,,
,2013-01,British Transport Police,British Transport Police,-3.494100,54.711700,On or near Maryport,E01019114,Allerdale 004D,Anti-social behaviour,,
,2013-01,British Transport Police,British Transport Police,-1.369740,53.100700,On or near Alfreton,E01019400,Amber Valley 001A,Violent crime,,
,2013-01,British Transport Police,British Transport Police,-0.640432,50.830800,On or near Barnham,E01031393,Arun 003A,Anti-social behaviour,,
,2013-01,British Transport Police,British Transport Police,-0.640432,50.830800,On or near Barnham,E01031393,Arun 003A,Vehicle crime,,
,2013-01,British Transport Police,British Transport Police,-0.546132,50.810200,On or near Littlehampton,E01031428,Arun 011B,Other theft,,
,2013-01,British Transport Police,British Transport Police,-0.546132,50.810200,On or near Littlehampton,E01031428,Arun 011B,Other theft,,
,2013-01,British Transport Police,British Transport Police,-0.546132,50.810200,On or near Littlehampton,E01031428,Arun 011B,Public disorder and weapons,,
,2013-01,British Transport Police,British Transport Police,-0.546132,50.810200,On or near Littlehampton,E01031428,Arun 011B,Violent crime,,
,2013-01,British Transport Police,British Transport Police,-0.676509,50.786800,On or near Bognor Regis,E01031444,Arun 016B,Anti-social behaviour,,
,2013-01,British Transport Police,British Transport Police,-0.676509,50.786800,On or near Bognor Regis,E01031444,Arun 016B,Criminal damage and arson,,
,2013-01,British Transport Police,British Transport Police,-0.676509,50.786800,On or near Bognor Regis,E01031444,Arun 016B,Violent crime,,
,2013-01,British Transport Police,British Transport Police,-1.245600,53.114120,On or near Sutton Parkway,E01027954,Ashfield 007D,Anti-social behaviour,,
,2013-01,British Transport Police,British Transport Police,-1.253250,53.100000,On or near Kirkby In Ashfield,E01027952,Ashfield 008A,Anti-social behaviour,,
,2013-01,British Transport Police,British Transport Police,-1.196280,53.038100,On or near Hucknall,E01027931,Ashfield 013B,Anti-social behaviour,,
,2013-01,British Transport Police,British Transport Police,0.929393,51.185000,On or near Wye,E01024040,Ashford 001D,Criminal damage and arson,,
,2013-01,British Transport Police,British Transport Police,0.874569,51.143100,On or near Ashford International Ctrl,E01024027,Ashford 005D,Anti-social behaviour,,
