Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
633e12976b533420b1ff0c93772f54c085f1d5b829a76187e6cf0816c768e1c5,2013-01,Lincolnshire Police,Lincolnshire Police,-0.810520,53.250362,On or near Farhill Lane,E01028039,Bassetlaw 015F,Shoplifting,Investigation complete; no suspect identified,
a441f8e6f2e731a051c164a1cae7a216ea19cceab91a5ff828a5be14c29d823b,2013-01,Lincolnshire Police,Lincolnshire Police,0.069764,52.981213,On or near Vinters Way,E01026007,Boston 001A,Criminal damage and arson,Investigation complete; no suspect identified,
1302d91c265ec817036e3f3c9ce2497acbd40d23f5bb9d52323b3a9bc951d103,2013-01,Lincolnshire Police,Lincolnshire Police,0.064055,52.983938,On or near Broughton'S Lane,E01026007,Boston 001A,Criminal damage and arson,Investigation complete; no suspect identified,
4bc031e7e45a81a614f72ab61a66551d67e4ce8a557196d7e305ac3ce6401881,2013-01,Lincolnshire Police,Lincolnshire Police,0.061405,52.984299,On or near Tyler Crescent,E01026007,Boston 001A,Other theft,Investigation complete; no suspect identified,
,2013-01,Lincolnshire Police,Lincolnshire Police,0.079021,52.960553,On or near Parking Area,E01026008,Boston 001B,Anti-social behaviour,,
,2013-01,Lincolnshire Police,Lincolnshire Police,0.060644,52.982379,On or near Pinchbeck Road,E01026008,Boston 001B,Anti-social behaviour,,
,2013-01,Lincolnshire Police,Lincolnshire Police,0.035743,52.986332,On or near Acorn Close,E01026008,Boston 001B,Anti-social behaviour,,
dfe18179b2d41aa661e76c6f87a7ac9cc1a86fabe16059ba3fbd05b8f7ae5070,2013-01,Lincolnshire Police,Lincolnshire Police,0.047425,52.975666,On or near Sports/Recreation Area,E01026008,Boston 001B,Other theft,Investigation complete; no suspect identified,
3c6323d529d5e2cc6c2fa31ceb257a312c2aad28957c00ecfcaa7ad4c5d22306,2013-01,Lincolnshire Police,Lincolnshire Police,0.070888,52.968894,On or near Shore Road,E01026008,Boston 001B,Violent crime,Defendant found not guilty,
e3a2ce1001aee70e802f448e236f8031fbbcc70c4da754855da258989fde7af6,2013-01,Lincolnshire Police,Lincolnshire Police,0.047484,52.974694,On or near Bull Pasture,E01026008,Boston 001B,Violent crime,Investigation complete; no suspect identified,
,2013-01,Lincolnshire Police,Lincolnshire Police,0.075973,52.997603,On or near Bede Crescent,E01026009,Boston 001C,Anti-social behaviour,,
fb706154f4f9d54a4d22a28ec03a49dba8d55f74d40f2d5203d516bbf1020e8a,2013-01,Lincolnshire Police,Lincolnshire Police,0.120170,53.010930,On or near Oldfield Lane,E01026009,Boston 001C,Burglary,Investigation complete; no suspect identified,
6de077c516e4b2a547ac1d60b3896293710707a81138cc7353e790df3bdf1148,2013-01,Lincolnshire Police,Lincolnshire Police,0.075973,52.997603,On or near Bede Crescent,E01026009,Boston 001C,Criminal damage and arson,Investigation complete; no suspect identified,
5330adf77e39c627a9a0ca4afa2d552c95619ffe2e8ca3f166b1832b91a497aa,2013-01,Lincolnshire Police,Lincolnshire Police,0.095587,53.004748,On or near Sports/Recreation Area,E01026009,Boston 001C,Vehicle crime,Investigation complete; no suspect identified,
,2013-01,Lincolnshire Police,Lincolnshire Police,0.124370,53.038466,On or near Mel Marshall Way,E01026023,Boston 001D,Anti-social behaviour,,
,2013-01,Lincolnshire Police,Lincolnshire Police,0.123656,53.047289,On or near Swan Moor Bank,E01026023,Boston 001D,Anti-social behaviour,,
,2013-01,Lincolnshire Police,Lincolnshire Police,0.123737,53.037110,On or near Church Close,E01026023,Boston 001D,Anti-social behaviour,,
8578ecef8306d7eb54aa3e84f3fec9317d6b50a70ffcaaa651eb5ab0f06516c6,2013-01,Lincolnshire Police,Lincolnshire Police,0.147368,53.040804,On or near Mill Lane,E01026023,Boston 001D,Burglary,Investigation complete; no suspect identified,
,2013-01,Lincolnshire Police,Lincolnshire Police,0.093802,53.032220,On or near Hawthorn Crescent,E01026024,Boston 001E,Anti-social behaviour,,
,2013-01,Lincolnshire Police,Lincolnshire Police,0.095642,53.029553,On or near Woodland Close,E01026024,Boston 001E,Anti-social behaviour,,
,2013-01,Lincolnshire Police,Lincolnshire Police,0.084791,53.051331,On or near Duke Road,E01026024,Boston 001E,Anti-social behaviour,,
e1aa75b1345e99ceffa755a498596064f1ca510f94125728dd3aa6ce0dbcee8e,2013-01,Lincolnshire Police,Lincolnshire Police,0.089937,53.037107,On or near Raysor'S Lane,E01026024,Boston 001E,Criminal damage and arson,Investigation complete; no suspect identified,
bce071a60808fb374f76eb50421fd1657eb961e5efc9aeec4a6ad61c57e926dd,2013-01,Lincolnshire Police,Lincolnshire Police,0.100541,53.029718,On or near Meadow Way,E01026024,Boston 001E,Other theft,Investigation complete; no suspect identified,
9dbc0b6f1d1d46b6ae40548ba547a36616603f2ca4f55c02bd9db2dcf19fc445,2013-01,Lincolnshire Police,Lincolnshire Police,0.093468,53.030868,On or near Poplar Court,E01026024,Boston 001E,Violent crime,Investigation complete; no suspect identified,
,2013-01,Lincolnshire Police,Lincolnshire Police,-0.043817,52.987246,On or near Puritan Way,E01026010,Boston 002A,Anti-social behaviour,,
,2013-01,Lincolnshire Police,Lincolnshire Police,-0.043817,52.987246,On or near Puritan Way,E01026010,Boston 002A,Anti-social behaviour,,
,2013-01,Lincolnshire Police,Lincolnshire Police,-0.044917,52.986967,On or near Hollydene Close,E01026010,Boston 002A,Anti-social behaviour,,
,2013-01,Lincolnshire Police,Lincolnshire Police,-0.046165,52.985387,On or near Joy Paine Close,E01026010,Boston 002A,Anti-social behaviour,,
,2013-01,Lincolnshire Police,Lincolnshire Police,-0.042798,52.984738,On or near Porcher Way,E01026010,Boston 002A,Anti-social behaviour,,
,2013-01,Lincolnshire Police,Lincolnshire Police,-0.042522,52.985561,On or near Franklin Close,E01026010,Boston 002A,Anti-social behaviour,,
,2013-01,Lincolnshire Police,Lincolnshire Police,-0.044917,52.986967,On or near Hollydene Close,E01026010,Boston 002A,Anti-social behaviour,,
,2013-01,Lincolnshire Police,Lincolnshire Police,-0.044858,52.983981,On or near Ingelow Avenue,E01026010,Boston 002A,Anti-social behaviour,,
,2013-01,Lincolnshire Police,Lincolnshire Police,-0.046165,52.985387,On or near Joy Paine Close,E01026010,Boston 002A,Anti-social behaviour,,
,2013-01,Lincolnshire Police,Lincolnshire Police,-0.044858,52.983981,On or near Ingelow Avenue,E01026010,Boston 002A,Anti-social behaviour,,
,2013-01,Lincolnshire Police,Lincolnshire Police,-0.046681,52.986178,On or near Haven Meadows,E01026010,Boston 002A,Anti-social behaviour,,
,2013-01,Lincolnshire Police,Lincolnshire Police,-0.044917,52.986967,On or near Hollydene Close,E01026010,Boston 002A,Anti-social behaviour,,
,2013-01,Lincolnshire Police,Lincolnshire Police,-0.044858,52.983981,On or near Ingelow Avenue,E01026010,Boston 002A,Anti-social behaviour,,
,2013-01,Lincolnshire Police,Lincolnshire Police,-0.042798,52.984738,On or near Porcher Way,E01026010,Boston 002A,Anti-social behaviour,,
8770bc8519ee942dfe7fb0fdd9895728583b5d2b0a753c666947ec42da71c5e0,2013-01,Lincolnshire Police,Lincolnshire Police,-0.044917,52.986967,On or near Hollydene Close,E01026010,Boston 002A,Burglary,Investigation complete; no suspect identified,
80c1c02d640aa8387141700210de0aae729ee21561f2450d34a8d788d895bbe3,2013-01,Lincolnshire Police,Lincolnshire Police,-0.044858,52.983981,On or near Ingelow Avenue,E01026010,Boston 002A,Burglary,Under investigation,
598e11b09bb1866cd37008d4df3ba1e794824fddd1c273ad631691f0ef88afaa,2013-01,Lincolnshire Police,Lincolnshire Police,-0.042522,52.985561,On or near Franklin Close,E01026010,Boston 002A,Criminal damage and arson,Investigation complete; no suspect identified,
5075b99d62b9744af37d199037ab1719004726e8a5f79b809cae42eb68d9612d,2013-01,Lincolnshire Police,Lincolnshire Police,-0.046165,52.985387,On or near Joy Paine Close,E01026010,Boston 002A,Criminal damage and arson,Offender given community sentence,
fff22c9a34449869acabe10651e84d9f2f7e6ef3f16a65ac0c5f00017ebca829,2013-01,Lincolnshire Police,Lincolnshire Police,-0.042522,52.985561,On or near Franklin Close,E01026010,Boston 002A,Criminal damage and arson,Investigation complete; no suspect identified,
27477db35eaa30d877c558b940729ab1baf67cc60a030618a1fef1bb678721f4,2013-01,Lincolnshire Police,Lincolnshire Police,-0.046165,52.985387,On or near Joy Paine Close,E01026010,Boston 002A,Criminal damage and arson,Investigation complete; no suspect identified,
8ff53ccaebed2cf6712f4526c2d593bff8901a90f9ef3ed3208048528ad6da11,2013-01,Lincolnshire Police,Lincolnshire Police,-0.042798,52.984738,On or near Porcher Way,E01026010,Boston 002A,Criminal damage and arson,Investigation complete; no suspect identified,
ff473a552cef322f4dc0e64a6500485aa55e193d6203b86eb370fdd7d8962bb5,2013-01,Lincolnshire Police,Lincolnshire Police,-0.042522,52.985561,On or near Franklin Close,E01026010,Boston 002A,Criminal damage and arson,Investigation complete; no suspect identified,
b8bf6152c13f4c97af29339a88405f9cfedf8fd43a2ab06085c81d9c1f3173fd,2013-01,Lincolnshire Police,Lincolnshire Police,-0.040479,52.986256,On or near Hurle Crescent,E01026010,Boston 002A,Criminal damage and arson,Investigation complete; no suspect identified,
3955f84562f1dd5cc0679a807d2696c4598dc524ae66ed33d7cffe640a5dffbe,2013-01,Lincolnshire Police,Lincolnshire Police,-0.042522,52.985561,On or near Franklin Close,E01026010,Boston 002A,Criminal damage and arson,Investigation complete; no suspect identified,
37c57e8029f79b8d859a2398d60137293283dcd0f4c191dbb122af42bf83c3d6,2013-01,Lincolnshire Police,Lincolnshire Police,-0.042522,52.985561,On or near Franklin Close,E01026010,Boston 002A,Criminal damage and arson,Investigation complete; no suspect identified,
3d97558f37494949b315352b3b1edf5bdd9f62dcd0d91a44ec17801bbf79209d,2013-01,Lincolnshire Police,Lincolnshire Police,-0.044858,52.983981,On or near Ingelow Avenue,E01026010,Boston 002A,Criminal damage and arson,Investigation complete; no suspect identified,
168b3cc928a5da79224fbc6fecce5286fb7517eecbc8c0e6294502fd1d2265db,2013-01,Lincolnshire Police,Lincolnshire Police,-0.042798,52.984738,On or near Porcher Way,E01026010,Boston 002A,Criminal damage and arson,Investigation complete; no suspect identified,
bc582d5d075d68bda715f26012346beaedb203f4a86f8cc58b1f89d204371491,2013-01,Lincolnshire Police,Lincolnshire Police,-0.044917,52.986967,On or near Hollydene Close,E01026010,Boston 002A,Drugs,Offender given a caution,
ccfd2d97bcb20eadeee37aa70402b907548799ff9b7f1df24feaea047a86a247,2013-01,Lincolnshire Police,Lincolnshire Police,-0.046681,52.986178,On or near Haven Meadows,E01026010,Boston 002A,Drugs,Under investigation,
1e3cee76b3a54a526a0f1803f7ec15c2b5fcde30b4ca6f3a7393f68ac451b100,2013-01,Lincolnshire Police,Lincolnshire Police,-0.043817,52.987246,On or near Puritan Way,E01026010,Boston 002A,Other theft,Investigation complete; no suspect identified,
b6233e82b6732245533818c0815f133dd320e4cd613dd2ee10b40bad05d8bd8a,2013-01,Lincolnshire Police,Lincolnshire Police,-0.043817,52.987246,On or near Puritan Way,E01026010,Boston 002A,Other theft,Under investigation,
c7771a0a04ecd9734cf6ce45a8e97a0d60dae1ae47cf0dc6e8e03aaf703569db,2013-01,Lincolnshire Police,Lincolnshire Police,-0.046165,52.985387,On or near Joy Paine Close,E01026010,Boston 002A,Other theft,Investigation complete; no suspect identified,
7dcacacd8d773b90548d9aea7b1f83d28cc715fc2b89d2123b1257cc68349f4f,2013-01,Lincolnshire Police,Lincolnshire Police,-0.043817,52.987246,On or near Puritan Way,E01026010,Boston 002A,Vehicle crime,Investigation complete; no suspect identified,
c44163159da411f15dc8825edfc44f2cd787c94ef3c661e2373efd531cc8adfb,2013-01,Lincolnshire Police,Lincolnshire Police,-0.046681,52.986178,On or near Haven Meadows,E01026010,Boston 002A,Violent crime,Under investigation,
6e883e1b742c82209316a3555fc55dc5d2ae533cbd654f54aa5f4d9f1eabd858,2013-01,Lincolnshire Police,Lincolnshire Police,-0.044917,52.986967,On or near Hollydene Close,E01026010,Boston 002A,Violent crime,Investigation complete; no suspect identified,
1c18ae37357080bf66c690d9414a705afc7b8be2423c6b31401668e8c3eca95d,2013-01,Lincolnshire Police,Lincolnshire Police,-0.045614,52.988354,On or near Fenside Road,E01026010,Boston 002A,Violent crime,Investigation complete; no suspect identified,
,2013-01,Lincolnshire Police,Lincolnshire Police,-0.048661,52.984538,On or near Larkspur Croft,E01026011,Boston 002B,Anti-social behaviour,,
,2013-01,Lincolnshire Police,Lincolnshire Police,-0.048967,52.982044,On or near North Forty Foot Bank,E01026011,Boston 002B,Anti-social behaviour,,
,2013-01,Lincolnshire Police,Lincolnshire Police,-0.039156,52.983240,On or near Taverner Road,E01026011,Boston 002B,Anti-social behaviour,,
,2013-01,Lincolnshire Police,Lincolnshire Police,-0.037364,52.984316,On or near Carlton Road,E01026011,Boston 002B,Anti-social behaviour,,
,2013-01,Lincolnshire Police,Lincolnshire Police,-0.038755,52.983881,On or near Kyme Road,E01026011,Boston 002B,Anti-social behaviour,,
,2013-01,Lincolnshire Police,Lincolnshire Police,-0.040852,52.983609,On or near Ingram Road,E01026011,Boston 002B,Anti-social behaviour,,
,2013-01,Lincolnshire Police,Lincolnshire Police,-0.042056,52.984007,On or near Tilney Avenue,E01026011,Boston 002B,Anti-social behaviour,,
,2013-01,Lincolnshire Police,Lincolnshire Police,-0.042056,52.984007,On or near Tilney Avenue,E01026011,Boston 002B,Anti-social behaviour,,
,2013-01,Lincolnshire Police,Lincolnshire Police,-0.042056,52.984007,On or near Tilney Avenue,E01026011,Boston 002B,Anti-social behaviour,,
,2013-01,Lincolnshire Police,Lincolnshire Police,-0.042056,52.984007,On or near Tilney Avenue,E01026011,Boston 002B,Anti-social behaviour,,
97bc413be6f09ceae617ebefc4ba9b2f2356810a4f2680e3ca3a1d3177fcd9f2,2013-01,Lincolnshire Police,Lincolnshire Police,-0.041255,52.985585,On or near Shaw Road,E01026011,Boston 002B,Burglary,Under investigation,
eecd915af1d144d7bb953ae4f315f90f878495055bb47703af6ddbee1b72a798,2013-01,Lincolnshire Police,Lincolnshire Police,-0.034889,52.981749,On or near Fydell Court,E01026011,Boston 002B,Criminal damage and arson,Investigation complete; no suspect identified,
5538c4835f08c1b1b379b5124d9cc9ad890efd128a0780faff636179c01bbcef,2013-01,Lincolnshire Police,Lincolnshire Police,-0.032675,52.982279,On or near Witham Gardens,E01026011,Boston 002B,Criminal damage and arson,Investigation complete; no suspect identified,
73de8be67ff05b199688462563a4978a7304f0442dce2afc857a1daae60e89bf,2013-01,Lincolnshire Police,Lincolnshire Police,-0.035761,52.983534,On or near Bowman Close,E01026011,Boston 002B,Criminal damage and arson,Investigation complete; no suspect identified,
f2c5e3b4ab92e295fa77d1e0a4f00405bb2346fef1542e55f01a4cb7ed33e12b,2013-01,Lincolnshire Police,Lincolnshire Police,-0.038846,52.981859,On or near Laughton Road,E01026011,Boston 002B,Criminal damage and arson,Investigation complete; no suspect identified,
12bbb76cd529790181c535b67c707224b98593a272fd1ba41a3241203f28a5d4,2013-01,Lincolnshire Police,Lincolnshire Police,-0.049500,52.984435,On or near Fox Close,E01026011,Boston 002B,Criminal damage and arson,Investigation complete; no suspect identified,
aba2cf2be5136be4567c46d8f73a6c16824c5f220a7080df4b3e880c052fdd03,2013-01,Lincolnshire Police,Lincolnshire Police,-0.039156,52.983240,On or near Taverner Road,E01026011,Boston 002B,Criminal damage and arson,Investigation complete; no suspect identified,
57049d67939e014f0b6732b5f44dc56132c6e81f0dbe5bb99084d657115f87cb,2013-01,Lincolnshire Police,Lincolnshire Police,-0.048729,52.984036,On or near Fieldfare Croft,E01026011,Boston 002B,Criminal damage and arson,Investigation complete; no suspect identified,
15dc092e29bf9b87a11ab5ab10d386c9edf75d2ddca9b1d94670102cfa0dedf6,2013-01,Lincolnshire Police,Lincolnshire Police,-0.042056,52.984007,On or near Tilney Avenue,E01026011,Boston 002B,Criminal damage and arson,Investigation complete; no suspect identified,
3498cf7d7e3c50d5d6a5d22dbc7875db20d757792d11aca41211ee9f869154fa,2013-01,Lincolnshire Police,Lincolnshire Police,-0.039250,52.984779,On or near Cotton Road,E01026011,Boston 002B,Criminal damage and arson,Investigation complete; no suspect identified,
c3615962660483d667bf72f23cc45ee7aa1cc2e93d94e0b19a24ddbc96af04fb,2013-01,Lincolnshire Police,Lincolnshire Police,-0.039250,52.984779,On or near Cotton Road,E01026011,Boston 002B,Drugs,Offender given community sentence,
de2fe69a8b8c8b485d667bcf34dd75d945e735b0aa72f545594ba0ee17a8a08c,2013-01,Lincolnshire Police,Lincolnshire Police,-0.048967,52.982044,On or near North Forty Foot Bank,E01026011,Boston 002B,Other theft,Investigation complete; no suspect identified,
69cf7fee3d499cf94bda0ae642ef3cff79713bf7d2ddb8f4f2ab8610ebbb7618,2013-01,Lincolnshire Police,Lincolnshire Police,-0.040485,52.981203,On or near Argyle Street,E01026011,Boston 002B,Other theft,Investigation complete; no suspect identified,
8fbd785456e40b54413fde403087ae7c5f0d2ee7460cf85e9fd4bebed50643d3,2013-01,Lincolnshire Police,Lincolnshire Police,-0.039156,52.983240,On or near Taverner Road,E01026011,Boston 002B,Other theft,Investigation complete; no suspect identified,
47b3d7864ef570f0810a80a53f7ee365225ab704842357293da33f78926f484d,2013-01,Lincolnshire Police,Lincolnshire Police,-0.040852,52.983609,On or near Ingram Road,E01026011,Boston 002B,Other theft,Investigation complete; no suspect identified,
70bf16a0048a4cd39d07f6c9b2b6d38869ec3f2652531835953f0bbb6e1152ae,2013-01,Lincolnshire Police,Lincolnshire Police,-0.039156,52.983240,On or near Taverner Road,E01026011,Boston 002B,Other theft,Investigation complete; no suspect identified,
afbfba275fc7baf73d886e7ccb35e93160a706b651a04d9d39654769da5ef2e0,2013-01,Lincolnshire Police,Lincolnshire Police,-0.039250,52.984779,On or near Cotton Road,E01026011,Boston 002B,Other theft,Investigation complete; no suspect identified,
de662cc9f1a8b9b61f2909d26749fa856fbd28cdc0d4d720c493bb86c893c2ba,2013-01,Lincolnshire Police,Lincolnshire Police,-0.038846,52.981859,On or near Laughton Road,E01026011,Boston 002B,Other theft,Investigation complete; no suspect identified,
0ca97909fd21633bd1f47057c5df6977ad919d4132c593d9d4349bd2001f5f67,2013-01,Lincolnshire Police,Lincolnshire Police,-0.038846,52.981859,On or near Laughton Road,E01026011,Boston 002B,Public disorder and weapons,Offender sent to prison,
95644a26384afd572fea771c42abdd893913cd13697af0814e22f7350957048d,2013-01,Lincolnshire Police,Lincolnshire Police,-0.039250,52.984779,On or near Cotton Road,E01026011,Boston 002B,Vehicle crime,Investigation complete; no suspect identified,
12bb5dfa27fe5a6fb0eaa6a5873cbe18d89227b6a768ffc7818476e30add9ab1,2013-01,Lincolnshire Police,Lincolnshire Police,-0.034889,52.981749,On or near Fydell Court,E01026011,Boston 002B,Vehicle crime,Investigation complete; no suspect identified,
f2531f288e553e3e94e7d714b7c8b6a424be1a8f2acc5ad88117e583eef553e7,2013-01,Lincolnshire Police,Lincolnshire Police,-0.048967,52.982044,On or near North Forty Foot Bank,E01026011,Boston 002B,Vehicle crime,Investigation complete; no suspect identified,
d96d8487143e02f942e91cc2b31340da6085a03396df37c9b39fe1d9c1e1d57d,2013-01,Lincolnshire Police,Lincolnshire Police,-0.038846,52.981859,On or near Laughton Road,E01026011,Boston 002B,Vehicle crime,Investigation complete; no suspect identified,
