Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ef6866212229ba07a60d0d2d685c7390214db883aa1b43441b5cc01edf99eae4,2013-01,Thames Valley Police,Thames Valley Police,-0.819689,51.856869,On or near HIGH STREET,E01032958,Aylesbury Vale 008F,Investigation complete; no suspect identified
430a2aa01b4864bd07e291e6aa2274854b23581110908a00e3ba44b649b332da,2013-01,Thames Valley Police,Thames Valley Police,-0.780988,51.370605,On or near CLUB LANE,E01016207,Bracknell Forest 013A,Investigation complete; no suspect identified
bfd6fe5be2d743264ba020b801d3caaedea9d869b3548a448f620d5ef7ffa8f6,2013-01,Thames Valley Police,Thames Valley Police,-0.931660,51.442204,On or near Petrol Station,E01016403,Reading 012B,Investigation complete; no suspect identified
41e44f50f18c596f21da7b247775c54a81c389bc04d9b7d1ffffbf2e3c082ccf,2013-01,Thames Valley Police,Thames Valley Police,-1.480654,52.034150,On or near WALFORD ROAD,E01028504,Cherwell 009E,Investigation complete; no suspect identified
b081e7b44700194f1efb94b130ba0db2c6536d99531ff0ee612da5d9ac471d4f,2013-01,Thames Valley Police,Thames Valley Police,-1.489265,51.781929,On or near THE CROFTS,E01028818,West Oxfordshire 010E,Investigation complete; no suspect identified
29f34a87bb8ddc845f4a8917471626cfef6e159aa74b3b8bd5dcb38704d00312,2013-01,Thames Valley Police,Thames Valley Police,-0.595535,51.510344,On or near Pedestrian Subway,E01032730,Slough 009G,Investigation complete; no suspect identified
d6d397a7ac2711a8cd60d8e3985dd525c2be73833148a9f4cdb958cd94f7cd05,2013-01,Thames Valley Police,Thames Valley Police,-0.760783,51.996654,On or near DERWENT DRIVE,E01016832,Milton Keynes 029C,Investigation complete; no suspect identified
f32d7a4d9fd724a7b99449ece3cfdd9fe75b41b1c1d0758d9d2f611e4e51e445,2013-01,Thames Valley Police,Thames Valley Police,-1.331876,51.411322,On or near CHARMWOOD CLOSE,E01016310,West Berkshire 012A,Investigation complete; no suspect identified
2600ababba39e80f687f11d3db081e2ee17cfe14b6867029544e21c3ad1c7836,2013-01,Thames Valley Police,Thames Valley Police,-0.779876,52.050845,On or near Supermarket,E01016720,Milton Keynes 013B,Investigation complete; no suspect identified
648f2cc91400920fcb22dba275796d358b95ddbe8199baa7eef55ddc157aa3a0,2013-01,Thames Valley Police,Thames Valley Police,-0.984441,51.451737,On or near Petrol Station,E01016390,Reading 013C,Investigation complete; no suspect identified
6117ebdf5bf01837529326eca5ee7f745afe68b010f6fe51641a1ad5f5b658f6,2013-01,Thames Valley Police,Thames Valley Police,-0.971243,51.453708,On or near THE ORACLE SHOPPING CENTRE,E01033420,Reading 011H,Investigation complete; no suspect identified
cd41b9ae593d398e3e331346d8c41a7f6e443c3be7a2d05a2477de5792a58435,2013-01,Thames Valley Police,Thames Valley Police,-1.312700,51.460818,On or near GRACES LANE,E01016277,West Berkshire 001A,Investigation complete; no suspect identified
