Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6316fe648518e7a14512756ca5069cefbec21ed68a6ef102f637ac0b00405bc1,2013-02,Lancashire Constabulary,Lancashire Constabulary,-3.055314,53.793825,On or near Parking Area,E01012751,Blackpool 013D,Suspect charged
035e2747180dd68bdb6f0b21fde7a02ec09ccf4417b43a28a9a705b969af9b66,2013-02,Lancashire Constabulary,Lancashire Constabulary,-3.037420,53.806934,On or near SHAROW GROVE,E01012739,Blackpool 011E,Offender given a caution
3d1a506a3ced8ad5aae40d76824ab419c6927d9af9a92e70806f7099fd9de769,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.647230,53.788328,On or near B6242,E01025234,Preston 007A,Suspect charged
e9323da74a230a2c105663fcdd69e24df4bbb0f505780dfe16a67e9b2563c64f,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.363164,53.754805,On or near BURNLEY ROAD,E01025067,Hyndburn 004F,Suspect charged
8f900504b4f96c42b88089d80b5523ca9c0aa55d62ec34f5ebf6f47aed4813af,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.792045,54.053469,On or near GREBE WHARF,E01025091,Lancaster 013A,Investigation complete; no suspect identified
d202131df17cdfd1b40d8dcc11d92aae7b7dd51676e5f8ab471de41469e5bff8,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.667566,53.661869,On or near TALBOT DRIVE,E01024972,Chorley 005F,Investigation complete; no suspect identified
99907b3ae6c25f3a1f7b1a9f4cccf8c48ac4e7ff80bd293975d8f537d68f2d96,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.740867,53.770232,On or near BIRCH AVENUE,E01025266,Preston 008D,Investigation complete; no suspect identified
5f6b55b4d19c00d4cfce9a4936e91528a582e8a58f036ebf893157e2d63588a9,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.488430,53.717580,On or near ASHWOOD AVENUE,E01012598,Blackburn with Darwen 013C,Investigation complete; no suspect identified
1827abacbdeea93ed75f3a2238272697a8506eeea400b9a9b72d6b4cb50fb89c,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.269058,53.792866,On or near IVORY STREET,E01024881,Burnley 006A,Investigation complete; no suspect identified
1e693b423c7b213812038e2e38ee25779cde65585d601989b571714763ce292b,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.487173,53.735921,On or near INFIRMARY ROAD,E01012596,Blackburn with Darwen 009B,Investigation complete; no suspect identified
a3b0a270d7e154794ae236463ce7c84a8905e151082b3402a3457d6d7982897c,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.732163,53.768776,On or near ROSE TERRACE,E01025233,Preston 008A,Investigation complete; no suspect identified
a0db7d13c41bac75cf2b99a19cdafb3cfb78b4515ee5e1495501a91565e18e28,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.453261,53.693666,On or near NAVE CLOSE,E01012617,Blackburn with Darwen 015A,Investigation complete; no suspect identified
400da28488996f226e2443c4b1fe41de41afbb06eae338469dee837a09616933,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.757730,53.547089,On or near ENNERDALE,E01025528,West Lancashire 013C,Investigation complete; no suspect identified
7d4ab9dc45b9e97f8c64687091a81f47dd2510fd86b445586f894badfa54706e,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.757730,53.547089,On or near ENNERDALE,E01025528,West Lancashire 013C,Investigation complete; no suspect identified
b4e70a36618ffe39d22d9877968804938370aa23b9b425b56c727774bc043808,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.757730,53.547089,On or near ENNERDALE,E01025528,West Lancashire 013C,Investigation complete; no suspect identified
b56837301bdbc1f4fafb0db4870b5cc10f0801d148014def69677a2973d1d48c,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.686441,53.764417,On or near IRVIN STREET,E01025295,Preston 014A,Investigation complete; no suspect identified
02f074bf62b4f8762a493851fbde4e96b8d3c00ef125914315cc7f68195325f4,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.681518,53.768652,On or near DODGSON PLACE,E01025298,Preston 014D,Investigation complete; no suspect identified
7fd8d80b512c1ec7c66e953f750dd20c5762c0dae425186359a79eac16885361,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.662473,53.660342,On or near SOUTHPORT ROAD,E01024972,Chorley 005F,Investigation complete; no suspect identified
b97786c58c177cae08f3cfbfe00469922374bfe8e9888fefcfb8b169e7fddcfe,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.893907,54.038814,On or near BANKS CRESCENT,E01025124,Lancaster 016F,Investigation complete; no suspect identified
5a646d8df92eef265535256c850664c7151f1e1012689f9e0945dd778ecf9fdb,2013-02,Lancashire Constabulary,Lancashire Constabulary,-3.029736,53.797661,On or near TROUGHTON CRESCENT,E01012696,Blackpool 016C,Investigation complete; no suspect identified
d12985dacc6a993e7070cea6b0e4aa21d5134aa491793441f46c31a14f99b472,2013-02,Lancashire Constabulary,Lancashire Constabulary,-3.029736,53.797661,On or near TROUGHTON CRESCENT,E01012696,Blackpool 016C,Investigation complete; no suspect identified
58b1251752f2b2d3d59fe8e274b4f0c6e4b8b6ee59505f02dc306ec57eab2786,2013-02,Lancashire Constabulary,Lancashire Constabulary,-3.046860,53.808542,On or near SALTHOUSE AVENUE,E01012673,Blackpool 010A,Investigation complete; no suspect identified
d01aa52a5816e71ae5628d75b05c7384acbb791c440c3176a59acb16b39f30fa,2013-02,Lancashire Constabulary,Lancashire Constabulary,-3.046860,53.808542,On or near SALTHOUSE AVENUE,E01012673,Blackpool 010A,Investigation complete; no suspect identified
7896a637eb45693793160be17d6be5ea9799c49acbe1a1ee9e0c3370a56f0f5a,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.668503,53.681863,On or near SILVERSTONE STREET,E01032928,South Ribble 016D,Investigation complete; no suspect identified
518243e60fb4b2b970effa19994781c338edc947f3589d26330a00a82f131a54,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.675604,53.692240,On or near CROFT PARK,E01032928,South Ribble 016D,Investigation complete; no suspect identified
2740e81d601e454d94f542d720999064cd379af0c3de92c9b99d33011b683fa4,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.184405,53.915036,On or near ROOK STREET,E01025198,Pendle 002D,Investigation complete; no suspect identified
c72b162d1087b761a1aad204a9cfd91d15596d1d8b2c8b92057275f1e4b73d1f,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.190777,53.916932,On or near BUTTS,E01025197,Pendle 002C,Investigation complete; no suspect identified
f41ea0fc6117ef1023aeb3aec3eab1c7d3b96e304baf15fd5a5db5c76a51a9c0,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.194370,53.920045,On or near BYRON GROVE,E01025194,Pendle 001D,Investigation complete; no suspect identified
cc1fc95ce3052ff232b805ba73bbb2f8b0be11b469e0420a8200eb31cea2d680,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.191842,53.923401,On or near BLAKELEY CRESCENT,E01025191,Pendle 001A,Investigation complete; no suspect identified
7825698dd983e5488079878d28daaf1618e21ea6e20d58d2aec42c909babdacb,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.306164,53.672813,On or near ALDERWOOD GROVE,E01025358,Rossendale 008B,Investigation complete; no suspect identified
ad16e4507d91ba0ee5f8c577025ba71ed31b6edd67bb505c5ff76e071bf5a415,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.300873,53.690766,On or near DUCKWORTH LANE,E01025384,Rossendale 008D,Investigation complete; no suspect identified
51b82e3126e561dbab986bd987d0b1b06933fa15fead4190008a82db5f1f88a3,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.294547,53.695690,On or near ANDREW AVENUE,E01025384,Rossendale 008D,Investigation complete; no suspect identified
37553cd5104ec8d866a3eec507a2e06662406d5764b597e2730717a4476feb35,2013-02,Lancashire Constabulary,Lancashire Constabulary,-2.286399,53.702424,On or near ST MARY'S WAY,E01033281,Rossendale 004G,Investigation complete; no suspect identified
