Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a77669a81b7eb2e1a1a63b24a47386d9fdc7e2b21ec9ce2cdc01cb19f352d1b6,2013-02,Nottinghamshire Police,Nottinghamshire Police,-0.804121,53.064647,On or near BOWBRIDGE ROAD,E01028334,Newark and Sherwood 009D,Suspect charged
f9a45decfa7813b4d5df47744e7f04a706f32dc6d9b794d51caa088fadc263f6,2013-02,Nottinghamshire Police,Nottinghamshire Police,-0.811738,53.076338,On or near STODMAN STREET,E01028310,Newark and Sherwood 007F,Investigation complete; no suspect identified
56fc2032df2fcfd8a2ac421b9c4454aae1908e8c6c4471dbaf43f27430a67cef,2013-02,Nottinghamshire Police,Nottinghamshire Police,-0.806825,53.076972,On or near MOUNT LANE,E01028310,Newark and Sherwood 007F,Investigation complete; no suspect identified
897a3e0fa204c86e412b6e7711559a090763b14bb925d23592acccf4644466a2,2013-02,Nottinghamshire Police,Nottinghamshire Police,-0.813394,53.064983,On or near DEVON ROAD,E01028318,Newark and Sherwood 010C,Investigation complete; no suspect identified
3c52e43c87ed6598ffda44bcd40def1dc11fc35dc7297b93d1748006f285ca7a,2013-02,Nottinghamshire Police,Nottinghamshire Police,-0.745675,53.214162,On or near EAGLE ROAD,E01028317,Newark and Sherwood 004C,Investigation complete; no suspect identified
8ee58c6f633c5bbe7fe3b05cc7cf044740c685b6f04c034a090ce6ca1920710c,2013-02,Nottinghamshire Police,Nottinghamshire Police,-0.784112,53.053918,On or near Supermarket,E01028290,Newark and Sherwood 011F,Suspect charged
b1e0d71438589bdac6a9aba492db6da5fddf6a489c7390b24597e13655eb4317,2013-02,Nottinghamshire Police,Nottinghamshire Police,-0.968875,53.418862,On or near HARWELL SLUICE LANE,E01028023,Bassetlaw 003A,Suspect charged
2703ea200b20eb490ff1401c924ad6d044cb58b76c593c2cb4aeeaf24593a7de,2013-02,Nottinghamshire Police,Nottinghamshire Police,-1.148037,52.958295,On or near Parking Area,E01033399,Nottingham 023E,Investigation complete; no suspect identified
897344af19f6c67da44802206f76d829a7b1b86f55ae66041e7169f734c092c4,2013-02,Nottinghamshire Police,Nottinghamshire Police,-1.155052,52.956547,On or near Parking Area,E01013816,Nottingham 022D,Investigation complete; no suspect identified
bf2f4a3e312f77f79d19d15d4baf0fa16fafc39dd14f434cc9c6b910b0e4a9ff,2013-02,Nottinghamshire Police,Nottinghamshire Police,-1.155052,52.956547,On or near Parking Area,E01013816,Nottingham 022D,Investigation complete; no suspect identified
