Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
a9e2e23413e99bd37cd599a3414b9723f2164533003b92f19dc0ddae39e2e786,2013-02,Suffolk Constabulary,Suffolk Constabulary,0.431900,52.080012,On or near CLEMENTS LANE,E01030113,St Edmundsbury 014E,Investigation complete; no suspect identified
b8c95fb08035a11e35d2e310e0a347f61a370ea9569b28eaf1dcdad722ae81a6,2013-02,Suffolk Constabulary,Suffolk Constabulary,0.985272,52.192361,On or near SILVERDALE AVENUE,E01030077,Mid Suffolk 008B,Investigation complete; no suspect identified
c6ef5d1ef16cacaf8e8d802c9793219fddb1decf6e104c263c23eae82a2b53b8,2013-02,Suffolk Constabulary,Suffolk Constabulary,1.745461,52.469704,On or near CLEVELAND ROAD,E01030258,Waveney 007D,Suspect charged
308d0dcecf32dd15009b366e4556ae4d324ea1b9f0a30a3febab535015290a2f,2013-02,Suffolk Constabulary,Suffolk Constabulary,1.741226,52.466834,On or near ONTARIO ROAD,E01030254,Waveney 007B,Investigation complete; no suspect identified
51e1b57155c330cb377bd352ab537696e6edcd37d85f2e12b730c2019d37656d,2013-02,Suffolk Constabulary,Suffolk Constabulary,1.489496,52.219807,On or near THE LIMES,E01030209,Suffolk Coastal 003C,Investigation complete; no suspect identified
a2c7a904e31f1b795bda5f1c28df6fe0c1ab3cb527f441244202f0eb9cbea70f,2013-02,Suffolk Constabulary,Suffolk Constabulary,0.916086,52.060199,On or near THE STREET,E01029911,Babergh 004F,Investigation complete; no suspect identified
19a04dc89e3e589156a1a34f1a6db578affabdc6948738e75c83a21b4957962c,2013-02,Suffolk Constabulary,Suffolk Constabulary,1.145143,52.083624,On or near WETHERBY CLOSE,E01030033,Ipswich 001B,Investigation complete; no suspect identified
6630dd8cac900a4b40d6aab2ddad687d63cdc43f59309025d24026a3180b2ecc,2013-02,Suffolk Constabulary,Suffolk Constabulary,0.412644,52.242640,On or near NAT FLATMAN STREET,E01032612,Forest Heath 008F,Investigation complete; no suspect identified
d21ab326f5ef38545318d293bc462ec5657c187536db94f62e29dbbbaae8f331,2013-02,Suffolk Constabulary,Suffolk Constabulary,1.180188,52.068347,On or near LANCING AVENUE,E01029997,Ipswich 004A,Investigation complete; no suspect identified
dfc1b69d01cbf7666033bd5bc6156492f093ceab81f682a2146bed47f8db5a60,2013-02,Suffolk Constabulary,Suffolk Constabulary,1.186129,52.060172,On or near MILTON STREET,E01030002,Ipswich 008A,Investigation complete; no suspect identified
5b330aaa47d47a2d64076ff096efe2e5965e208a39827f072b32819e658df924,2013-02,Suffolk Constabulary,Suffolk Constabulary,1.186129,52.060172,On or near MILTON STREET,E01030002,Ipswich 008A,Investigation complete; no suspect identified
3faef985d28b764de2f5c5d2d4faf0699d8ef74b2194b6897fd9caf24dbe29f2,2013-02,Suffolk Constabulary,Suffolk Constabulary,1.139071,52.062219,On or near PROSPECT ROAD,E01030023,Ipswich 006B,Investigation complete; no suspect identified
aba0e4d43f3ac1c0fa404bdca8bffd7a1754f8c02202f428e47cae0f78f94ceb,2013-02,Suffolk Constabulary,Suffolk Constabulary,1.021109,52.195801,On or near SYCAMORE ROAD,E01030081,Mid Suffolk 005D,Investigation complete; no suspect identified
656fad47fc44105f8f1a4fb9044638c39cbfdba4cf89321b6210e933dbaf6027,2013-02,Suffolk Constabulary,Suffolk Constabulary,0.699943,52.264860,On or near SEVERN ROAD,E01030131,St Edmundsbury 003B,Investigation complete; no suspect identified
ffe41f33add1d85fa3fd0bfebcec5b2f0d47aa9bdee6b4dfade971eb1cd8d526,2013-02,Suffolk Constabulary,Suffolk Constabulary,1.487981,52.215795,On or near CHAPEL ROAD,E01030209,Suffolk Coastal 003C,Investigation complete; no suspect identified
5602ff179d0dd1a1c31b24bbcdfb44da46155bdac15e1253d649f281e9bef6a4,2013-02,Suffolk Constabulary,Suffolk Constabulary,1.718161,52.488467,On or near GORLESTON ROAD,E01030266,Waveney 003A,Investigation complete; no suspect identified
bf52777a9e6176e49c3f0d6bd12250b7d7e9be94ddb0673e8d4263e2f3ab0c69,2013-02,Suffolk Constabulary,Suffolk Constabulary,0.490049,52.371232,On or near BROOM WALK,E01032524,Forest Heath 003G,Investigation complete; no suspect identified
15a3b3c6862d184fd69ff2cdf71914c0cecf47a3e4737f5a1253dd3d4303f847,2013-02,Suffolk Constabulary,Suffolk Constabulary,1.165810,52.049127,On or near JOHN STREET,E01033126,Ipswich 011F,Investigation complete; no suspect identified
69af4ede2cf85905ffb3364c53c484e7861aa274faf27c5b39995b5db44cc045,2013-02,Suffolk Constabulary,Suffolk Constabulary,0.520273,52.309884,On or near HERRINGSWELL ROAD,E01033452,Forest Heath 005E,Investigation complete; no suspect identified
5ab14dcca4791606e3f5aa8b70a6e5d97a562995fe5831643846e9de64f637e5,2013-02,Suffolk Constabulary,Suffolk Constabulary,0.382277,52.248652,On or near Race Track,E01029951,Forest Heath 008D,Investigation complete; no suspect identified
e18f65254de4463f4d2cdbf17e8fdfc657e0815151f507d71f97b1c0baea0cd2,2013-02,Suffolk Constabulary,Suffolk Constabulary,1.197999,52.056802,On or near Further/Higher Educational Building,E01029965,Ipswich 009C,Investigation complete; no suspect identified
6bd2e6c21413e3f48988f46b911a9d7117ea801c3e5ac1c86f519ff874c61889,2013-02,Suffolk Constabulary,Suffolk Constabulary,1.121705,52.044837,On or near GANNET ROAD,E01030013,Ipswich 013B,Investigation complete; no suspect identified
e652604e40ef0e4933d9069e31c5edc24546facad397e845cd0b49c79d1a884e,2013-02,Suffolk Constabulary,Suffolk Constabulary,1.116936,52.075632,On or near KERRY AVENUE,E01030029,Ipswich 003C,Investigation complete; no suspect identified
dc0a31d7671c61b7877ba910d208cab022b8aad62c6e0025153f351f5062f5d1,2013-02,Suffolk Constabulary,Suffolk Constabulary,1.125103,52.084724,On or near BALLATER CLOSE,E01030035,Ipswich 001D,Investigation complete; no suspect identified
99dd02abda882b8802d7d6a82040c457d5d2e8e91ea51144f26b67aca8e52f54,2013-02,Suffolk Constabulary,Suffolk Constabulary,1.092109,52.353946,On or near OLD BURY ROAD,E01030064,Mid Suffolk 001C,Investigation complete; no suspect identified
3dd6679f7d9d798c31a86453c96fcd4ade2900c78d7367c318e3eab2f5b39a11,2013-02,Suffolk Constabulary,Suffolk Constabulary,0.425854,52.081566,On or near BURTON CLOSE,E01030109,St Edmundsbury 012A,Investigation complete; no suspect identified
955231bef82e679a9486dfe22cb8e78b07dde5d2c19444aca1d65ffd8203e4f3,2013-02,Suffolk Constabulary,Suffolk Constabulary,1.548229,52.119058,On or near HIGH HOUSE FARM ROAD,E01030199,Suffolk Coastal 007C,Investigation complete; no suspect identified
a835d60cab9b73387ec590f5641dc0cc8a6050f7dddbdbc14c359a14fbacd6d3,2013-02,Suffolk Constabulary,Suffolk Constabulary,1.738469,52.461426,On or near HILL HOUSE GARDENS,E01030256,Waveney 007C,Investigation complete; no suspect identified
8a6d0db0b90cba4953ef6353638e991cac3acd45ad4b618d2b3f24bd86b2161e,2013-02,Suffolk Constabulary,Suffolk Constabulary,1.713799,52.470110,On or near DELL ROAD,E01030290,Waveney 005E,Investigation complete; no suspect identified
