Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
7d1afaf3638683b928a8eb81d7236da6b553d988122cf85b4bb7e6424a9c2a85,2013-02,Thames Valley Police,Thames Valley Police,-0.813019,51.815630,On or near Shopping Area,E01032955,Aylesbury Vale 015E,Investigation complete; no suspect identified
0dbf4183af2f527d63a0fbf571c9eaa713b0d84f5600ae950a8d4b985327bb44,2013-02,Thames Valley Police,Thames Valley Police,-1.310731,51.600104,On or near TUDOR WALK,E01028732,Vale of White Horse 010C,Investigation complete; no suspect identified
a4ff132dfdd1acbcc4f140b747db76d673392e0c561b1cce0e26627a1ff46355,2013-02,Thames Valley Police,Thames Valley Police,-1.302901,51.619228,On or near A34,E01028727,Vale of White Horse 015B,Investigation complete; no suspect identified
92b97a8186de7e8295a686f3652703198d7eb8ec7e452af3852d2876869d5052,2013-02,Thames Valley Police,Thames Valley Police,-0.796605,51.368932,On or near EDGEDALE CLOSE,E01016206,Bracknell Forest 012A,Investigation complete; no suspect identified
9e21df8478d3bbe392e688c15122f90b0f4de45c514e01d8bfbd7bd956b543f8,2013-02,Thames Valley Police,Thames Valley Police,-0.743341,51.397651,On or near FRENSHAM,E01016205,Bracknell Forest 010A,Investigation complete; no suspect identified
4aaa270777e9b0e7c15dc81ce64d6bde7db94ef6d3eaf3b36b0839d2d1615238,2013-02,Thames Valley Police,Thames Valley Police,-0.745562,51.391587,On or near HILLBERRY,E01016217,Bracknell Forest 010B,Investigation complete; no suspect identified
29b47aa8e28a3ca9195180cdd4267a14bc3aeeb1fbf2e2db1f549785599d7331,2013-02,Thames Valley Police,Thames Valley Police,-0.769233,51.396469,On or near HOLBECK,E01016212,Bracknell Forest 011A,Investigation complete; no suspect identified
cf82dd62abce09b681d70863bcb8877f8fcc821734e9f5ae50780a64fe53f54a,2013-02,Thames Valley Police,Thames Valley Police,-0.751643,51.411093,On or near CROWTHORNE ROAD NORTH,E01016249,Bracknell Forest 007D,Investigation complete; no suspect identified
880c0bcc625286065257b23d8cbb3c027f9bfff0cc515aef95ddeeb39fc1f544,2013-02,Thames Valley Police,Thames Valley Police,-0.733802,51.521270,On or near BOYNDON ROAD,E01016536,Windsor and Maidenhead 005D,Investigation complete; no suspect identified
e322fc924843d49d060822773fcd0d205586639840580bf2aa0ec0676b52ee5f,2013-02,Thames Valley Police,Thames Valley Police,-0.759797,51.504544,On or near BEAUMONT CLOSE,E01016563,Windsor and Maidenhead 008E,Investigation complete; no suspect identified
ac8e699ab5d8af05dbeccb9f21490a04a4891f6efe769dd029726594205f48f0,2013-02,Thames Valley Police,Thames Valley Police,-0.705403,51.501070,On or near REGAL COURT,E01016539,Windsor and Maidenhead 009A,Investigation complete; no suspect identified
2329ef0505bfb6c8b5acd4ccfe1afabb89abebe153f6b69cc799c9b48499d21a,2013-02,Thames Valley Police,Thames Valley Police,-0.751968,51.515269,On or near TIMBERS WALK,E01016534,Windsor and Maidenhead 006C,Investigation complete; no suspect identified
451557edcd760819ff92bd89fbbd212267ac743b8a0f0b7adcad442847ac1366,2013-02,Thames Valley Police,Thames Valley Police,-0.905729,51.534976,On or near Parking Area,E01028655,South Oxfordshire 017C,Investigation complete; no suspect identified
03c6e605b192a99ee869bc0c2ca10c0891c618dba2345c2da776a61e4d737a97,2013-02,Thames Valley Police,Thames Valley Police,-0.898270,51.529826,On or near Petrol Station,E01028653,South Oxfordshire 017A,Investigation complete; no suspect identified
5812a5107fc109ce8df4595713a9f1be65ed21722a13c63c99318c0abe94ca37,2013-02,Thames Valley Police,Thames Valley Police,-1.125344,51.600938,On or near HIGH STREET,E01028677,South Oxfordshire 012F,Investigation complete; no suspect identified
70bb540e3809ebcd3ac33e8585ab18ea1f767c45506635d28da0b8fae485ef82,2013-02,Thames Valley Police,Thames Valley Police,-1.125344,51.600938,On or near HIGH STREET,E01028677,South Oxfordshire 012F,Investigation complete; no suspect identified
89a4b12e95f46b6a4f2b72f262822d86d8995d6ec41f82f4dbe5aaffffadaff0,2013-02,Thames Valley Police,Thames Valley Police,-1.294873,51.672148,On or near SPRING ROAD,E01028698,Vale of White Horse 006D,Investigation complete; no suspect identified
26b9926468ce9517e1be848b3e761ef2968524d126966a75e588bb8bb624770c,2013-02,Thames Valley Police,Thames Valley Police,-1.264246,51.678317,On or near CAMPION ROAD,E01028689,Vale of White Horse 005B,Investigation complete; no suspect identified
74eeb3c3ca13d393d9afaf73bab223777abda599252b0e8ed6657691890633bc,2013-02,Thames Valley Police,Thames Valley Police,-1.244684,51.718825,On or near Supermarket,E01028734,Vale of White Horse 002B,Investigation complete; no suspect identified
f877ffcccde24ad2533aa887121312330a2a05b56d7dd927221e41ef0a825568,2013-02,Thames Valley Police,Thames Valley Police,-1.230467,51.610512,On or near HUMBER CLOSE,E01028629,South Oxfordshire 009E,Investigation complete; no suspect identified
29cd2ccc49898f87358199b09c192ce3f2f6cd1266fb87e24fac1cc98654abd7,2013-02,Thames Valley Police,Thames Valley Police,-0.718849,51.518392,On or near Parking Area,E01032734,Windsor and Maidenhead 005H,Investigation complete; no suspect identified
e3783c3a4587f6c13a248c0be31c7d8b73cf88c66693bdca43c1ec106fb076b8,2013-02,Thames Valley Police,Thames Valley Police,-1.493235,51.787278,On or near MOORLAND ROAD,E01028807,West Oxfordshire 010A,Investigation complete; no suspect identified
4c3f87d0bf17a62b5d308c75b96c273eb81cd3bd72954f0b5c18a3465ea1e845,2013-02,Thames Valley Police,Thames Valley Police,-1.368948,51.787216,On or near HANBOROUGH ROAD,E01028785,West Oxfordshire 011A,Investigation complete; no suspect identified
7ff46cfa640c5b9be36110570084b6162f4071b768f49d864bbb9d136f049163,2013-02,Thames Valley Police,Thames Valley Police,-1.351252,51.829280,On or near PARK STREET,E01028825,West Oxfordshire 004F,Investigation complete; no suspect identified
d3e772e9237d64f39e45b1276928d3113d549bf44bf89bded5670b6b00d244d2,2013-02,Thames Valley Police,Thames Valley Police,-1.586768,51.768861,On or near BLUEBELL WAY,E01032951,West Oxfordshire 013G,Investigation complete; no suspect identified
0bf061c4955154e5729e74bbd3e3730e2f1873e25d5901f1f6402d01e814ac76,2013-02,Thames Valley Police,Thames Valley Police,-1.566518,51.767862,On or near MANOR ROAD,E01028766,West Oxfordshire 012B,Investigation complete; no suspect identified
2b1c68f984b871a3ebec20b8a917d59c69c7ab4d2354ea9ad3931374c1463bbd,2013-02,Thames Valley Police,Thames Valley Police,-1.538609,51.833166,On or near WITNEY LANE,E01028793,West Oxfordshire 007C,Investigation complete; no suspect identified
b22c4c939fba9fb4b9760db8a4ad72364b8852d64cdf6e3cb1a28a9e47656242,2013-02,Thames Valley Police,Thames Valley Police,-1.595221,51.760277,On or near PEEL PLACE,E01028771,West Oxfordshire 014A,Investigation complete; no suspect identified
950c0ad729e68d302f698c2de8644e4a99877336b93813022cae5405912004b8,2013-02,Thames Valley Police,Thames Valley Police,-1.167023,51.898961,On or near ASHDENE ROAD,E01028466,Cherwell 014A,Investigation complete; no suspect identified
0da5eeb54692997f6d8e9c346196819058e961d25b232c895e27c05e85345a8d,2013-02,Thames Valley Police,Thames Valley Police,-1.551671,51.933861,On or near HAILEY ROAD,E01028781,West Oxfordshire 001B,Investigation complete; no suspect identified
64f1d6a62ca6c06f37bff6e59bfca43172611d89d9d8f88a86ef261d0e0feebe,2013-02,Thames Valley Police,Thames Valley Police,,,No location,,,Investigation complete; no suspect identified
b85160c7f5c84b1159436a21ffa824e25c780b1e877c6fe3d3ab0670ce3de0ce,2013-02,Thames Valley Police,Thames Valley Police,-0.914233,51.699144,On or near Petrol Station,E01028613,South Oxfordshire 005B,Investigation complete; no suspect identified
d99f95d90f6fef74a2533c2990d73cae8e7eb0f63e90f73ddf6e1dc9928fa241,2013-02,Thames Valley Police,Thames Valley Police,-0.967298,51.739670,On or near JEFFERSON WAY,E01028673,South Oxfordshire 003D,Investigation complete; no suspect identified
ae5f810fdbc97ebc4691710180e494172001dac47a406ca3118278660b2f0f2b,2013-02,Thames Valley Police,Thames Valley Police,-0.993108,51.747402,On or near JUBILEE GARDENS,E01028672,South Oxfordshire 003C,Investigation complete; no suspect identified
f7ec9abcef34d892e204b113636d90f4d147f33e5c59c7f0a3dc426d22c91b69,2013-02,Thames Valley Police,Thames Valley Police,-1.277571,51.808872,On or near Petrol Station,E01028511,Cherwell 019C,Investigation complete; no suspect identified
