Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d758dbc348b30e3f9b395285fbf397a994bbade1783bd6c609f7d44f84ac553f,2013-03,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
e98f18a23104377693d4c4c806ddfea15e549f04cfa5446430848483e8081b3a,2013-03,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
1339231cf71129abb8c7ea7a6b763bbe66ec2bf4efd80a70ca30ab44a944f4d1,2013-03,Dorset Police,Dorset Police,-1.778524,50.735000,On or near Shopping Area,E01020367,Christchurch 006D,Investigation complete; no suspect identified
27ca5f2ece52e15323976832e02b49b438e43c44a0e613540a302f3585d74e0b,2013-03,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
44c589ea82cec45be603b48e3f6f60632a9c6bcd685d5a7c50ca479146089480,2013-03,Dorset Police,Dorset Police,,,No location,,,Suspect charged
e2e81c4c5ce0f4d4652d19f354dc764ed63bfc629026cae9fdb843840e639651,2013-03,Dorset Police,Dorset Police,,,No location,,,Suspect charged
51c7d132dd97f77ae4fefa82b8a3a3616eec032fe14b20e91cfc5ace9eb5c587,2013-03,Dorset Police,Dorset Police,-1.964570,50.803737,On or near THE VINERIES,E01020381,East Dorset 007D,Investigation complete; no suspect identified
105d653a2a7829fa46a947aaaa0488ceed3d3c9bd0d93bb349a8c93afb557579,2013-03,Dorset Police,Dorset Police,-1.979630,50.795242,On or near ETHELBERT ROAD,E01020429,East Dorset 010D,Investigation complete; no suspect identified
f5d232aeeacc70b5fbd64c32080bcd2065f8602b5973562e17a78afc74f4bb48,2013-03,Dorset Police,Dorset Police,-2.300755,50.933906,On or near THOMAS HARDY CLOSE,E01020459,North Dorset 004E,Investigation complete; no suspect identified
679c2c80f6a2201d7961531f7b4ec15a3b3ec702898c39644c3cc7621c38c525,2013-03,Dorset Police,Dorset Police,-2.063454,50.616686,On or near THE LANE,E01020466,Purbeck 005A,Investigation complete; no suspect identified
e8b5961ebfd0cad993882ac1f2e4dd233fc542b408c4e2e7444b627b4b29b3d4,2013-03,Dorset Police,Dorset Police,-2.458080,50.616728,On or near RADIPOLE PARK DRIVE,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
b2160ba4daa15f40fd4e68adac9cced1d1d9ccab971092e71ec15081cc9cbe45,2013-03,Dorset Police,Dorset Police,-2.449489,50.708821,On or near COBURG ROAD,E01020526,West Dorset 009C,Investigation complete; no suspect identified
b72cf2d762942ffd9acac19a4118a5b34a4b56e10a798ecc5fe29f58d0ed20c5,2013-03,Dorset Police,Dorset Police,-1.774661,50.733913,On or near CASTLE STREET,E01020367,Christchurch 006D,Investigation complete; no suspect identified
124061ef6aef562c3d95f8318927f051a7fd7a551409603ef7ec5308f37f0540,2013-03,Dorset Police,Dorset Police,-1.912734,50.847602,On or near BURT'S LANE,E01020398,East Dorset 005B,Investigation complete; no suspect identified
6365261e30765ba9fdcf54463293a117bb39cb0449309d736323734ab6cd722f,2013-03,Dorset Police,Dorset Police,-1.976323,50.797688,On or near Petrol Station,E01020427,East Dorset 010B,Investigation complete; no suspect identified
a8c364bdc02125957b40dca95d9196a0fdbfe25943fe671a0c80b631b4d81d08,2013-03,Dorset Police,Dorset Police,-2.162848,50.857008,On or near THE TABERNACLE,E01020438,North Dorset 007D,Investigation complete; no suspect identified
b7441a4fd1c6877c87337b2ebe9d9449e8aa8d2c37f1859cc25b15e0e35d4b17,2013-03,Dorset Police,Dorset Police,-2.184637,51.006581,On or near POUND LANE,E01020455,North Dorset 003B,Investigation complete; no suspect identified
bc9096eef5e85a6eb9a358fe6d4455b190ece1270cb9ad9bdaef68db54f8e076,2013-03,Dorset Police,Dorset Police,-2.109551,50.684934,On or near SOUTH STREET,E01020485,Purbeck 003C,Investigation complete; no suspect identified
56d6393ee36f41680a014ced50cc188507560dd202202977161a5de5309e41d5,2013-03,Dorset Police,Dorset Police,-2.764513,50.741524,On or near ALLINGTON MEAD,E01020499,West Dorset 006B,Investigation complete; no suspect identified
1cd0a9d3dcce5be0cfd1fad955a69ee6bbd258250bbdb3ad376c9c02a2dd08bd,2013-03,Dorset Police,Dorset Police,-2.458540,50.621816,On or near HANOVER ROAD,E01020553,Weymouth and Portland 004A,Investigation complete; no suspect identified
1508442b68794f83863e74c6b5db877c0446d78216fc2794aa363a30f864516c,2013-03,Dorset Police,Dorset Police,-2.459464,50.606480,On or near HIGH WEST STREET,E01020582,Weymouth and Portland 004F,Investigation complete; no suspect identified
868c932d60c2ae36aa627fa730e4710979e734765bd0d4b181418974866e8ff5,2013-03,Dorset Police,Dorset Police,-2.468978,50.605354,On or near BRADFORD ROAD,E01020584,Weymouth and Portland 006B,Investigation complete; no suspect identified
8e42e0462d63f4cc66d4adaa96ed7abb67828fd8b27edaea62d95a4a2cd19900,2013-03,Dorset Police,Dorset Police,-2.475946,50.592861,On or near PARKMEAD ROAD,E01020586,Weymouth and Portland 007A,Investigation complete; no suspect identified
f717a796239e8ac14c8aa3422f90c83aca9efa2000c154e8804f58afac09ab73,2013-03,Dorset Police,Dorset Police,-2.327179,50.692052,On or near LAWRENCE DRIVE,E01020537,West Dorset 011B,Investigation complete; no suspect identified
68e2852715e36c285436a1141f3d819fad10fe575f75ea05a97323186691a1ca,2013-03,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
e9298a60a0a8e776185c40c7baf9626b11dce040d1f31f75c959965071cb639f,2013-03,Dorset Police,Dorset Police,-1.742041,50.723675,On or near Ferry Terminal,E01020356,Christchurch 007C,Investigation complete; no suspect identified
ba3cd36dd5034fbac0388827a7fb141a67fe70013edc07cab33397c700286b5a,2013-03,Dorset Police,Dorset Police,-2.074132,50.799627,On or near BALL'S LANE,E01020409,East Dorset 005C,Investigation complete; no suspect identified
b3998743b43a49d7338f911d6b025ba5da7a06aaa4accf74bca058625f175987,2013-03,Dorset Police,Dorset Police,-2.055864,50.925172,On or near MILLER'S LANE,E01020442,North Dorset 006A,Investigation complete; no suspect identified
9a703d1098164d9d19b7c4f44f10e8bda4dc1edee97ee88ca3c25b81d2d7905e,2013-03,Dorset Police,Dorset Police,-2.243512,50.918825,On or near COOPER GARDENS,E01020446,North Dorset 005C,Investigation complete; no suspect identified
ff343a7e9600556d5dc3928caba1c7a39ad544119f79f2085844e59dbc3c16bf,2013-03,Dorset Police,Dorset Police,-2.304062,50.932594,On or near STOUR VIEW CLOSE,E01020459,North Dorset 004E,Investigation complete; no suspect identified
ae09e13b2c2a5d7091b3a85813891e1558a326eaa1bca790dd459bdacd30136b,2013-03,Dorset Police,Dorset Police,-2.052889,50.635945,On or near Sports/Recreation Area,E01020466,Purbeck 005A,Investigation complete; no suspect identified
f99efc816443bcbcdac5fea7c41cb18ac81ddc28c6c3ec636287eb34f7ef5505,2013-03,Dorset Police,Dorset Police,-1.956744,50.609384,On or near Theatre/Concert Hall,E01020479,Purbeck 006B,Investigation complete; no suspect identified
9283281ca024c50f945d5706879faec3bd4c733878e48e5d27a084372b9443e7,2013-03,Dorset Police,Dorset Police,-2.453064,50.732971,On or near GREENACRE,E01020510,West Dorset 004B,Investigation complete; no suspect identified
8253795a89850a256c4cb092cfd56db77c2cc0d9fcf50f5e88aa4e22ca681a69,2013-03,Dorset Police,Dorset Police,-2.456623,50.604908,On or near SPRING GARDENS,E01020582,Weymouth and Portland 004F,Investigation complete; no suspect identified
98b62d12fdaae47b3c3ca58127aee0e8eca85353f27aae9bf339762ba129ea40,2013-03,Dorset Police,Dorset Police,-2.152784,50.855349,On or near WESTBURY WAY,E01033154,North Dorset 006E,Investigation complete; no suspect identified
4e3db9d1c44cca08f97d555217bed12db93738a7df165a4a392a213aa05f0261,2013-03,Dorset Police,Dorset Police,-2.452211,50.710618,On or near WINDSOR ROAD,E01020528,West Dorset 009E,Investigation complete; no suspect identified
351843dfe7f161d7ffa511f78fee58e8dc0fb688e6564072665185a54c36ce0b,2013-03,Dorset Police,Dorset Police,-2.515826,50.949637,On or near Supermarket,E01020544,West Dorset 001C,Investigation complete; no suspect identified
3904557942fdf44acca75da088707603ab336795d0525b73cce7a4b6b335db24,2013-03,Dorset Police,Dorset Police,-2.020851,50.770468,On or near LAUREL CLOSE,E01020382,East Dorset 012A,Investigation complete; no suspect identified
d0fc479a97250e54af77372a1f34211cf5bf7bc5052d4704adf53898855b16ef,2013-03,Dorset Police,Dorset Police,-1.883338,50.810707,On or near BADGERS WALK,E01020390,East Dorset 008A,Investigation complete; no suspect identified
50d4db2242713d3735ffc18bffb3e07e2d57101b544a230756cef427784bc113,2013-03,Dorset Police,Dorset Police,-1.877332,50.827877,On or near FOREST ROAD,E01020424,East Dorset 006D,Investigation complete; no suspect identified
1c029e2a0484500c75bdb6e4ead307c7782749d6d758f9268031418f705af70c,2013-03,Dorset Police,Dorset Police,-1.985688,50.798535,On or near Nightclub,E01020428,East Dorset 010C,Investigation complete; no suspect identified
48d02a9a3ba39f29cbed438e8e6ec520ddb8e89448e8bb1c7400cde725b8f5e9,2013-03,Dorset Police,Dorset Police,-2.268964,51.037395,On or near HARDING'S LANE,E01020443,North Dorset 001A,Investigation complete; no suspect identified
f26dbcf880a6a34a38f5b9ca8dea226dac8c9c5057bb3962945df9ada5fc61bc,2013-03,Dorset Police,Dorset Police,-2.305540,50.930144,On or near HANOVER CLOSE,E01020459,North Dorset 004E,Investigation complete; no suspect identified
35e828c9dd74fcd24cc65a3672c3d2bb47c6805e769a8e1dae60edff3559da1d,2013-03,Dorset Police,Dorset Police,-2.456698,50.625753,On or near FERNDALE ROAD,E01020561,Weymouth and Portland 002E,Investigation complete; no suspect identified
7abb0377122efb3ca5804bce32815bcb1f7dc40aa2e9c8885b792dd8ec7b3779,2013-03,Dorset Police,Dorset Police,-2.463554,50.601302,On or near DOWN ROAD,E01020583,Weymouth and Portland 006A,Investigation complete; no suspect identified
9ea7ea0a521ebf573e5a7295956192ac4f36d623d3e16cd92ba01abda9af3029,2013-03,Dorset Police,Dorset Police,-2.196293,51.006013,On or near HIGH STREET,E01020454,North Dorset 003A,Investigation complete; no suspect identified
9a36df1c5e7a3ce3f2022b4f99b6eb1f5cec3fcb51aa7f3fe5831da7c581a6fe,2013-03,Dorset Police,Dorset Police,-2.507682,50.950887,On or near TINNEYS LANE,E01020542,West Dorset 001A,Investigation complete; no suspect identified
7eddd976cc51b7b40a9c32e763e884bfaa5a9b2f1091068d510308bb4074e230,2013-03,Dorset Police,Dorset Police,-2.515155,50.954613,On or near SIMONS ROAD,E01020543,West Dorset 001B,Investigation complete; no suspect identified
fa798d9479643f0b5899289e36fc152d0790d9d850c0db03c7dce4602d642950,2013-03,Dorset Police,Dorset Police,-2.653245,50.870705,On or near BRANSFORD,E01020530,West Dorset 003E,Investigation complete; no suspect identified
560476639bc6139cec6b262943741cb05e1fff8945d3e2e72d4d39b2ab0a6f9a,2013-03,Dorset Police,Dorset Police,-1.788962,50.736350,On or near GLEADOWE AVENUE,E01020368,Christchurch 006E,Investigation complete; no suspect identified
25d3f3c4889dd48cfa3caf9f915635c1ccbcff69cda15d55f76192ccf115e448,2013-03,Dorset Police,Dorset Police,-1.829831,50.841639,On or near STRUAN COURT,E01020403,East Dorset 004A,Investigation complete; no suspect identified
4af2c78231bc809423580ceee0ed62130387ad3f9ad9f30dc2d48a9b85912873,2013-03,Dorset Police,Dorset Police,-2.205007,51.000720,On or near FOYLE HILL,E01020457,North Dorset 003D,Investigation complete; no suspect identified
d339f599be2c3eac0d707424326abb92c742cb314611285a09a933231ac44a51,2013-03,Dorset Police,Dorset Police,-1.968009,50.608309,On or near GORDON ROAD,E01020482,Purbeck 006E,Investigation complete; no suspect identified
316eee0c4b3dd48a07cc39f5ef0f9ca7355ccf9046947e9120cc2959b675cbf4,2013-03,Dorset Police,Dorset Police,-2.945750,50.727424,On or near CLAPPENTAIL PARK,E01020532,West Dorset 005B,Investigation complete; no suspect identified
5d34890af440b4be8aa414c8cc57a36052651957c69e58f403bb6ef8e39051e5,2013-03,Dorset Police,Dorset Police,-2.360930,50.802599,On or near DRAKE'S LANE,E01020540,West Dorset 004E,Investigation complete; no suspect identified
98d7580c721f9660287d746652c6cd7777ba809e22432756b94b1cdef49b18a0,2013-03,Dorset Police,Dorset Police,-1.971315,50.797471,On or near BEECH COURT,E01020427,East Dorset 010B,Investigation complete; no suspect identified
f68e24770e95c7d510b542005583728b374b11c8eab0272a257a7c3c12211e5a,2013-03,Dorset Police,Dorset Police,-2.023939,50.735909,On or near FACTORY ROAD,E01020473,Purbeck 002C,Investigation complete; no suspect identified
319f5e8dc932abe98f460499f834a2d99ec617c059ee15cbc66254e418e12874,2013-03,Dorset Police,Dorset Police,-2.149052,50.727668,On or near Parking Area,E01020476,Purbeck 003A,Investigation complete; no suspect identified
0febc776dd9268dcd876fd19c8f05d3aec0989e2698e69db907172a3d6ace6ef,2013-03,Dorset Police,Dorset Police,-2.729370,50.810183,On or near FLAXFIELD ROAD,E01020496,West Dorset 003C,Investigation complete; no suspect identified
4977d64741612b68cbe548129afe1fa281d7dbcfcef0665a0ec796dfd2c354af,2013-03,Dorset Police,Dorset Police,-2.422398,50.712196,On or near STINSFORD VIEW,E01020518,West Dorset 010A,Investigation complete; no suspect identified
b7ad3cb6064b419c6a61917553bb96bf1e1b9b8991835baab180c82617d891f3,2013-03,Dorset Police,Dorset Police,-2.464315,50.864623,On or near KENNELS LANE,E01020539,West Dorset 004D,Investigation complete; no suspect identified
b1cd13d62221e998c27ec0b7c2d54bebaa91417b26d45e249076202805b177b1,2013-03,Dorset Police,Dorset Police,-2.375418,50.956225,On or near Petrol Station,E01020434,North Dorset 004B,Investigation complete; no suspect identified
