Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
5ce6ffb8785b7862a1ac88b12c7d7ba4e2eaef8c517d4217a0f650a443ea6fd5,2013-03,Norfolk Constabulary,Norfolk Constabulary,0.447674,52.774364,On or near LANGLEY ROAD,E01026710,King's Lynn and West Norfolk 005E,Offender given a caution
6b0ee78ddb2d86d843eb8423345f992106379a9e8534d9429b9734af63d324b1,2013-03,Norfolk Constabulary,Norfolk Constabulary,1.292730,52.628858,On or near GAOL HILL,E01026822,Norwich 007A,Suspect charged
184578f4cad1c6dcafbefb449da9d1e715488eb2abae2ec21a06910c41864a0d,2013-03,Norfolk Constabulary,Norfolk Constabulary,0.902932,52.631783,On or near MARKET STREET,E01026451,Breckland 008C,Offender given penalty notice
2a9d1f68adef0f844fc63155ddaa94cd0bc6675665baa66b4a49abefb3086b0c,2013-03,Norfolk Constabulary,Norfolk Constabulary,1.251578,52.627612,On or near SALTER AVENUE,E01026858,Norwich 010A,Investigation complete; no suspect identified
a45b7d42a219e683d763fa08342e1928e579f3f509a5398e130ef21935f2bce5,2013-03,Norfolk Constabulary,Norfolk Constabulary,0.489844,52.935768,On or near NENE ROAD,E01026683,King's Lynn and West Norfolk 001D,Investigation complete; no suspect identified
d6b9aed13abc21b74d4ba844537ccdf7144fe3b033b9cb7e2c5ab0d3a422b1ad,2013-03,Norfolk Constabulary,Norfolk Constabulary,0.751767,52.413716,On or near THE LINK,E01026468,Breckland 016A,Investigation complete; no suspect identified
6b9889ed3f9d72c3c1261f9737b18f5e71193c26f95549c9cf684057870b23ca,2013-03,Norfolk Constabulary,Norfolk Constabulary,1.143210,52.891925,On or near HALL LANE,E01026733,North Norfolk 006C,Investigation complete; no suspect identified
3eeb3b3689e024ef7c895404ca50823f0dba7a87a3bdcf59951fecf256602a2a,2013-03,Norfolk Constabulary,Norfolk Constabulary,1.092179,52.375763,On or near TOTTINGTON LANE,E01026932,South Norfolk 015F,Investigation complete; no suspect identified
64546e0b5ff5eefe1027bf18cd93cf60456dab1279941e1cedf55c218a89e5a1,2013-03,Norfolk Constabulary,Norfolk Constabulary,1.301557,52.629493,On or near Nightclub,E01033438,Norwich 014A,Offender given a caution
c0c746bef67971a73e09ed024c280b4bbb048f269b4997fcc2b53dbaddbb229b,2013-03,Norfolk Constabulary,Norfolk Constabulary,1.300761,52.620882,On or near QUEENS ROAD,E01026816,Norwich 013A,Investigation complete; no suspect identified
4887140c94859024b9a7eac613ab4d279aa1de9046edd458d7b9231a955b92e3,2013-03,Norfolk Constabulary,Norfolk Constabulary,1.320049,52.633212,On or near WELLESLEY AVENUE NORTH,E01026807,Norwich 004E,Investigation complete; no suspect identified
65d919dcb8118762a97e6fc4133a676f5ea9ce01ce1adeaf305a369d2db976f1,2013-03,Norfolk Constabulary,Norfolk Constabulary,1.065736,52.468265,On or near SOUTHGATE,E01026435,Breckland 013B,Investigation complete; no suspect identified
74d541f67e5d17890245b21deaacc2cfdc7ff88f338ab7fae735e490e9f6a71b,2013-03,Norfolk Constabulary,Norfolk Constabulary,1.275734,52.613051,On or near EATON ROAD,E01026811,Norwich 012B,Investigation complete; no suspect identified
723afb3a9d05103d41512c86de61e1989b8b11a59099711ff9949cfa9f52bbc3,2013-03,Norfolk Constabulary,Norfolk Constabulary,1.723750,52.609684,On or near GEORGE STREET,E01026597,Great Yarmouth 005C,Investigation complete; no suspect identified
59ef207b734885f4421a6ce7a9cad4a7e4005214529a961288e2c726f63d2caa,2013-03,Norfolk Constabulary,Norfolk Constabulary,1.273884,52.631809,On or near MAUD STREET,E01026840,Norwich 009F,Investigation complete; no suspect identified
e9e69d4faf6c92746ce589e6a36f5f8b0d939786cb730010ad0bf4bdcc99e73a,2013-03,Norfolk Constabulary,Norfolk Constabulary,1.720918,52.600347,On or near ALBANY ROAD,E01026633,Great Yarmouth 007B,Investigation complete; no suspect identified
11a7057d5a471f3fb20d4482b31d13ee703ddbc3942a50455d29fb2215a25f61,2013-03,Norfolk Constabulary,Norfolk Constabulary,1.574114,52.605638,On or near BAKER'S ROAD,E01026539,Broadland 018D,Investigation complete; no suspect identified
33478982c57ffcf5a4ccf5e17e76cdff2967dde102c6f0b4f7e05c377dbf635c,2013-03,Norfolk Constabulary,Norfolk Constabulary,1.730476,52.609724,On or near ST NICHOLAS ROAD,E01026597,Great Yarmouth 005C,Investigation complete; no suspect identified
9fa1cfb2779fc17a07da05b24454906eb7ed1a549e4b25903e6d77f9bb656abe,2013-03,Norfolk Constabulary,Norfolk Constabulary,0.736087,52.404647,On or near BEECH CLOSE,E01026478,Breckland 017E,Investigation complete; no suspect identified
