Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
1cabb01e2eb954814803c025b7a3054dafe68f3c6dae55a6fffb11a20443975b,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.748397,52.482753,On or near ST PETER'S STREET,E01030246,Waveney 004A,Suspect charged
4e2e99d3b536601028728d3982d9e178ff1673e8be48aaf70a51d687537de105,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.428420,52.083942,On or near CASTLE WALK,E01030109,St Edmundsbury 012A,Investigation complete; no suspect identified
155cfd659a970a7b86489d4e54583f7ef44a7ae4a6d0d35b8697a35940bd1a5c,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.431900,52.080012,On or near CLEMENTS LANE,E01030113,St Edmundsbury 014E,Investigation complete; no suspect identified
00066081dc07e8da6d6d284b5712494472260d4ae4d544e97aa240b06611f975,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.329516,51.969104,On or near OTLEY COURT,E01030169,Suffolk Coastal 014D,Investigation complete; no suspect identified
e0fa5c45ebb2461a5450cfbcb760d0c809c8bd317a66b437c7ba8bddd1e6c387,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.166123,52.056638,On or near ST HELENS STREET,E01029962,Ipswich 007E,Investigation complete; no suspect identified
8e91a1b219423a5eb658286b421ed479b68b1e3ab202a14de1748b5fba0aa617,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.426680,52.079841,On or near GREENFIELDS WAY,E01030114,St Edmundsbury 014F,Investigation complete; no suspect identified
51353842503d3fead0f56862a783d33e968c85ebadc106bb838067cc6cb35d67,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.748397,52.482753,On or near ST PETER'S STREET,E01030246,Waveney 004A,Investigation complete; no suspect identified
1c4694b7fd9591b1997bef2132bed35b598c414018cd2be413d75bc094fc6ec3,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.704419,52.238453,On or near Supermarket,E01030147,St Edmundsbury 009E,Offender given a caution
85d1900ba0c0ae53a4d5eb8b370f4ad90e521592d9133f7202d4fd77477f3a8e,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.711568,52.240879,On or near A1302,E01030091,St Edmundsbury 006A,Investigation complete; no suspect identified
436c252c5c8efa9597de8dc62c66fabdd341579c7f856387142c01645eda5e5f,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.112915,52.077006,On or near FODEN AVENUE,E01030031,Ipswich 003E,Investigation complete; no suspect identified
3455c3d83e74100ff0841e51a2f604bd8c4a7a3537087b409ce0f2a69e97ef13,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.102085,52.075529,On or near MILL LANE,E01030042,Mid Suffolk 012A,Investigation complete; no suspect identified
83f3e549fe625d8f9a47ce6a415e196381a49a00338ec8b8c5ccfbdd84eddf09,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.111974,52.037467,On or near APPLEBY CLOSE,E01029910,Babergh 005F,Investigation complete; no suspect identified
ca343ce9bc7bea73f0509649316025c04196bcdbd8b518d1807527fafe5dfd0e,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.134459,52.342199,On or near B1077,E01030064,Mid Suffolk 001C,Investigation complete; no suspect identified
1067bed4480bd6f0c8dbd6b3ec3ba72d3cc7851d1a1c1c6e779d3bec6a5ce7c4,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.071844,52.042613,On or near SPRING ROAD,E01029879,Babergh 005C,Investigation complete; no suspect identified
33fa487be40d38dd209be2315fb5d9a22adb6a7b6bd045479abf5550cfb80ed2,2013-03,Suffolk Constabulary,Suffolk Constabulary,0.402576,52.243097,On or near Nightclub,E01029950,Forest Heath 008C,Investigation complete; no suspect identified
92a44db3278f4d7302120b1b06befcf084fd45b416ecd25a835809c1fe85c1ac,2013-03,Suffolk Constabulary,Suffolk Constabulary,1.183041,52.061677,On or near WOODBRIDGE ROAD,E01030002,Ipswich 008A,Investigation complete; no suspect identified
