Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
9c1d6d09d027906455f47f3beee9f79cf4c4fd875d5fa7c8b192c1f7e2decf3a,2013-04,Dorset Police,Dorset Police,-2.426045,50.706661,On or near BALMORAL CRESCENT,E01020519,West Dorset 010B,Investigation complete; no suspect identified
4318e97bce8c06b8bdb930e4ca5fa4743382ff958728904d7d33ec2a526969b3,2013-04,Dorset Police,Dorset Police,-1.848008,50.723924,On or near KNOLE ROAD,E01015279,Bournemouth 019B,Investigation complete; no suspect identified
26f1d9d7e6be8eeef637ac0097d58f309b85e6cc06aec303e7d69810b65456bf,2013-04,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
dffbb719f86a8dc06edb758c46a8af88d04def933537e3948402dc00ddf5fbcf,2013-04,Dorset Police,Dorset Police,-2.576262,50.794638,On or near KENNEL LANE,E01020529,West Dorset 004C,Investigation complete; no suspect identified
b1998631755250145be76b2dce88d0a4583d237acd4f98b73154f619fe61f2a0,2013-04,Dorset Police,Dorset Police,-2.571078,50.780257,On or near NORTH ROAD,E01020534,West Dorset 003F,Investigation complete; no suspect identified
f7c8481cfe72564b2fb27c2dac715c1208eaf4cc844928a996ce94e34eaa9e70,2013-04,Dorset Police,Dorset Police,-2.511229,50.952337,On or near THE AVENUE,E01020542,West Dorset 001A,Investigation complete; no suspect identified
56a5982705e2b5d20f6a012ae3bf003e6c50de1eb9a19b34bd51a2aa470a91d7,2013-04,Dorset Police,Dorset Police,-1.742038,50.734664,On or near KESTREL DRIVE,E01020354,Christchurch 007A,Investigation complete; no suspect identified
a364ca8aac179851bc000344fba2352825b46edb783b94e96faeaca844f4e450,2013-04,Dorset Police,Dorset Police,-1.864213,50.866854,On or near Sports/Recreation Area,E01020412,East Dorset 003B,Investigation complete; no suspect identified
103bdfe069fb91c421821f60f61f05251a9579d2d3e16b9ef892bf6e6d8a72fc,2013-04,Dorset Police,Dorset Police,-2.162148,50.860093,On or near Bus/Coach Station,E01020439,North Dorset 007E,Investigation complete; no suspect identified
7f7043e4bd8b1d763143e5a9c852672682946ef6ac301c40432b3b614e11bcb6,2013-04,Dorset Police,Dorset Police,-2.241952,50.892480,On or near WHITE PIT,E01020444,North Dorset 005A,Investigation complete; no suspect identified
9c42561314ca782db1f55c7e0c157172c2b3388947dcc4bfd18b29908eee002c,2013-04,Dorset Police,Dorset Police,-1.958087,50.609205,On or near COMMERCIAL ROAD,E01020482,Purbeck 006E,Investigation complete; no suspect identified
4a15eacd81708bad091661205908947437943dd8c8fd919f899754c16020372a,2013-04,Dorset Police,Dorset Police,-2.111390,50.696317,On or near SANDFORD ROAD,E01020488,Purbeck 003F,Investigation complete; no suspect identified
f497070d863a400859348ec9d7abcaba6b3d3e755f324dde7772bcafb97b878a,2013-04,Dorset Police,Dorset Police,-2.457888,50.647862,On or near BEVERLEY ROAD,E01020552,Weymouth and Portland 001B,Investigation complete; no suspect identified
620b7399c1a8c1e886275e9ceeee5447e884705c14946cd8cf2d81d7eaa7306d,2013-04,Dorset Police,Dorset Police,-2.460714,50.596969,On or near OLD CASTLE ROAD,E01020581,Weymouth and Portland 004E,Investigation complete; no suspect identified
c9dcbf0bef911a86d61a33fb3bbe13affa7281f672353f4213dd87b5275ed722,2013-04,Dorset Police,Dorset Police,-2.433731,50.917688,On or near CHURCH GREEN,E01020541,West Dorset 002C,Investigation complete; no suspect identified
1e0d4113c5f83c61fa93c625d135b936db70cad72d521cf0535d5ff35fe75923,2013-04,Dorset Police,Dorset Police,-1.890895,50.850425,On or near HOLT ROAD,E01020398,East Dorset 005B,Investigation complete; no suspect identified
4b7929520aee93877b3e10c8bfb8922bdc8d4e581097852095679e8b96367e3b,2013-04,Dorset Police,Dorset Police,-1.869519,50.819065,On or near SOUTHERN AVENUE,E01020425,East Dorset 006E,Investigation complete; no suspect identified
9945e8df00c64c1a77a3edfcdf8a15baa4af013bdfb3098e9ce61eb294cb13fb,2013-04,Dorset Police,Dorset Police,-2.164421,50.855971,On or near MARKET PLACE,E01020438,North Dorset 007D,Investigation complete; no suspect identified
de0cac36412721708edf5df62eccee7d09f3f17adde4c91c156a7fa3d5cdf85a,2013-04,Dorset Police,Dorset Police,-2.098114,50.651275,On or near FURZEBROOK ROAD,E01020467,Purbeck 005B,Investigation complete; no suspect identified
26b13d8c44b816535bf54bc2a3c819e7241fc87b0cd68cbccbbb26ac55dfddff,2013-04,Dorset Police,Dorset Police,-2.149052,50.727668,On or near Parking Area,E01020476,Purbeck 003A,Investigation complete; no suspect identified
efe03d59688c23586123749eea0be8a45562f9a8d67904f4094952508fc893a8,2013-04,Dorset Police,Dorset Police,-2.134291,50.703792,On or near Parking Area,E01020477,Purbeck 003B,Investigation complete; no suspect identified
24ddf42ff89b4fe66adbe90995bca3bb3ae0ba351d62dc6380f6aed89e2361c9,2013-04,Dorset Police,Dorset Police,-1.963751,50.613325,On or near RABLING LANE,E01020479,Purbeck 006B,Investigation complete; no suspect identified
2e04729fa7d4a7f7e370e800ec89d8244bdb0d04a6b523d89bdff3b057132d5c,2013-04,Dorset Police,Dorset Police,-2.120836,50.697270,On or near MIDDLEBERE DRIVE,E01020487,Purbeck 003E,Investigation complete; no suspect identified
269583b6c8ec1ceab8b099767d2048a35844f0f7c15031f5b7e32da71c3acf33,2013-04,Dorset Police,Dorset Police,-2.268519,50.624082,On or near Parking Area,E01020489,Purbeck 004A,Investigation complete; no suspect identified
5a2ed67258f16ec7af96addff24818e6c5a52540b60acb333f39b5f456f44325,2013-04,Dorset Police,Dorset Police,-2.456357,50.621249,On or near CARLTON ROAD NORTH,E01020553,Weymouth and Portland 004A,Investigation complete; no suspect identified
74ae56a416dee37ecbd73dc490cc67f14ced05ecb3fad152451f466fc21eabc0,2013-04,Dorset Police,Dorset Police,-2.465381,50.611708,On or near ABBOTSBURY ROAD,E01020572,Weymouth and Portland 005A,Investigation complete; no suspect identified
3bf886b5802c959860854b9325d55573184e1031a8ec25a0efd853d467aa6886,2013-04,Dorset Police,Dorset Police,-2.329103,50.693810,On or near HOPE CLOSE,E01020538,West Dorset 011C,Investigation complete; no suspect identified
aa4e1448c05299d37f6d143e52361422d8d08787d535728915116664964b42f3,2013-04,Dorset Police,Dorset Police,-1.797411,50.742138,On or near DEVON ROAD,E01020361,Christchurch 006B,Investigation complete; no suspect identified
78301eeb606fa4783f42a7935822141d40b960c1d2bc611a3050546ebde15f5e,2013-04,Dorset Police,Dorset Police,-1.832517,50.777598,On or near Airport/Airfield,E01020365,Christchurch 001D,Investigation complete; no suspect identified
a3da58bcf0d77fd73cbe975371e9cbaa2c59aeae42c05b51f1c11d6a47bf05ac,2013-04,Dorset Police,Dorset Police,-2.015988,50.775163,On or near TOWERS FARM,E01020384,East Dorset 012C,Investigation complete; no suspect identified
6da8d662ee964501884bb71bec13a9b5203ce8f96487a7a1c5908129e7b41d9d,2013-04,Dorset Police,Dorset Police,-2.075570,50.793844,On or near STATION ROAD,E01020409,East Dorset 005C,Investigation complete; no suspect identified
df52b6b5a18e5d824910d08a7bc25bb2f99574c7f58b9dc02f3621356af113ba,2013-04,Dorset Police,Dorset Police,-2.163553,50.863643,On or near HILCOT WAY,E01020435,North Dorset 007A,Investigation complete; no suspect identified
02afecbf959665a7942765f4a977cbade32edfe6a9c58559734b01cca2a00635,2013-04,Dorset Police,Dorset Police,-2.149052,50.727668,On or near Parking Area,E01020476,Purbeck 003A,Investigation complete; no suspect identified
95f09843da43bbdde2f44079404211aded7a8dc152fcfc24d13686524ddb741f,2013-04,Dorset Police,Dorset Police,-2.134291,50.703792,On or near Parking Area,E01020477,Purbeck 003B,Investigation complete; no suspect identified
117bbda2a9249945496ad57212dc728b746f8dfdf00da282e719475dc646e759,2013-04,Dorset Police,Dorset Police,-2.250449,50.697773,On or near ANDOVER GREEN,E01020493,Purbeck 004E,Investigation complete; no suspect identified
1c7ccf70b4c99b8ecca67da164d7c2a393ac2dcaa41570212e04fa6db1375c3b,2013-04,Dorset Police,Dorset Police,-2.442391,50.547498,On or near Sports/Recreation Area,E01020562,Weymouth and Portland 009A,Investigation complete; no suspect identified
445034e7b7f8c11acbb96030678c2628739515135d22117537bc7dd33c87c997,2013-04,Dorset Police,Dorset Police,-2.475842,50.614822,On or near NORFOLK ROAD,E01020575,Weymouth and Portland 003B,Investigation complete; no suspect identified
a2ee198737fbe7de2859e2afdac1bb13f73f68d68664c287e48e0296bfdddb09,2013-04,Dorset Police,Dorset Police,-2.469864,50.590745,On or near DOVER ROAD,E01020587,Weymouth and Portland 007B,Investigation complete; no suspect identified
0fd04b7469588885916b70cd0cf1b01c148a7527d796d1e7c0af99bfa7bc21e7,2013-04,Dorset Police,Dorset Police,-2.329583,50.695760,On or near BINGHAMS ROAD,E01020538,West Dorset 011C,Investigation complete; no suspect identified
99bee0b8d5463598669c26ba3a4b34d281fd607d49890981526310fff94784cc,2013-04,Dorset Police,Dorset Police,-1.789110,50.744327,On or near REGENCY CRESCENT,E01020360,Christchurch 006A,Investigation complete; no suspect identified
e35311aadbcd214b789c15dfab5cf16ef88c5bf855303a68e79a17a996f442c8,2013-04,Dorset Police,Dorset Police,-1.777373,50.735717,On or near Supermarket,E01020367,Christchurch 006D,Investigation complete; no suspect identified
c84636d02b8807fe5ed66c2b0bae6fcd7cc5884a53b05f015b5622952491a457,2013-04,Dorset Police,Dorset Police,-2.020564,50.763921,On or near VICTORIA CLOSE,E01020388,East Dorset 012G,Investigation complete; no suspect identified
1f86404103943563c3cf4ad9b65b1fae1f567fe507e8b0ef2091d4c577b0706a,2013-04,Dorset Police,Dorset Police,-2.056514,50.769305,On or near CRUMPETS DRIVE,E01020409,East Dorset 005C,Investigation complete; no suspect identified
d2a99a787e8bfd1e9db0dbb600071069fbe919eb92f23285c0b087a186fe1d22,2013-04,Dorset Police,Dorset Police,-2.188558,51.014047,On or near FOUNTAIN MEAD,E01020456,North Dorset 003C,Investigation complete; no suspect identified
5613dee8d5f5023533f961675dadb2f1600e5280855deb427de0fad3886e1fa3,2013-04,Dorset Police,Dorset Police,-2.025098,50.732086,On or near SANDY CLOSE,E01020473,Purbeck 002C,Investigation complete; no suspect identified
fb80d021980384c8c71a3b95b79c945d461774590884900477a1c27b0f77579b,2013-04,Dorset Police,Dorset Police,-2.762751,50.733415,On or near Bus/Coach Station,E01020503,West Dorset 008B,Investigation complete; no suspect identified
