Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e36ec3f1c0da42cc0e44ba2210c4f2b29bcbf69a9cef12589a6eead9f139047c,2013-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.523899,51.723921,On or near RUSHYLEAZE,E01022254,Forest of Dean 009C,Investigation complete; no suspect identified
04c57180b2b162d51bc8916540252a05deb71ac7e05fde4d83a0bf01acbb742e,2013-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.503960,51.821121,On or near SOMERSET ROAD,E01022239,Forest of Dean 004D,Investigation complete; no suspect identified
9759dc85ceae486ddf58f357754c656c3c7ab4835b6925eddb6e673f0d8ec153,2013-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.152966,51.985907,On or near WARWICK PLACE,E01022458,Tewkesbury 002C,Investigation complete; no suspect identified
ee9d1dab00c5c76f0839a0e05c96eb912d3265d9765d5010f9d6ea0ed2224c71,2013-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.251174,51.830448,On or near GIMSON CLOSE,E01022346,Gloucester 012D,Investigation complete; no suspect identified
f2e0873988a79ea4fae112255fb2d3d8263d17433e612145e778659371cc3b00,2013-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.090212,51.894985,On or near LANSDOWN PARADE,E01022124,Cheltenham 009D,Investigation complete; no suspect identified
25325fa2cc3149ef2b8d766517cc6295a783d148c4f07cb21abe7716a1d03e9b,2013-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.152966,51.985907,On or near WARWICK PLACE,E01022458,Tewkesbury 002C,Investigation complete; no suspect identified
1250fadd1c1ca4d7c4e16f147d99019dff376cba26ff1e5b15f2bcc24a2a2a6e,2013-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.241218,51.862872,On or near EASTGATE STREET,E01032937,Gloucester 004F,Investigation complete; no suspect identified
6971fd01d8b5d52765ff03d0394e9256ad8652bbd1df6eb1996109b911e7aae6,2013-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.253858,51.851022,On or near CECIL ROAD,E01022330,Gloucester 009C,Investigation complete; no suspect identified
c9bb4b7430f56204848afb2e1593839adf1e235fe1ffe2a03fcd23adbde8b4df,2013-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.253858,51.851022,On or near CECIL ROAD,E01022330,Gloucester 009C,Investigation complete; no suspect identified
4ad33de54906ab6a20f220e9df42307fe8acc45939c9021f577949e47a76038c,2013-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.082867,51.907308,On or near CARLTON PLACE,E01022152,Cheltenham 004C,Investigation complete; no suspect identified
d2262e3059b3532f77369798be81254a5ab928cf13a5b306b3ceba7233af7bb5,2013-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.241218,51.862872,On or near EASTGATE STREET,E01032937,Gloucester 004F,Suspect charged
51f6571212348e63f01c07b70260282bbfcff08eb0e70b7ca757f34c5a043c2a,2013-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.240195,51.864349,On or near STATION ROAD,E01022311,Gloucester 002C,Investigation complete; no suspect identified
3a8f7ca59908c94bc4734f72d7db26e5e02c38b71605e4230d0dc8c3a39ebde6,2013-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.241218,51.862872,On or near EASTGATE STREET,E01032937,Gloucester 004F,Investigation complete; no suspect identified
5636c4fa34bb80b7bf2ad65c595803061e182f72c50c67fefb433a4c9a0da820,2013-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.251174,51.830448,On or near GIMSON CLOSE,E01022346,Gloucester 012D,Suspect charged as part of another case
6ef41e9e4cacff614efcd93d3c000d0b362ced7bfabe43e5b7ea82add6cbbf7f,2013-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.252959,51.864097,On or near Shopping Area,E01032932,Gloucester 004E,Investigation complete; no suspect identified
efe26724328e4811305e1646dd201eb3422d67001df67f4bdf8d6cd8ab7e595c,2013-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.249846,51.868491,On or near ARCHDEACON STREET,E01032932,Gloucester 004E,Investigation complete; no suspect identified
ccba755f5f3c50240227047b6c67cd7d91e7b72ebb814b48b77ccfa2a5c899e8,2013-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.255057,51.873038,On or near Sports/Recreation Area,E01032932,Gloucester 004E,Investigation complete; no suspect identified
ddbc5e51e6804e2ff6ea19648264142032e99c5cefb32c7addf7246f22b9b7e3,2013-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.255629,51.868973,On or near Petrol Station,E01032932,Gloucester 004E,Investigation complete; no suspect identified
9f39c5a1324ad30bcf9f8139f59b5e6245cf714ee656da143182215f6306529b,2013-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.252761,51.867712,On or near ROYAL OAK ROAD,E01032932,Gloucester 004E,Local resolution
f939ff0a408a3c7c76e6858d898c35cd673fc510f954c652d54cc31f0c521a91,2013-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.249165,51.871460,On or near Supermarket,E01032932,Gloucester 004E,Suspect charged
461794c892084d8e85a383548c6272868aa16872ef42d72c1930327359b1cbd1,2013-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.255629,51.868973,On or near Petrol Station,E01032932,Gloucester 004E,Investigation complete; no suspect identified
430d036c65b5d23fba5840c1902754205d026dc678632d504fbace3b62964082,2013-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.250082,51.869102,On or near MOUNT STREET,E01032932,Gloucester 004E,Investigation complete; no suspect identified
04d8ea2dee7b10ceaa84f410e60a67460218ce6ce671c7decbc72e38676ac168,2013-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.276528,51.823845,On or near STANBRIDGE WAY,E01032933,Gloucester 015E,Investigation complete; no suspect identified
e439fa3009f51d8c4eed5aebbb1f4d9acc735cc7c92d4f43e0a63fed22d9857b,2013-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.274501,51.826880,On or near Shopping Area,E01032933,Gloucester 015E,Local resolution
e439fa3009f51d8c4eed5aebbb1f4d9acc735cc7c92d4f43e0a63fed22d9857b,2013-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.274501,51.826880,On or near Shopping Area,E01032933,Gloucester 015E,Local resolution
e439fa3009f51d8c4eed5aebbb1f4d9acc735cc7c92d4f43e0a63fed22d9857b,2013-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.274501,51.826880,On or near Shopping Area,E01032933,Gloucester 015E,Local resolution
8cc74aa8f9e85d90f067b63894ad5f775d4a11d3e103625b52f78f46e4adefed,2013-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.274501,51.826880,On or near Shopping Area,E01032933,Gloucester 015E,Investigation complete; no suspect identified
1414d64de5af2e1725f908e120da54b43f49fba622444211862e7b43a2e99e8a,2013-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.275682,51.815935,On or near EDISON CLOSE,E01032934,Gloucester 015F,Investigation complete; no suspect identified
43bf5d51ec430db38c9119f3ed36e59b3128470784e0e4f0f3a68b484d6b6703,2013-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.280454,51.815915,On or near MEERBROOK WAY,E01032934,Gloucester 015F,Investigation complete; no suspect identified
a0e4620664194644a53220d120cefa65668eed7261ae95c4f0bbfc2d78842a00,2013-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.277387,51.819654,On or near Parking Area,E01032934,Gloucester 015F,Local resolution
8c3781de7448611ccff4f406077f1057f1cd1204a6e10dcee4b3a60eb2e9be88,2013-04,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.265776,51.821335,On or near BUCHAN DRIVE,E01032936,Gloucester 015H,Suspect charged
