Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ad95bd561289fe0db5ae29ced01116cb7c5ddeef5c59d5ab2392a3e5d1f09505,2013-05,Dorset Police,Dorset Police,-2.015421,50.776233,On or near WINDGREEN,E01020384,East Dorset 012C,Investigation complete; no suspect identified
890fdbcb9863e600e1815ddff3fe94159a49e7224f01a4f93b7a8ed126924f2a,2013-05,Dorset Police,Dorset Police,-1.817372,50.831575,On or near BIRCH ROAD,E01020405,East Dorset 004C,Investigation complete; no suspect identified
be86f6c4ffcf70d8c7e2db68d2cb4f15c4ea128eebfae00becbf89a2345a8a9a,2013-05,Dorset Police,Dorset Police,-2.760544,50.733645,On or near Supermarket,E01020503,West Dorset 008B,Suspect charged
451d9d78419fd25fce091dbeee2e696246061b5c29865e642c002baf8721f0a5,2013-05,Dorset Police,Dorset Police,-2.472289,50.590286,On or near MERLEY ROAD,E01020587,Weymouth and Portland 007B,Investigation complete; no suspect identified
c2749ecf1b3690b9ccbf80366a04c3dae16be29426e50db67c9d9d4c92ecf354,2013-05,Dorset Police,Dorset Police,,,No location,,,Investigation complete; no suspect identified
04e49080e1e68439776761b892ee0756a84074761eafeb94eabe11b92a835412,2013-05,Dorset Police,Dorset Police,-2.451073,50.608275,On or near ESPLANADE,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
e51b06407279be77cad613f07fc7ebbdb31ec2450d42957ee313d77ea4656e57,2013-05,Dorset Police,Dorset Police,-2.299166,50.927994,On or near FRIARS MOOR,E01020459,North Dorset 004E,Investigation complete; no suspect identified
821c24201290cc9e70b6b4c53b75761280e3697c22801cca3ce27d3930ed88a8,2013-05,Dorset Police,Dorset Police,-2.453508,50.610136,On or near Nightclub,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
4d40449a0899ed6909184fcc61c205a6855eddc23480b83b5f6cc092ed643c51,2013-05,Dorset Police,Dorset Police,-2.465435,50.597202,On or near ST MARTIN'S ROAD,E01020585,Weymouth and Portland 006C,Investigation complete; no suspect identified
c6561f7bdb7106f024ed00ffbf47ca0ce5cd5aee80193545217616e0722f31e3,2013-05,Dorset Police,Dorset Police,-1.858979,50.783334,On or near Sports/Recreation Area,E01020365,Christchurch 001D,Investigation complete; no suspect identified
129323a4482958501850b8b9d766eddda8840084d7396d8b34b9f03c6b1b1203,2013-05,Dorset Police,Dorset Police,-1.963179,50.804663,On or near COLBORNE AVENUE,E01020381,East Dorset 007D,Investigation complete; no suspect identified
a9ec8fd78e9a7ec1e44705bc7c4a40097229596e2704ee32203c12ca6d93521f,2013-05,Dorset Police,Dorset Police,-1.921561,50.809777,On or near NIMROD WAY,E01020408,East Dorset 009E,Investigation complete; no suspect identified
6a6f717503fc8f75f6d91f42a64369a6737bb0a280c13b0c54fb3d5fe58e8360,2013-05,Dorset Police,Dorset Police,-1.977418,50.793785,On or near STATION ROAD,E01020429,East Dorset 010D,Investigation complete; no suspect identified
581ee1ea287ea2099f99f7398e82fde231c6bbfa0d481bda6be83669c62c6e08,2013-05,Dorset Police,Dorset Police,-2.264645,50.897647,On or near SHILLINGSTONE LANE,E01020441,North Dorset 008D,Investigation complete; no suspect identified
2b73367c93a7d93ea2c94136bb7075e0b57917a5d339cf998a77fa4f7fcaf281,2013-05,Dorset Police,Dorset Police,-2.098114,50.651275,On or near FURZEBROOK ROAD,E01020467,Purbeck 005B,Investigation complete; no suspect identified
e3b19f29a68195e6715d764a9b2346c05a5b6ae34b0ef814d7aee5d2e4a7c32d,2013-05,Dorset Police,Dorset Police,-2.079389,50.753644,On or near WAREHAM ROAD,E01020469,Purbeck 001B,Investigation complete; no suspect identified
5e5d78e04319d3cdb55da69f310193516899f0363c72c6beedf147b66bbc7c43,2013-05,Dorset Police,Dorset Police,-2.471940,50.616124,On or near Sports/Recreation Area,E01020574,Weymouth and Portland 003A,Investigation complete; no suspect identified
9b098a7ee0ee0810b02f9ce926e1fafc4f9d371eb7f574bd30c20ca4935b6888,2013-05,Dorset Police,Dorset Police,-2.469815,50.605701,On or near EMERSON ROAD,E01020584,Weymouth and Portland 006B,Investigation complete; no suspect identified
86a45889b6fc5d2a4f44358e7102803c3e881ec0ce1433b44385a38d2a9ca259,2013-05,Dorset Police,Dorset Police,-1.746996,50.729603,On or near CRICKET CLOSE,E01020356,Christchurch 007C,Investigation complete; no suspect identified
fbd080c3609c7a60a6de95f2f85d9dbb468b42acef85680c171d4878ae5569bc,2013-05,Dorset Police,Dorset Police,-2.334545,50.690683,On or near Pedestrian Subway,E01020537,West Dorset 011B,Investigation complete; no suspect identified
aeef72b7392591a90e786b43fc50a410c467f4891fd150cfb9a2b87b41ab8bdd,2013-05,Dorset Police,Dorset Police,-1.868018,50.807400,On or near THAMES CLOSE,E01020393,East Dorset 008D,Investigation complete; no suspect identified
c7381f740567cf9edc78c20ccf71e7e47c80272335089b33847ed1ce68b08ef0,2013-05,Dorset Police,Dorset Police,-2.143090,50.835164,On or near CHARLTON MANOR,E01020453,North Dorset 006C,Investigation complete; no suspect identified
563fd1d3bcbdc05def403c7a71fbe95cd1803fddf14c47fa7c6beef00e8f522a,2013-05,Dorset Police,Dorset Police,-2.211435,50.724919,On or near WARREN ROAD,E01020465,Purbeck 001A,Investigation complete; no suspect identified
1624a7592263123c4ece487e1b107e4b9152c210bf171324513748bf337f1e04,2013-05,Dorset Police,Dorset Police,-2.077766,50.766568,On or near CASTLE FARM ROAD,E01020470,Purbeck 001C,Investigation complete; no suspect identified
5a9eb4a4382985014b806a68349b8be00e34b57ecdc08c32e5af22add54d0f03,2013-05,Dorset Police,Dorset Police,-1.959718,50.619115,On or near Parking Area,E01020480,Purbeck 006C,Investigation complete; no suspect identified
f482ce7d408ccf1c83366b0eb299ecdbee4e9a26e2407454ff03939129f30482,2013-05,Dorset Police,Dorset Police,-2.455111,50.609330,On or near Supermarket,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
18b8c5c261e92280601673e89fe29ee8096ee1e0aac9894872cac848ae7e76fb,2013-05,Dorset Police,Dorset Police,-2.460714,50.596969,On or near OLD CASTLE ROAD,E01020581,Weymouth and Portland 004E,Investigation complete; no suspect identified
3df539031f0f78fff5a23e31aa7662f688820756bbf62c48a050a55a85392020,2013-05,Dorset Police,Dorset Police,-2.468228,50.593864,On or near DAWLISH CRESCENT,E01020585,Weymouth and Portland 006C,Investigation complete; no suspect identified
8558e013c0eb792e5fa0eb24af19e4fb332f6977551dae1434264faa1e68769d,2013-05,Dorset Police,Dorset Police,-1.797236,50.753163,On or near SANDY LANE,E01020365,Christchurch 001D,Investigation complete; no suspect identified
6360ff805eb71097a0d7999fcd9160d994dea7fcf456182225caf0fead2e0483,2013-05,Dorset Police,Dorset Police,-1.774774,50.730946,On or near Ferry Terminal,E01020367,Christchurch 006D,Investigation complete; no suspect identified
de03654bdd6ceb2712e27afc97e32bdaf38a4a474fbf1d0061bb16bd0a7cc347,2013-05,Dorset Police,Dorset Police,-2.466764,50.608654,On or near KNIGHTSDALE ROAD,E01020573,Weymouth and Portland 005B,Investigation complete; no suspect identified
