Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
fd287f182cf9e43205548b4813a5db4d589a11230304abc4b4ade7f94d3e525e,2013-05,Greater Manchester Police,Greater Manchester Police,-2.127626,53.537890,On or near PASS STREET,E01032921,Oldham 035G,Investigation complete; no suspect identified
c93f72610ecc84f0a40e32c2ebb03b53ddfd7bf9b4bc9947b8127efb282aa689,2013-05,Greater Manchester Police,Greater Manchester Police,-2.133654,53.535493,On or near TAMWORTH STREET,E01032921,Oldham 035G,Investigation complete; no suspect identified
b3e0196ac1c95dafc63768ba22ed7f69d4feec0f5c61d56233c028acacce0c81,2013-05,Greater Manchester Police,Greater Manchester Police,-2.260304,53.484373,On or near MELVILLE STREET,E01032906,Salford 022G,Suspect charged
c42ac261ddc793bc63c64473de4893940053888a7263ebb802b2d83568a98126,2013-05,Greater Manchester Police,Greater Manchester Police,-2.263526,53.483998,On or near WILTON PLACE,E01032906,Salford 022G,Suspect charged
92368c44e8342b9a71d79832df50468351c5a640f6dcb811e97cce74632b9b50,2013-05,Greater Manchester Police,Greater Manchester Police,-2.347265,53.380334,On or near VICTORIA ROAD,E01006088,Trafford 026C,Offender given a drugs possession warning
b41f8c2f97197b8a8c47bab8b87c35a116a8775365ee22bfb049acc88ed6dc28,2013-05,Greater Manchester Police,Greater Manchester Police,-2.513568,53.556962,On or near MADISON GARDENS,E01033218,Bolton 028F,Investigation complete; no suspect identified
aacec8406be4729dd956aedf22648ebcb592b72ce0296374f9c156a238a7add6,2013-05,Greater Manchester Police,Greater Manchester Police,-2.449988,53.568552,On or near HIBERNIA STREET,E01004850,Bolton 021C,Investigation complete; no suspect identified
310bc36b6eb3909cc108fa6b99784f844a1b67fc0b7f4199ce7283c6b6a1c157,2013-05,Greater Manchester Police,Greater Manchester Police,-2.557438,53.594984,On or near VALE COPPICE,E01004779,Bolton 007A,Investigation complete; no suspect identified
022a781d23bb92a28d2fa4fac0dcbf2c49229332283260efcc1ebfc9c40e1f15,2013-05,Greater Manchester Police,Greater Manchester Police,-2.156560,53.413572,On or near Parking Area,E01005758,Stockport 014B,Investigation complete; no suspect identified
2dc7afb4c2e49606563b0b6bdfd9a84f0968200b7ebdf042bc6c362be05e030e,2013-05,Greater Manchester Police,Greater Manchester Police,-2.084754,53.414598,On or near Sports/Recreation Area,E01005904,Stockport 010E,Investigation complete; no suspect identified
