Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
092d7d2ddca1056ef70cc9423d2cd5187e44fa30e8710e59f8e66070ba26920c,2013-05,Gwent Police,Gwent Police,,,No location,,,Investigation complete; no suspect identified
fb4ac6f7fcf7eed1a8fb67a5b776b6ca69f1824e5c5a23b4a8f7da19831d7540,2013-05,Gwent Police,Gwent Police,,,No location,,,Offender given a caution
37982357eac55df92485898a5d845c5daae6447eae9375534fe3d45caede9fd0,2013-05,Gwent Police,Gwent Police,-3.060669,51.724572,On or near BRYNTEG,W01001486,Torfaen 002E,Investigation complete; no suspect identified
a138d4c4981dc548b4d2a8ea874bf1a5d8496bb7fb5262b87162a0bc7c18016e,2013-05,Gwent Police,Gwent Police,-2.985611,51.589804,On or near BEDFORD ROAD,W01001693,Newport 013E,Investigation complete; no suspect identified
4bb0fe32bc8639cd858abd86afb39ce1a3e2b0779f922efb2a375af21087c560,2013-05,Gwent Police,Gwent Police,-3.054824,51.595892,On or near ROBERTS CLOSE,W01001670,Newport 009B,Investigation complete; no suspect identified
2788aea9cfdc5d7456058684b7318e0139049f59b4347c5986f69c6c2cb06c4e,2013-05,Gwent Police,Gwent Police,-3.237519,51.641287,On or near LISBURN ROAD,W01001433,Caerphilly 013E,Suspect charged
fbc5d9a4dc8bccdef8538e0cba263db9e2343b5d0d232585f96b0c760a5ae0f5,2013-05,Gwent Police,Gwent Police,-3.035985,51.665070,On or near TY PWCA ROAD,W01001522,Torfaen 007D,Investigation complete; no suspect identified
9a5db591a8da064157222317af91bfa5139ffc9d9bebbbc9469e0b349a6aea4c,2013-05,Gwent Police,Gwent Police,-3.048592,51.585436,On or near Police Station,W01001671,Newport 016D,Investigation complete; no suspect identified
62ca27b66ce573b5615aa3752c2ddbf56ffdcd23466889a4289a5f9f40164d55,2013-05,Gwent Police,Gwent Police,-3.240103,51.723255,On or near BEDLWYN ROAD,W01001386,Caerphilly 002E,Suspect charged
19cfa9d8836125fd8f2248f897dd22f0ee51a1bbca4325a57772720c6e7a4847,2013-05,Gwent Police,Gwent Police,-2.752641,51.589479,On or near Parking Area,W01001588,Monmouthshire 010D,Investigation complete; no suspect identified
381b7fd7cf48ad88cca5f105eb6b1480eb9eeefebc25e3d5e688c61ba2399647,2013-05,Gwent Police,Gwent Police,-2.838290,51.579745,On or near KENSINGTON PARK,W01001572,Monmouthshire 011A,Investigation complete; no suspect identified
09c20da0b2544afbbeffe83446dae0da6f7200f52b62f458bd957ca931ecf251,2013-05,Gwent Police,Gwent Police,-2.983796,51.590664,On or near Petrol Station,W01001692,Newport 011E,Investigation complete; no suspect identified
0cbb0f74d6954c0dfefcad33ef06e18772584bc2cfcf617e8d41e9de4b34ef35,2013-05,Gwent Police,Gwent Police,-2.988074,51.583579,On or near GRANVILLE LANE,W01001687,Newport 014D,Investigation complete; no suspect identified
624e1469b735794c86759afc5f3698717352ba866b33de30e87f7ff4a63b35b9,2013-05,Gwent Police,Gwent Police,-3.227530,51.586614,On or near HOWARD DRIVE,W01001371,Caerphilly 022A,Investigation complete; no suspect identified
6672baf7dfe9148190cd0fafa290e9e535e58762cf0ae4cc5366e46bdc4c6d4d,2013-05,Gwent Police,Gwent Police,-3.202997,51.655610,On or near HIGHMEAD,W01001402,Caerphilly 011B,Investigation complete; no suspect identified
9230e61dbc743da0da2d93bad45f55f8de072591f0cadd051feeb2f2e4fe4c0d,2013-05,Gwent Police,Gwent Police,-2.971333,51.603257,On or near BEAUFORT PLACE,W01001615,Newport 005B,Investigation complete; no suspect identified
6d279f5f137751d39b67db56150c275c805c41220364adc9680f44910d29316c,2013-05,Gwent Police,Gwent Police,,,No location,,,Investigation complete; no suspect identified
70ed17b666801549312fa6b0eb780940d85e4270c0b4fc27e401fe1a194947e0,2013-05,Gwent Police,Gwent Police,-3.088930,51.778154,On or near Sports/Recreation Area,W01001489,Torfaen 001C,Investigation complete; no suspect identified
97d7d3edfc593334f291763268df9e8b28e20121f723906e335920fe5e3090a7,2013-05,Gwent Police,Gwent Police,,,No location,,,Offender given penalty notice
6f0de6bd18988704c04a02a834ecd15e165b71b8a5e2b374966b9a61e221b385,2013-05,Gwent Police,Gwent Police,-3.015091,51.823313,On or near HEREFORD ROAD,W01001580,Monmouthshire 002E,Investigation complete; no suspect identified
b1633552a277fdd7979bf8f52048871dfc8cfb59decbe0385b3aacb68dc1edc7,2013-05,Gwent Police,Gwent Police,-3.225656,51.575970,On or near Sports/Recreation Area,W01001370,Caerphilly 023A,Offender given a caution
a0d152b1fa38d174595d1de54d5ce0164a88a68ff0873c2d01ba2df6741057d1,2013-05,Gwent Police,Gwent Police,,,No location,,,Suspect charged
b5ff9be38da5668b879d12b5522521d91eb9ec6a910ca2b5b4c19af4d9e54c77,2013-05,Gwent Police,Gwent Police,,,No location,,,Investigation complete; no suspect identified
f6cd8bf4de1e5d35ae630f63fa20f3e46840a460fbb5878656b0dd3fc2dbe404,2013-05,Gwent Police,Gwent Police,,,No location,,,Investigation complete; no suspect identified
1333a0f034221e25458b1b32c9f079c351da3309c5308af4d81f97300f77c2af,2013-05,Gwent Police,Gwent Police,,,No location,,,Suspect charged
7a34ebb4a7d2cd22ea0867540278a2f5e3a0135e4231a6719c23aa81daea1cc4,2013-05,Gwent Police,Gwent Police,,,No location,,,Investigation complete; no suspect identified
157e40b53776ca5da11b53fe11022ac15ec48ba03531a8f181d5974027153f0b,2013-05,Gwent Police,Gwent Police,-3.038477,51.700034,On or near CLARENCE STREET,W01001524,Torfaen 004D,Investigation complete; no suspect identified
43f64963a9204168f424308ff37f36c318cf203cf6a650593f3b22ae068e85b8,2013-05,Gwent Police,Gwent Police,-2.963010,51.581791,On or near IFTON STREET,W01001642,Newport 013A,Investigation complete; no suspect identified
19da65e0c4411ce7f39003190d53d34e1a32ac5a785fe8bbf1668006554c5e61,2013-05,Gwent Police,Gwent Police,,,No location,,,Investigation complete; no suspect identified
c56f94bbeb366def9856da8de1b79a5008030638fa85596bfacb5a00b4301648,2013-05,Gwent Police,Gwent Police,-3.136621,51.681844,On or near LEWIS STREET,W01001464,Blaenau Gwent 009A,Investigation complete; no suspect identified
998d3e3256b24ac994c3cdfe63b15363c063725c26858e4b7088f0ff8fde0334,2013-05,Gwent Police,Gwent Police,-3.193299,51.652949,On or near BRYNGOLEU TERRACE,W01001403,Caerphilly 011C,Investigation complete; no suspect identified
0604f16bda6c4f3b8d2ecbcd9f0cb42eedd44e199566acee9efc3b8355148d55,2013-05,Gwent Police,Gwent Police,-2.967161,51.603283,On or near CAERLEON ROAD,W01001614,Newport 005A,Investigation complete; no suspect identified
b540d04eb4890243d0102e8b8911c4ea1c9b13a0dbb539bb7efdea4d53eb170d,2013-05,Gwent Police,Gwent Police,-3.021332,51.668669,On or near BROOK STREET,W01001520,Torfaen 007B,Investigation complete; no suspect identified
7087bfbf1341a7bdccd8edfe32583da8ed19953bc98a381c6a5a5be4447b009e,2013-05,Gwent Police,Gwent Police,-3.216064,51.576132,On or near NORTH VIEW TERRACE,W01001422,Caerphilly 022F,Investigation complete; no suspect identified
49d921e0449ccf6d675bacfca0fbe5fd4d793d5cee3c574d035231ee06ec05ef,2013-05,Gwent Police,Gwent Police,-3.007250,51.582679,On or near STOW HILL,W01001629,Newport 017A,Investigation complete; no suspect identified
e90cb7a0c03f2905b1ec8bc543442c967d86e3cad448ddc9b8ef65d40f997aaf,2013-05,Gwent Police,Gwent Police,-3.251178,51.662381,On or near HEOL PENALLTA,W01001418,Caerphilly 008E,Investigation complete; no suspect identified
b69f1699432ee139d5aaedc37a2e683dde1103a69f8334c4c91713488f0cdf4a,2013-05,Gwent Police,Gwent Police,-3.084161,51.772731,On or near Parking Area,W01001489,Torfaen 001C,Investigation complete; no suspect identified
93c4728d93cc7a38b1f61025f7cec98a646b5faa90553f5a04e5e37621d745cb,2013-05,Gwent Police,Gwent Police,-3.101369,51.607225,On or near TREDEGAR TERRACE,W01001412,Caerphilly 017B,Investigation complete; no suspect identified
3db3ab2f7d4172d2f4fbc19b4c6ef70c3a19b5a2c60de465bf2720d625e5a978,2013-05,Gwent Police,Gwent Police,,,No location,,,Suspect charged as part of another case
9122870dd0c318b516bf71713a8dc6833939f6158c893798de53eb75ed75f746,2013-05,Gwent Police,Gwent Police,-2.698388,51.666116,On or near COURT GARDENS,W01001583,Monmouthshire 007B,Investigation complete; no suspect identified
71e976cf9280e8e5514a2a4cd489f1ff9800d96e75caff904993d0452e76e0c8,2013-05,Gwent Police,Gwent Police,-3.211690,51.780864,On or near PLEASANT VIEW,W01001458,Blaenau Gwent 004E,Investigation complete; no suspect identified
389b14f37912130690e6c92116630254a1c553523afecdcfd959b4ec3dee75f6,2013-05,Gwent Police,Gwent Police,-3.245346,51.772276,On or near CORONATION STREET,W01001481,Blaenau Gwent 006E,Investigation complete; no suspect identified
44872bb81efbb4f994cbf3fe1934c1b87e6185201706df94ff02ed10a1e28692,2013-05,Gwent Police,Gwent Police,-3.188759,51.653435,On or near Parking Area,W01001403,Caerphilly 011C,Offender given a caution
