Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c860d5c3a2067cefcb92e890c7995a3a56bbd83783ebbfec8fa9b3a8585f872e,2013-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.490727,51.651522,On or near THE CLUMP,E01023813,Three Rivers 004B,Investigation complete; no suspect identified
9840c539e67c9edc5cffb2b853ef18d1ff844d907140821118bd90eff1eaaed9,2013-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.455740,51.770677,On or near CWMBRAN COURT,E01023393,Dacorum 007A,Investigation complete; no suspect identified
7a3a01bcdf2f17ff182f1626d59cceb1308f2c551941bdfac9ca9cf6e8d337f0,2013-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.026108,51.747279,On or near CARNABY ROAD,E01023289,Broxbourne 004A,Investigation complete; no suspect identified
f5429025c1437f8d81c42d1cb8b81c7c3b187c6911c9f1077cb64d2a6191b113,2013-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.024316,51.749173,On or near BADMINTON PLACE,E01023290,Broxbourne 004B,Investigation complete; no suspect identified
b1f794fc284f9ff01de522d5e9b1e472ecfcd4a6e46b793914f08a3984036a67,2013-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.017955,51.746863,On or near Parking Area,E01023292,Broxbourne 004D,Investigation complete; no suspect identified
393b781bc0385561c08022b05a138bebaeef1fd56f21b334e55caeb58b9c0a84,2013-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.056203,51.700535,On or near Parking Area,E01023293,Broxbourne 011A,Investigation complete; no suspect identified
6f4dcbe3f6460f18579b84e5c700eebdb2a63e6ef55cae88f91f90f98885a2ad,2013-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.044328,51.708782,On or near CHURCH LANE,E01023294,Broxbourne 011B,Investigation complete; no suspect identified
32593845e452a3ae7db0e290324f41265599dfe39bc8307ef07a3603e04ae74e,2013-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.056688,51.707809,On or near CUSSONS CLOSE,E01023295,Broxbourne 011C,Suspect charged
f8b48612c92c9232e625a75bcd56e244b565bf6172332778876ff8e27c60105a,2013-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.055533,51.706729,On or near GOFF'S LANE,E01023295,Broxbourne 011C,Suspect charged
91699ab8ce2ffdec222da03ae1ad268c50d67920b1ae98b143996f706352fdf6,2013-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.052229,51.702097,On or near CROMWELL AVENUE,E01023296,Broxbourne 011D,Investigation complete; no suspect identified
eeb7e785ec476a90dec0089e670b4f516bfdfbe3a196fc4777032b69b5925ed2,2013-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.033990,51.701856,On or near Supermarket,E01023301,Broxbourne 010E,Investigation complete; no suspect identified
d548950c83703af6f820ee66dc17e16fe5cec40dbdae0356ce5860d06e9a4f3f,2013-05,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035993,51.710063,On or near WOOLPACK COURT,E01023303,Broxbourne 008B,Investigation complete; no suspect identified
