Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
abdb6200a9144ab0ca80bf51e283948617724f342d072884116f97646ac7996a,2013-06,West Yorkshire Police,West Yorkshire Police,,,No location,,,Suspect charged
b6a61cec68b09562291053badc0d9445a32fe34a17074b3d53d4aec1b8cb60c4,2013-06,West Yorkshire Police,West Yorkshire Police,,,No location,,,Suspect charged
f27372276f4da43ea4c0ec4866bd72e34355349393294e6b73a7e6a20ba79914,2013-06,West Yorkshire Police,West Yorkshire Police,-1.927006,53.601034,On or near MARKET PLACE,,,Offender given a drugs possession warning
de11ca091d2e52b76cdf38383f70b107c28baeac63a5b1ec2f9a32942cb59182,2013-06,West Yorkshire Police,West Yorkshire Police,-1.477102,53.670806,On or near TATTON STREET,E01011917,Wakefield 030D,Suspect charged
dda5e833db5503dedf479c28fb6d32ababc5cd7df45f7308b60571efca76127c,2013-06,West Yorkshire Police,West Yorkshire Police,-1.577077,53.791551,On or near TONG ROAD,E01011362,Leeds 081A,Suspect charged
9d28dcbf834098d37437efae715159ea63bdf2b6408574c530408701b2349255,2013-06,West Yorkshire Police,West Yorkshire Police,-1.730257,53.831424,On or near WOODBINE TERRACE,E01010690,Bradford 019G,Offender given a caution
ad92c6059ffae0ea293559f0adefadb7561c3e424aab069eceb764858903b291,2013-06,West Yorkshire Police,West Yorkshire Police,-1.816574,53.803266,On or near WELLINGTON STREET,E01010801,Bradford 036E,Suspect charged
c614939b5e2df160b221c610daabd8a780d0b2c43d5fbaaf05ca3576ddcbbe47,2013-06,West Yorkshire Police,West Yorkshire Police,-1.903814,53.732703,On or near BROADWOOD AVENUE,E01010927,Calderdale 009A,Offender given a caution
a6788dfe01f6e50f8d2e6c0bfb48feadfeec37db721e314b88e8992178ca0d15,2013-06,West Yorkshire Police,West Yorkshire Police,-1.893933,53.749754,On or near Supermarket,E01010916,Calderdale 005A,Suspect charged
28e98d4592285ecb0e3bbbd38ae2a25bcf77263f1d53d78a5b4c3fb54e050f97,2013-06,West Yorkshire Police,West Yorkshire Police,-1.755164,53.796712,On or near UPPER PICCADILLY,E01033690,Bradford 039G,Local resolution
e8983e454831d7b73d3168a2f792c61d6e023fed8f546648ee41d893a434394f,2013-06,West Yorkshire Police,West Yorkshire Police,-1.833843,53.852023,On or near STAVELY MEWS,E01010582,Bradford 015C,Suspect charged
d32a58b2e17ef27c275010a498bdd47976264c4e3fd42619e814274df9f5b3c5,2013-06,West Yorkshire Police,West Yorkshire Police,-1.833843,53.852023,On or near STAVELY MEWS,E01010582,Bradford 015C,Suspect charged
