Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
34909b2a0d6063089f53a097dfff25b0e6f0f607d161dec3ad6a7e848e42d1ea,2013-07,Essex Police,Essex Police,0.649095,51.540797,On or near NEW ROAD,E01015848,Southend-on-Sea 011D,Suspect charged as part of another case
bcff3b51cd07d0dfa398cb6ccac58fa4049cf3b94d5aa9222f00492f18d1d0ea,2013-07,Essex Police,Essex Police,0.899875,51.890226,On or near Nightclub,E01021649,Colchester 007D,Suspect charged
6903f24d86ae47509b3469db100723609681c6edec6b99ac8a2ea7b6c4f768b8,2013-07,Essex Police,Essex Police,0.331452,51.622076,On or near SPURGATE,E01021455,Brentwood 005C,Suspect charged as part of another case
9d47ac4d359d79f103174ef9a7e974af1e522f4dd49575757ec90ff7faa28978,2013-07,Essex Police,Essex Police,0.762179,51.657525,On or near AUSTRAL WAY,E01021875,Maldon 007C,Suspect charged as part of another case
11fe757e966d3b42ed27fd7d2ec08c8d58a6ad59bec695b42b4eda3efdec5b52,2013-07,Essex Police,Essex Police,0.596881,51.602994,On or near PRIORY CHASE,E01021920,Rochford 006A,Suspect charged
a983828e679a75bc3ab57c8cc73cad6a6e1a24a5523bed5c10411097508d32d0,2013-07,Essex Police,Essex Police,0.470656,51.716156,On or near JUNIPER DRIVE,E01021584,Chelmsford 012E,Investigation complete; no suspect identified
832816349cdc9b1542d9a01d252bdf41bcc4d6575b562bfa88598385bac140c1,2013-07,Essex Police,Essex Police,0.898981,51.877927,On or near YPRES ROAD,E01021642,Colchester 018F,Investigation complete; no suspect identified
f94733a8bcd5c6aeb2f61c0f7869c8bf41a109e8f123bf5e58d33891352c3703,2013-07,Essex Police,Essex Police,0.364455,51.871246,On or near WHITE HART WAY,E01022067,Uttlesford 007B,Investigation complete; no suspect identified
2aee84ae3e662419f46b0ff3be6a5ae3062eb234e2d1331b326d4f2df85a0c1d,2013-07,Essex Police,Essex Police,0.293039,51.612967,On or near CROMWELL ROAD,E01033063,Brentwood 007F,Investigation complete; no suspect identified
e06128379ba4030ad4bdae6c92ca6aca1cc00771326e12dc35ec64315e57122e,2013-07,Essex Police,Essex Police,0.336646,51.492481,On or near HEATH VIEW ROAD,E01015964,Thurrock 010B,Investigation complete; no suspect identified
bfc511fd90522fa0e9880ae9bbb5e9ed8db68834665510b0eb2ea25a0edb3454,2013-07,Essex Police,Essex Police,0.278905,51.512117,On or near ELMDON ROAD,E01015972,Thurrock 006C,Investigation complete; no suspect identified
40dfd8913000d1092e1d23d6a358afbb404a9d3e395a1d8f69fb10e6dce146cb,2013-07,Essex Police,Essex Police,0.091992,51.776493,On or near PARISH WAY,E01021843,Harlow 004E,Investigation complete; no suspect identified
885fd527874cb633d59e7f6560fa2bdf2cbbd3f30412bd84c21b9d129934b28a,2013-07,Essex Police,Essex Police,0.336075,51.498230,On or near LEASWAY,E01015993,Thurrock 009C,Investigation complete; no suspect identified
ae52411821dac194499a7d3834c82b3fba0e9583992c0f1a14a34db341d4e53a,2013-07,Essex Police,Essex Police,0.635603,51.551659,On or near MONTAGUE AVENUE,E01015912,Southend-on-Sea 008E,Investigation complete; no suspect identified
a487340b042aefb7ae164d990c312cc7292a9ecc2e2b75514ff9cd9e3833834a,2013-07,Essex Police,Essex Police,0.534322,51.567786,On or near BOWERS COURT DRIVE,E01021312,Basildon 011F,Investigation complete; no suspect identified
e9fc2d48516f9ecaa9c6f16d1c9167b9f7d730dff99d69622595d3d77858793a,2013-07,Essex Police,Essex Police,0.244800,51.710483,On or near GREAT LAWN,E01021755,Epping Forest 004C,Investigation complete; no suspect identified
58661da9b0014436371da2f1bfc12ba36006b51f47f7a9d9c622b3f5d71e0e85,2013-07,Essex Police,Essex Police,0.289551,51.509733,On or near ASHDON CLOSE,E01015976,Thurrock 007F,Investigation complete; no suspect identified
7e194b02ad1d7da5adc7d5c7da04935664af54aff49c0b62a238ba1b2a95ee08,2013-07,Essex Police,Essex Police,0.360627,51.466163,On or near Parking Area,E01016006,Thurrock 018D,Investigation complete; no suspect identified
cee0d5e92524138fe72da7bb07dd9a30ee6c5123e243b64b27d9ea3407de168c,2013-07,Essex Police,Essex Police,0.502483,51.585566,On or near ARCHERS FIELDS CLOSE,E01021307,Basildon 011C,Investigation complete; no suspect identified
44c30f901c138a06ac1f0b29fbb207ae91fe350a9512f2926053825661ddb6a8,2013-07,Essex Police,Essex Police,0.327615,51.498174,On or near ST ANNES CLOSE,E01015993,Thurrock 009C,Investigation complete; no suspect identified
085530b09aa545f2d7a67f3199851dcd77a49b9b68364ce5aa996397d5711614,2013-07,Essex Police,Essex Police,0.323432,51.476835,On or near Shopping Area,E01015954,Thurrock 017D,Investigation complete; no suspect identified
dabde3b3526a4a0f753a7c46c424ccdd96cb00ae57a8b326a29cb12d37155b61,2013-07,Essex Police,Essex Police,0.445132,51.600688,On or near Parking Area,E01021257,Basildon 009B,Investigation complete; no suspect identified
1f17ba2767c3e4043f1bbe1452ef8944dfa0cba6363d7d149ee22d0d7265b7eb,2013-07,Essex Police,Essex Police,0.445132,51.600688,On or near Parking Area,E01021257,Basildon 009B,Investigation complete; no suspect identified
5f87f37cd47bb9fa95c06644f66cb07698a2cb47bdb3005eec81cdb69b1cc93e,2013-07,Essex Police,Essex Police,0.340711,51.479594,On or near BUTTELL CLOSE,E01015967,Thurrock 014B,Investigation complete; no suspect identified
dd2802267344528234e1f5f71ede010791d39b4eb07c9bcf897b847f48db8b22,2013-07,Essex Police,Essex Police,1.153678,51.790774,On or near STATION ROAD,E01022025,Tendring 016B,Investigation complete; no suspect identified
1ce6bf1fa23b73096c9fe9cdc4400e1379990a5398ccd86d87bdcd8000b549ec,2013-07,Essex Police,Essex Police,0.053993,51.644444,On or near STATION ROAD,E01021791,Epping Forest 012F,Investigation complete; no suspect identified
718845f454a84f251d89dd25ebf8a3145be23f535e0ef66c4f2b182e3ec6b299,2013-07,Essex Police,Essex Police,0.906080,51.891782,On or near CASTLE ROAD,E01021647,Colchester 007B,Investigation complete; no suspect identified
dedf2831a79c747dc7eacb630386ae903c3cad22793d4ac61bd843ccae934b11,2013-07,Essex Police,Essex Police,0.251523,52.052259,On or near Sports/Recreation Area,E01022077,Uttlesford 001C,Investigation complete; no suspect identified
454ea25caa6cdb3850dcaf6524999a650732f0b501010c0c2c2388b3755d5268,2013-07,Essex Police,Essex Police,0.781439,51.538227,On or near MORTAR CLOSE,E01015882,Southend-on-Sea 013G,Investigation complete; no suspect identified
91b5ce711cd4a8f43a72335333f424a0d301668772d9fa7a55d5899be339f430,2013-07,Essex Police,Essex Police,0.873856,51.930041,On or near JONAGOLD DRIVE,E01021661,Colchester 001D,Investigation complete; no suspect identified
8ed7e34be5c4232bfcc9b0ce162829088315cba10227296d73954e4d653a673a,2013-07,Essex Police,Essex Police,0.908856,51.871972,On or near Petrol Station,E01021637,Colchester 018A,Investigation complete; no suspect identified
60bc093409b9f2c362cef381e2d545befad4e4dde3e59fd8769c32d3758ed558,2013-07,Essex Police,Essex Police,0.900435,51.889439,On or near Shopping Area,E01021649,Colchester 007D,Investigation complete; no suspect identified
7c2bfe2375928a4511f5b4d46ab88dd9946eadb264b46edec5a48bbd669ee742,2013-07,Essex Police,Essex Police,0.702103,51.547700,On or near Petrol Station,E01015861,Southend-on-Sea 004E,Investigation complete; no suspect identified
0f6c7b46b6dae5636e7a33fc3f46b329f11aff9a44400ca18b0e3a6c2dcf956f,2013-07,Essex Police,Essex Police,0.331846,51.479447,On or near BLACKMORE ROAD,E01015961,Thurrock 016D,Investigation complete; no suspect identified
9e7bb7d74f8a13bb39d522e1f3ccd6f6f4179ad82d67eb39c6dbd286c52f393e,2013-07,Essex Police,Essex Police,0.281355,51.487302,On or near Shopping Area,E01016012,Thurrock 015C,Investigation complete; no suspect identified
8e59d5b5d32405c5cde31274450f9fe8c22ae94fc1fffcebe50d64f9a0bf0509,2013-07,Essex Police,Essex Police,0.631673,51.796745,On or near SPINKS LANE,E01033462,Braintree 017H,Investigation complete; no suspect identified
fb09bd370904306fac22fd8b5ba5325fcd37877e61406300952735088d474f46,2013-07,Essex Police,Essex Police,1.177011,51.801658,On or near MARINA GARDENS,E01022050,Tendring 014E,Investigation complete; no suspect identified
580caf3c43ff2364d10dec6e5cd32cafaef6a7e34e358ecd5042fd5dfa5d4c5a,2013-07,Essex Police,Essex Police,0.616504,51.624511,On or near KESWICK AVENUE,E01021942,Rochford 001A,Investigation complete; no suspect identified
88c17862312197eac7562d722f3e2a03f8a32992b17a878266e58364cb648b5e,2013-07,Essex Police,Essex Police,0.518537,51.614271,On or near MARKET AVENUE,E01021331,Basildon 008A,Investigation complete; no suspect identified
7224ec0ba7e9086cc0ab0d5dfe37082a5b691b93889b414d2fb12426045fe3c5,2013-07,Essex Police,Essex Police,0.304262,51.620364,On or near MOORES PLACE,E01021436,Brentwood 007B,Investigation complete; no suspect identified
92780c808e80a7200212d1e6ffa9af6fa13eef1e6ea5f0fadb0206ece1757bec,2013-07,Essex Police,Essex Police,0.356988,51.576771,On or near TILBURY ROAD,E01021446,Brentwood 009B,Investigation complete; no suspect identified
f0937acdc61dcab52e43d44a6d787b725307b25f381780f9e4704beb2e5d11d7,2013-07,Essex Police,Essex Police,0.592497,51.521692,On or near FURTHERWICK ROAD,E01021498,Castle Point 011B,Investigation complete; no suspect identified
936be42ee653fc15844deb62352c6438fdd732a9c6db225fc53debe74eef235a,2013-07,Essex Police,Essex Police,0.763690,51.686872,On or near WORCESTER CLOSE,E01021899,Maldon 007D,Investigation complete; no suspect identified
