Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
21d9cca626a7751840d9117c257dba6a66a892d23c5012f9c448a9bd718b1c83,2013-07,Greater Manchester Police,Greater Manchester Police,-2.275630,53.389168,On or near DUNNISHER ROAD,E01005073,Manchester 048C,Investigation complete; no suspect identified
e5f2e907a45cf7b0c9d0ec3c5b2c503aba29cbc79e09a27cdca39d89da71152b,2013-07,Greater Manchester Police,Greater Manchester Police,-2.257877,53.370053,On or near Parking Area,E01005318,Manchester 053E,Investigation complete; no suspect identified
614faaeb822e09b3bd719a7573b4deaaaecdc401d9612dd85541c53a06312899,2013-07,Greater Manchester Police,Greater Manchester Police,-2.277697,53.445603,On or near Petrol Station,E01005159,Manchester 029D,Investigation complete; no suspect identified
ca39f803413702c31a6373dc564dde0fb85bd549f85b582c3ccc9b2d3b4592a1,2013-07,Greater Manchester Police,Greater Manchester Police,-2.223459,53.418643,On or near CATTERICK ROAD,E01005175,Manchester 043D,Investigation complete; no suspect identified
933a49d9cfd81468c5f385519970876b3ed46cb0182149248e9873bfceada283,2013-07,Greater Manchester Police,Greater Manchester Police,-2.222438,53.453574,On or near PARK CRESCENT,E01005284,Manchester 026C,Investigation complete; no suspect identified
d40b1ef01a8fec8b48f1180045d8cd667ce4797d40cf2f16a4f87b52913c302f,2013-07,Greater Manchester Police,Greater Manchester Police,-2.199433,53.454541,On or near PORTLAND ROAD,E01005234,Manchester 027E,Investigation complete; no suspect identified
b34bd831d09d42c78c5205c070b7ced76eea287645b2d011fa10d820fea2ec01,2013-07,Greater Manchester Police,Greater Manchester Police,-2.249605,53.461413,On or near ROOK STREET,E01005208,Manchester 019A,Investigation complete; no suspect identified
42fe0406124b22f0162e29fa56ac26e30409ffe7e6f0e3781483711f2e349e70,2013-07,Greater Manchester Police,Greater Manchester Police,-2.258377,53.425197,On or near CHRISTIE WAY,E01005079,Manchester 042C,Investigation complete; no suspect identified
c7d33ccdf1844a231fda830d5e8ec1c93a1c8c8f81bc59563f86f674fbb559b2,2013-07,Greater Manchester Police,Greater Manchester Police,-2.261623,53.395204,On or near MULLACRE ROAD,E01005085,Manchester 049A,Investigation complete; no suspect identified
5f515e89a46b1909a090db844ffb97153f2b328c4f003d98d8905143f09f248a,2013-07,Greater Manchester Police,Greater Manchester Police,-2.216881,53.459301,On or near OLNEY STREET,E01005231,Manchester 022C,Investigation complete; no suspect identified
1d427f411c1c13d1b17071bfaf84fbbec914b99ae604623abfc50bf2df7748e3,2013-07,Greater Manchester Police,Greater Manchester Police,-2.246894,53.432817,On or near ORMSKIRK AVENUE,E01005272,Manchester 035B,Investigation complete; no suspect identified
91ede232c0f79a959efe1c2ff20901fd101cf236fe1f7003f0c651b232f82de5,2013-07,Greater Manchester Police,Greater Manchester Police,-2.278194,53.447956,On or near CHELTENHAM ROAD,E01005159,Manchester 029D,Investigation complete; no suspect identified
1446fb6d7596ca319a60cdfebca26b2188d65d01563b2de96afbb3074ed8e9d3,2013-07,Greater Manchester Police,Greater Manchester Police,-2.247432,53.421841,On or near Further/Higher Educational Building,E01005078,Manchester 042B,Investigation complete; no suspect identified
