Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
04ed652d5fd184443050ba9bfadc8d72dcf860515ffd0e1144478ae5547e933a,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.810755,54.045489,On or near SUNNYSIDE CLOSE,E01025103,Lancaster 017D,Suspect charged
9c66e851704ffcff3aa395a3740bad49b14fe9a7c38809b00d361494c3cdbc23,2013-07,Lancashire Constabulary,Lancashire Constabulary,-3.015377,53.921463,On or near POULTON STREET,E01025582,Wyre 001D,Investigation complete; no suspect identified
40b373a02440fdb81a42e54ff09e1302e8a88b72acda635d6f66d117352636bf,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.310551,53.682778,On or near Sports/Recreation Area,E01025358,Rossendale 008B,Investigation complete; no suspect identified
f7b1394f11a6d87f94a13a5b08dcc43a3a680bf6826f44a6ce9f71c9d76712f0,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.307184,53.665332,On or near BOLTON ROAD NORTH,E01025357,Rossendale 008A,Investigation complete; no suspect identified
c112851894a2921a085818982493e16e2318842e8a321d689f36c5e2fa3345d7,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.300074,53.667831,On or near STONE PITS,E01025358,Rossendale 008B,Investigation complete; no suspect identified
b95135539bd5bd20facb260ed14d1cb94890902ae2fcbd9b553edfd8b21d34f2,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.307986,53.665258,On or near BOLTON ROAD NORTH,E01025358,Rossendale 008B,Investigation complete; no suspect identified
d4191a5496a130db65d9b9edbf495f9066779b42eb505d6e013e6e8ae4495908,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.304471,53.668907,On or near BURY ROAD,E01025358,Rossendale 008B,Investigation complete; no suspect identified
82907d13fe828cc6e930fddae050ef4a0473760db037f5964a643350da145f4b,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.293635,53.697373,On or near NEW HALL HEY ROAD,E01033281,Rossendale 004G,Investigation complete; no suspect identified
a1d7fcfbdd732e8f64cf5d23cc6f355dd23f29ebb246da7b4c298226e9c1d2fe,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.291413,53.700164,On or near Conference/Exhibition Centre,E01033281,Rossendale 004G,Investigation complete; no suspect identified
deef5eeebcfb86bd2e5d58c94a3a7b98ed7f3d21c111c4da738a2040d2102d73,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.299641,53.700674,On or near PARKWOOD COURT,E01033281,Rossendale 004G,Investigation complete; no suspect identified
3c407d759c77563997b377f7875e823302817c7993e949c548de903565ae9c42,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.290606,53.701784,On or near SCHOFIELD ROAD,E01025387,Rossendale 004F,Investigation complete; no suspect identified
ccb217ef88f6959cdb7717e7ed24b9bb36ec59fad76e491fb6ced55519a766c4,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.298583,53.703122,On or near HASLINGDEN OLD ROAD,E01025387,Rossendale 004F,Investigation complete; no suspect identified
02a2fa0342bf81ad40d56b273edc58ed89ec2b3f3020024ecbd8c506cb44d6bf,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.293854,53.702720,On or near BARNES AVENUE,E01025387,Rossendale 004F,Investigation complete; no suspect identified
b6adff6f6bbdc38e3d7a3604673e53881279f4492632c9fc8bff64e210ce06b6,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.304189,53.699171,On or near OSBORNE TERRACE,E01025387,Rossendale 004F,Investigation complete; no suspect identified
ff210e89054da37ff40337de80c67b5831e565bec9d3cb5d9cfaaf3740dbd5a2,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.302839,53.698860,On or near HASLINGDEN ROAD,E01033281,Rossendale 004G,Investigation complete; no suspect identified
76bd02efd602461dea1873efd548f40c29121b5267c49dd91c1cc0ec797f4d9c,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.306683,53.700459,On or near UNION ROAD,E01025387,Rossendale 004F,Investigation complete; no suspect identified
47e0b455529ee1f99d2e6eb31a08243283331fded1321ad1050b52adcbd3a257,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.289572,53.701202,On or near HENRY STREET,E01033281,Rossendale 004G,Investigation complete; no suspect identified
7922fb1cd2effc9cec1bf07e4a57e6f734b4047baf5a7590eaefb5ebfc022e26,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.283861,53.701045,On or near BULLER STREET,E01025373,Rossendale 004C,Investigation complete; no suspect identified
8d9453173ba63a0ca18e8f5a4b8437cc456e8cb6c0d1d93034c171c46bda02da,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.285627,53.697976,On or near WHINBERRY AVENUE,E01033281,Rossendale 004G,Investigation complete; no suspect identified
a03723515f1bf45b2eacff8940b3fc86fa2639c2549789aeb0ff3054f1b324f6,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.287596,53.700246,On or near QUEEN STREET,E01033281,Rossendale 004G,Investigation complete; no suspect identified
9977c10dffd4a7f3b4815d74f9f4ba511bceeb2e5f4055d08653dd84be11506a,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.283494,53.700534,On or near PETER STREET,E01033281,Rossendale 004G,Investigation complete; no suspect identified
e1b1e9275eb829eb036bcfcf4dc499b753ecbec2e8f2eb6b2e9a819c1229e325,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.291530,53.692992,On or near LINDEN LEA,E01025385,Rossendale 004D,Investigation complete; no suspect identified
d881e730859f1e3c1a5ceed4f8273ed260cfab0206f6b285c99ab714608084f0,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.289992,53.696222,On or near CARR ROAD,E01025384,Rossendale 008D,Investigation complete; no suspect identified
0a4e526bb08b9a6eda8e9247b66834502182fe3c55f0cd10fbca87229be0b915,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.287429,53.697909,On or near HALL CARR ROAD,E01025385,Rossendale 004D,Investigation complete; no suspect identified
4bdb5ddd8baf4ce8133ee83f20c3e5ebba8ff5c96cd2d470de6348a611a281a1,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.289992,53.696222,On or near CARR ROAD,E01025384,Rossendale 008D,Investigation complete; no suspect identified
9e749921b5b092ae1a70e56829039b7aec5a2e12423c98ef79808fa21bdaf68d,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.287596,53.700246,On or near QUEEN STREET,E01033281,Rossendale 004G,Investigation complete; no suspect identified
d32c43b5f9137403d4b749ff54555c5873e47c8199286aaa0d7f7b30ffb5a42c,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.287596,53.700246,On or near QUEEN STREET,E01033281,Rossendale 004G,Investigation complete; no suspect identified
f5dabb583e8d83ce7ba3d3846ba060fa122f113f6db5aa4191afcfa76694c36d,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.256729,53.693080,On or near WEST STREET,E01025371,Rossendale 010A,Investigation complete; no suspect identified
87261ef97e34195ac94105268f65025b50af41629113c48d1cfb8625e679401d,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.254001,53.697724,On or near BOLTON STREET,E01025374,Rossendale 010B,Investigation complete; no suspect identified
710a16cf8452c50bed745c3f9230e1434eb1c6d4e8100d5d6f92c3148a8c3ecf,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.260442,53.698429,On or near BROW EDGE,E01025374,Rossendale 010B,Investigation complete; no suspect identified
99fbb2436dfdafa946cdfbe0dce030721c717b43aa62fa927e8e8877134dd93f,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.273921,53.700619,On or near LAMBTON GATES,E01033281,Rossendale 004G,Investigation complete; no suspect identified
26ddcf7c509fba55dbbd8acf6777672bd53d3c08a04caf2ac442dc18eccc7d61,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.269431,53.699524,On or near PEEL STREET,E01033281,Rossendale 004G,Investigation complete; no suspect identified
5dcc111f5a729289e7e0edbb51f28bb3cfa161c2e5f3a4a27c146078dbf2cd95,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.269431,53.699524,On or near PEEL STREET,E01033281,Rossendale 004G,Investigation complete; no suspect identified
004aff2a1c8d9f89060c024a3167bc6af975a33e40a761df6b303a1d4f3468cd,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.273020,53.699345,On or near VICTORIA WAY,E01033281,Rossendale 004G,Investigation complete; no suspect identified
c970cb3ba38d0ff2f2d3cec2e990de7123acccab14254c6b8de89385bf95b735,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.259302,53.692751,On or near FERN LEA STREET,E01025371,Rossendale 010A,Investigation complete; no suspect identified
8bbfd9b7a3210468046037079f2cce801962cf5e76eb349511f9abcca1c08338,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.274224,53.702928,On or near Sports/Recreation Area,E01025373,Rossendale 004C,Investigation complete; no suspect identified
afb9d7210f00f2d9c60028e41ce047d79f61482038356a1b1dd1fe507fb0132a,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.279092,53.701515,On or near Sports/Recreation Area,E01025373,Rossendale 004C,Investigation complete; no suspect identified
db23f6d21c1629f2a0f52fa81229266ed43cc775f3eea336ca69f092603594db,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.283861,53.701045,On or near BULLER STREET,E01025373,Rossendale 004C,Investigation complete; no suspect identified
d9a8295e256ad00c7ea0e5256129dfe28efb1ce8875f6709ef9b92b43057f57e,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.283531,53.701567,On or near HAMER STREET,E01025373,Rossendale 004C,Investigation complete; no suspect identified
6ce9eeaae70ac4f90ce08881e2826217a49fbc2d0e9bfdcd99d6fd805362a409,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.284663,53.703291,On or near BANK STREET,E01025373,Rossendale 004C,Investigation complete; no suspect identified
94e1a6f5c398985ac7bc908bf0a166292db7def55f50625df74a0f015185ee9f,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.283332,53.703536,On or near EAST PARADE,E01025373,Rossendale 004C,Investigation complete; no suspect identified
f661736846539922598fc0be6bfc97c7814aa9f8c7b807e6157122a0ee6d8a26,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.275738,53.700489,On or near LEVER STREET,E01033281,Rossendale 004G,Investigation complete; no suspect identified
dfa4235c767ca2e5b9b35d4be8c2249a4ae67cf00866cbebfce352a3e07d47d1,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.281569,53.702660,On or near ALDER AVENUE,E01025373,Rossendale 004C,Investigation complete; no suspect identified
0a2831a841de102e02a21f9b23d90caac06192de53a7173b44bae5ee5d423052,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.277136,53.701187,On or near GREENBANK STREET,E01033281,Rossendale 004G,Investigation complete; no suspect identified
ae14b1cc5fe20ad91a3cadd4a6a4a7231660a36cb5a26b02ccf6c5b0acee3b2f,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.289926,53.708662,On or near MARGARET STREET,E01025356,Rossendale 004A,Investigation complete; no suspect identified
5457a8391ed441335c07d4500cf090f865d7bddcff4b1df487873b7201a5555e,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.283989,53.704389,On or near Parking Area,E01025356,Rossendale 004A,Investigation complete; no suspect identified
409b3d3a3166aa44db0e7ba342563512c2422293a9afdf40920187f75cfbd938,2013-07,Lancashire Constabulary,Lancashire Constabulary,-2.286285,53.705651,On or near KENYON STREET,E01025356,Rossendale 004A,Investigation complete; no suspect identified
