Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
fdbfc9940b16166f691b42c18502bbf7a78f9170271ddf2407dca89489f61319,2013-07,Northamptonshire Police,Northamptonshire Police,-1.144732,52.028766,On or near DOVEHOUSE CLOSE,E01027264,South Northamptonshire 010A,Local resolution
c5b12f4a88aa28f586c9cc1f0ccf98d1d880783308f507501c6404145a1c6575,2013-07,Northamptonshire Police,Northamptonshire Police,-0.884424,52.254382,On or near WAVERLEY ROAD,E01027185,Northampton 015B,Suspect charged as part of another case
6a61046dace46468f611567bf6454ea891bb1321988db0c1ef072ffa5294789e,2013-07,Northamptonshire Police,Northamptonshire Police,-0.595021,52.292517,On or near QUEEN STREET,E01027060,East Northamptonshire 009C,Suspect charged
f67acd0dcf04678d2f1f4ad2b6fc3e12ca5b03912dd6c0693df988b5127049fc,2013-07,Northamptonshire Police,Northamptonshire Police,-0.902824,52.242534,On or near FRANCIS STREET,E01032978,Northampton 021E,Investigation complete; no suspect identified
745e233e8b3a91625bd57c052142afa1831a537da69d17fe45df59b7a8bb87dd,2013-07,Northamptonshire Police,Northamptonshire Police,-0.724826,52.394758,On or near THE GROVE,E01027113,Kettering 007C,Investigation complete; no suspect identified
fc8e48cb793091540ea4f0ff9bc7603baa253be3a3b37dc537424345e00452b4,2013-07,Northamptonshire Police,Northamptonshire Police,-0.694067,52.304559,On or near HAVELOCK STREET,E01027352,Wellingborough 006D,Investigation complete; no suspect identified
fa03fae06d5d59721fd711b092274930c5a9f2eef42ff311dc9a1c927f934916,2013-07,Northamptonshire Police,Northamptonshire Police,-0.685136,52.303031,On or near WINSTANLEY ROAD,E01027314,Wellingborough 004B,Investigation complete; no suspect identified
5b78757dc20b814f4802168c6e074a48f58ad92c4328bb8c463d449a75479815,2013-07,Northamptonshire Police,Northamptonshire Police,-0.902165,52.248453,On or near BAKER STREET,E01027152,Northampton 021B,Investigation complete; no suspect identified
5e41567108b77777d2dc4de22abbbd66f7ddea6027cdbeade233a471156377c1,2013-07,Northamptonshire Police,Northamptonshire Police,-1.178141,52.273271,On or near EVERDON PARK,E01026990,Daventry 006C,Investigation complete; no suspect identified
2de5f4e3fef4c42b956df192cc37b90fa2ab90adc7612d10b6e3f24633e3a0b4,2013-07,Northamptonshire Police,Northamptonshire Police,-1.147278,52.258623,On or near BENBOW CLOSE,E01027012,Daventry 006D,Investigation complete; no suspect identified
2e747c9f9bf86450c42c5ec33248771af162c3fd0bcc0c84225daa874db9f09d,2013-07,Northamptonshire Police,Northamptonshire Police,-0.896094,52.270567,On or near CHALCOMBE AVENUE,E01027145,Northampton 001A,Investigation complete; no suspect identified
b8e590f6332c653487ad349e6f5087556a03dcb59290e4bd257f8408787464ae,2013-07,Northamptonshire Police,Northamptonshire Police,-0.643513,52.281899,On or near ALEXANDER COURT,E01027337,Wellingborough 010C,Investigation complete; no suspect identified
6209008a2b0edf6068bdfc91992234db8bd82ebe423f1a2daa94f3d36f634903,2013-07,Northamptonshire Police,Northamptonshire Police,-0.673250,52.371911,On or near ELM ROAD,E01027091,Kettering 011A,Investigation complete; no suspect identified
9a51b3807598f227f67b297482db2c14d00774cf965d493881cde7cb920ad608,2013-07,Northamptonshire Police,Northamptonshire Police,-0.564325,52.365684,On or near Park/Open Space,E01027057,East Northamptonshire 004A,Investigation complete; no suspect identified
befcdd4fe80cd137abde59b5db4f3b32b3af8f1514f51baa4976793a4bb6c0f0,2013-07,Northamptonshire Police,Northamptonshire Police,-0.856420,52.252999,On or near ALMOND GROVE,E01027180,Northampton 010B,Investigation complete; no suspect identified
300d53ebbe970266b6a8c5c88d6b7443de5893711b98b0a50a13cc5cb3fa814b,2013-07,Northamptonshire Police,Northamptonshire Police,-0.831910,52.256940,On or near Sports/Recreation Area,E01027198,Northampton 007C,Investigation complete; no suspect identified
485dee18ab2e93823853a91efb889d0563eb0d1d73d0be5d2f36ef9e62be7f4d,2013-07,Northamptonshire Police,Northamptonshire Police,-0.593551,52.308377,On or near CEMETERY LANE,E01027034,East Northamptonshire 007A,Investigation complete; no suspect identified
6e46c7837d56db8afaffa8069886bec53a02323b0f6b784899900e142ef7b9ac,2013-07,Northamptonshire Police,Northamptonshire Police,-0.862189,52.259969,On or near ST ALBAN'S CLOSE,E01027168,Northampton 012A,Investigation complete; no suspect identified
88c112f71fe54ae7c7baa2d0137386a7cedbbf96701b63fb98e75fce67b819ef,2013-07,Northamptonshire Police,Northamptonshire Police,-0.946607,52.285576,On or near HARLESTONE ROAD,E01026998,Daventry 004A,Investigation complete; no suspect identified
a68ee229effd6db66330837c29462276d4ed3fb673f7dd2ccb75860293c76bed,2013-07,Northamptonshire Police,Northamptonshire Police,-0.686417,52.504787,On or near MACADAM ROAD,E01026982,Corby 001D,Investigation complete; no suspect identified
