Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
3c69203a45ee486b12faccd71291455cb78a3f4d4e87b3022311ca1d052f554c,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
2a8792cb9937575535e5d8f2ea3437e9a8784019b9879acb861be5c22263ebb4,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Local resolution
1a22ef19bff21dcd646a83b13666c69685d1e8195ce702b8ecbf37da20895733,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
0bd0a520cf6a0289fd8ba491388d5d2db37d676e4d683a953f957fe484cef4d3,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
bbf7d8f64338efae8948752c329de4db2c3995bb571662e89e0e6e6d22b73174,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
66429900c2b34b1e41930e6711f7b014d9dddd62554b076fa564e6284b7d6048,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
db4e89040efa06b38dd4d1aed6303ff6b727eb60925224efd8bb94c5cb153bc7,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
cf0ebc74b673bc829006d9d887825ba60d837be1d9746b3ec0be76b4487144a6,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
fa8b7f7e94f794c1f488d2ba6838940530946bcf6c91b8633ce3cab65bf0c5d4,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
15865205274cb3feb5e0b37240b695ee2d2024f842899dfb49c88752d8a507d8,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
02a65cc7fac59b36cd2175386cc63816b93d7e6876a195055bf3ef094e4c924c,2013-07,Staffordshire Police,Staffordshire Police,-2.198399,52.536935,On or near APSE CLOSE,E01029674,South Staffordshire 013D,Investigation complete; no suspect identified
833fb7f982678a49ff95a420bfa2891355b0f1ba76796d57d98eab15b8577bc1,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
4031d7fcf4904729b5497b25037d4aecc2409bb3c914cb1f0a902e2c2fff4f38,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
991272d20478fae4c85ee8d6a856f7cca778f4f9eb49071aa8fded1bf6f46a7a,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
f21fd320506fd0aa40bb54f48d7dfa7be71c94be72a3f7b6a6866daea40dba76,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
f83a5fec86bd192428bb769632e3dd5214deeabfafb97c816e51bc6ca46bace9,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Offender given a drugs possession warning
3deb6aa5bde9f103c42af1e0cacfc437ad58a6c8fc087a42940c1d81cf13dd40,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Local resolution
58208ff526a923e50e5acab8b4b3a8b96452ecd7261bf073df36ef64efba8802,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
16b1aec906091031930e82a3c7923d991930072467491aa30884f310d6277ccd,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
a1fe939eb8a3ee9759eb35a06ac77b86ff2028ff29f59b9a6bb4843b55a25833,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
deb2728c213516d94c567c1a524932b0da27639cae0b904d25cb7def4bb0e0a2,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
517e541c7a549c565a3c0221a4c19e9ab8387f7022c860af8c7356eb17efd427,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
2c04fe78288c5a8817b4f6f7fe51551c7f6dd3c9d410ccaf9ec8c232f1b8d8a7,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
2c04fe78288c5a8817b4f6f7fe51551c7f6dd3c9d410ccaf9ec8c232f1b8d8a7,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
e7f448b19fa7934bd184c1bbc7f478fc721d10cffaaab36cfb9e3da94a53d5af,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
6091d31ee3807c0b158b1e00d7244d4a0d77052cf8289330b34611809179a79d,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
ef771effaf563c63960c413f7278a39901810a350c83dcfc75a13b6cfab0d46d,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
1b476a4262c523f598c98b01f4b9e26ff635da8dad74481c00a559cc8cd08b8e,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Local resolution
a77d4c9c3dd048c2eb5b900e2f0de8c70ffc113f63dc336d20aa435042dba7cb,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
777320928f7da870f108b518507556e820be477bc800ba8d67a4325998113180,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
b6ce472e51119235002d678e7e8aea175e48c76451822fe82e185bc79da7cf4a,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Offender given a caution
9528f043437182400477e1e1ae32f831e162d83e3810384d50c7d7f4fb3e6ab0,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
22385c130d4c11c440f2319e5d21b3b15303a7ac2b2ffe6f9db415cdd956b7c6,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
15982e1cea7ca7c2e215f463f39d996ca76210ab910a974cb6731553a27bf170,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
3426f7b64fe73b4fe6b0969349781369d37a52b1be1b6f0d3c1ae5117fef3aeb,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
76d2e8931768c92d359e8369415151ab8e8ed31ab37452f8246a2247e7bee4ed,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
56b0e5ff48466901617acbb885292c9161dc67e4d8865eb4f5d7974fb06298ce,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
4e513e92042b6e965bb408419c68474ecaf0fdc4d399e55ec53abb980e9a3991,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
564a205f7373d52fb09547ce40d392c6bb57558ff238c8e711e9b64c6195d26b,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
3b82a5cd6a949467edb8aef1ed3ff9eaade75ac1f511638c5d71e5875de3c6eb,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
ef974e26cc5b8d217ce2595ca4787244cf9c56bee62318e5d1c2a88da912e349,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Local resolution
b16170a2ef044f0b3bac580f3acbaeb675941b79ca3ffe7a3638f4429bc2b773,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Offender given a drugs possession warning
a394c5d28e2a8ad7b3384a25eef1c779af91b43c4f790ba1bccd67bc61a005c5,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
f6b03d89b6fc8696b46a026507e0604a65b612a002597a3277602804c5a78863,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
ab5da40322077bb21fe5822990635e8ee3b4cdc8383372dd5e27c7dad4d9e350,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Investigation complete; no suspect identified
a11060d5e6fec3af09a9b9ed2426bccf22fe36679cee726250f09df225689b3e,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
e9fff3dd71cb44db68f6d5d34b61639eab156e4ac312a76360818a8ec978f4da,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
f0e5e76a8c397950534037bdae9fae0be159542d8d4754c8a40879d3168b1c66,2013-07,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
