Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ff6475e8b51668b53532f7b9df70e3d860000d14c889089d98b18d0e9c0be0be,2013-07,Suffolk Constabulary,Suffolk Constabulary,1.745551,52.486360,On or near ST MARGARET'S ROAD,E01030262,Waveney 002B,Investigation complete; no suspect identified
997715cd9e8bbe291119e66c85ae95f2c6b69aa568f573dc01dfba2b250fd3e8,2013-07,Suffolk Constabulary,Suffolk Constabulary,0.992652,51.969547,On or near DONKEY LANE,E01029905,Babergh 010G,Investigation complete; no suspect identified
41b1e4d52ab0a92975eda7d019308a53c13266984f2b31bcda83fe15e9be762a,2013-07,Suffolk Constabulary,Suffolk Constabulary,1.152097,52.053668,On or near GREYFRIARS ROAD,E01033124,Ipswich 007F,Investigation complete; no suspect identified
4d8f5b03eb52aa47e25d364adaea68778691c2c16b340ce1e0d5ef4cead9f9ab,2013-07,Suffolk Constabulary,Suffolk Constabulary,0.668909,52.298182,On or near CHIMNEY MILLS,E01030135,St Edmundsbury 008E,Investigation complete; no suspect identified
a2ac3d413cad2b7af00278a7bccd41d3a5747a01fbb46da7e5fa2c0b29c67f2e,2013-07,Suffolk Constabulary,Suffolk Constabulary,1.252113,52.063612,On or near UPSONS WAY,E01030181,Suffolk Coastal 010A,Investigation complete; no suspect identified
3e7933bc69cf375246ccaec8bd7b83838258ffcf787882840e0e327a199d8ad7,2013-07,Suffolk Constabulary,Suffolk Constabulary,1.208668,52.036706,On or near Supermarket,E01030196,Suffolk Coastal 011A,Investigation complete; no suspect identified
4d3d8179bff5876dd0e71d42c7546156b8b94a5f1a9ca5550cb471db35569edc,2013-07,Suffolk Constabulary,Suffolk Constabulary,1.212435,52.034949,On or near BRAMBLE DRIVE,E01030196,Suffolk Coastal 011A,Investigation complete; no suspect identified
9e001cde5b455c901893d7c29330a6be59537fb2b187b7874a658f636341cc06,2013-07,Suffolk Constabulary,Suffolk Constabulary,1.190510,52.056123,On or near BRITANNIA ROAD,E01030006,Ipswich 008E,Investigation complete; no suspect identified
ef9ca52c1741c534a5ad0a36ffdae9fc27b2f6c30a10ccba521a057718fd7073,2013-07,Suffolk Constabulary,Suffolk Constabulary,0.452550,52.075178,On or near Petrol Station,E01030106,St Edmundsbury 014B,Investigation complete; no suspect identified
50a85bdcf606bbd5f9fed18abd94dd17360323a69f33a8455299e6e268a9f915,2013-07,Suffolk Constabulary,Suffolk Constabulary,1.162786,52.055046,On or near GRIMWADE STREET,E01033129,Ipswich 007H,Investigation complete; no suspect identified
3f3671f196d6ed9350d44fef1ba273e75f7c1388e7d33089fbe76d2e6fac38a0,2013-07,Suffolk Constabulary,Suffolk Constabulary,1.156325,51.985138,On or near Supermarket,E01029897,Babergh 011D,Investigation complete; no suspect identified
29fde05dd618a1d74dc7a42c924dd2e6b5b91ba28d702cc82d8ef3057125e19f,2013-07,Suffolk Constabulary,Suffolk Constabulary,1.590510,52.160934,On or near FAIRFIELD MEWS,E01030153,Suffolk Coastal 004B,Investigation complete; no suspect identified
8792d1fbef0af992921df0bc1c13ed519388a07f7bf791a07248047187f19e69,2013-07,Suffolk Constabulary,Suffolk Constabulary,1.748217,52.481328,On or near BERESFORD ROAD,E01030249,Waveney 004C,Investigation complete; no suspect identified
5e647fce11508e5b8474477db8165596f217e3b42dac334d60dc9f432c659ba7,2013-07,Suffolk Constabulary,Suffolk Constabulary,1.715608,52.487189,On or near MOBBS WAY,E01030266,Waveney 003A,Investigation complete; no suspect identified
2e82957aacac213ec4b93111a84604b3aa1ea33f8f397e31fd6a2456ed9a9ff9,2013-07,Suffolk Constabulary,Suffolk Constabulary,1.155254,52.058719,On or near TOWER STREET,E01033129,Ipswich 007H,Investigation complete; no suspect identified
9b4d0e9b8ac9a20cab67a4d416c8faad6e3931c39962123af1605d35ec8a8413,2013-07,Suffolk Constabulary,Suffolk Constabulary,0.705317,52.241913,On or near MILL ROAD (SOUTH),E01030092,St Edmundsbury 007A,Investigation complete; no suspect identified
2f8f04bca2b625506f52be8bd2305878b91f09527b18623ceb1ce70692e39fdf,2013-07,Suffolk Constabulary,Suffolk Constabulary,0.456660,52.350665,On or near PAMMENT'S LANE,E01032526,Forest Heath 003I,Investigation complete; no suspect identified
b8d65ee969049b26148967f4a266f9db7e359034aea0b88d51b76e5a2964c171,2013-07,Suffolk Constabulary,Suffolk Constabulary,0.897015,52.125269,On or near BROWNS CLOSE,E01029876,Babergh 001A,Investigation complete; no suspect identified
09b81e7e2dbf5eeaedf3fbe759da5946beb2e7e3bea57f49b0b5226e29d45969,2013-07,Suffolk Constabulary,Suffolk Constabulary,1.166439,52.046673,On or near HOLY WELLS ROAD,E01029991,Ipswich 011C,Investigation complete; no suspect identified
b54a8ad2e1da5eba71e41ab7c508e37a4a263d0283839605ee413808a64ddbb6,2013-07,Suffolk Constabulary,Suffolk Constabulary,1.134140,52.085141,On or near Supermarket,E01030035,Ipswich 001D,Investigation complete; no suspect identified
7d7b1993a02ca858e0fb68017ae6b94640cff96cf4a1acde6e9213b0b91ef75c,2013-07,Suffolk Constabulary,Suffolk Constabulary,1.723143,52.441060,On or near LONDON ROAD,E01030253,Waveney 012D,Investigation complete; no suspect identified
2e8a6eeb3068025bf30dad63372c38224b08f9b590b7b447c4bb7856d65fd81b,2013-07,Suffolk Constabulary,Suffolk Constabulary,1.123551,52.049141,On or near ASTER ROAD,E01029984,Ipswich 010A,Investigation complete; no suspect identified
77de17cd31befb4bb1e16595d1abc174a424cc276665e679aef9564ec116c4d9,2013-07,Suffolk Constabulary,Suffolk Constabulary,1.148043,52.081892,On or near HENLEY AVENUE,E01030033,Ipswich 001B,Investigation complete; no suspect identified
ec344f93520c20f66c2d169331574b99903bf8431d3a2559d407d0df31fb9a8f,2013-07,Suffolk Constabulary,Suffolk Constabulary,0.713904,52.253703,On or near Parking Area,E01030137,St Edmundsbury 006D,Investigation complete; no suspect identified
c13fc325aee4a74e305a677902edb6445016a40530fe24703b1bd40d0af2a468,2013-07,Suffolk Constabulary,Suffolk Constabulary,1.749965,52.471568,On or near Parking Area,E01030258,Waveney 007D,Investigation complete; no suspect identified
55f377b983a819da22da5be28239bf9d860cc18b75eb6b66c1f4601bf7bdf1a9,2013-07,Suffolk Constabulary,Suffolk Constabulary,1.021109,52.195801,On or near SYCAMORE ROAD,E01030081,Mid Suffolk 005D,Investigation complete; no suspect identified
7343b88f5f57d59ddb3d397565b0ce782e09df6658b1635fe7e186008a1dda4a,2013-07,Suffolk Constabulary,Suffolk Constabulary,1.122438,52.046571,On or near Parking Area,E01029987,Ipswich 010D,Investigation complete; no suspect identified
f87a1e4e4bfe7a1ea767599d8f899e543d23ad8093b85ba43ae29852f76ec3a4,2013-07,Suffolk Constabulary,Suffolk Constabulary,0.400801,52.252827,On or near GREVILLE STARKEY AVENUE,E01029955,Forest Heath 006D,Investigation complete; no suspect identified
f7523e62666b73ce9a32bbc7d42033797422e25498e6be58e36ee2b736ba78fe,2013-07,Suffolk Constabulary,Suffolk Constabulary,1.739700,52.465686,On or near LORNE ROAD,E01030254,Waveney 007B,Investigation complete; no suspect identified
f66758cc757e8486094a891ec9a84631ac5c67265816964d17da6ffc228a62f0,2013-07,Suffolk Constabulary,Suffolk Constabulary,1.747560,52.476897,On or near STANLEY STREET,E01030250,Waveney 004D,Investigation complete; no suspect identified
ab6130901ba26887ad82f33fec21b7b54e872c4b1cec53b465d734d042cb3c0c,2013-07,Suffolk Constabulary,Suffolk Constabulary,0.918006,52.236205,On or near WILLIAM ARMSTRONG CLOSE,E01030050,Mid Suffolk 004C,Investigation complete; no suspect identified
c581425565856f392dbed857b028f0d56a908ee7b5bd90b4b272d1b69e985af7,2013-07,Suffolk Constabulary,Suffolk Constabulary,0.402300,52.248561,On or near SKEAPING CLOSE,E01029954,Forest Heath 006C,Investigation complete; no suspect identified
aa0abb68edf94a989f6d8318e87ab78422e53219056f6f0290ec6c54f1105b48,2013-07,Suffolk Constabulary,Suffolk Constabulary,1.167053,52.050614,On or near SILOAM PLACE,E01033126,Ipswich 011F,Investigation complete; no suspect identified
4d09367c7ffb67825ee607c7027dd3eb365d0e7da61c818eb531f8a41bbb856c,2013-07,Suffolk Constabulary,Suffolk Constabulary,1.119675,52.046680,On or near KINGFISHER AVENUE,E01030013,Ipswich 013B,Investigation complete; no suspect identified
d881dddf38cfd05c06bb6e06d5efb2a6d4012e13d3bc3d0478646a8c605a1e97,2013-07,Suffolk Constabulary,Suffolk Constabulary,0.523086,52.417543,On or near WINGS ROAD,E01029944,Forest Heath 002E,Investigation complete; no suspect identified
abc93298cfc263a60b7cd7b6911763c88eb481d53df4bd116659765499ef5e61,2013-07,Suffolk Constabulary,Suffolk Constabulary,1.536420,52.096530,On or near RECTORY ROAD,E01030199,Suffolk Coastal 007C,Investigation complete; no suspect identified
bcee6b0f67313c54e29e0bf9e48201e9ab9b9e217ef6bc1ceec8a8af849d65c7,2013-07,Suffolk Constabulary,Suffolk Constabulary,1.153162,52.046840,On or near CROFT STREET,E01029970,Ipswich 012C,Investigation complete; no suspect identified
3152c654023cfdd2c934df29cb940250fc27d752dc20f79d6675bad69c803375,2013-07,Suffolk Constabulary,Suffolk Constabulary,0.525135,52.421986,On or near BIRCH CRESCENT,E01029944,Forest Heath 002E,Investigation complete; no suspect identified
6ce348efac53dd64c853b11056b3c34cc168031b376a40cd43e660cb5ef606fb,2013-07,Suffolk Constabulary,Suffolk Constabulary,1.130350,52.077102,On or near CHESTERFIELD DRIVE,E01029976,Ipswich 002D,Investigation complete; no suspect identified
a67c4e0ae3e6cf5fa3fa612e0d794538d21813ffe5799191abc9b26983bd5f08,2013-07,Suffolk Constabulary,Suffolk Constabulary,1.160799,52.054182,On or near STAR LANE,E01033129,Ipswich 007H,Investigation complete; no suspect identified
3ff1759a187a9e470d56498550a29a33d872d1a0277db27ebf222f05f76ea5f1,2013-07,Suffolk Constabulary,Suffolk Constabulary,0.745940,52.048587,On or near TRAFALGAR ROAD,E01029914,Babergh 007C,Investigation complete; no suspect identified
d95e85ccdd13472e9508e07502be02983b115c4c33c48975aaf3271ba823038c,2013-07,Suffolk Constabulary,Suffolk Constabulary,1.143191,52.049427,On or near ANCASTER ROAD,E01029985,Ipswich 010B,Investigation complete; no suspect identified
fadf5e5867246638bbbb9077016ba9494667d37e3173c63173a46e2df3c107d1,2013-07,Suffolk Constabulary,Suffolk Constabulary,0.987421,52.191020,On or near CURWEN ROAD,E01030073,Mid Suffolk 008A,Investigation complete; no suspect identified
