Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
7ffb61eb08cb528dca511ddbbc6bdc504da299242542c03f9df41275a05cdbd7,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.032214,51.685082,On or near Supermarket,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
e660ae876f398fa286c6eea1ae186f316b0564d6d2437b6314c1bac7dd1b5eb0,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.035960,51.719514,On or near FAIRWAYS,E01023305,Broxbourne 008D,Investigation complete; no suspect identified
e9c84680895a9822df784d409fce0c3de2b480ce2e0e7bcc39802f137cabe777,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.041621,51.683657,On or near TERESA GARDENS,E01023339,Broxbourne 013D,Investigation complete; no suspect identified
978d5b2388f47d24669047cef23d5308d97c6ec2f5ba6984cee79d759d39d4ae,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.026211,51.699037,On or near BURBAGE CLOSE,E01023300,Broxbourne 010D,Investigation complete; no suspect identified
100b2158ee3885b067dba243cc3646116c6d631e362605549ba14120d4da32c8,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.039886,51.700048,On or near BRINLEY CLOSE,E01023334,Broxbourne 012C,Investigation complete; no suspect identified
0797ec071b6be8c3fe7a0f826582d2bd2babf55382753cb88c7372b039c669d9,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.060091,51.714537,On or near Pedestrian Subway,E01023324,Broxbourne 009B,Investigation complete; no suspect identified
6c6b164bbc9dde2363554928db458453a79c04ed3519c5173afc81094fd370ea,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.049718,51.703278,On or near LORDSHIP ROAD,E01023296,Broxbourne 011D,Investigation complete; no suspect identified
2d7c5f1e4318ba748787441c6688af0b58506cee2453dc7d29fe1e5ad734a10a,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.030312,51.707900,On or near WINTON DRIVE,E01023298,Broxbourne 010B,Investigation complete; no suspect identified
a94ba202ebd16766f990bf9619e5020d9637242c27363ffd05d4de00850bebab,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.031895,51.697109,On or near ACTON CLOSE,E01023333,Broxbourne 012B,Investigation complete; no suspect identified
d78d40ad87e6e01835a29ba43b21826a3e968e47651c46c459f2bf78411e5cf2,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.028910,51.685872,On or near Pedestrian Subway,E01023337,Broxbourne 013B,Investigation complete; no suspect identified
9c6d1c4424b24737622e31a405cd805beca4a73f64e99ba227d5f6048de7b488,2013-08,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.040007,51.694888,On or near Sports/Recreation Area,E01023332,Broxbourne 012A,Investigation complete; no suspect identified
