Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e7479247a50db259d10425e7ca81b140fcbce3f8e21946f3ba6f7bcb54b28f5d,2013-08,Lincolnshire Police,Lincolnshire Police,-0.126473,53.038159,On or near B1192,E01026057,East Lindsey 018A,Investigation complete; no suspect identified
cf8ad369872341274af525ec5e851fc7233911196e55bd5e19877b83c06ec74d,2013-08,Lincolnshire Police,Lincolnshire Police,0.001970,52.865782,On or near Parking Area,E01026248,South Holland 002B,Investigation complete; no suspect identified
da1c541ab8f5a542b7d0ff56817e533a5cef4585c9be8e956a8c7e9eed6c79b6,2013-08,Lincolnshire Police,Lincolnshire Police,-0.545322,53.221899,On or near ALFRED STREET,E01026132,Lincoln 005A,Investigation complete; no suspect identified
34d138d722cf45c1c0424c3bb47794c5cae9e96ecdb71c3fb34ff0516f80595a,2013-08,Lincolnshire Police,Lincolnshire Police,-0.642739,52.916264,On or near ALBION PLACE,E01026353,South Kesteven 003F,Investigation complete; no suspect identified
e7e566200aa6290905eedde8d36e3778e6a1777103e26aad2976aebf10d0d359,2013-08,Lincolnshire Police,Lincolnshire Police,-0.759507,52.992641,On or near OAK TREE CLOSE,E01026355,South Kesteven 002C,Investigation complete; no suspect identified
dbf7ff48b0526469c150add1f987db2f9002189d7ea12745fcc28ea25172e0fb,2013-08,Lincolnshire Police,Lincolnshire Police,-0.409167,52.997173,On or near SOUTH GATE,E01026227,North Kesteven 010A,Investigation complete; no suspect identified
cf7b4876dbda3d131349bbb94064763c7051c52270ce616b7dd74b9620a437d5,2013-08,Lincolnshire Police,Lincolnshire Police,0.093233,53.365213,On or near PLEASANCE WAY,E01026058,East Lindsey 002A,Investigation complete; no suspect identified
ce522b836c8cfb46c6fe8c702ad3ed936dd605d8e22bcab887ba996e7e55b773,2013-08,Lincolnshire Police,Lincolnshire Police,-0.455155,53.242151,On or near Supermarket,E01026369,West Lindsey 011B,Investigation complete; no suspect identified
0e2ccc9514c0d314f8a22422ceddcb4cb4aadcab7f4ecb56a3a30462882c4fdb,2013-08,Lincolnshire Police,Lincolnshire Police,0.262759,53.333357,On or near HARLEQUIN DRIVE,E01026109,East Lindsey 006C,Investigation complete; no suspect identified
1833c2b92cbc32059384c01a72234301567dc74cc9b6bcb359ce7b4bb6f0aeba,2013-08,Lincolnshire Police,Lincolnshire Police,0.328012,53.154873,On or near MANOR DRIVE,E01026084,East Lindsey 012A,Investigation complete; no suspect identified
73ef89f1297aa81aebfa24d6a0cdda3b65854a8c2c8b0745c1bdf67e2d24d5de,2013-08,Lincolnshire Police,Lincolnshire Police,-0.641903,52.908766,On or near WILLIAM STREET,E01026317,South Kesteven 006A,Investigation complete; no suspect identified
0df01b01f4c785a47925a776908a34814512b41ee415fda94c64f0b0b04666e6,2013-08,Lincolnshire Police,Lincolnshire Police,-0.641524,52.915153,On or near CHURCH STREET,E01026353,South Kesteven 003F,Investigation complete; no suspect identified
ad56dc57d1ab6ff1d91b2da537d3766b921c777bc5d5a57900e9863c1d64035d,2013-08,Lincolnshire Police,Lincolnshire Police,0.339769,53.143062,On or near Shopping Area,E01026093,East Lindsey 014B,Investigation complete; no suspect identified
4a4fe2b02748a1b6b7c8c93e07f5530297c6c9d5986c3997c03f78cda6e8de88,2013-08,Lincolnshire Police,Lincolnshire Police,0.323025,53.139524,On or near Bus/Coach Station,E01026092,East Lindsey 014A,Investigation complete; no suspect identified
a2bcb5d81cce817cfa1807201338678814737b58198eda2fa6aefae4136ae350,2013-08,Lincolnshire Police,Lincolnshire Police,-0.009527,52.993249,On or near CASTLE ROAD,E01026022,Boston 008C,Investigation complete; no suspect identified
5c7e980724d7a44f6b0968bf327c05d2eb42a595d965f43b8c69e3be94f1bb92,2013-08,Lincolnshire Police,Lincolnshire Police,-0.530429,53.198371,On or near CHICHESTER ROAD,E01026186,North Kesteven 001A,Investigation complete; no suspect identified
8ff052569342f2f0a9b81626b15dbc0ac1d0e3211f6dc620a84baaa90fd903b1,2013-08,Lincolnshire Police,Lincolnshire Police,-0.325319,53.209814,On or near CHURCH LANE,E01026366,West Lindsey 011A,Investigation complete; no suspect identified
8443e3b606c5b96561e1e56ccbe8719491e3994b820b347b67fc11040ac3ad13,2013-08,Lincolnshire Police,Lincolnshire Police,-0.657828,53.276437,On or near STURTON ROAD,E01026397,West Lindsey 009B,Investigation complete; no suspect identified
ab702860064ba53a13f53deddde221c0916e1ddf05fa111bfa13b435ed7b5fbc,2013-08,Lincolnshire Police,Lincolnshire Police,-0.507511,53.240985,On or near Supermarket,E01026153,Lincoln 002A,Investigation complete; no suspect identified
53242f55c4e68eea2fde34210559162c7c7e4464a82a57c4fafb0f2a81e631ea,2013-08,Lincolnshire Police,Lincolnshire Police,0.342089,53.141722,On or near ARCADIA ROAD,E01026093,East Lindsey 014B,Investigation complete; no suspect identified
8a6f8b7d70bc92874ef8779e65d801b40995a4cbe5fd8ea5ea479aec7f7b4539,2013-08,Lincolnshire Police,Lincolnshire Police,-0.151299,52.786920,On or near MARKET PLACE,E01026266,South Holland 006B,Investigation complete; no suspect identified
64e64a01bbf6817fa9112b7f49bb2fad95337a49f8530897e85c1375d28fb883,2013-08,Lincolnshire Police,Lincolnshire Police,0.335620,53.143485,On or near LUMLEY SQUARE,E01026093,East Lindsey 014B,Investigation complete; no suspect identified
94ec7dd05686536962d3538def08c5551daa8772536d0954f00ad0c672220e3b,2013-08,Lincolnshire Police,Lincolnshire Police,-0.575736,53.394838,On or near Conference/Exhibition Centre,E01026386,West Lindsey 005B,Investigation complete; no suspect identified
cb805cd33cfd611e8c3556e81d01ba624d5fa9ddabab9d526adfe646297fd635,2013-08,Lincolnshire Police,Lincolnshire Police,-0.149119,52.785169,On or near THE VISTA,E01026269,South Holland 007B,Investigation complete; no suspect identified
645bbe37363d77cee2e5fc7d4b262b29366d24b02d8dc6ea744af4b0e31736a3,2013-08,Lincolnshire Police,Lincolnshire Police,-0.543607,53.223865,On or near Further/Higher Educational Building,E01026132,Lincoln 005A,Investigation complete; no suspect identified
