Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e8c62b315831176bc4bea16b62342f4bcdb1a1b1fa3bbb56930d68188a61bdea,2013-08,Norfolk Constabulary,Norfolk Constabulary,1.303038,52.930519,On or near THE GANGWAY,E01026735,North Norfolk 003B,Suspect charged
2df0291b2ccf4ba23287d7a621c6e1c1aefda68b706e26291309a472b2c75c3e,2013-08,Norfolk Constabulary,Norfolk Constabulary,1.243157,52.603893,On or near CHURCH FIELD,E01026882,South Norfolk 002B,Suspect charged
947f218704ad1395e0ed6e5e86cee46ce5f892b20e0169c9775ce538cd77642d,2013-08,Norfolk Constabulary,Norfolk Constabulary,1.302246,52.646670,On or near PEARCEFIELD,E01026842,Norwich 003B,Suspect charged
d1c04ffce6a82df8373f23db6006d187fd974387574c491027260b2f1198920d,2013-08,Norfolk Constabulary,Norfolk Constabulary,1.279011,52.599380,On or near OLDHALL ROAD,E01026821,Norwich 013F,Offender given a caution
71b3f23a1d6c5d9dce2ac66d2e4866610ec3ac78d78e1fab07c74dd504db5755,2013-08,Norfolk Constabulary,Norfolk Constabulary,1.310364,52.636505,On or near HEATHGATE,E01026848,Norwich 015A,Suspect charged
f9dd6b0f560a28637bf6412dee733f4de67ebd682833f202fdd48af498a29283,2013-08,Norfolk Constabulary,Norfolk Constabulary,0.809912,52.580188,On or near AMYS CLOSE,E01026437,Breckland 008A,Offender given a caution
aabcf8276a222e39ef8c5c89a1235567daa030ee7cf84f9e149139eaa8d83449,2013-08,Norfolk Constabulary,Norfolk Constabulary,,,No location,,,Suspect charged
37ea4b20762991522c36bbec378a281d53a644e4863de0e99b99020aa9d2205f,2013-08,Norfolk Constabulary,Norfolk Constabulary,1.224273,52.493600,On or near SWAN LANE,E01026940,South Norfolk 011F,Investigation complete; no suspect identified
a8070d6cb6ed8757771ee467e5d3a7457d437613c65920814ce01e54e3ce6887,2013-08,Norfolk Constabulary,Norfolk Constabulary,1.156891,52.654781,On or near A47,E01026895,South Norfolk 002D,Investigation complete; no suspect identified
d9686f27bb809e4529c01363172d5d840771ca12fd4696bbec87fb7b68130101,2013-08,Norfolk Constabulary,Norfolk Constabulary,1.298457,52.637197,On or near BULL CLOSE,E01026826,Norwich 007E,Investigation complete; no suspect identified
c82ed8ea7802a1d9f3cd4cbe5f6ae7117867ac063df692e9b015a444bea99cd5,2013-08,Norfolk Constabulary,Norfolk Constabulary,0.798422,52.791325,On or near A1065,E01026780,North Norfolk 009A,Investigation complete; no suspect identified
4329aef8de387e49c41a7271f9aab43e8350d01bd838615e01f64ae69cd67dd4,2013-08,Norfolk Constabulary,Norfolk Constabulary,1.241415,52.603509,On or near ASPEN WAY,E01026882,South Norfolk 002B,Investigation complete; no suspect identified
235bf683fb74621ea0ec1904a7bf5c235a04c0ee268486e85cfd63b48f3bf17e,2013-08,Norfolk Constabulary,Norfolk Constabulary,0.563630,52.743481,On or near LYNN ROAD,E01026665,King's Lynn and West Norfolk 012A,Investigation complete; no suspect identified
49184cd7c290365d1b9a165b03ef21c37e8c1ee305f22fce8d58c9375804959e,2013-08,Norfolk Constabulary,Norfolk Constabulary,0.224622,52.600269,On or near TOWNLEY CLOSE,E01026716,King's Lynn and West Norfolk 016E,Investigation complete; no suspect identified
786c1c84ec087484788643ea16d51e09f337e26a31e43f0adeda010939fa17ef,2013-08,Norfolk Constabulary,Norfolk Constabulary,1.726566,52.648543,On or near CROFT ROAD,E01026593,Great Yarmouth 003E,Suspect charged as part of another case
7a2e799537a1a5028185b0958b2ad6c8b41f4dfcf32f5aee6c418632b9edac76,2013-08,Norfolk Constabulary,Norfolk Constabulary,0.939676,52.680921,On or near CHURCH STREET,E01026425,Breckland 005A,Investigation complete; no suspect identified
41fdf78cecb55321dc45cbab104b5a2537d86f0d3cb91bba2b5eb17ed6fdbe37,2013-08,Norfolk Constabulary,Norfolk Constabulary,0.414971,52.766151,On or near REID WAY,E01026690,King's Lynn and West Norfolk 007D,Investigation complete; no suspect identified
