Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
db63f1f931ef7ec81c5b56125f7a9ed6054f5785c0e12e7beb5e0cfc9b194155,2013-08,Northamptonshire Police,Northamptonshire Police,-0.730126,52.407761,On or near SACKVILLE STREET,E01027104,Kettering 007A,Investigation complete; no suspect identified
407283b5c7d10be3720845077cbebd0d6dea6c88b3f175e5dd8ec221261df313,2013-08,Northamptonshire Police,Northamptonshire Police,-0.722547,52.404973,On or near KING STREET,E01027106,Kettering 006B,Investigation complete; no suspect identified
ea3f436a0818ed96b847af916a7f4581f66b021b5c8a9236883d6bc1c409fd74,2013-08,Northamptonshire Police,Northamptonshire Police,-0.730910,52.383513,On or near ABBOTS WAY,E01027131,Kettering 009D,Investigation complete; no suspect identified
2fae2bc99d718be048c1a1ea743a40421a0ade4d07ed33538cc7e2943e73a32c,2013-08,Northamptonshire Police,Northamptonshire Police,-0.912112,52.242422,On or near SPENCER BRIDGE ROAD,E01027241,Northampton 017B,Investigation complete; no suspect identified
6487b0a8a4b31f8e5c8d2e8963739fb803b377cdf89530a19fc7988f3a90d3d9,2013-08,Northamptonshire Police,Northamptonshire Police,-0.730200,52.286279,On or near CHURCH LANE,E01027329,Wellingborough 009E,Investigation complete; no suspect identified
58461bc71e9e32a6e91a38e35c3011d762e8718195b8243ad0fe092b2eac6b8f,2013-08,Northamptonshire Police,Northamptonshire Police,-0.746496,52.391384,On or near Supermarket,E01027116,Kettering 007E,Investigation complete; no suspect identified
eebf91f36e97c20dd9db2aef2a8bc946ba4a71d894fef541624787edf71046fd,2013-08,Northamptonshire Police,Northamptonshire Police,-0.729132,52.398868,On or near Shopping Area,E01027110,Kettering 007B,Investigation complete; no suspect identified
a787a29a3f9edf27aadf6ad94b8f810e051af257dbbd5e71fe0e89a7ab7612c8,2013-08,Northamptonshire Police,Northamptonshire Police,-0.681552,52.364901,On or near PIONEER AVENUE,E01027092,Kettering 011B,Investigation complete; no suspect identified
ce2650cda120d4ef58f621d3b5904332a28261df56418e5c77fc7808b192b589,2013-08,Northamptonshire Police,Northamptonshire Police,-0.889434,52.253243,On or near TRINITY AVENUE,E01027185,Northampton 015B,Investigation complete; no suspect identified
605e4cf74ff0c5b7019a45e7ee62481760154cab6cfaf8e8a1cb447fab7fe344,2013-08,Northamptonshire Police,Northamptonshire Police,-0.842402,52.266439,On or near SAGE CLOSE,E01027195,Northampton 004A,Investigation complete; no suspect identified
81127bea4c580cbe2f009e8cf73b2050f2794eb9e06b1bfc01dcfe532193f7ad,2013-08,Northamptonshire Police,Northamptonshire Police,-0.897052,52.267978,On or near THE CLOSE,E01027147,Northampton 003D,Investigation complete; no suspect identified
3638c9ce429c681500064f978fad8668cd70e90c7d9dccb7a29f6a892ddea81e,2013-08,Northamptonshire Police,Northamptonshire Police,-0.898075,52.238543,On or near BRADSHAW STREET,E01032979,Northampton 021F,Investigation complete; no suspect identified
1ce57d83301d1e57db02e79a2e7ded32955ade3d98326f273420142123a60979,2013-08,Northamptonshire Police,Northamptonshire Police,-0.897052,52.267978,On or near THE CLOSE,E01027147,Northampton 003D,Investigation complete; no suspect identified
a4cd1a226e5892d59e146ce7b2be6c595b98690d34b6450c82775d3b0922d309,2013-08,Northamptonshire Police,Northamptonshire Police,-0.919598,52.255608,On or near SOUTH OVAL,E01027244,Northampton 017E,Investigation complete; no suspect identified
a4c23d62453c8e422a509d39ef3a55fe4ba5e9f8716b1c46ceaff033fad69ed6,2013-08,Northamptonshire Police,Northamptonshire Police,-0.605191,52.292242,On or near DAYTON STREET,E01027065,East Northamptonshire 009D,Investigation complete; no suspect identified
7f85df0bb26bef8effec6b8fce3890b72f1a6e87c4f20d9da22cfa08d9cd21d5,2013-08,Northamptonshire Police,Northamptonshire Police,-0.871710,52.254315,On or near HIGHFIELD ROAD,E01027186,Northampton 013B,Investigation complete; no suspect identified
cded9969376e111b95d02f43bfe01c7b076dc5de16ba2569c1a8d8709e01a86a,2013-08,Northamptonshire Police,Northamptonshire Police,-0.989762,52.130881,On or near RICHMOND ROAD,E01027303,South Northamptonshire 004E,Investigation complete; no suspect identified
9439795ab243519581f2c5071624c6543be0c76e28a4d999be7d8d5e6eee3503,2013-08,Northamptonshire Police,Northamptonshire Police,-0.879113,52.218666,On or near Park/Open Space,E01027202,Northampton 028D,Investigation complete; no suspect identified
d92cd3dafb4e000b205b455bddc31db8f858f12aa27290c9b4c84e2af55bb27d,2013-08,Northamptonshire Police,Northamptonshire Police,-0.720003,52.403984,On or near VERMONT STANDING,E01027106,Kettering 006B,Investigation complete; no suspect identified
2a88a291c804e433c74bd6824742e1413be3d1129f7e85a6aaa45dec09f000b5,2013-08,Northamptonshire Police,Northamptonshire Police,-1.183181,52.227850,On or near POUND LANE,E01026993,Daventry 010A,Investigation complete; no suspect identified
d2bcdc213d9edcba10e1b9a15b51ee085849d686624c2735a40baae4b855a963,2013-08,Northamptonshire Police,Northamptonshire Police,-1.023068,52.141051,On or near Bus/Coach Station,E01027289,South Northamptonshire 004C,Investigation complete; no suspect identified
0bc3db88114f7c4be10c8731d7c35cce9ec18ffb2dd57f139383112301a6a2b0,2013-08,Northamptonshire Police,Northamptonshire Police,-0.541784,52.340593,On or near COLE COURT,E01027051,East Northamptonshire 005A,Investigation complete; no suspect identified
9dee916f46c8034186d3c00cb16c99359a0a3ec5b06dacd125725fde08b437d3,2013-08,Northamptonshire Police,Northamptonshire Police,-0.843182,52.256188,On or near ASHLEY WAY,E01027181,Northampton 010C,Investigation complete; no suspect identified
fcc2b64ae6d4558746e86274fe65482efcbd026f691fd3bb3494a2572e94aadd,2013-08,Northamptonshire Police,Northamptonshire Police,-0.709986,52.406734,On or near MAPLE ROAD,E01027082,Kettering 005B,Investigation complete; no suspect identified
08577e211c0269727224af22b2360b5ef6ddbc28051a78f434e2bea1fc1aba97,2013-08,Northamptonshire Police,Northamptonshire Police,-0.714309,52.392045,On or near WAVERLEY ROAD,E01027099,Kettering 008D,Investigation complete; no suspect identified
1f61ed8c8dfde7ab7aee181dce2981ad613d8d5d163f6dd50e71f7f9e0d5659d,2013-08,Northamptonshire Police,Northamptonshire Police,-0.690935,52.317741,On or near FULMAR LANE,E01027334,Wellingborough 002E,Investigation complete; no suspect identified
46d7c832a4ee524b1a6a8ff69df078459628deddc27e9012bb9ffa97111f93f6,2013-08,Northamptonshire Police,Northamptonshire Police,-0.900107,52.262396,On or near HARBOROUGH ROAD,E01027229,Northampton 009B,Investigation complete; no suspect identified
b62d211acbfb56ff23da4f9bed808532afb1b125b7fdfb8db6a3b5b66ce2d2fd,2013-08,Northamptonshire Police,Northamptonshire Police,-0.922722,52.226462,On or near RYDALSIDE,E01027234,Northampton 026B,Investigation complete; no suspect identified
c59011724b1347b67f3a073153a923b8517a084c17e79229861aa2d14ee4c230,2013-08,Northamptonshire Police,Northamptonshire Police,-0.904614,52.239440,On or near FORT PLACE,E01032978,Northampton 021E,Investigation complete; no suspect identified
0a95451f78bafafeddfe7e4a0e3a8170914d1276108728daae8212c42a4545c6,2013-08,Northamptonshire Police,Northamptonshire Police,-0.899829,52.321561,On or near HIGH SLADE,E01027001,Daventry 002B,Investigation complete; no suspect identified
ecfeca8e3101a039432a32cc8507e2fdbb8ced159085aa93ee31487b0d38da84,2013-08,Northamptonshire Police,Northamptonshire Police,-0.842429,52.075500,On or near LOCK LANE,E01027276,South Northamptonshire 008A,Investigation complete; no suspect identified
73a3544510e24dee97850f7818156c761396736beba9107907dc64f871abdd5f,2013-08,Northamptonshire Police,Northamptonshire Police,-0.896942,52.235781,On or near Nightclub,E01027223,Northampton 025A,Investigation complete; no suspect identified
ec51f1e764dc000286354bf57771098d4112f66e0265e6fe1437701e284e7986,2013-08,Northamptonshire Police,Northamptonshire Police,-0.922393,52.222476,On or near JOSHUA SQUARE,E01027252,Northampton 026D,Investigation complete; no suspect identified
f9dc188149a3137cd5659d4f510d4bf58dc0c61b0e62c83adee0dc8a8c7c2d33,2013-08,Northamptonshire Police,Northamptonshire Police,-0.843921,52.263820,On or near STONE HILL COURT,E01027182,Northampton 006C,Investigation complete; no suspect identified
bb164283c3da95f1869106247b38101ae72581fc568a017c9c9c5511b5f46b80,2013-08,Northamptonshire Police,Northamptonshire Police,-0.720383,52.306969,On or near AMBLESIDE CLOSE,E01027342,Wellingborough 005D,Investigation complete; no suspect identified
3e707bad7e1dd6f8008c78d54c18ea265bd4c232ec5bc272a99513d703d965fd,2013-08,Northamptonshire Police,Northamptonshire Police,-0.879422,52.186005,On or near FOXFIELD WAY,E01032983,South Northamptonshire 003G,Investigation complete; no suspect identified
cb5b40add11a2aea38285fe8596f4e15699274e1a6d8dbe43b169440ae091a5f,2013-08,Northamptonshire Police,Northamptonshire Police,-0.899485,52.201056,On or near WINDINGBROOK LANE,E01027167,Northampton 030F,Investigation complete; no suspect identified
d47e3094ca9efa8efd17f59a008125315e0d3c4b8b300f95ee1464dc6ec52a75,2013-08,Northamptonshire Police,Northamptonshire Police,-0.822260,52.446259,On or near BURDOCK WAY,E01032970,Kettering 002H,Investigation complete; no suspect identified
7316b128cca806e9f6d10c0eda8ff0959c9662429589aef953056b62ac01ca52,2013-08,Northamptonshire Police,Northamptonshire Police,-0.855241,52.239601,On or near WISTERIA WAY,E01027258,Northampton 020C,Investigation complete; no suspect identified
047b7e3fe8745c32c4f2537677eea0800613978d32732300d24c0022909cd88a,2013-08,Northamptonshire Police,Northamptonshire Police,-0.884591,52.245977,On or near HOOD STREET,E01027225,Northampton 023B,Investigation complete; no suspect identified
9465d6a1cd698b0388d6ba3575755e8edd8bdcfc73fb0edc4a7c931f329d6776,2013-08,Northamptonshire Police,Northamptonshire Police,-0.658255,52.506952,On or near SHELTON ROAD,E01026958,Corby 003B,Investigation complete; no suspect identified
6eda8533e5f208f09da2796174739f75ce7e5b99900be50282f96015255a36fb,2013-08,Northamptonshire Police,Northamptonshire Police,-0.812316,52.445602,On or near HOUSE MARTIN CLOSE,E01032969,Kettering 002G,Investigation complete; no suspect identified
