Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
63c969ff830b6799d25aad30923aef31457e40535c549255d78bbf1d16e4fb95,2013-08,Warwickshire Police,Warwickshire Police,,,No location,,,Offender given penalty notice
6604802c59997932fcdd58069703083a1f5c7dc3c012476a437b515a7177977b,2013-08,Warwickshire Police,Warwickshire Police,,,No location,,,Offender given a caution
22caa98a2bb1bb5330c2f702d68fa0f450ae3857abd1aa3d5a07cdf80233fd76,2013-08,Warwickshire Police,Warwickshire Police,-1.249577,52.386711,On or near BOUGHTON ROAD,E01031141,Rugby 002E,Investigation complete; no suspect identified
b9369d1b74cc5c15475812dd17240c60d0910c00ad1aa7d50de35469884299d0,2013-08,Warwickshire Police,Warwickshire Police,-1.462606,52.524107,On or near ORCHARD STREET,E01031043,Nuneaton and Bedworth 005A,Investigation complete; no suspect identified
645dd28c0f15b760593b68d2eba25c2b2dfe3ecad3ab5794a03684ee044ca6b0,2013-08,Warwickshire Police,Warwickshire Police,-1.297811,52.366572,On or near LILAC DRIVE,E01032895,Rugby 007H,Investigation complete; no suspect identified
6af1de8a0d70ac33637788f406db65dd8131ef42791974e46b17a0744ea5f21f,2013-08,Warwickshire Police,Warwickshire Police,,,No location,,,Investigation complete; no suspect identified
03704c9204cd19022f059463d850ed60de65a3632afff27563a0936c560c4e95,2013-08,Warwickshire Police,Warwickshire Police,,,No location,,,Investigation complete; no suspect identified
f3d196ed453d96e79a5b62a0d88076efadd5177e56a99aec04338ac9cf60455d,2013-08,Warwickshire Police,Warwickshire Police,,,No location,,,Investigation complete; no suspect identified
76012992359cd94f4372cbb6b4552cee08f5be953fa1f406f02acd8fbb2199a1,2013-08,Warwickshire Police,Warwickshire Police,-1.388585,52.279565,On or near LEIGH CRESCENT,E01031211,Stratford-on-Avon 005G,Investigation complete; no suspect identified
8159a1da90ff8560c9de51398cf74c28d531e4543c17cda01ce66b29c6078086,2013-08,Warwickshire Police,Warwickshire Police,-1.729752,52.196022,On or near MEADOW LEA,E01031237,Stratford-on-Avon 011E,Investigation complete; no suspect identified
dc4bc6f9363e4c60ca0cac55696ba0df635044875ab3b28a96cf35a403167c4d,2013-08,Warwickshire Police,Warwickshire Police,-1.387322,52.252029,On or near CRAVEN LANE,E01031222,Stratford-on-Avon 004D,Investigation complete; no suspect identified
f28f56db50a579cc00f78b944d54eecdbf83ced6fd9391f8dc97fdaa39670258,2013-08,Warwickshire Police,Warwickshire Police,-1.530571,52.282632,On or near TOWER STREET,E01031266,Warwick 013F,Investigation complete; no suspect identified
4035746588aa7b7d18167932b5762056a67bf3df504e9976cbef71bac0da6d11,2013-08,Warwickshire Police,Warwickshire Police,-1.365654,52.145332,On or near Parking Area,E01031198,Stratford-on-Avon 005B,Investigation complete; no suspect identified
928be0228ffe88f878c19d9ba30dadbb5b5e518e69a95e525237ef75ec496c48,2013-08,Warwickshire Police,Warwickshire Police,-1.578143,52.292980,On or near PHILLIPPES ROAD,E01031310,Warwick 008B,Investigation complete; no suspect identified
8b660a2892a188f2d6b2451dcdb0ef31d802a2b59f6da34bac06ff826b3b8cdf,2013-08,Warwickshire Police,Warwickshire Police,-1.601596,52.188908,On or near BEAUFORT CLOSE,E01031251,Stratford-on-Avon 008E,Investigation complete; no suspect identified
7e388987ca960636565653c66ae662779d020c405908f1b48135cb0379b99c0b,2013-08,Warwickshire Police,Warwickshire Police,-1.533216,52.286221,On or near VICTORIA TERRACE,E01031291,Warwick 009B,Investigation complete; no suspect identified
f395c2184f9ff5ed26b4ad66da27bdc8cbca03939ea36e46ad9b1903a8ca3213,2013-08,Warwickshire Police,Warwickshire Police,-1.708994,52.184357,On or near SAFFRON WALK,E01031235,Stratford-on-Avon 011D,Investigation complete; no suspect identified
3750a7060c1d3683afbd19182e6d45002321fe0114a3cae9873eb748a10cd134,2013-08,Warwickshire Police,Warwickshire Police,-1.686653,52.185343,On or near EXHALL CLOSE,E01033252,Stratford-on-Avon 010F,Investigation complete; no suspect identified
030d606fb871fc5233d2992dc642426ab5ed4ed0161e349c1d9bad4909eb671d,2013-08,Warwickshire Police,Warwickshire Police,-1.709205,52.192359,On or near Supermarket,E01031234,Stratford-on-Avon 011C,Investigation complete; no suspect identified
3fa7f7dfa52460fd7e957f69f05ff6ea7e5fc6680ee691481e12777dff16d729,2013-08,Warwickshire Police,Warwickshire Police,-1.564563,52.290252,On or near BEAUCHAMP ROAD,E01031309,Warwick 008A,Investigation complete; no suspect identified
c3fe4f859e99eccfe80123d11e9559daeee240cf61d5426708cfeeba9e53fb85,2013-08,Warwickshire Police,Warwickshire Police,-1.533216,52.286221,On or near VICTORIA TERRACE,E01031291,Warwick 009B,Investigation complete; no suspect identified
1e7a8fc14570397e166ae8179ef7907fcdac8a21275925eb2d906e8ef6caa29a,2013-08,Warwickshire Police,Warwickshire Police,-1.586723,52.295860,On or near BEAUFELL CLOSE,E01031313,Warwick 008E,Investigation complete; no suspect identified
3980925048869fd3d44d3f248a45ec90e2aa767f946a0364e71cc07380524db9,2013-08,Warwickshire Police,Warwickshire Police,-1.537717,52.262181,On or near ACHILLES CLOSE,E01031259,Warwick 014A,Investigation complete; no suspect identified
fb100340e6571263248d4795da75af107700295ede83dc17bcb1421508c4f75c,2013-08,Warwickshire Police,Warwickshire Police,-1.735767,52.178307,On or near AVONBANK DRIVE,E01031188,Stratford-on-Avon 007B,Investigation complete; no suspect identified
b0e9456158e0cb3057af0b62db35df52166c040767fd46e4b473cada5bee24cb,2013-08,Warwickshire Police,Warwickshire Police,-1.780678,52.291443,On or near BECKS CROFT,E01031202,Stratford-on-Avon 002B,Investigation complete; no suspect identified
9023cfca5746b098b1d50fa7e30d5b0f3fdf775292250312e68bafdcf23d288a,2013-08,Warwickshire Police,Warwickshire Police,-1.530460,52.286174,On or near MILL STREET,E01031336,Warwick 010F,Investigation complete; no suspect identified
