Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f6061a058c84ba61ddbd6abb6cdeab8cacc183f0e5712c1222ef167448cc6b8c,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.238007,52.571157,On or near GRAVEL WALK,E01015599,Peterborough 014A,Suspect charged
2aed8f938b322a8b8f1b80e83c401510d654158669b33f3c5c0758b8017c19ee,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.249158,52.566458,On or near GEORGE STREET,E01015622,Peterborough 016A,Suspect charged
a013d0458311eef38e39f108c7676873303ef14b958eabb36886d3c244873167,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.299644,52.187634,On or near A11,E01018296,South Cambridgeshire 011F,Investigation complete; no suspect identified
d4b9b9f3d691e5456bb38c2056b68f943e3cc0f4800d6a8f1ef67320fea50fbd,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.218562,52.547750,On or near MINA CLOSE,E01015671,Peterborough 019D,Investigation complete; no suspect identified
efaadce11a141cb8b0d5f7f7db30957d25a438bf78acf1066057145118c8bdaa,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.304826,52.457303,On or near CROWN LANE,E01018044,East Cambridgeshire 001C,Investigation complete; no suspect identified
29f219ce982d372dcf76233089fc4af1ee131fd1dfbf345059290a5fbf030de0,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.141982,52.175892,On or near Further/Higher Educational Building,E01017995,Cambridge 013D,Investigation complete; no suspect identified
f18b0c8926fe67b277ec26c9314410e4dd5a66201f9db0c0a51ba88c8485c039,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.001487,52.308056,On or near OVER ROAD,E01018284,South Cambridgeshire 003C,Investigation complete; no suspect identified
138e834ce28ec57ea2353ea1174983cffec7a3f8cb30827e38d7cb7bb9aaada7,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.081418,52.559004,On or near SOUTHWELL CLOSE,E01018082,Fenland 005B,Investigation complete; no suspect identified
00b85dca50faa0c0d52b3e0cffb38050168a9432eb26849e695387de3518081c,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.272407,52.103914,On or near THE WOODLANDS,E01018263,South Cambridgeshire 016D,Investigation complete; no suspect identified
81d211af7a104a39948241b0d77a99ce9baa91e87f4d78c2b8b024637c767a38,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.123160,52.202956,On or near Further/Higher Educational Building,E01032797,Cambridge 007G,Investigation complete; no suspect identified
b9775cfbfbf894dae55c89b599eb714804866f36974c8dd8c85d0577f1455a52,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.308193,52.458631,On or near THE HYTHE,E01018044,East Cambridgeshire 001C,Investigation complete; no suspect identified
c3db1e71638ff55e8ca17d15cb193a4d563c39781adda270f77bc2a13aa4d09f,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.068489,52.283990,On or near Airport/Airfield,E01018266,South Cambridgeshire 003B,Investigation complete; no suspect identified
c8d1ad73b014b01a602c6aa5a98781fdfb9a146006b25c5c170cb43c3b37c0a0,2013-09,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.129250,52.207270,On or near FAIR STREET,E01017983,Cambridge 007C,Investigation complete; no suspect identified
