Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
4944ad1ab8024b07953377fb952b88a0822c2c65327107033015650616807ab8,2013-09,Kent Police,Kent Police,,,No location,,,Suspect charged
38f8ace7c7be52092adc32457b57350becce4cf80400c465ba1e4d0b7c3d8198,2013-09,Kent Police,Kent Police,,,No location,,,Suspect charged
0101b7419d7b92aa3facdd2a817774469a1264433c519fa421bbf2d8e989564b,2013-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
8b60608b1ac80f7563c88f6101f590b764f7ef8ec025c1bb9d89ff4391af373e,2013-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
0fb0ad470c7bd8441a3a2247220998a7248127ae2a4f267aef4552a260352005,2013-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
4e94f7f6185b82bd098371cc0c725a1b745c1550eb8fc4760bc5808f641f97d8,2013-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
5efe01d128e0b564b583f946fe5395db72711a1e4a34e2b3899c309e75ff726e,2013-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
7a094c793f266219ae84814d483d850f9e7c46f84728ab13c7a0ca3e71a4a124,2013-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
8f2769dee4ac353d73ddd94a4e079a71c46c865178089c5ca4301d3eaee41639,2013-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
4c4ad085025ec3b2de2f28ce359e6c63befaa6b9e8310f996c197ad54f5fad88,2013-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
cad6664b6721d953e1ea8cd921755f148d879109306d18be458d17b369d0d318,2013-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
67a0cfd3965922c2781b733222219f3c64594c6da780957c732a4c3d65adff89,2013-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
80b054d65a4d3686a1d028c04b8509fd44074d17e0801d0b5a1bdbe565e55092,2013-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
01db5a51ec751bd3b97a896f33cacbeb6cd9a8c70a27c8eb622846a696a92b7b,2013-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
8f2affeaa9bbaf6b9d647379db8126a5adf3bea246e1352431543a9a42dd83af,2013-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
b792c3a929227f91f06289b1800d50fdac585a8d1931438f8f6fbbb035267aae,2013-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
feec1ecd076a9c7ccff69c6965c8ddfa076a6ea653a7de1a38aa68a2a0bebc69,2013-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
0b026fe732092fcc653a804a9fb312ab9c7390d755d63c80ff9d39568f5ed452,2013-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
9d3e1e4598928b896435b44e7c506a80eacfc25cc0768dae6a6001024e5696aa,2013-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
87aa2b6d3397da8c92f60ddcd4ba73e19d8e6d2406d129789ae5231510797d08,2013-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
0663ae5bc3a8e0e7722e9334dc4d85b6d63e176ff7859eae5aae730ddcafe02e,2013-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
71d685d705af5ed9c2b0e5cebaf43ac4021ac9dad58faad9570fd0731cf2060a,2013-09,Kent Police,Kent Police,,,No location,,,Local resolution
b0ded05c4c7694c9606abdaf8a47bb99e83703380b2a75040d9efbb180a10cfa,2013-09,Kent Police,Kent Police,0.510290,51.409857,On or near HOLLY ROAD,E01016146,Medway 004A,Local resolution
b0ded05c4c7694c9606abdaf8a47bb99e83703380b2a75040d9efbb180a10cfa,2013-09,Kent Police,Kent Police,0.510290,51.409857,On or near HOLLY ROAD,E01016146,Medway 004A,Local resolution
e85b634a9d4cab52a9198712787b15d5b01001c1f49b5a73b6b16df868b8e072,2013-09,Kent Police,Kent Police,0.340934,51.429650,On or near HALL ROAD,E01024288,Gravesham 006E,Offender given penalty notice
7da6ba7f25c2cd3135331b25b856534f416c170b2c0c77ff4192b18f885a0db7,2013-09,Kent Police,Kent Police,,,No location,,,Suspect charged
335419518349b665a904592f82263500bb73ec725f0c89eb178038ec0f73c2a2,2013-09,Kent Police,Kent Police,,,No location,,,Suspect charged
47a03b664251d4ed8dfde53828246258eeea373135df8795a1e20b87f3780025,2013-09,Kent Police,Kent Police,,,No location,,,Suspect charged
b102d0bb63068ed01a0c996671cb66b9764afdeb0f5e8d60633fbcfbc16b5924,2013-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
fd6cdfaddc7dba428f4e806cb221ae51d429a07aed2f18caa7935e98349eb0c2,2013-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
d7cb3187b82600734aaadd1b98ba14ecd430c4610ced36ae8fdaecac5c3370b7,2013-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
e2b959b55a9357cbdbcbfe899963b21ea814e75e970fe8382b7ea63681dd1a27,2013-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
58e3d34060a3de5cdcf68bfd57fc74c16c904b8668477e69d411d7af66ea101c,2013-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
4088b6083481c9c05a4ed0e36e03f6db8dd4b4a9405236a4ccd7db89bdea2c1c,2013-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
f616284d0060223343573d879c58c18610e4783937fbf02bce00773a3d635c4e,2013-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
95aff87642431219ca4baf3cf5e119eec6815b99ca703ab7ba8700a6bb0c60c7,2013-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
46a4f5cca8a441cbd31b3ed9229b0596e6319573525a8f1c8718202c4301a51c,2013-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
c86f92580ea580a9fdd1a013d7e0dcde96925b03a2a71354b285bc045502b7ee,2013-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
0e1147fc1a450603804934abb1fc71fa94acb6b8cdbd70736ac3e7462af53996,2013-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
33736bb3c073b0df647dd86ec1db9ebfa8df0facce6587d6756a28029e6af4c2,2013-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
4b5058c8c6390ddcec43be94ec6d81c337276755c57d26feda1703f17845ae18,2013-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
f9cc838dfbcef2c20783427035661e853618579d5a0f677534aa15e52f9e7a77,2013-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
aa9f7886e093ac1d563f9c7ba28465c768310bf42b16afbb975f375004728800,2013-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
18cc6f769e10058abdf4ea2eb57233cb353c73893e8050765f294ed296450be9,2013-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
7574259b7400ecdb452a6e9fbc30fdfe3a5aedd5e28b7c700a3acda2620ca788,2013-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
b9517b193baf807472519a3d0d705e76adf89d8f8ba1b4b42ce0a77c3071e1e9,2013-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
01d0ed9de349d88b9dc047d495e3a2d5b16320124722f7fc114f4a19f86bdd9f,2013-09,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
c90ed01b24308ede0c1897c6c79f45efc29cd3d1078bc0534e00d44a308ef0f6,2013-09,Kent Police,Kent Police,1.381723,51.384481,On or near PARK PLACE,E01024676,Thanet 003A,Investigation complete; no suspect identified
910369b00246b20fe138b0a7f9d025db5e250f97d955e8908f1d6a3ef2da64a7,2013-09,Kent Police,Kent Police,1.405145,51.333240,On or near LORNE ROAD,E01024681,Thanet 015E,Investigation complete; no suspect identified
8e2dc9b3b2e8ece93e000e8429fe9f8cd6bdde7207427d8e2cf144c10b2cdc3e,2013-09,Kent Police,Kent Police,1.096952,51.290523,On or near Supermarket,E01024090,Canterbury 014C,Investigation complete; no suspect identified
83e449e28f2575d2ed2a3c886d98c50b49e7a564243baffdc73b5499bdbbe787,2013-09,Kent Police,Kent Police,1.144844,51.080718,On or near FENNER CLOSE,E01024520,Shepway 005E,Investigation complete; no suspect identified
be58a46ce9dacb082f8be2a8981b144d1edf1b097d6f05aaf0f7172700e37dbe,2013-09,Kent Police,Kent Police,1.422457,51.355511,On or near BROMSTONE ROAD,E01024690,Thanet 011D,Investigation complete; no suspect identified
da68994aa3396f1772a5cc049534102d19f38b1e59f4f43c0394dfa04a505bdb,2013-09,Kent Police,Kent Police,0.688687,51.071367,On or near EASTWELL BARN MEWS,E01024024,Ashford 013E,Investigation complete; no suspect identified
18d75fea7a17559fa65bebf930d0e833aa058fa05fc35f76b74d86754dafe6c8,2013-09,Kent Police,Kent Police,1.001603,51.328357,On or near GLEN WALK,E01024109,Canterbury 009E,Investigation complete; no suspect identified
5fd09532fce46971ce95b2f18769d161c5f1b4cb01f427f3ea073ae849284036,2013-09,Kent Police,Kent Police,1.136528,51.072838,On or near PROSPECT ROAD,E01024519,Shepway 006G,Investigation complete; no suspect identified
286580772fc8660c3b91ca8dd092c76b0004d84384fa2bb8e056cae999604225,2013-09,Kent Police,Kent Police,1.062831,51.283938,On or near WESTGATE COURT AVENUE,E01024123,Canterbury 012E,Investigation complete; no suspect identified
5706daeab963e6fc7dde2a844eadcb90c6e14a64d60baa742388246a0a31707b,2013-09,Kent Police,Kent Police,0.873791,51.150536,On or near Conference/Exhibition Centre,E01024027,Ashford 005D,Investigation complete; no suspect identified
44764b741d91b691cdb96f118aab9c555508f7e585c6c83cbfe85a88c84bbb74,2013-09,Kent Police,Kent Police,1.073069,51.298700,On or near Further/Higher Educational Building,E01032809,Canterbury 012F,Investigation complete; no suspect identified
