Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c32a428c51de303c89c0885f76e7898724230dc7d99e8eaf8c20c49b6617a9b2,2013-09,Northamptonshire Police,Northamptonshire Police,-0.513938,52.566176,On or near WALKERS FIELD,E01027043,East Northamptonshire 001B,Investigation complete; no suspect identified
d07bfdb79d7b813366a07ffbd3ab3891d6262ff1f5b14dbe56d6f2bb7ab43ea2,2013-09,Northamptonshire Police,Northamptonshire Police,-0.688819,52.387809,On or near HOGARTH DRIVE,E01027120,Kettering 010D,Investigation complete; no suspect identified
66a91675e523ee9b663212bb29f8980fef776f6e1c16b293ce9eb893c5909f45,2013-09,Northamptonshire Police,Northamptonshire Police,-0.589602,52.306163,On or near BEDE CLOSE,E01027034,East Northamptonshire 007A,Investigation complete; no suspect identified
fe08c511839e720bf700eb4367a423a435193ea540ae0a911840b063c30f7c97,2013-09,Northamptonshire Police,Northamptonshire Police,-0.814255,52.271815,On or near TALAN RISE,E01027178,Northampton 005C,Investigation complete; no suspect identified
6ae54422db8d3bc0b87904574e915e87f878f81b73bb14b59657ead009437c4e,2013-09,Northamptonshire Police,Northamptonshire Police,-0.902599,52.236814,On or near MARE FAIR,E01032979,Northampton 021F,Investigation complete; no suspect identified
e6513b8e128fee9fc79ec863a6060f40dc5e4d2aa5b5cf1a12ddabedfa91ac67,2013-09,Northamptonshire Police,Northamptonshire Police,-0.604028,52.453595,On or near SUDBOROUGH ROAD,E01027045,East Northamptonshire 003B,Investigation complete; no suspect identified
24c3fcb2302a4d4f2ac9290aba5f95ff47c207e1b1429ee8cfe59c4cd3a38335,2013-09,Northamptonshire Police,Northamptonshire Police,-0.693586,52.315918,On or near KESTREL LANE,E01027331,Wellingborough 002B,Investigation complete; no suspect identified
bc713084dee3a1dffc7c6d3a02d1374194d9bdbecb1cc183509fdfb0de3b6080,2013-09,Northamptonshire Police,Northamptonshire Police,-0.649976,52.308011,On or near Park/Open Space,E01027315,Wellingborough 004C,Investigation complete; no suspect identified
b389195978f65b781ed38af542dedeb6bb164a906ab71633679c9635a68bd1bf,2013-09,Northamptonshire Police,Northamptonshire Police,-0.917075,52.244931,On or near LEWIS ROAD,E01027239,Northampton 017A,Investigation complete; no suspect identified
ee2bd64077f5e7ff69364990055633a8e575ca123044167248b6e067cb1a727e,2013-09,Northamptonshire Police,Northamptonshire Police,-0.725153,52.307866,On or near SASSOON CLOSE,E01027339,Wellingborough 005A,Investigation complete; no suspect identified
5ee081301672eec240783e57d3a9483285b230e7d66675548cf1c17fd8333239,2013-09,Northamptonshire Police,Northamptonshire Police,-0.877764,52.190260,On or near POACHERS CLOSE,E01032983,South Northamptonshire 003G,Investigation complete; no suspect identified
e181a235a9dcdbf82efa22a1adfeffdeba3dc151d1bb2201db8e81b24d8c7850,2013-09,Northamptonshire Police,Northamptonshire Police,-0.750224,52.266569,On or near HIGH STREET,E01027322,Wellingborough 009A,Investigation complete; no suspect identified
f047c9dfd50796541f6b307e271e79dc3d567c97b435b3b49fd7ad087793743b,2013-09,Northamptonshire Police,Northamptonshire Police,-0.725299,52.403861,On or near CROWN STREET,E01027105,Kettering 006A,Investigation complete; no suspect identified
ed4901d40d567d68656fbe8f820b3ae1e5ac43cfae7bdb88d161f5656b4445d8,2013-09,Northamptonshire Police,Northamptonshire Police,-0.902422,52.240417,On or near CRISPIN STREET,E01032978,Northampton 021E,Investigation complete; no suspect identified
b1b74ee8e60038bd56f511e49d46061713dcf275f8798b02b2e06dcf88913c00,2013-09,Northamptonshire Police,Northamptonshire Police,-0.721607,52.400378,On or near GLOUCESTER CLOSE,E01027110,Kettering 007B,Investigation complete; no suspect identified
cfd31a9cb5e43c4312c43dd81e0163339e3fee6063ebdcdbe166fe73ca2759fd,2013-09,Northamptonshire Police,Northamptonshire Police,-0.724624,52.401274,On or near Nightclub,E01027105,Kettering 006A,Investigation complete; no suspect identified
4a0982874cc4ef8dbf1954d8c4524e776dac1e32693bab80b076eaa3c9d179a4,2013-09,Northamptonshire Police,Northamptonshire Police,-0.900760,52.260254,On or near Supermarket,E01027191,Northampton 008B,Investigation complete; no suspect identified
807aed79ebf517a9d89c3896d8bbd9ab5be36dd3950e931729b2ec44fbc43b37,2013-09,Northamptonshire Police,Northamptonshire Police,-0.588455,52.285488,On or near PEMBROKE CLOSE,E01027068,East Northamptonshire 010C,Investigation complete; no suspect identified
1d8c4917defef87e9c7616401f7f9d937fb3a22300fa0ce8c4da72bc4b1b9f4f,2013-09,Northamptonshire Police,Northamptonshire Police,-0.899520,52.258273,On or near OSBORNE ROAD,E01027191,Northampton 008B,Investigation complete; no suspect identified
ba71e5f5ed51874b3ce348904c9d0f5faa2c41ee104c7466c6af01b22866f6a3,2013-09,Northamptonshire Police,Northamptonshire Police,-0.901748,52.260604,On or near LINCOLN STREET,E01027191,Northampton 008B,Investigation complete; no suspect identified
c882d698056e64faded8cdca8f2fec1b9af36d4762fa15c2ebd59a1d8fbe8c6b,2013-09,Northamptonshire Police,Northamptonshire Police,-0.729102,52.298018,On or near WORDSWORTH ROAD,E01027341,Wellingborough 005C,Investigation complete; no suspect identified
e9d5f84f8902f04c968678ff206a6f76224b5876b48942be87f009641d19817a,2013-09,Northamptonshire Police,Northamptonshire Police,-0.877212,52.243516,On or near BOSTOCK AVENUE,E01027134,Northampton 022C,Investigation complete; no suspect identified
bc2254a2e0eb96fabe3e4b659baa100e47b4a778446c16258101cdd8858fc517,2013-09,Northamptonshire Police,Northamptonshire Police,-1.163230,52.257208,On or near FOUNDRY COURT,E01026992,Daventry 007D,Investigation complete; no suspect identified
9c978a9f6522f965fb0852588142a5d25a978ed19319f9a3087379f4d0c9b05d,2013-09,Northamptonshire Police,Northamptonshire Police,-0.892228,52.237517,On or near ST GILES' STREET,E01027223,Northampton 025A,Investigation complete; no suspect identified
f3ce756205fb17107d05519ae566d0dc11f6badbb987020a1e61077ecaba067b,2013-09,Northamptonshire Police,Northamptonshire Police,-1.014605,52.354742,On or near COLD ASHBY ROAD,E01027027,Daventry 004E,Investigation complete; no suspect identified
389fd8ede338201739947544025006f8f41e9f415618f32d6c56afeda89538ea,2013-09,Northamptonshire Police,Northamptonshire Police,-0.881833,52.197752,On or near QUINTON ROAD,E01027206,Northampton 031D,Investigation complete; no suspect identified
ac5471e6b02891e72f75eb2430c470044b866fbf4b8db0f4a913a956d403c345,2013-09,Northamptonshire Police,Northamptonshire Police,-0.844532,52.258350,On or near CHARNWOOD AVENUE,E01027181,Northampton 010C,Investigation complete; no suspect identified
507ee2bfa76534a466b3b52900a39b6d5f3394592da8f5a229199cf982f3387c,2013-09,Northamptonshire Police,Northamptonshire Police,-0.724441,52.407107,On or near WILSON TERRACE,E01027106,Kettering 006B,Investigation complete; no suspect identified
6cc918f356f3059b86d4a2ff24d3542cd8b463692bfc604ad2dbb7879d0802ae,2013-09,Northamptonshire Police,Northamptonshire Police,-0.886687,52.237132,On or near Hospital,E01027223,Northampton 025A,Investigation complete; no suspect identified
1f58f5488421bb403b7320ceea43322ca3d0c305ce4eb19f849777008c9ac3d4,2013-09,Northamptonshire Police,Northamptonshire Police,-0.721001,52.411169,On or near EXETER STREET,E01027079,Kettering 004A,Investigation complete; no suspect identified
c2317f84a2c06bdffc613c529701f15d242e638bbec9d87b649b17f1962a87ae,2013-09,Northamptonshire Police,Northamptonshire Police,-0.826636,52.275814,On or near BARNHILL SQUARE,E01027246,Northampton 005E,Investigation complete; no suspect identified
6608651d289515f8a3c476f16b01c3747e263c27c01a0edcdb7d0d8ae596f8dd,2013-09,Northamptonshire Police,Northamptonshire Police,-0.723509,52.313539,On or near WATSON CLOSE,E01027347,Wellingborough 003E,Investigation complete; no suspect identified
3266d8db7d5066690aa344a68965895b9c417015212b20e081ba4f22449c8fcc,2013-09,Northamptonshire Police,Northamptonshire Police,-0.822925,52.262066,On or near LINGSWOOD PARK,E01027196,Northampton 007A,Investigation complete; no suspect identified
21b90b89fad061164407bb6ec093f2916a857ded9b19e1337b5c9e497257abe0,2013-09,Northamptonshire Police,Northamptonshire Police,-1.171825,52.276356,On or near DRAYTON PARK,E01026990,Daventry 006C,Investigation complete; no suspect identified
fcee1606e35d553ff3dda37f58264bf55e999aac8f9539599f3b07bd8f17105c,2013-09,Northamptonshire Police,Northamptonshire Police,-0.911517,52.239225,On or near STANLEY ROAD,E01027151,Northampton 024A,Investigation complete; no suspect identified
bf41c7a9bff04fe0d427e54eaf0c90440e64e106be44dce3b5d1ebc2ddb0bb79,2013-09,Northamptonshire Police,Northamptonshire Police,-0.599034,52.292187,On or near WEST STREET,E01027065,East Northamptonshire 009D,Investigation complete; no suspect identified
c62ee23f0f786ba69cc80040dcc88bdbb19303554b59b7eff6def1d30de69ac7,2013-09,Northamptonshire Police,Northamptonshire Police,-0.885185,52.253832,On or near KINGSLEY ROAD,E01027185,Northampton 015B,Investigation complete; no suspect identified
a973522f22b4feeae75bd5282776e63cb860b838b3ecdae77c3e9015d99441d1,2013-09,Northamptonshire Police,Northamptonshire Police,-0.877212,52.243516,On or near BOSTOCK AVENUE,E01027134,Northampton 022C,Investigation complete; no suspect identified
6ca6c542e236726a2ddfe83c1228e817179107fa3f75a5b6636deb2ed1c0207d,2013-09,Northamptonshire Police,Northamptonshire Police,-1.165202,52.258337,On or near Pedestrian Subway,E01026992,Daventry 007D,Investigation complete; no suspect identified
5ef1817d558a05bdb1bc7e137f972f3df2b8604b084f95373e59f7ff92a8195a,2013-09,Northamptonshire Police,Northamptonshire Police,-0.607492,52.290866,On or near BLOOMFIELD CLOSE,E01027073,East Northamptonshire 008F,Investigation complete; no suspect identified
1deeb04ca577756c6fb7efaebe10fc4a742b43258e33f13f0f545de8728615c0,2013-09,Northamptonshire Police,Northamptonshire Police,-0.598102,52.289218,On or near CHURCH STREET,E01027069,East Northamptonshire 009E,Investigation complete; no suspect identified
7ffb352d75c73370684647c39637870934026733b6456957ed8daeefcadffe83,2013-09,Northamptonshire Police,Northamptonshire Police,-0.902296,52.261536,On or near GARFIELD CLOSE,E01027190,Northampton 008A,Investigation complete; no suspect identified
8f74f71669273cc9a62ad9dc5e1bf845871c2e67703b1552d614ab62518ddc9b,2013-09,Northamptonshire Police,Northamptonshire Police,-1.003017,52.127388,On or near GREEN LANE,E01027300,South Northamptonshire 004D,Investigation complete; no suspect identified
99d55ff8e0e767b85ac4a85ae21432a77b34dc5ca011680d5289369f3b5ee914,2013-09,Northamptonshire Police,Northamptonshire Police,-1.137432,52.042262,On or near Petrol Station,E01027266,South Northamptonshire 009B,Investigation complete; no suspect identified
2c9334f40dc23bb108a5f099e2d0a120d920e1575c0c3cdbeb9ab0470456d896,2013-09,Northamptonshire Police,Northamptonshire Police,-1.137432,52.042262,On or near Petrol Station,E01027266,South Northamptonshire 009B,Investigation complete; no suspect identified
b6744a6d42b3f69af9e6a3da3da5d8defbc9c7eeef77483ed01b2680856ea37b,2013-09,Northamptonshire Police,Northamptonshire Police,-0.920583,52.275415,On or near THE AVENUE,E01027144,Northampton 003B,Investigation complete; no suspect identified
9e60911a844911e705152e0d3675aa5b3214bb879d7259101d8140908fee0d89,2013-09,Northamptonshire Police,Northamptonshire Police,-0.835483,52.257021,On or near Supermarket,E01027198,Northampton 007C,Investigation complete; no suspect identified
6e979357aa9be81ffb7517ba5d25679ee3bfa9cb9dcd4393a24d211259e27c30,2013-09,Northamptonshire Police,Northamptonshire Police,-0.689823,52.304225,On or near CANNON STREET,E01027349,Wellingborough 006A,Investigation complete; no suspect identified
aa6eb2cbda16e7788b02ce5c658e6e8469d3c423f89b6460c7560f966b54025f,2013-09,Northamptonshire Police,Northamptonshire Police,-0.868682,52.279460,On or near BOARDEN CLOSE,E01027221,Northampton 002C,Investigation complete; no suspect identified
