Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
da86166ffffe899105cc5fa584b45d102f61994e10e3c134520692fb803bff23,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.111336,52.065212,On or near FARTHING ROAD,E01029878,Babergh 005B,Investigation complete; no suspect identified
476352955845f3862a8f4e88e2639d09e914f971b19e87586835f578ae5e93ef,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.693262,52.467066,On or near BURNT HILL LANE,E01030237,Waveney 009C,Investigation complete; no suspect identified
74a1b12857da3a48472a55613d4dc596239dd31c9aa75951026d3b607b1ea087,2013-09,Suffolk Constabulary,Suffolk Constabulary,0.954965,52.044885,On or near Parking Area,E01029892,Babergh 004A,Investigation complete; no suspect identified
4956499cfc8a2d0d71e874eb4024d8957cdc903b8032fe8d3c795189e241671a,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.188091,52.050235,On or near CAMDEN ROAD,E01030005,Ipswich 008D,Investigation complete; no suspect identified
3c7e7c147a39a23a192ae5fe56e41c7b1e7e5036141b3806d74f95301a1e11c7,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.136457,52.058034,On or near LONDON ROAD,E01029988,Ipswich 010E,Investigation complete; no suspect identified
7df19fe2f0b053a66f72539b83f81ccdb5c6bc025abce0d7febc758e37dbed27,2013-09,Suffolk Constabulary,Suffolk Constabulary,0.579469,52.243211,On or near CEDAR CRESCENT,E01030098,St Edmundsbury 008A,Investigation complete; no suspect identified
f8cde7b0a0b7694f1041466111f90a687e9419af8b204bf6615d587d783d964b,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.327520,51.956325,On or near WALTON AVENUE,E01030171,Suffolk Coastal 012A,Investigation complete; no suspect identified
f0bed0c421d4e298e70cc81a30f24dcc9ca8468229c2286d4efe51f07ebcc0c8,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.571980,52.309873,On or near HAZELS LANE,E01030219,Suffolk Coastal 001B,Investigation complete; no suspect identified
5f2ba16f6c128b1ff0818a170c35de1468cd277f9665f8238cfd820a3cdb804d,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.148304,52.044335,On or near MAIDENHALL APPROACH,E01029970,Ipswich 012C,Investigation complete; no suspect identified
0190a2e011dd054eddceca98a3ffbd31c7a5ba35d7b841ae1151566adacac64b,2013-09,Suffolk Constabulary,Suffolk Constabulary,0.726360,52.248937,On or near UNICORN PLACE,E01033048,St Edmundsbury 009F,Investigation complete; no suspect identified
60d23a091f54d4c7ad8d40b9af327c8eb7608ef63915232be50bc4a3187b9e94,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.130147,52.052509,On or near WALLER'S GROVE,E01029986,Ipswich 010C,Investigation complete; no suspect identified
1bca418d6cd7e89021ff65e5b45919a3c828281a89477b607aee735914292aee,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.100796,52.039894,On or near A1214,E01029908,Babergh 005D,Investigation complete; no suspect identified
8cb9051d1523927e7e51a672808daeea50da428112964a27ab8ef6c890831e55,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.134124,52.047843,On or near MAPLE CLOSE,E01029986,Ipswich 010C,Investigation complete; no suspect identified
83a6ac60dcc688dba2042449f14705d8a8c89cc38a7013fe1723fadae522f48e,2013-09,Suffolk Constabulary,Suffolk Constabulary,0.420531,52.087845,On or near WILLOW CLOSE,E01030118,St Edmundsbury 013D,Investigation complete; no suspect identified
99dd8b11c90f7ca455e152eb4a5d351f1c167a8b94db26dbf716cc2f751d7ba7,2013-09,Suffolk Constabulary,Suffolk Constabulary,0.412644,52.242640,On or near NAT FLATMAN STREET,E01032612,Forest Heath 008F,Investigation complete; no suspect identified
361fcc9160a0f55d30fb58a6dbf84f969ca7992c46e5fc31ebd98c5270178542,2013-09,Suffolk Constabulary,Suffolk Constabulary,1.568944,52.461551,On or near GEORGE WESTWOOD WAY,E01030225,Waveney 010C,Investigation complete; no suspect identified
757b9b84e3cca60ee9ffd5c9aa95003e05ecd76a33657cfdb51504a847a04192,2013-09,Suffolk Constabulary,Suffolk Constabulary,0.512724,52.140428,On or near Prison,E01030151,St Edmundsbury 011C,Investigation complete; no suspect identified
