Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
cc4bc667eb5cba9c95380f8fd0bc70575e56eece0f1668aff7895b52ff4072f5,2013-09,Warwickshire Police,Warwickshire Police,-1.534248,52.291278,On or near Shopping Area,E01033253,Warwick 007H,Suspect charged
da9a959169fb0d99e8ad6a6e45c3d9746b93b52d2d78fa0f48ed02aeddbd368a,2013-09,Warwickshire Police,Warwickshire Police,-1.479423,52.471671,On or near MANSE CLOSE,E01031080,Nuneaton and Bedworth 018D,Suspect charged as part of another case
da9a959169fb0d99e8ad6a6e45c3d9746b93b52d2d78fa0f48ed02aeddbd368a,2013-09,Warwickshire Police,Warwickshire Police,-1.479423,52.471671,On or near MANSE CLOSE,E01031080,Nuneaton and Bedworth 018D,Suspect charged as part of another case
36e3268988aa346fc895650a5ccb10a36d21e8e3d1c017962c5aa42520c83dc7,2013-09,Warwickshire Police,Warwickshire Police,-1.510851,52.281680,On or near CONINGSBY CLOSE,E01031333,Warwick 010C,Investigation complete; no suspect identified
5df32e5aa2b18f24b14224a66d3f160ef546c44c413d5b54284304cad88a1a76,2013-09,Warwickshire Police,Warwickshire Police,-1.565697,52.286722,On or near Petrol Station,E01031319,Warwick 012E,Investigation complete; no suspect identified
c5032a6bb28dc089a8a03fc65002bc606498718009acc5e75b75d3f92ce10399,2013-09,Warwickshire Police,Warwickshire Police,-1.856580,52.168815,On or near ST LAURENCE WAY,E01031190,Stratford-on-Avon 012B,Investigation complete; no suspect identified
f4fc9e516c97b6e6a7ec3982b0dc7e7ff41aa7f5d545fb29abfbeb0d7d76b16b,2013-09,Warwickshire Police,Warwickshire Police,-1.686249,52.184515,On or near WATERLOO DRIVE,E01033252,Stratford-on-Avon 010F,Investigation complete; no suspect identified
f395c2184f9ff5ed26b4ad66da27bdc8cbca03939ea36e46ad9b1903a8ca3213,2013-09,Warwickshire Police,Warwickshire Police,-1.708994,52.184357,On or near SAFFRON WALK,E01031235,Stratford-on-Avon 011D,Investigation complete; no suspect identified
e7454a11dcced24412e446811f956662f73004043c2b4f1531b2d7e613732e26,2013-09,Warwickshire Police,Warwickshire Police,-1.601224,52.192880,On or near LOXLEY CLOSE,E01031249,Stratford-on-Avon 008C,Investigation complete; no suspect identified
151f3b3eea51a8f6c850bbdb7e942845b2d31cc2782efb0e761e0abff633e045,2013-09,Warwickshire Police,Warwickshire Police,,,No location,,,Suspect charged
bae40421cd9bff0d5ce1f77bd9d339efb90612ad963258ea30e5073a67c0ad2f,2013-09,Warwickshire Police,Warwickshire Police,-1.610417,52.081617,On or near GRANBY ROAD,E01031193,Stratford-on-Avon 015A,Investigation complete; no suspect identified
fe26856edd0c6277dd33e9d68289deaa4aa2ffca9e2e70d9fb0b1d4db59eeba7,2013-09,Warwickshire Police,Warwickshire Police,-1.861169,52.225774,On or near TYTHING ROAD,E01031208,Stratford-on-Avon 007C,Investigation complete; no suspect identified
f6e6625d8becb83012c950a0865a291d94cdbab27884d87e4812615b3f643f73,2013-09,Warwickshire Police,Warwickshire Police,-1.459352,52.235030,On or near PARK LANE,E01031201,Stratford-on-Avon 005E,Investigation complete; no suspect identified
d85c73351b1cf39e2889c4b9c00ed13a1c6bb0ab5366fd60c22f0a902c2effb0,2013-09,Warwickshire Police,Warwickshire Police,-1.470197,52.347314,On or near PIT HILL,E01031280,Warwick 005D,Investigation complete; no suspect identified
a7158a54e8fa1c04a00841848677eccb04e33d279113e3700f837d8170c421c0,2013-09,Warwickshire Police,Warwickshire Police,-1.564741,52.338000,On or near WORCESTER ROAD,E01031305,Warwick 003C,Investigation complete; no suspect identified
f582757a656b9730a973156c5730fa5d4c57189f7a3b4fd7d375c664b7992540,2013-09,Warwickshire Police,Warwickshire Police,-1.485170,52.199336,On or near COMPTON ROAD,E01031207,Stratford-on-Avon 013D,Investigation complete; no suspect identified
56487c483ad8d95de96a061dcccb8f32f39739c46241dfdd940d6a3c3e1b0b83,2013-09,Warwickshire Police,Warwickshire Police,-1.742620,52.197076,On or near THE RIDGWAY,E01031237,Stratford-on-Avon 011E,Investigation complete; no suspect identified
657785bd65737cd878dcf2931536c2681319cb919f3edba9070ddcac9f662efc,2013-09,Warwickshire Police,Warwickshire Police,-1.318710,52.244254,On or near JACKSON LANE,E01031224,Stratford-on-Avon 004F,Investigation complete; no suspect identified
6b886a4de599002c391c89b05b2ba0ffa7e5c506af2e7df440bd3835aa51d154,2013-09,Warwickshire Police,Warwickshire Police,-1.708676,52.199514,On or near VINCENT AVENUE,E01031231,Stratford-on-Avon 009D,Investigation complete; no suspect identified
bd449c06d15dda4dc301e65c74982b1a74126893b35ec50c1f7ff84df608f3e6,2013-09,Warwickshire Police,Warwickshire Police,-1.612930,52.190995,On or near Airport/Airfield,E01031250,Stratford-on-Avon 008D,Investigation complete; no suspect identified
fc1a3b1ea0139afeff3230f705fdefa9fd15d27dc4e00a31fe2b8560e166d55e,2013-09,Warwickshire Police,Warwickshire Police,-1.538421,52.280479,On or near KINGSWAY,E01031265,Warwick 013E,Investigation complete; no suspect identified
432ff9bba98a3ab0f38a8c12f5fb626cbd69b16c434166344b7018a63e89c1ee,2013-09,Warwickshire Police,Warwickshire Police,-1.579891,52.292644,On or near EDMONDES CLOSE,E01031310,Warwick 008B,Investigation complete; no suspect identified
7a557be5db33ffb6ec837d2b9e43022061f395e3f2c7d6b885faba801857b816,2013-09,Warwickshire Police,Warwickshire Police,-1.534248,52.291278,On or near Shopping Area,E01033253,Warwick 007H,Investigation complete; no suspect identified
8ceb5c4b2066749e684fea6c39cdc67cd0a942f1fd601d506ab5cde17d57be75,2013-09,Warwickshire Police,Warwickshire Police,-1.622920,52.280976,On or near SUMNER CLOSE,E01031267,Warwick 014C,Investigation complete; no suspect identified
f7be11ffd443030b125eea16426e7284aff38729200eee20dbdf43a29b96250c,2013-09,Warwickshire Police,Warwickshire Police,-1.415142,52.230701,On or near DEPPERS BRIDGE,E01031197,Stratford-on-Avon 005A,Investigation complete; no suspect identified
a763509310c22b12dca842e899cc3054ddb49ba944c65a406d8dacade79df1ee,2013-09,Warwickshire Police,Warwickshire Police,-1.579638,52.282152,On or near Parking Area,E01031317,Warwick 012C,Investigation complete; no suspect identified
8d9bd4ecec4984cceaec2cce656ecc0e8584955a133803524dabaabaf242b6f4,2013-09,Warwickshire Police,Warwickshire Police,-1.525355,52.298848,On or near HELLIDON CLOSE,E01031286,Warwick 007D,Investigation complete; no suspect identified
8222735c1c82ea5084212d9b6b56cfc6312d98ed3f1132ec9b72f90294a7580d,2013-09,Warwickshire Police,Warwickshire Police,-1.524622,52.263181,On or near VERDUN CLOSE,E01031330,Warwick 015D,Investigation complete; no suspect identified
aef9d956e6f726b525133f4063338f2ef6bd567e2b264a3f4680d54efcab2cd9,2013-09,Warwickshire Police,Warwickshire Police,-1.705598,52.191532,On or near SHEEP STREET,E01031234,Stratford-on-Avon 011C,Investigation complete; no suspect identified
b0be81fb7dee6bb5e278f95e7eca276af731c8e81092f1ed8eb0b20ffa84b2fb,2013-09,Warwickshire Police,Warwickshire Police,-1.702702,52.197917,On or near ROWLEY CRESCENT,E01031229,Stratford-on-Avon 009B,Investigation complete; no suspect identified
07c9e718c99378e1c9dd03249588e31e1b0c7190a608214a15c6446bb7c2c1ec,2013-09,Warwickshire Police,Warwickshire Police,-1.515265,52.281519,On or near COTTAGE SQUARE,E01031333,Warwick 010C,Investigation complete; no suspect identified
17458ba5b2a509f8387e0d51b39f1e410a41c10f670ed3a76c389ab4b89c69d1,2013-09,Warwickshire Police,Warwickshire Police,-1.722513,52.195511,On or near LODGE ROAD,E01031238,Stratford-on-Avon 009F,Investigation complete; no suspect identified
a349f541453ea509bc2fc4b3b2c301a84388adc2e4d13c3e4f5a7566b614f2be,2013-09,Warwickshire Police,Warwickshire Police,-1.703300,52.189432,On or near Sports/Recreation Area,E01031225,Stratford-on-Avon 010A,Investigation complete; no suspect identified
dbee1f8d86ea14b35f21bd4549721227ae6555a0ad68b2e6c1447a45057d1b07,2013-09,Warwickshire Police,Warwickshire Police,-1.531481,52.285288,On or near CHURCH STREET,E01031336,Warwick 010F,Investigation complete; no suspect identified
6dddff2106c28e2deb0c04cdb21358fc2ae013eec78f91e944edcd109157d517,2013-09,Warwickshire Police,Warwickshire Police,-1.379906,52.252332,On or near DROVERS WAY,E01031219,Stratford-on-Avon 004A,Investigation complete; no suspect identified
ffad4ad7f4b3add51a70c180859c64bb08489ec6e5814a0463bc69b4c521f290,2013-09,Warwickshire Police,Warwickshire Police,-1.535854,52.289063,On or near Nightclub,E01033253,Warwick 007H,Investigation complete; no suspect identified
b1e6c7e5c42b850e516e14013533383161ce0f56718471da2f91e28baa220850,2013-09,Warwickshire Police,Warwickshire Police,-1.548367,52.294128,On or near CLIFFE ROAD,E01031290,Warwick 009A,Investigation complete; no suspect identified
ee2990f16731241463ae1cfbb2987b5e5eda80fccbbea83e49aaeff46ba56c1d,2013-09,Warwickshire Police,Warwickshire Police,-1.385642,52.252821,On or near SCHOOL STREET,E01031222,Stratford-on-Avon 004D,Investigation complete; no suspect identified
2749d3242fd8836f3c3a359864853c45e96e3d72eab3eefe8bb77a30aa7949b8,2013-09,Warwickshire Police,Warwickshire Police,-1.562018,52.295600,On or near Sports/Recreation Area,E01031311,Warwick 008C,Investigation complete; no suspect identified
63f42c6d2fd7f00a36da119143b1c8f7a2f4ef672eb20fc7512e0873af563c21,2013-09,Warwickshire Police,Warwickshire Police,-1.518670,52.281128,On or near SYDENHAM DRIVE,E01031337,Warwick 010G,Investigation complete; no suspect identified
e7fa534a82b8a6b61234cb1f281ba6d15056fe71a2e9955ca9b5a57b81e6a6be,2013-09,Warwickshire Police,Warwickshire Police,-1.566691,52.341135,On or near ASHFIELD ROAD,E01031307,Warwick 003E,Investigation complete; no suspect identified
6a62e7fafeb3525723adf433c2bd0f018d20ddd232a444341e2fbe822db564aa,2013-09,Warwickshire Police,Warwickshire Police,-1.624239,52.055230,On or near ASHGROVE,E01031214,Stratford-on-Avon 015C,Investigation complete; no suspect identified
daf8ff2135be325bc37c32b106684fb1ca93b39f1f6fb239c88f9985a4d068b1,2013-09,Warwickshire Police,Warwickshire Police,-1.709591,52.196010,On or near BREWERY STREET,E01031229,Stratford-on-Avon 009B,Investigation complete; no suspect identified
532e9352648bfe196571fab4d02a475b7c4463be9bae07ef7a3fb945fd0232ae,2013-09,Warwickshire Police,Warwickshire Police,-1.580911,52.349233,On or near Parking Area,E01031256,Warwick 001C,Investigation complete; no suspect identified
cb8ee33bb062ff9710f2a325764b5f5778bc508fe050da679cf2b52597083a38,2013-09,Warwickshire Police,Warwickshire Police,-1.901865,52.266892,On or near HAMILTON DRIVE,E01031241,Stratford-on-Avon 003C,Investigation complete; no suspect identified
7637282726b3e51f8aa2b922de6a6b98187dd5dac00cbd58d93bee3b80c2a65a,2013-09,Warwickshire Police,Warwickshire Police,-1.591543,52.285115,On or near VICTORIA STREET,E01031324,Warwick 011D,Investigation complete; no suspect identified
