Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
138c7852e164f580129bddcc8ac785f8c1452e7dc447f7a1d57301b35bc29ed8,2013-10,Lincolnshire Police,Lincolnshire Police,-0.494028,53.265635,On or near WATERMILL LANE,E01026395,West Lindsey 010C,Investigation complete; no suspect identified
c1121023a0c404bafc208911618a7bb4f79177caa82f56f4ece59f84854da1dc,2013-10,Lincolnshire Police,Lincolnshire Police,-0.541689,53.230512,On or near PARK STREET,E01026143,Lincoln 005B,Investigation complete; no suspect identified
a21687d3b677f5e46c34ac54cd96ae8e0f7598be8737e2cd1383bfe88c20c955,2013-10,Lincolnshire Police,Lincolnshire Police,-0.419038,52.992108,On or near HERVEY ROAD,E01026233,North Kesteven 011C,Investigation complete; no suspect identified
dcbe0ce3826b47649eed27e9c89c340ea2206ecbf9cb2fa96b4f919c78ebc525,2013-10,Lincolnshire Police,Lincolnshire Police,-0.499501,53.242916,On or near BYLAND CLOSE,E01026155,Lincoln 002B,Investigation complete; no suspect identified
0871b6912ee26ac16795fa7ffbe01f2bfc2286d1ff599f82955c6cd41348a428,2013-10,Lincolnshire Police,Lincolnshire Police,-0.769949,53.392313,On or near SANDSFIELD LANE,E01026382,West Lindsey 004D,Investigation complete; no suspect identified
de840012c16d9e0f020297aafac9f936ec0542885051c96ba730fa1b0b734bdd,2013-10,Lincolnshire Police,Lincolnshire Police,0.012116,52.806019,On or near BARRETT'S CLOSE,E01026252,South Holland 003C,Investigation complete; no suspect identified
8c5305e93902e120cec290fbffac0a6e0236e4acac95f735adfd0be6e0e10c5a,2013-10,Lincolnshire Police,Lincolnshire Police,-0.542483,53.233605,On or near MOTHERBY HILL,E01026143,Lincoln 005B,Investigation complete; no suspect identified
77a02aca681dd33812aec06dfe882e0ab677fb89cd92149697639267f270c388,2013-10,Lincolnshire Police,Lincolnshire Police,-0.771098,53.390536,On or near GORDON STREET,E01026382,West Lindsey 004D,Investigation complete; no suspect identified
0135111e0862d3ab630af2e9acefc74ed4f7c2d02b4ce46e37a7c56fca8eb721,2013-10,Lincolnshire Police,Lincolnshire Police,-0.215176,53.151838,On or near Supermarket,E01026120,East Lindsey 016G,Investigation complete; no suspect identified
75e4af859b2105fd0caead09b6c140e1c263bdd41cc91e8054ce109b1889d850,2013-10,Lincolnshire Police,Lincolnshire Police,-0.185810,53.106291,On or near CROMWELL PLACE,E01026054,East Lindsey 016D,Investigation complete; no suspect identified
174bfcb885071b0380c7e02935bb2af2c130830400b6b55ad655a6f85afd7bb0,2013-10,Lincolnshire Police,Lincolnshire Police,-0.157802,52.942793,On or near SOUTH STREET,E01026034,Boston 006C,Investigation complete; no suspect identified
2ab1d13712848854168bc6eaeb4651ea81a9b3478e6328ed05160711c9d43ce8,2013-10,Lincolnshire Police,Lincolnshire Police,-0.542818,53.223280,On or near Parking Area,E01026176,Lincoln 006B,Investigation complete; no suspect identified
8a3e0b1eb40fd11cc6c5ac208bb6510b0143366061540b7511349966ee75199a,2013-10,Lincolnshire Police,Lincolnshire Police,-0.313353,52.679514,On or near BEAUFORT AVENUE,E01026337,South Kesteven 013D,Investigation complete; no suspect identified
97f9baca6b5661b013d00296bddc3ad938325185c69c6c1725da60295040c758,2013-10,Lincolnshire Police,Lincolnshire Police,-0.332337,53.385987,On or near PROSPECT PLACE,E01026389,West Lindsey 003A,Investigation complete; no suspect identified
38664072472a9dc77785868f0e41bdb3c3348571fdd517c57f026a5e78f5e519,2013-10,Lincolnshire Police,Lincolnshire Police,-0.023978,52.972092,On or near OXFORD STREET,E01026006,Boston 003A,Investigation complete; no suspect identified
14c5b1d0a33d803e1269d76bdfa20cdf0623598d7ccf86e3fc6ad147d184334f,2013-10,Lincolnshire Police,Lincolnshire Police,0.098769,52.747298,On or near WANTON'S LANE,E01026254,South Holland 008A,Investigation complete; no suspect identified
9440b2fd003b142363d7400c6888aa77e44a5f84d3055b1595e94c5b23ed0d09,2013-10,Lincolnshire Police,Lincolnshire Police,-0.535773,53.230008,On or near UNITY SQUARE,E01026122,Lincoln 004A,Investigation complete; no suspect identified
7e77938dd78e15119c4c8c40e91140b9c18305cc1dcc0a78559c8e99c54a25fb,2013-10,Lincolnshire Police,Lincolnshire Police,-0.100494,53.101831,On or near FIELD VIEW,E01026075,East Lindsey 018B,Investigation complete; no suspect identified
