Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
57109a3bf78795accf8f0289740ea86beaee747a08ae97b414bcc1d21faa589f,2013-11,Suffolk Constabulary,Suffolk Constabulary,0.738212,52.348034,On or near A134,E01030135,St Edmundsbury 008E,Suspect charged
5eaa90866ec1138cf45e9850aceadb2aecb39fe02cac950e5c40f685bb8cdbb7,2013-11,Suffolk Constabulary,Suffolk Constabulary,1.588708,52.347008,On or near A145,E01030229,Waveney 015A,Offender given a drugs possession warning
e10ed06c3974aa5279380e63d6d549017c25b5e4ea0c270ae61d6598b9b5ff5d,2013-11,Suffolk Constabulary,Suffolk Constabulary,0.829680,52.234148,On or near THE GARDENS,E01030086,Mid Suffolk 006D,Investigation complete; no suspect identified
ba86d26526cc3763c60d5e079de6b32466583039560d9c8c7a6cbf5e83ca533e,2013-11,Suffolk Constabulary,Suffolk Constabulary,1.095335,52.041063,On or near A14,E01029879,Babergh 005C,Investigation complete; no suspect identified
484a04150be65ac95e75d420539244f183dd233a412b093c4b6841abf3b19950,2013-11,Suffolk Constabulary,Suffolk Constabulary,0.402568,52.245930,On or near MILL HILL,E01029954,Forest Heath 006C,Investigation complete; no suspect identified
5798e5018c541f65574c68c69d0e094851b884acf66b5f2ae3b6a57ceaa0f326,2013-11,Suffolk Constabulary,Suffolk Constabulary,0.499053,52.301441,On or near BEECH DRIVE,E01033451,Forest Heath 005D,Investigation complete; no suspect identified
1595280159c4c9a2c5df9f2eb46250931ae42a6b2f49e832a96f2a05c45c4041,2013-11,Suffolk Constabulary,Suffolk Constabulary,1.679730,52.325676,On or near Supermarket,E01030282,Waveney 014A,Investigation complete; no suspect identified
5a7cf175ad349820026dd3762795519dfd25b1496041fa5a7e7e0c1a2e6dffe7,2013-11,Suffolk Constabulary,Suffolk Constabulary,1.363077,52.328065,On or near Park/Open Space,E01030201,Suffolk Coastal 001A,Investigation complete; no suspect identified
a2e444e184d9efdc29b1c9d2db2f14fbb79699600f54a78cb8b4169efdea1f9d,2013-11,Suffolk Constabulary,Suffolk Constabulary,0.485464,52.370178,On or near THE STREET,E01032525,Forest Heath 003H,Investigation complete; no suspect identified
39159ff6ca1104ade827238b5491a2868739ceaebb043596049661729018f6b4,2013-11,Suffolk Constabulary,Suffolk Constabulary,1.137537,52.068861,On or near KENSINGTON ROAD,E01029974,Ipswich 002B,Investigation complete; no suspect identified
532b8f66f2e4ee1470384bf3f833caf70f96601ad02f45d4f3c5e41ccfbcc1b9,2013-11,Suffolk Constabulary,Suffolk Constabulary,0.392247,52.250420,On or near BARTONS PLACE,E01029951,Forest Heath 008D,Investigation complete; no suspect identified
cee1c7ad91fe2b995e02eeeaf1877d4fcc2168686032830eeb00078b0d3394ae,2013-11,Suffolk Constabulary,Suffolk Constabulary,1.590110,52.205335,On or near HEATH VIEW,E01030187,Suffolk Coastal 004C,Investigation complete; no suspect identified
071a32d2d1d08ac2201086f8492172d6c0838d58d40ff63f13e2f3e6b1a9c424,2013-11,Suffolk Constabulary,Suffolk Constabulary,1.175418,52.031168,On or near MORLAND ROAD,E01029982,Ipswich 016E,Investigation complete; no suspect identified
32150646b6606b114c1f0846d81c65e5d5016b03c22b2a1757219514e7969a07,2013-11,Suffolk Constabulary,Suffolk Constabulary,0.427057,52.411488,On or near BURNT FEN TURNPIKE,E01032524,Forest Heath 003G,Investigation complete; no suspect identified
a752829466481e99052fd5973af364770934ac73b9edc337f2113a0a22ad56d6,2013-11,Suffolk Constabulary,Suffolk Constabulary,1.715586,52.472618,On or near LAKE VIEW ROAD,E01030289,Waveney 005D,Investigation complete; no suspect identified
04ae55128310ea61689a3bb3729369d87550e5b1a916e27662441f149887b6bc,2013-11,Suffolk Constabulary,Suffolk Constabulary,0.598409,52.105432,On or near JONES ROAD,E01030099,St Edmundsbury 010A,Investigation complete; no suspect identified
cb806ec30231b6f29e900981708343f8f5356b77f77ee52ae28f62f65512f859,2013-11,Suffolk Constabulary,Suffolk Constabulary,1.290475,52.023511,On or near CHAPEL ROAD,E01030198,Suffolk Coastal 010F,Investigation complete; no suspect identified
3e7b2c688333d4a15bd3d16307dc622cf31cc012e354b6b2953af2abb6b5b8a9,2013-11,Suffolk Constabulary,Suffolk Constabulary,1.444826,52.270023,On or near RUSSELL CLOSE,E01030201,Suffolk Coastal 001A,Investigation complete; no suspect identified
497c17c745b6c7c0c28f51f1929294c006353ba01630405357592f4c32ac77a9,2013-11,Suffolk Constabulary,Suffolk Constabulary,1.278582,52.062392,On or near GLOSTER ROAD,E01030191,Suffolk Coastal 010D,Investigation complete; no suspect identified
